# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.65565983509487
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.997559
# Detector.I1.voltage: -1650.002075
# Detector.I2.voltage: -1650.002075
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 371098
# Scan.uid: d21a62ed-d180-4547-bc30-5e7b02861f4e
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  06:20:22.084541
# Scan.end_time: 06/23/2023  06:20:55.505882
# Scan.name: CuGaO2-4th PP+O2-ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-4th
# Sample.comment: 
# Sample.position.x: -66.4779948865
# Sample.position.y: 30.524027769499998
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 400.0
# SampleHeater.temperature2.readback: 400.1
# SampleHeater.voltage.setpoint: 0.8806362436284634
# SampleHeater.voltage.readback: 0.876
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 3.0
# SampleGasCart.MFC.CH4.readback: 2.998
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 11.11
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 7.0
# SampleGasHandlingSystem.MFC1.readback: 6.998697757720947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC6.setpoint: 1.5
# SampleGasHandlingSystem.MFC6.readback: 1.50146484375
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.08544921875
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.06103515625
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1139322891831398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0406901054084301
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.977147e-05 -6.630456e-07 -1.918179e-07 -1.010980e-06 8.164226e-06 -5.450628e-04 -3.145052e-05 -7.181575e-06
10172.000000 -2.966326e-05 -6.592483e-07 -1.899769e-07 -1.009323e-06 1.640114e-05 -5.578138e-04 -4.282065e-05 -5.225793e-06
10177.000000 -2.956494e-05 -6.595366e-07 -1.883286e-07 -1.007710e-06 1.470913e-05 -5.545599e-04 -4.685070e-05 -5.219023e-06
10182.000000 -2.949080e-05 -6.608021e-07 -1.851709e-07 -1.007520e-06 2.660252e-06 -5.344396e-04 -5.300002e-05 -9.905199e-06
10187.000000 -2.944555e-05 -6.602858e-07 -1.781964e-07 -1.008039e-06 1.383109e-05 -5.317159e-04 -5.324170e-05 -6.358313e-07
10192.000000 -2.956196e-05 -6.646425e-07 -1.636394e-07 -1.015066e-06 5.232872e-06 -5.337053e-04 -5.560835e-05 -1.221165e-06
10197.000000 -2.955139e-05 -6.662028e-07 -1.195521e-07 -1.017628e-06 3.276050e-06 -5.361445e-04 -6.491557e-05 1.013124e-05
10202.000000 -2.947837e-05 -6.662300e-07 -3.740389e-08 -1.017155e-06 1.575686e-05 -5.403569e-04 -5.466645e-05 9.583982e-06
10207.000000 -2.942518e-05 -6.676196e-07 -1.575448e-08 -1.017603e-06 -6.282491e-06 -5.344202e-04 -3.867062e-05 6.752751e-06
10212.000000 -2.943876e-05 -6.690651e-07 -3.291144e-08 -1.021004e-06 -8.662358e-06 -5.295166e-04 -3.465102e-05 5.934838e-06
10217.000000 -2.938642e-05 -6.704570e-07 -4.238660e-08 -1.021721e-06 -6.563379e-06 -5.312670e-04 -2.714535e-05 9.978639e-06
10222.000000 -2.937159e-05 -6.718642e-07 -5.016668e-08 -1.024239e-06 4.844674e-06 -5.204240e-04 -3.477366e-05 -5.917296e-06
10227.000000 -2.932593e-05 -6.736967e-07 -5.522088e-08 -1.025445e-06 -2.856289e-06 -5.343797e-04 -4.303603e-05 9.562749e-07
10232.000000 -2.925912e-05 -6.756207e-07 -5.718188e-08 -1.025077e-06 5.162812e-06 -5.505054e-04 -4.468835e-05 1.041162e-05
10237.000000 -2.927571e-05 -6.783294e-07 -5.872923e-08 -1.028438e-06 1.253510e-05 -5.536655e-04 -3.791175e-05 1.939381e-05
10242.000000 -2.922369e-05 -6.796337e-07 -6.001938e-08 -1.029157e-06 9.179905e-06 -5.515184e-04 -3.257485e-05 1.264183e-05
10247.000000 -2.914866e-05 -6.813024e-07 -6.272064e-08 -1.029435e-06 1.588642e-05 -5.469602e-04 -3.061032e-05 1.369234e-05
10252.000000 -2.911109e-05 -6.841711e-07 -6.265469e-08 -1.030230e-06 2.303149e-05 -5.234872e-04 -1.770399e-05 2.872052e-05
10257.000000 -2.907299e-05 -6.855990e-07 -6.007871e-08 -1.031887e-06 2.269533e-05 -5.071480e-04 -2.303277e-05 2.817113e-05
10262.000000 -2.889396e-05 -6.855778e-07 -5.981260e-08 -1.027227e-06 1.814786e-05 -5.129408e-04 -2.657258e-05 8.438628e-06
10267.000000 -2.898556e-05 -6.886275e-07 -6.085533e-08 -1.034277e-06 1.617754e-05 -5.287673e-04 -2.401132e-05 4.917656e-06
10272.000000 -2.899022e-05 -6.909288e-07 -6.140348e-08 -1.037704e-06 1.291949e-05 -4.937543e-04 -3.350230e-05 8.132364e-06
10277.000000 -2.896531e-05 -6.941343e-07 -6.133391e-08 -1.040673e-06 4.951212e-06 -5.057720e-04 -3.664259e-05 6.166769e-06
10282.000000 -2.878232e-05 -6.944776e-07 -6.048580e-08 -1.036045e-06 3.227070e-06 -5.357170e-04 -3.747542e-05 1.310010e-06
10287.000000 -2.883392e-05 -6.990030e-07 -6.137094e-08 -1.040470e-06 4.011920e-06 -5.288042e-04 -3.162528e-05 -2.802079e-06
10292.000000 -2.874131e-05 -7.009894e-07 -6.311422e-08 -1.038552e-06 5.965534e-06 -5.312848e-04 -3.637610e-05 5.169362e-07
10297.000000 -2.874035e-05 -7.032112e-07 -6.407664e-08 -1.041765e-06 1.440939e-05 -5.220017e-04 -2.588695e-05 4.764136e-06
10302.000000 -2.881444e-05 -7.082083e-07 -6.414389e-08 -1.048198e-06 1.686938e-05 -5.165700e-04 -2.545190e-05 2.999049e-06
10307.000000 -2.876998e-05 -7.118243e-07 -6.457431e-08 -1.049125e-06 2.647039e-05 -5.069798e-04 -3.892304e-05 -4.746590e-06
10312.000000 -2.868836e-05 -7.146248e-07 -6.485490e-08 -1.048362e-06 2.209723e-05 -5.404518e-04 -3.514311e-05 -2.076149e-06
10317.000000 -2.869424e-05 -7.180127e-07 -6.459564e-08 -1.052471e-06 1.701273e-05 -5.306938e-04 -3.762688e-05 -3.622650e-06
10322.000000 -2.857421e-05 -7.183012e-07 -6.408879e-08 -1.050708e-06 1.299737e-05 -5.220233e-04 -3.905115e-05 3.365253e-06
10327.000000 -2.850885e-05 -7.210766e-07 -6.368357e-08 -1.052114e-06 1.496451e-05 -5.374467e-04 -3.653233e-05 1.616150e-05
10332.000000 -2.846939e-05 -7.238684e-07 -6.321330e-08 -1.056406e-06 1.718332e-05 -5.582764e-04 -3.637544e-05 2.809577e-05
10337.000000 -2.860856e-05 -7.308172e-07 -6.368785e-08 -1.066167e-06 1.190833e-05 -5.597501e-04 -3.260267e-05 1.069609e-05
10341.000000 -2.856957e-05 -7.317882e-07 -6.421595e-08 -1.068398e-06 1.157958e-05 -5.375030e-04 -4.051388e-05 1.283721e-05
10344.000000 -2.851222e-05 -7.312594e-07 -6.478739e-08 -1.069109e-06 1.692805e-05 -5.395979e-04 -4.860554e-05 1.932856e-05
10346.000000 -2.854030e-05 -7.334511e-07 -6.539469e-08 -1.072822e-06 1.209674e-05 -5.624360e-04 -5.040140e-05 2.607884e-05
10347.000000 -2.853418e-05 -7.339039e-07 -6.594834e-08 -1.073648e-06 1.815164e-05 -5.332174e-04 -3.348212e-05 3.173679e-05
10347.200000 -2.852775e-05 -7.350635e-07 -6.625510e-08 -1.073195e-06 1.803898e-05 -5.113529e-04 -4.155573e-05 2.180006e-05
10347.400000 -2.853022e-05 -7.335163e-07 -6.611015e-08 -1.073817e-06 1.534860e-05 -5.194956e-04 -2.939058e-05 2.247215e-05
10347.600000 -2.853077e-05 -7.329865e-07 -6.640618e-08 -1.074692e-06 4.403518e-06 -5.381953e-04 -3.449449e-05 2.840210e-05
