# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.53789001850123
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.99939
# Detector.I1.voltage: -1650.002808
# Detector.I2.voltage: -1650.003174
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 371108
# Scan.uid: 6720f591-cd15-4c82-97cb-51fa1f56e02e
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/23/2023  06:43:07.111569
# Scan.end_time: 06/23/2023  06:43:41.796864
# Scan.name: Cu2O+Ga2O3-2nd H2-RT (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-2nd
# Sample.comment: 
# Sample.position.x: -66.4430140875
# Sample.position.y: 31.09896028
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 25.0
# SampleHeater.temperature2.readback: 29.6
# SampleHeater.voltage.setpoint: 0.0
# SampleHeater.voltage.readback: 0.0
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.008000000000001
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.49
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.2034505158662796
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0935872420668602
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.01220703125
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.03662109375
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.09765625
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1057942733168602
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.03662109375
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.448486e-05 -4.204934e-07 -2.785759e-07 -3.117404e-07 6.878146e-05 -2.019518e-04 5.927929e-06 5.021906e-05
 8784.000000 -3.474156e-05 -4.204432e-07 -2.785676e-07 -3.145296e-07 6.650342e-05 -1.737094e-04 3.094138e-06 4.343925e-05
 8789.000000 -3.476109e-05 -4.196979e-07 -2.783100e-07 -3.156564e-07 6.390843e-05 -1.774144e-04 1.609295e-07 5.141890e-05
 8794.000000 -3.460125e-05 -4.178004e-07 -2.774056e-07 -3.151206e-07 6.218954e-05 -1.651727e-04 3.740241e-06 5.615102e-05
 8799.000000 -3.410522e-05 -4.138826e-07 -2.748473e-07 -3.112340e-07 5.846000e-05 -1.775777e-04 -1.242294e-06 4.224163e-05
 8804.000000 -3.440904e-05 -4.178175e-07 -2.775001e-07 -3.143229e-07 5.562414e-05 -1.774337e-04 1.068013e-05 4.469185e-05
 8809.000000 -3.423030e-05 -4.184657e-07 -2.782676e-07 -3.133399e-07 5.560553e-05 -2.036097e-04 1.074793e-05 5.369215e-05
 8814.000000 -3.412264e-05 -4.169736e-07 -2.772279e-07 -3.127098e-07 5.239511e-05 -1.939024e-04 8.036827e-06 5.011723e-05
 8819.000000 -3.416989e-05 -4.181243e-07 -2.784078e-07 -3.135487e-07 5.723920e-05 -1.944610e-04 3.128564e-06 4.708145e-05
 8824.000000 -3.410631e-05 -4.187095e-07 -2.790165e-07 -3.139064e-07 6.201349e-05 -2.091208e-04 3.342669e-06 4.190203e-05
 8829.000000 -3.405499e-05 -4.184976e-07 -2.790535e-07 -3.144249e-07 5.345583e-05 -2.125987e-04 1.768923e-07 3.026575e-05
 8834.000000 -3.383524e-05 -4.187644e-07 -2.794855e-07 -3.138368e-07 4.676032e-05 -1.817122e-04 -1.448287e-06 3.844948e-05
 8839.000000 -3.346484e-05 -4.216158e-07 -2.816951e-07 -3.121802e-07 4.569290e-05 -1.888755e-04 4.120959e-06 3.860541e-05
 8844.000000 -3.346086e-05 -4.206886e-07 -2.810092e-07 -3.134744e-07 5.069719e-05 -1.747523e-04 1.042628e-05 5.042344e-05
 8849.000000 -3.351393e-05 -4.194100e-07 -2.802503e-07 -3.148832e-07 4.873986e-05 -2.028405e-04 3.086932e-06 4.507900e-05
 8854.000000 -3.347163e-05 -4.194079e-07 -2.806106e-07 -3.153222e-07 5.169145e-05 -2.085744e-04 4.753162e-06 3.753755e-05
 8859.000000 -3.340346e-05 -4.195354e-07 -2.807531e-07 -3.156600e-07 4.545299e-05 -1.924655e-04 4.119710e-06 3.652944e-05
 8864.000000 -3.328988e-05 -4.201533e-07 -2.815474e-07 -3.155126e-07 4.761445e-05 -1.921911e-04 6.606335e-06 3.916032e-05
 8869.000000 -3.318003e-05 -4.209529e-07 -2.824456e-07 -3.153314e-07 5.577680e-05 -2.007630e-04 1.727461e-05 3.734932e-05
 8874.000000 -3.307266e-05 -4.218993e-07 -2.831496e-07 -3.152177e-07 5.970187e-05 -1.955846e-04 2.355178e-05 4.079192e-05
 8879.000000 -3.293388e-05 -4.221628e-07 -2.832371e-07 -3.147608e-07 5.426708e-05 -1.968787e-04 2.492370e-05 4.315915e-05
 8884.000000 -3.270382e-05 -4.211089e-07 -2.828466e-07 -3.138033e-07 5.135132e-05 -1.875366e-04 3.038295e-05 4.295640e-05
 8889.000000 -3.249271e-05 -4.209307e-07 -2.825892e-07 -3.131490e-07 4.940226e-05 -1.795711e-04 1.696116e-05 4.150597e-05
 8894.000000 -3.265145e-05 -4.244409e-07 -2.854155e-07 -3.149076e-07 5.671137e-05 -1.802591e-04 1.595107e-05 4.096975e-05
 8899.000000 -3.255726e-05 -4.253757e-07 -2.864451e-07 -3.145947e-07 5.753841e-05 -1.782495e-04 8.787020e-06 4.473947e-05
 8904.000000 -3.241417e-05 -4.261422e-07 -2.869699e-07 -3.137262e-07 6.047041e-05 -1.818552e-04 1.630287e-06 4.664894e-05
 8909.000000 -3.228981e-05 -4.266358e-07 -2.873740e-07 -3.131302e-07 7.226279e-05 -1.726030e-04 7.134506e-06 3.570663e-05
 8914.000000 -3.205864e-05 -4.255295e-07 -2.866599e-07 -3.114631e-07 7.054032e-05 -1.682182e-04 1.335982e-05 4.532195e-05
 8919.000000 -3.197418e-05 -4.260912e-07 -2.870124e-07 -3.116427e-07 6.488204e-05 -1.797643e-04 8.428027e-06 4.374977e-05
 8924.000000 -3.178781e-05 -4.258538e-07 -2.871301e-07 -3.109999e-07 6.388243e-05 -1.910926e-04 6.332337e-06 4.416869e-05
 8929.000000 -3.178883e-05 -4.283921e-07 -2.889746e-07 -3.125332e-07 6.360459e-05 -1.640376e-04 7.660599e-06 4.134355e-05
 8934.000000 -3.167721e-05 -4.291177e-07 -2.892663e-07 -3.130125e-07 4.818004e-05 -1.668538e-04 1.568533e-05 3.470470e-05
 8939.000000 -3.157179e-05 -4.302666e-07 -2.899705e-07 -3.131102e-07 5.354629e-05 -1.910708e-04 1.896409e-05 3.977513e-05
 8944.000000 -3.143975e-05 -4.299302e-07 -2.896801e-07 -3.129384e-07 5.608421e-05 -2.394353e-04 1.582632e-05 5.549958e-05
 8949.000000 -3.125753e-05 -4.296844e-07 -2.893819e-07 -3.124340e-07 5.616196e-05 -2.407296e-04 1.813011e-05 8.296681e-05
 8953.000000 -3.110456e-05 -4.304613e-07 -2.896897e-07 -3.114989e-07 6.008431e-05 -2.324740e-04 2.113254e-05 6.071596e-05
 8956.000000 -3.108807e-05 -4.297695e-07 -2.889072e-07 -3.115208e-07 6.548906e-05 -2.150236e-04 1.175492e-05 4.904364e-05
 8958.000000 -3.104715e-05 -4.298270e-07 -2.888104e-07 -3.115141e-07 6.996650e-05 -2.171066e-04 1.114382e-06 5.262987e-05
 8959.000000 -3.096337e-05 -4.297226e-07 -2.883298e-07 -3.110994e-07 7.656766e-05 -2.136037e-04 4.603065e-06 5.137233e-05
 8959.200000 -3.088607e-05 -4.297243e-07 -2.881994e-07 -3.104671e-07 7.613702e-05 -2.089379e-04 1.302665e-05 5.361726e-05
 8959.400000 -3.087475e-05 -4.299917e-07 -2.884506e-07 -3.104077e-07 7.586284e-05 -2.117782e-04 2.297380e-05 6.112593e-05
 8959.600000 -3.095034e-05 -4.292139e-07 -2.880020e-07 -3.109557e-07 6.579051e-05 -2.050612e-04 3.443873e-06 5.737177e-05
