# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.93998424782467
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -349.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.000488
# Detector.I1.voltage: -1650.001709
# Detector.I2.voltage: -1649.998657
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 371116
# Scan.uid: ec6d235b-58a6-4f1f-8571-31e2a85ee080
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/23/2023  06:52:19.517979
# Scan.end_time: 06/23/2023  06:52:53.064197
# Scan.name: Cu2O+Ga2O3-2nd H2-ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-2nd
# Sample.comment: 
# Sample.position.x: -66.442995014
# Sample.position.y: 31.0989412065
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 103.9605047304696
# SampleHeater.temperature2.readback: 109.0
# SampleHeater.voltage.setpoint: 0.24523115749307056
# SampleHeater.voltage.readback: 0.264
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.01
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.040000000000001
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.1953125
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.10986328125
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.09765625
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.03662109375
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.09765625
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.10986328125
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0406901054084301
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.437186e-05 -4.092857e-07 -2.709593e-07 -3.126125e-07 5.225024e-05 -2.278687e-04 -2.263932e-05 6.044862e-05
 8784.000000 -3.451341e-05 -4.071347e-07 -2.697919e-07 -3.142606e-07 5.444867e-05 -2.372807e-04 -2.424600e-05 5.821036e-05
 8789.000000 -3.447963e-05 -4.060324e-07 -2.693593e-07 -3.145967e-07 5.252083e-05 -2.519939e-04 -2.741823e-05 6.083622e-05
 8794.000000 -3.431281e-05 -4.049686e-07 -2.686415e-07 -3.137274e-07 5.656520e-05 -2.535950e-04 -2.783809e-05 7.015883e-05
 8799.000000 -3.379961e-05 -4.030252e-07 -2.675149e-07 -3.098815e-07 5.529766e-05 -2.270924e-04 -1.238178e-05 7.132965e-05
 8804.000000 -3.414317e-05 -4.060492e-07 -2.698616e-07 -3.135577e-07 6.152065e-05 -2.302099e-04 -2.468829e-05 6.692419e-05
 8809.000000 -3.410921e-05 -4.051063e-07 -2.692743e-07 -3.140860e-07 6.803830e-05 -2.261251e-04 -2.475092e-05 7.023307e-05
 8814.000000 -3.393148e-05 -4.034668e-07 -2.683597e-07 -3.129628e-07 6.511119e-05 -2.364219e-04 -1.710183e-05 6.781573e-05
 8819.000000 -3.391950e-05 -4.039011e-07 -2.689870e-07 -3.136628e-07 5.965752e-05 -2.426003e-04 -4.197839e-07 6.103023e-05
 8824.000000 -3.384478e-05 -4.052568e-07 -2.701899e-07 -3.139732e-07 6.275270e-05 -2.594751e-04 6.729334e-07 6.459944e-05
 8829.000000 -3.352052e-05 -4.084352e-07 -2.723486e-07 -3.119698e-07 6.598997e-05 -2.520200e-04 -5.259406e-06 6.093791e-05
 8834.000000 -3.346810e-05 -4.071374e-07 -2.717840e-07 -3.124871e-07 6.768709e-05 -2.385276e-04 -1.871617e-05 5.476876e-05
 8839.000000 -3.356631e-05 -4.050514e-07 -2.703353e-07 -3.143496e-07 5.212556e-05 -2.370960e-04 -2.750729e-05 5.545827e-05
 8844.000000 -3.341788e-05 -4.058166e-07 -2.712610e-07 -3.141725e-07 5.576883e-05 -2.316840e-04 -2.387615e-05 6.023692e-05
 8849.000000 -3.323871e-05 -4.070745e-07 -2.721958e-07 -3.134602e-07 5.762875e-05 -2.248260e-04 -2.362752e-05 5.388442e-05
 8854.000000 -3.311938e-05 -4.079314e-07 -2.732835e-07 -3.134164e-07 5.904307e-05 -2.071317e-04 -3.338702e-05 4.675701e-05
 8859.000000 -3.312676e-05 -4.073787e-07 -2.726396e-07 -3.145647e-07 6.183886e-05 -2.247521e-04 -3.056918e-05 4.439360e-05
 8864.000000 -3.304589e-05 -4.077101e-07 -2.730014e-07 -3.146509e-07 5.732556e-05 -1.864527e-04 -2.516219e-05 5.383858e-05
 8869.000000 -3.292503e-05 -4.085146e-07 -2.735348e-07 -3.140657e-07 5.260803e-05 -1.846212e-04 -3.896624e-05 4.808434e-05
 8874.000000 -3.275194e-05 -4.105848e-07 -2.754174e-07 -3.132647e-07 4.598766e-05 -2.273949e-04 -2.703004e-05 4.664787e-05
 8879.000000 -3.269713e-05 -4.097125e-07 -2.750064e-07 -3.136322e-07 4.424699e-05 -2.149927e-04 -3.241818e-05 4.343610e-05
 8884.000000 -3.246712e-05 -4.078206e-07 -2.740861e-07 -3.126481e-07 5.737942e-05 -1.938303e-04 -2.524173e-05 4.117441e-05
 8889.000000 -3.225237e-05 -4.076067e-07 -2.738859e-07 -3.121570e-07 5.326335e-05 -1.933580e-04 -1.799504e-05 5.069670e-05
 8894.000000 -3.237540e-05 -4.111868e-07 -2.763549e-07 -3.137962e-07 4.801106e-05 -1.931477e-04 -2.856521e-05 5.259010e-05
 8899.000000 -3.225825e-05 -4.123647e-07 -2.775516e-07 -3.133432e-07 5.181128e-05 -2.071504e-04 -2.754499e-05 4.883166e-05
 8904.000000 -3.214646e-05 -4.130864e-07 -2.781353e-07 -3.127334e-07 3.578363e-05 -2.120443e-04 -3.298517e-05 4.594441e-05
 8909.000000 -3.201949e-05 -4.143453e-07 -2.792416e-07 -3.120650e-07 4.093361e-05 -1.923235e-04 -3.443416e-05 4.078557e-05
 8914.000000 -3.178307e-05 -4.133251e-07 -2.784683e-07 -3.102931e-07 4.043376e-05 -1.905146e-04 -4.154336e-05 4.497504e-05
 8919.000000 -3.169703e-05 -4.146151e-07 -2.792158e-07 -3.104112e-07 3.388848e-05 -2.048917e-04 -4.191533e-05 4.526901e-05
 8924.000000 -3.159155e-05 -4.141419e-07 -2.791600e-07 -3.105908e-07 2.700715e-05 -2.110654e-04 -4.179383e-05 4.397627e-05
 8929.000000 -3.157119e-05 -4.173918e-07 -2.813994e-07 -3.119101e-07 3.304846e-05 -1.996448e-04 -3.410649e-05 4.582765e-05
 8934.000000 -3.151454e-05 -4.178189e-07 -2.815876e-07 -3.127206e-07 2.617536e-05 -2.264321e-04 -3.275003e-05 5.088991e-05
 8939.000000 -3.134476e-05 -4.192942e-07 -2.827523e-07 -3.122919e-07 2.984659e-05 -2.007392e-04 -2.644538e-05 5.358526e-05
 8944.000000 -3.125014e-05 -4.193470e-07 -2.826165e-07 -3.122768e-07 3.543360e-05 -1.991406e-04 -3.110411e-05 5.256691e-05
 8949.000000 -3.104965e-05 -4.205408e-07 -2.832494e-07 -3.112666e-07 4.761456e-05 -1.893844e-04 -3.756448e-05 5.158323e-05
 8953.000000 -3.096979e-05 -4.209818e-07 -2.831984e-07 -3.113900e-07 5.251984e-05 -2.136575e-04 -2.749096e-05 5.946444e-05
 8956.000000 -3.089783e-05 -4.207410e-07 -2.827510e-07 -3.114438e-07 5.062388e-05 -2.181939e-04 -1.888880e-05 6.647228e-05
 8958.000000 -3.094719e-05 -4.190099e-07 -2.814180e-07 -3.122963e-07 6.129919e-05 -2.018807e-04 -2.175144e-05 5.218815e-05
 8959.000000 -3.094823e-05 -4.190432e-07 -2.815179e-07 -3.125868e-07 5.154550e-05 -2.134030e-04 -1.386044e-05 5.115268e-05
 8959.200000 -3.094867e-05 -4.196155e-07 -2.819183e-07 -3.127709e-07 4.922822e-05 -2.035568e-04 -1.691833e-05 5.126671e-05
 8959.400000 -3.094059e-05 -4.191973e-07 -2.815490e-07 -3.125694e-07 5.571554e-05 -2.126347e-04 3.983966e-06 5.892013e-05
 8959.600000 -3.092908e-05 -4.200852e-07 -2.821849e-07 -3.125852e-07 5.506150e-05 -1.991534e-04 -1.364706e-05 6.278206e-05
