# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.16150172712946
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -349.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.001343
# Detector.I1.voltage: -1649.999512
# Detector.I2.voltage: -1650.000366
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 371118
# Scan.uid: a864a6d7-daa7-4574-baf7-187b7c01d317
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/23/2023  06:54:16.540903
# Scan.end_time: 06/23/2023  06:54:50.821421
# Scan.name: Cu2O+Ga2O3-2nd H2-ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-2nd
# Sample.comment: 
# Sample.position.x: -66.442995014
# Sample.position.y: 31.09896028
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 123.90997860934756
# SampleHeater.temperature2.readback: 124.10000000000001
# SampleHeater.voltage.setpoint: 0.39276410670639594
# SampleHeater.voltage.readback: 0.39
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.012
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.09
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.1953125
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.10986328125
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.01220703125
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.03662109375
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0773111954331398
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.09765625
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1139322891831398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.03662109375
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.453062e-05 -4.035361e-07 -2.671403e-07 -3.140625e-07 6.648976e-06 -2.903128e-04 1.371245e-05 8.792830e-05
 8784.000000 -3.454349e-05 -4.039462e-07 -2.675486e-07 -3.147571e-07 7.783972e-06 -2.867970e-04 2.687728e-05 8.129957e-05
 8789.000000 -3.447909e-05 -4.021257e-07 -2.666494e-07 -3.148512e-07 -5.716308e-07 -2.788118e-04 2.181034e-05 7.568947e-05
 8794.000000 -3.430515e-05 -3.999825e-07 -2.653031e-07 -3.140428e-07 -6.448382e-08 -2.787843e-04 2.417557e-05 7.770023e-05
 8799.000000 -3.391160e-05 -3.965949e-07 -2.633918e-07 -3.114430e-07 3.706865e-06 -2.701649e-04 2.354613e-05 8.027360e-05
 8804.000000 -3.421043e-05 -4.007006e-07 -2.662896e-07 -3.148114e-07 1.233263e-05 -2.740654e-04 2.188248e-05 7.381687e-05
 8809.000000 -3.418585e-05 -4.018349e-07 -2.674219e-07 -3.152292e-07 1.289282e-05 -2.897513e-04 2.264207e-05 7.400724e-05
 8814.000000 -3.401444e-05 -4.012277e-07 -2.673276e-07 -3.141263e-07 8.438493e-06 -2.839390e-04 3.094567e-05 8.513589e-05
 8819.000000 -3.395382e-05 -4.034484e-07 -2.688651e-07 -3.144658e-07 5.431530e-06 -2.992749e-04 2.598159e-05 9.184965e-05
 8824.000000 -3.391042e-05 -4.045909e-07 -2.697522e-07 -3.147427e-07 7.532306e-06 -2.952078e-04 2.242312e-05 9.216499e-05
 8829.000000 -3.386343e-05 -4.049474e-07 -2.702491e-07 -3.150680e-07 4.133737e-06 -2.975742e-04 2.056190e-05 8.170774e-05
 8834.000000 -3.378842e-05 -4.044528e-07 -2.698082e-07 -3.157019e-07 9.935941e-06 -3.011021e-04 1.973787e-05 8.241043e-05
 8839.000000 -3.368128e-05 -4.042541e-07 -2.699098e-07 -3.157067e-07 8.784679e-06 -2.811319e-04 1.026281e-05 8.784039e-05
 8844.000000 -3.355896e-05 -4.047237e-07 -2.705603e-07 -3.156770e-07 7.106445e-06 -2.670928e-04 1.936830e-05 8.911005e-05
 8849.000000 -3.345668e-05 -4.051243e-07 -2.712123e-07 -3.158963e-07 1.141580e-05 -2.934545e-04 7.805272e-06 8.512178e-05
 8854.000000 -3.333027e-05 -4.052857e-07 -2.712707e-07 -3.157984e-07 2.341716e-05 -3.243503e-04 7.045754e-06 8.390373e-05
 8859.000000 -3.322707e-05 -4.057832e-07 -2.717133e-07 -3.158082e-07 2.268148e-05 -3.214564e-04 7.810564e-06 7.959053e-05
 8864.000000 -3.317027e-05 -4.070120e-07 -2.728037e-07 -3.162697e-07 1.096893e-05 -3.229693e-04 1.317912e-05 8.143011e-05
 8869.000000 -3.306460e-05 -4.076151e-07 -2.734669e-07 -3.159552e-07 8.562521e-06 -3.163278e-04 1.838255e-05 7.893592e-05
 8874.000000 -3.295905e-05 -4.082008e-07 -2.739221e-07 -3.156507e-07 2.119904e-06 -3.228063e-04 1.265569e-05 8.118423e-05
 8879.000000 -3.282902e-05 -4.085793e-07 -2.742226e-07 -3.156177e-07 3.583744e-06 -3.225267e-04 1.452068e-05 7.844851e-05
 8884.000000 -3.258925e-05 -4.067593e-07 -2.732834e-07 -3.145436e-07 4.815331e-06 -3.273102e-04 1.761954e-05 8.131506e-05
 8889.000000 -3.235155e-05 -4.065331e-07 -2.734003e-07 -3.136078e-07 5.420011e-06 -3.130890e-04 9.209793e-06 8.456060e-05
 8894.000000 -3.251828e-05 -4.102206e-07 -2.758796e-07 -3.155075e-07 9.757774e-06 -3.254149e-04 8.793427e-06 7.668026e-05
 8899.000000 -3.239076e-05 -4.106345e-07 -2.762044e-07 -3.146216e-07 1.140819e-05 -3.173066e-04 1.067231e-05 7.419429e-05
 8904.000000 -3.226338e-05 -4.114583e-07 -2.771472e-07 -3.138767e-07 1.422324e-05 -3.219644e-04 5.993618e-06 7.750585e-05
 8909.000000 -3.213624e-05 -4.116651e-07 -2.772946e-07 -3.133175e-07 8.299534e-06 -3.424814e-04 1.295388e-05 7.844120e-05
 8914.000000 -3.186523e-05 -4.103182e-07 -2.762372e-07 -3.113490e-07 1.731368e-05 -3.280420e-04 8.645153e-06 8.409423e-05
 8919.000000 -3.173544e-05 -4.115525e-07 -2.772573e-07 -3.112487e-07 5.227474e-06 -3.339702e-04 8.716139e-07 7.828834e-05
 8924.000000 -3.157707e-05 -4.117815e-07 -2.774558e-07 -3.108263e-07 5.615016e-06 -3.579224e-04 -1.265565e-05 7.656205e-05
 8929.000000 -3.160463e-05 -4.143246e-07 -2.793736e-07 -3.126246e-07 8.292438e-06 -3.477529e-04 -6.562167e-06 8.489619e-05
 8934.000000 -3.150302e-05 -4.148533e-07 -2.798515e-07 -3.129454e-07 1.539703e-05 -3.431170e-04 -8.054921e-08 8.803369e-05
 8939.000000 -3.118946e-05 -4.172628e-07 -2.812845e-07 -3.111549e-07 9.779532e-06 -3.378901e-04 -1.551921e-06 8.489069e-05
 8944.000000 -3.126490e-05 -4.152365e-07 -2.798903e-07 -3.126197e-07 1.226179e-05 -3.704648e-04 6.217115e-06 8.257682e-05
 8949.000000 -3.118370e-05 -4.143805e-07 -2.791400e-07 -3.128145e-07 2.348907e-05 -3.400147e-04 2.135489e-05 8.021396e-05
 8953.000000 -3.108673e-05 -4.144562e-07 -2.789134e-07 -3.129487e-07 2.586814e-05 -3.113389e-04 2.182966e-05 7.625028e-05
 8956.000000 -3.100405e-05 -4.148095e-07 -2.788607e-07 -3.129397e-07 1.410704e-05 -3.044759e-04 2.148435e-05 7.779733e-05
 8958.000000 -3.099184e-05 -4.143911e-07 -2.784652e-07 -3.134904e-07 5.960250e-06 -2.867962e-04 9.683497e-06 8.150747e-05
 8959.000000 -3.096542e-05 -4.144319e-07 -2.780398e-07 -3.132893e-07 7.652056e-06 -2.765854e-04 1.418233e-05 8.210120e-05
 8959.200000 -3.096814e-05 -4.143485e-07 -2.780800e-07 -3.132029e-07 5.283354e-06 -2.753778e-04 1.476150e-05 7.566890e-05
 8959.400000 -3.096896e-05 -4.147446e-07 -2.784370e-07 -3.133075e-07 1.347315e-05 -2.710697e-04 2.715711e-05 8.621160e-05
 8959.600000 -3.093597e-05 -4.157256e-07 -2.790313e-07 -3.128464e-07 4.793567e-06 -2.715790e-04 1.816409e-05 8.423693e-05
