# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.3063182988411
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.001465
# Detector.I1.voltage: -1650.000977
# Detector.I2.voltage: -1650.001831
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 371120
# Scan.uid: ae4b6184-ece8-4a79-b915-907d55204075
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/23/2023  06:56:15.508175
# Scan.end_time: 06/23/2023  06:56:50.745824
# Scan.name: Cu2O+Ga2O3-2nd H2-ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-2nd
# Sample.comment: 
# Sample.position.x: -66.442995014
# Sample.position.y: 31.09896028
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 144.24658682477585
# SampleHeater.temperature2.readback: 146.8
# SampleHeater.voltage.setpoint: 0.38463511760631197
# SampleHeater.voltage.readback: 0.653
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.012
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.02
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.1871744841337204
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.1139322891831398
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.01220703125
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.03662109375
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0773111954331398
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.09765625
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.10986328125
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0406901054084301
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.445331e-05 -4.144402e-07 -2.744491e-07 -3.133187e-07 2.328766e-05 -3.842175e-04 5.628283e-06 -9.138840e-06
 8784.000000 -3.453113e-05 -4.131814e-07 -2.736478e-07 -3.146940e-07 2.274342e-05 -3.919493e-04 4.754997e-07 -9.667910e-06
 8789.000000 -3.450674e-05 -4.120152e-07 -2.732556e-07 -3.151820e-07 1.786495e-05 -4.026928e-04 2.431705e-06 -3.004445e-06
 8794.000000 -3.429755e-05 -4.108756e-07 -2.727209e-07 -3.141006e-07 1.702762e-05 -4.101070e-04 -5.384171e-06 -5.385079e-07
 8799.000000 -3.386563e-05 -4.076021e-07 -2.706187e-07 -3.109996e-07 1.785191e-05 -4.140276e-04 1.803056e-06 1.182216e-06
 8804.000000 -3.425676e-05 -4.121198e-07 -2.738542e-07 -3.149820e-07 1.081662e-05 -4.235006e-04 3.709902e-07 -5.767957e-07
 8809.000000 -3.416977e-05 -4.132367e-07 -2.750459e-07 -3.149756e-07 1.388888e-05 -4.399913e-04 5.133650e-06 7.643258e-06
 8814.000000 -3.403048e-05 -4.121044e-07 -2.744093e-07 -3.142493e-07 8.676806e-06 -4.487766e-04 3.018982e-06 1.622959e-05
 8819.000000 -3.399244e-05 -4.145834e-07 -2.760864e-07 -3.143906e-07 2.770691e-06 -4.394038e-04 -4.832644e-06 1.381583e-05
 8824.000000 -3.396990e-05 -4.159052e-07 -2.771567e-07 -3.146576e-07 1.010284e-05 -4.336629e-04 -2.179726e-07 8.362881e-06
 8829.000000 -3.374084e-05 -4.177319e-07 -2.783831e-07 -3.137202e-07 1.567101e-05 -3.887184e-04 4.810400e-06 9.911788e-06
 8834.000000 -3.362655e-05 -4.180024e-07 -2.788042e-07 -3.135563e-07 1.215711e-05 -4.343053e-04 3.112810e-06 -2.535553e-06
 8839.000000 -3.361963e-05 -4.168749e-07 -2.785632e-07 -3.146295e-07 1.311497e-05 -4.480776e-04 -1.758777e-06 4.293281e-06
 8844.000000 -3.357872e-05 -4.172784e-07 -2.788985e-07 -3.155116e-07 9.844460e-06 -4.490851e-04 2.915599e-06 1.848602e-06
 8849.000000 -3.348272e-05 -4.179287e-07 -2.796095e-07 -3.156681e-07 7.443747e-06 -4.312413e-04 3.797324e-06 -4.985296e-06
 8854.000000 -3.338938e-05 -4.180092e-07 -2.796515e-07 -3.159362e-07 1.178040e-05 -4.194688e-04 4.028407e-06 -1.257051e-05
 8859.000000 -3.328489e-05 -4.177346e-07 -2.794569e-07 -3.159798e-07 1.440168e-05 -4.194521e-04 2.448863e-06 -1.165057e-05
 8864.000000 -3.318139e-05 -4.179090e-07 -2.799617e-07 -3.160841e-07 1.463260e-05 -4.126831e-04 5.533940e-06 -1.029576e-05
 8869.000000 -3.306090e-05 -4.180376e-07 -2.800179e-07 -3.155304e-07 2.936620e-05 -4.042995e-04 6.922593e-06 -1.384453e-05
 8874.000000 -3.295608e-05 -4.181339e-07 -2.805259e-07 -3.152919e-07 2.295383e-05 -4.145216e-04 4.396069e-06 -2.001608e-05
 8879.000000 -3.282727e-05 -4.182675e-07 -2.808242e-07 -3.150097e-07 1.126172e-05 -4.094781e-04 -3.342286e-06 -3.005493e-05
 8884.000000 -3.252349e-05 -4.165240e-07 -2.798491e-07 -3.134562e-07 1.407768e-05 -4.059427e-04 1.945332e-06 -3.111461e-05
 8889.000000 -3.227300e-05 -4.162239e-07 -2.797125e-07 -3.125418e-07 1.988578e-05 -3.970723e-04 1.101080e-05 -2.722597e-05
 8894.000000 -3.233167e-05 -4.205483e-07 -2.826090e-07 -3.136472e-07 1.571333e-05 -4.067543e-04 -2.533130e-06 -2.402070e-05
 8899.000000 -3.237813e-05 -4.195978e-07 -2.822896e-07 -3.142520e-07 1.308934e-05 -4.351795e-04 -6.358666e-06 -2.640399e-05
 8904.000000 -3.224836e-05 -4.206656e-07 -2.832585e-07 -3.136272e-07 1.081529e-05 -4.266846e-04 -2.856479e-06 -1.485791e-05
 8909.000000 -3.199768e-05 -4.227338e-07 -2.847966e-07 -3.117618e-07 3.913198e-06 -3.838333e-04 -9.592819e-06 -4.529635e-06
 8914.000000 -3.153629e-05 -4.252227e-07 -2.866058e-07 -3.082818e-07 6.682470e-06 -3.623327e-04 2.819515e-07 6.357718e-06
 8919.000000 -3.141363e-05 -4.271745e-07 -2.878562e-07 -3.079757e-07 -3.153876e-08 -3.752163e-04 4.383557e-07 6.703323e-06
 8924.000000 -3.128542e-05 -4.263940e-07 -2.873150e-07 -3.079896e-07 7.649947e-06 -3.930445e-04 2.654453e-06 5.326774e-06
 8929.000000 -3.155184e-05 -4.251150e-07 -2.867037e-07 -3.117241e-07 1.188958e-05 -3.795118e-04 2.596470e-06 5.410372e-06
 8934.000000 -3.151166e-05 -4.258463e-07 -2.872170e-07 -3.124664e-07 6.566559e-06 -3.621622e-04 -6.550513e-06 1.101530e-05
 8939.000000 -3.141264e-05 -4.272095e-07 -2.881767e-07 -3.127359e-07 2.000232e-05 -3.874154e-04 -1.962865e-05 7.554233e-06
 8944.000000 -3.130816e-05 -4.283831e-07 -2.886463e-07 -3.129391e-07 2.216822e-05 -3.916958e-04 -2.357722e-05 1.123464e-06
 8949.000000 -3.113900e-05 -4.287475e-07 -2.887985e-07 -3.122109e-07 2.695121e-05 -3.948361e-04 -8.601087e-06 -2.329997e-06
 8953.000000 -3.101259e-05 -4.287671e-07 -2.885486e-07 -3.118599e-07 2.628713e-05 -4.105623e-04 -4.327325e-06 1.856125e-06
 8956.000000 -3.097674e-05 -4.286383e-07 -2.880487e-07 -3.126981e-07 1.983005e-05 -3.860578e-04 -7.672181e-06 1.302237e-05
 8958.000000 -3.088454e-05 -4.288601e-07 -2.877033e-07 -3.120522e-07 1.495777e-05 -3.882033e-04 -3.971390e-06 6.248563e-06
 8959.000000 -3.100193e-05 -4.277000e-07 -2.868757e-07 -3.132141e-07 1.741157e-05 -3.977941e-04 -7.369712e-06 1.024382e-05
 8959.200000 -3.100414e-05 -4.273852e-07 -2.865613e-07 -3.132863e-07 1.528236e-05 -4.002566e-04 -1.218469e-05 8.398921e-06
 8959.400000 -3.097853e-05 -4.283219e-07 -2.873224e-07 -3.132104e-07 1.728799e-05 -4.088165e-04 -8.397821e-06 8.190398e-06
 8959.600000 -3.098271e-05 -4.262410e-07 -2.858509e-07 -3.133887e-07 1.632267e-05 -4.121532e-04 -1.196169e-05 7.274178e-06
