# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.397004269375
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.001343
# Detector.I1.voltage: -1650.000732
# Detector.I2.voltage: -1650.001221
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 371122
# Scan.uid: 6f908750-0401-40d9-a29d-ee3da2a5ff04
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/23/2023  06:58:15.528348
# Scan.end_time: 06/23/2023  06:58:49.971286
# Scan.name: Cu2O+Ga2O3-2nd H2-ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-2nd
# Sample.comment: 
# Sample.position.x: -66.442995014
# Sample.position.y: 31.0989793535
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 164.75674368671687
# SampleHeater.temperature2.readback: 165.3
# SampleHeater.voltage.setpoint: 0.47839058219284547
# SampleHeater.voltage.readback: 0.49
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.012
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.06
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.1871744841337204
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.1139322891831398
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.01220703125
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.09765625
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.10986328125
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0406901054084301
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.457584e-05 -4.248204e-07 -2.814075e-07 -3.145178e-07 4.253712e-05 -2.236370e-04 -1.938351e-05 -1.377542e-06
 8784.000000 -3.470018e-05 -4.242813e-07 -2.812312e-07 -3.163004e-07 4.108406e-05 -2.232600e-04 -1.092146e-05 3.015729e-06
 8789.000000 -3.470067e-05 -4.231338e-07 -2.805994e-07 -3.173458e-07 3.261674e-05 -1.996063e-04 -5.143222e-06 -2.250994e-06
 8794.000000 -3.447040e-05 -4.220451e-07 -2.800803e-07 -3.159625e-07 3.109457e-05 -2.081129e-04 -1.381830e-05 -6.217470e-06
 8799.000000 -3.406631e-05 -4.189834e-07 -2.782053e-07 -3.130952e-07 2.496038e-05 -2.283346e-04 -1.535649e-05 -5.915474e-06
 8804.000000 -3.438471e-05 -4.234466e-07 -2.815594e-07 -3.165475e-07 3.173715e-05 -2.205841e-04 -7.308292e-06 -8.719301e-06
 8809.000000 -3.426288e-05 -4.246040e-07 -2.823044e-07 -3.158072e-07 3.433008e-05 -2.230532e-04 -1.813394e-05 -1.858067e-05
 8814.000000 -3.405464e-05 -4.236085e-07 -2.818652e-07 -3.141426e-07 3.755538e-05 -2.170343e-04 -1.930602e-05 -2.141554e-05
 8819.000000 -3.416461e-05 -4.245724e-07 -2.826338e-07 -3.154638e-07 3.825374e-05 -2.187187e-04 -1.396594e-05 -1.000512e-05
 8824.000000 -3.409336e-05 -4.250653e-07 -2.834058e-07 -3.155855e-07 3.455509e-05 -2.249079e-04 -1.520367e-05 -6.201621e-07
 8829.000000 -3.401192e-05 -4.259493e-07 -2.842905e-07 -3.158681e-07 3.795201e-05 -1.999435e-04 -1.577740e-05 -3.787364e-06
 8834.000000 -3.395264e-05 -4.268926e-07 -2.851066e-07 -3.165118e-07 4.155781e-05 -2.172635e-04 -9.239006e-06 -3.336024e-06
 8839.000000 -3.380998e-05 -4.269687e-07 -2.853498e-07 -3.164973e-07 4.195776e-05 -2.354529e-04 -1.425076e-05 -3.991251e-06
 8844.000000 -3.373157e-05 -4.273334e-07 -2.854513e-07 -3.172199e-07 2.090901e-05 -2.477553e-04 -1.733301e-05 -1.598258e-07
 8849.000000 -3.363898e-05 -4.277786e-07 -2.860899e-07 -3.172730e-07 2.742600e-05 -2.576203e-04 -2.048101e-05 -7.323745e-06
 8854.000000 -3.352944e-05 -4.275018e-07 -2.859310e-07 -3.172270e-07 2.899475e-05 -2.718435e-04 -1.840412e-05 -1.021440e-05
 8859.000000 -3.344531e-05 -4.279069e-07 -2.865276e-07 -3.173478e-07 3.559696e-05 -2.736841e-04 -2.551160e-05 4.731920e-06
 8864.000000 -3.335039e-05 -4.284972e-07 -2.872406e-07 -3.173961e-07 4.031675e-05 -2.511347e-04 -1.988413e-05 1.520916e-06
 8869.000000 -3.320423e-05 -4.287001e-07 -2.873220e-07 -3.170848e-07 3.381694e-05 -2.566629e-04 -1.141153e-05 -1.224960e-06
 8874.000000 -3.309993e-05 -4.292174e-07 -2.878468e-07 -3.168391e-07 3.303492e-05 -2.400135e-04 -1.273505e-05 7.692493e-06
 8879.000000 -3.298364e-05 -4.289996e-07 -2.876155e-07 -3.166836e-07 3.953198e-05 -2.483100e-04 -1.970154e-06 3.693937e-06
 8884.000000 -3.275727e-05 -4.279659e-07 -2.875892e-07 -3.156129e-07 3.904562e-05 -2.547286e-04 -1.403517e-06 4.332025e-06
 8889.000000 -3.251577e-05 -4.273271e-07 -2.873509e-07 -3.147425e-07 2.733094e-05 -2.708594e-04 -2.547178e-06 4.763601e-07
 8894.000000 -3.265074e-05 -4.306160e-07 -2.899012e-07 -3.162805e-07 2.049149e-05 -2.706479e-04 -1.129993e-05 5.140156e-07
 8899.000000 -3.252699e-05 -4.311935e-07 -2.901695e-07 -3.157250e-07 3.084895e-05 -2.655398e-04 -1.660669e-05 1.069943e-06
 8904.000000 -3.242836e-05 -4.324785e-07 -2.911528e-07 -3.152391e-07 3.634988e-05 -2.575226e-04 -1.488962e-05 4.435081e-06
 8909.000000 -3.231022e-05 -4.332099e-07 -2.916896e-07 -3.145360e-07 3.842542e-05 -2.364010e-04 -1.750063e-05 7.752538e-08
 8914.000000 -3.205508e-05 -4.319750e-07 -2.910382e-07 -3.130235e-07 3.177824e-05 -2.514224e-04 -2.447834e-05 2.021313e-06
 8919.000000 -3.194571e-05 -4.333219e-07 -2.919516e-07 -3.132189e-07 3.558077e-05 -2.597727e-04 -2.597946e-05 -7.524577e-08
 8924.000000 -3.181010e-05 -4.333663e-07 -2.920696e-07 -3.128577e-07 4.276331e-05 -2.581562e-04 -2.863928e-05 -4.681712e-06
 8929.000000 -3.176161e-05 -4.353729e-07 -2.935847e-07 -3.137718e-07 3.807130e-05 -2.408730e-04 -2.804096e-05 -8.576214e-06
 8934.000000 -3.160638e-05 -4.357001e-07 -2.938032e-07 -3.138215e-07 4.091733e-05 -2.531754e-04 -1.672908e-05 -1.580058e-05
 8939.000000 -3.158346e-05 -4.356331e-07 -2.936603e-07 -3.148031e-07 3.794356e-05 -2.579531e-04 -1.890074e-05 -1.605217e-05
 8944.000000 -3.145523e-05 -4.356511e-07 -2.937178e-07 -3.145164e-07 3.032918e-05 -2.541618e-04 -2.910520e-05 -6.960939e-06
 8949.000000 -3.127365e-05 -4.349960e-07 -2.929369e-07 -3.134872e-07 3.119222e-05 -2.576189e-04 -2.990101e-05 -8.159754e-07
 8953.000000 -3.116969e-05 -4.353002e-07 -2.928894e-07 -3.133611e-07 3.428418e-05 -2.588177e-04 -3.318315e-05 6.080897e-06
 8956.000000 -3.112116e-05 -4.353178e-07 -2.927370e-07 -3.137057e-07 2.983846e-05 -2.750204e-04 -3.026752e-05 8.045184e-06
 8958.000000 -3.101657e-05 -4.357122e-07 -2.927317e-07 -3.130733e-07 3.281953e-05 -2.641793e-04 -3.186824e-05 1.230229e-05
 8959.000000 -3.110696e-05 -4.346045e-07 -2.918993e-07 -3.141786e-07 3.017395e-05 -2.403759e-04 -3.073549e-05 2.619163e-05
 8959.200000 -3.110158e-05 -4.342831e-07 -2.917466e-07 -3.143863e-07 2.358013e-05 -2.524910e-04 -3.171146e-05 3.745208e-05
 8959.400000 -3.108454e-05 -4.351203e-07 -2.923178e-07 -3.140579e-07 2.026535e-05 -2.565174e-04 -3.505311e-05 2.392052e-05
