# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.961711469406
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.003052
# Detector.I1.voltage: -1650.003784
# Detector.I2.voltage: -1650.002441
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 371126
# Scan.uid: d274c8ed-4175-4d5b-a447-96e186ee6e11
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/23/2023  07:02:16.522047
# Scan.end_time: 06/23/2023  07:02:51.789603
# Scan.name: Cu2O+Ga2O3-2nd H2-ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-2nd
# Sample.comment: 
# Sample.position.x: -66.442995014
# Sample.position.y: 31.0990175005
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 205.9639449454229
# SampleHeater.temperature2.readback: 205.5
# SampleHeater.voltage.setpoint: 0.559491944838575
# SampleHeater.voltage.readback: 0.562
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.012
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.06
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.1871744841337204
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.1139322891831398
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.01220703125
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.09765625
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.06103515625
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.10986328125
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0406901054084301
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.453499e-05 -4.184184e-07 -2.771533e-07 -3.151822e-07 3.071840e-05 -3.230730e-04 -3.269137e-05 4.896052e-05
 8784.000000 -3.466077e-05 -4.186969e-07 -2.775525e-07 -3.169682e-07 3.871121e-05 -3.291873e-04 -2.511243e-05 4.372719e-05
 8789.000000 -3.465651e-05 -4.183114e-07 -2.772951e-07 -3.178204e-07 3.084586e-05 -3.494260e-04 -1.926474e-05 3.952204e-05
 8794.000000 -3.450135e-05 -4.174188e-07 -2.769878e-07 -3.172510e-07 2.521057e-05 -3.414717e-04 -2.563402e-05 3.240646e-05
 8799.000000 -3.411172e-05 -4.138937e-07 -2.751717e-07 -3.143797e-07 2.438438e-05 -3.475188e-04 -2.016471e-05 3.787650e-05
 8804.000000 -3.435771e-05 -4.187402e-07 -2.783222e-07 -3.172600e-07 2.400519e-05 -3.287047e-04 -1.183076e-05 4.558577e-05
 8809.000000 -3.428339e-05 -4.197643e-07 -2.790310e-07 -3.172954e-07 2.332931e-05 -3.476748e-04 -2.047087e-05 4.271003e-05
 8814.000000 -3.409576e-05 -4.188740e-07 -2.786342e-07 -3.157496e-07 1.399195e-05 -3.460655e-04 -2.394739e-05 3.832935e-05
 8819.000000 -3.401858e-05 -4.210583e-07 -2.805779e-07 -3.155241e-07 1.472303e-05 -3.397807e-04 -2.638338e-05 3.366591e-05
 8824.000000 -3.407396e-05 -4.217040e-07 -2.814665e-07 -3.170827e-07 1.622347e-05 -3.276796e-04 -1.928181e-05 3.494167e-05
 8829.000000 -3.400991e-05 -4.222956e-07 -2.815883e-07 -3.173694e-07 1.797108e-05 -3.276510e-04 -2.780163e-05 3.117759e-05
 8834.000000 -3.389788e-05 -4.220505e-07 -2.816270e-07 -3.174284e-07 2.157448e-05 -3.392344e-04 -2.979670e-05 2.750038e-05
 8839.000000 -3.380178e-05 -4.215512e-07 -2.814862e-07 -3.179968e-07 1.206377e-05 -3.708336e-04 -4.118432e-05 2.353089e-05
 8844.000000 -3.367725e-05 -4.213700e-07 -2.815041e-07 -3.182227e-07 1.940929e-05 -3.718666e-04 -3.169514e-05 2.701278e-05
 8849.000000 -3.346484e-05 -4.217021e-07 -2.821334e-07 -3.173574e-07 2.332078e-05 -3.839555e-04 -1.772271e-05 3.454294e-05
 8854.000000 -3.335648e-05 -4.215425e-07 -2.824212e-07 -3.172339e-07 2.069074e-05 -3.737932e-04 -2.647953e-05 2.985050e-05
 8859.000000 -3.332450e-05 -4.214890e-07 -2.825476e-07 -3.176731e-07 1.656048e-05 -3.569542e-04 -3.362298e-05 2.381181e-05
 8864.000000 -3.320314e-05 -4.213886e-07 -2.824575e-07 -3.176301e-07 1.196901e-05 -3.377821e-04 -2.676197e-05 2.434245e-05
 8869.000000 -3.309793e-05 -4.227083e-07 -2.835712e-07 -3.176862e-07 2.334893e-05 -3.541243e-04 -2.215095e-05 2.725160e-05
 8874.000000 -3.293212e-05 -4.237081e-07 -2.841479e-07 -3.169029e-07 2.729904e-05 -3.737077e-04 -1.647682e-05 3.237674e-05
 8879.000000 -3.272852e-05 -4.239899e-07 -2.846968e-07 -3.158736e-07 2.636687e-05 -3.446070e-04 -2.154150e-05 3.427320e-05
 8884.000000 -3.250287e-05 -4.220053e-07 -2.836603e-07 -3.150498e-07 2.136598e-05 -3.214773e-04 -3.185080e-05 3.492000e-05
 8889.000000 -3.237183e-05 -4.213952e-07 -2.832416e-07 -3.149798e-07 1.519475e-05 -3.508360e-04 -2.731256e-05 3.614200e-05
 8894.000000 -3.249478e-05 -4.255108e-07 -2.862391e-07 -3.164214e-07 2.368791e-05 -3.715843e-04 -2.289150e-05 4.091136e-05
 8899.000000 -3.237646e-05 -4.257502e-07 -2.865937e-07 -3.160587e-07 2.761722e-05 -3.599271e-04 -1.846264e-05 3.547077e-05
 8904.000000 -3.234412e-05 -4.268998e-07 -2.873358e-07 -3.160911e-07 3.449228e-05 -3.266625e-04 -2.157459e-05 3.496647e-05
 8909.000000 -3.220574e-05 -4.270409e-07 -2.874773e-07 -3.150522e-07 5.195318e-05 -3.449876e-04 -2.583747e-05 3.973775e-05
 8914.000000 -3.196984e-05 -4.254641e-07 -2.864852e-07 -3.134962e-07 5.350858e-05 -3.642680e-04 -2.415960e-05 4.441206e-05
 8919.000000 -3.186833e-05 -4.264915e-07 -2.874621e-07 -3.134087e-07 3.947141e-05 -3.494131e-04 -2.631067e-05 5.069325e-05
 8924.000000 -3.168606e-05 -4.265022e-07 -2.874132e-07 -3.129066e-07 4.005631e-05 -3.306651e-04 -2.080818e-05 4.980848e-05
 8929.000000 -3.168963e-05 -4.292607e-07 -2.895561e-07 -3.142432e-07 3.915165e-05 -3.228832e-04 -2.337257e-05 4.942816e-05
 8934.000000 -3.164817e-05 -4.302272e-07 -2.903821e-07 -3.150592e-07 3.575664e-05 -3.349289e-04 -1.333907e-05 4.431491e-05
 8939.000000 -3.151094e-05 -4.305971e-07 -2.903537e-07 -3.149428e-07 3.548815e-05 -3.256286e-04 -6.064762e-06 4.660750e-05
 8944.000000 -3.136785e-05 -4.315331e-07 -2.909530e-07 -3.146954e-07 4.368363e-05 -3.054254e-04 -9.518349e-06 4.827256e-05
 8949.000000 -3.119453e-05 -4.317821e-07 -2.908373e-07 -3.142188e-07 4.686250e-05 -2.741526e-04 -1.264581e-05 6.203864e-05
 8953.000000 -3.112627e-05 -4.318799e-07 -2.907840e-07 -3.143930e-07 3.486572e-05 -2.769181e-04 -2.054818e-05 5.940185e-05
 8956.000000 -3.111622e-05 -4.315115e-07 -2.899883e-07 -3.148897e-07 4.147442e-05 -2.756396e-04 -2.215579e-05 5.557476e-05
 8958.000000 -3.107535e-05 -4.309152e-07 -2.894748e-07 -3.148495e-07 3.623050e-05 -2.700098e-04 -1.463808e-05 4.608180e-05
 8959.000000 -3.099719e-05 -4.308802e-07 -2.892861e-07 -3.142917e-07 3.510498e-05 -2.720425e-04 -2.839826e-06 3.447842e-05
 8959.200000 -3.095449e-05 -4.299970e-07 -2.884197e-07 -3.139592e-07 2.967213e-05 -2.712030e-04 -1.379940e-06 3.099568e-05
 8959.400000 -3.094349e-05 -4.307646e-07 -2.887679e-07 -3.140349e-07 2.968612e-05 -2.663508e-04 -2.939929e-07 3.533961e-05
 8959.600000 -3.098897e-05 -4.298105e-07 -2.880496e-07 -3.142657e-07 2.506846e-05 -2.667401e-04 3.177469e-06 3.611862e-05
