# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.83237141655144
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.999023
# Detector.I1.voltage: -1650.000244
# Detector.I2.voltage: -1650.000977
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 371130
# Scan.uid: 3e7282f4-db36-4054-98f7-0681cc314369
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/23/2023  07:06:19.514409
# Scan.end_time: 06/23/2023  07:06:51.756385
# Scan.name: Cu2O+Ga2O3-2nd H2-ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-2nd
# Sample.comment: 
# Sample.position.x: -66.442995014
# Sample.position.y: 31.099036574
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 247.4663534091518
# SampleHeater.temperature2.readback: 248.10000000000002
# SampleHeater.voltage.setpoint: 0.6164358218056194
# SampleHeater.voltage.readback: 0.629
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.012
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.0
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.1790364533662796
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.1180013045668602
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.1057942733168602
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.01220703125
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0773111954331398
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.09765625
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.10986328125
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.03662109375
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.441200e-05 -4.084516e-07 -2.705886e-07 -3.149689e-07 7.009149e-05 -3.867729e-04 5.800008e-06 3.594969e-05
 8784.000000 -3.446074e-05 -4.096468e-07 -2.715030e-07 -3.160944e-07 7.201257e-05 -3.711404e-04 3.988428e-06 3.261965e-05
 8789.000000 -3.441673e-05 -4.096765e-07 -2.716828e-07 -3.166127e-07 7.018437e-05 -3.671012e-04 -1.882872e-06 2.978218e-05
 8794.000000 -3.425733e-05 -4.088168e-07 -2.711942e-07 -3.160753e-07 6.374155e-05 -3.695487e-04 -3.751621e-06 3.315988e-05
 8799.000000 -3.371357e-05 -4.076405e-07 -2.705966e-07 -3.122375e-07 6.902150e-05 -3.736431e-04 5.895740e-06 4.044142e-05
 8804.000000 -3.387390e-05 -4.136052e-07 -2.747569e-07 -3.143196e-07 7.252918e-05 -3.733671e-04 4.281581e-06 4.361919e-05
 8809.000000 -3.391143e-05 -4.118601e-07 -2.739947e-07 -3.153411e-07 7.689944e-05 -3.749663e-04 2.297987e-06 3.561430e-05
 8814.000000 -3.389589e-05 -4.089386e-07 -2.721260e-07 -3.153906e-07 7.057424e-05 -3.694036e-04 8.510602e-06 3.641646e-05
 8819.000000 -3.390698e-05 -4.102469e-07 -2.733207e-07 -3.159643e-07 7.052521e-05 -3.807830e-04 5.917964e-06 3.077551e-05
 8824.000000 -3.389424e-05 -4.109855e-07 -2.737965e-07 -3.167044e-07 7.186959e-05 -3.597992e-04 3.828645e-07 3.395728e-05
 8829.000000 -3.384739e-05 -4.112136e-07 -2.741984e-07 -3.170407e-07 7.550647e-05 -3.554441e-04 -5.936366e-06 3.138763e-05
 8834.000000 -3.370577e-05 -4.116641e-07 -2.747855e-07 -3.169102e-07 7.615995e-05 -3.800604e-04 -9.558276e-08 2.153591e-05
 8839.000000 -3.357117e-05 -4.127985e-07 -2.758705e-07 -3.165196e-07 7.226768e-05 -3.640409e-04 1.976675e-08 1.685242e-05
 8844.000000 -3.349004e-05 -4.134286e-07 -2.766279e-07 -3.167816e-07 6.901517e-05 -3.452180e-04 -2.272690e-06 3.033619e-05
 8849.000000 -3.339553e-05 -4.137733e-07 -2.767087e-07 -3.172340e-07 6.162225e-05 -3.536833e-04 -7.981103e-07 3.898717e-05
 8854.000000 -3.333275e-05 -4.134056e-07 -2.767381e-07 -3.179592e-07 6.026749e-05 -3.357674e-04 -8.438088e-07 4.445929e-05
 8859.000000 -3.323069e-05 -4.131250e-07 -2.766206e-07 -3.182387e-07 7.077147e-05 -3.590741e-04 -4.658605e-06 4.469780e-05
 8864.000000 -3.311149e-05 -4.139199e-07 -2.774019e-07 -3.180406e-07 7.250101e-05 -3.801789e-04 -7.420434e-07 4.272428e-05
 8869.000000 -3.302800e-05 -4.139907e-07 -2.777770e-07 -3.179697e-07 8.006979e-05 -3.784960e-04 -2.231698e-06 5.403569e-05
 8874.000000 -3.291891e-05 -4.150677e-07 -2.783741e-07 -3.175548e-07 7.565959e-05 -3.592027e-04 3.415484e-06 4.295161e-05
 8879.000000 -3.279522e-05 -4.153973e-07 -2.788615e-07 -3.173535e-07 7.841661e-05 -3.367864e-04 7.847689e-06 4.486759e-05
 8884.000000 -3.257778e-05 -4.137716e-07 -2.775784e-07 -3.165974e-07 7.454882e-05 -3.195062e-04 1.972659e-07 3.739504e-05
 8889.000000 -3.229536e-05 -4.140519e-07 -2.782679e-07 -3.152200e-07 6.315755e-05 -3.314372e-04 7.816921e-07 3.748264e-05
 8894.000000 -3.242884e-05 -4.173392e-07 -2.805525e-07 -3.166477e-07 6.529147e-05 -3.536804e-04 1.183564e-06 2.975441e-05
 8899.000000 -3.234628e-05 -4.177578e-07 -2.813503e-07 -3.162690e-07 7.008059e-05 -3.626227e-04 5.034014e-06 3.513680e-05
 8904.000000 -3.216505e-05 -4.186545e-07 -2.819343e-07 -3.155755e-07 6.762615e-05 -3.666774e-04 2.761973e-06 3.994513e-05
 8909.000000 -3.210023e-05 -4.191340e-07 -2.823775e-07 -3.154418e-07 7.016544e-05 -3.544057e-04 1.931168e-06 4.015562e-05
 8914.000000 -3.186720e-05 -4.178258e-07 -2.814589e-07 -3.142187e-07 6.838554e-05 -3.226966e-04 7.365377e-06 3.505176e-05
 8919.000000 -3.178059e-05 -4.190644e-07 -2.824534e-07 -3.141967e-07 7.346991e-05 -3.172545e-04 -2.574273e-06 3.450101e-05
 8924.000000 -3.162314e-05 -4.188288e-07 -2.823909e-07 -3.135873e-07 6.773419e-05 -3.128046e-04 -5.912718e-07 3.072236e-05
 8929.000000 -3.162450e-05 -4.217831e-07 -2.843213e-07 -3.149058e-07 7.259648e-05 -3.390164e-04 5.846759e-07 3.973425e-05
 8934.000000 -3.153404e-05 -4.226959e-07 -2.848109e-07 -3.150252e-07 6.860253e-05 -3.476517e-04 3.177165e-06 5.161981e-05
 8939.000000 -3.141554e-05 -4.232901e-07 -2.853039e-07 -3.150084e-07 6.650020e-05 -3.515549e-04 3.158363e-06 4.568075e-05
 8944.000000 -3.127819e-05 -4.239409e-07 -2.856277e-07 -3.147895e-07 6.945908e-05 -3.764259e-04 -3.482271e-06 4.324232e-05
 8949.000000 -3.111631e-05 -4.236226e-07 -2.854512e-07 -3.142177e-07 7.813139e-05 -3.718648e-04 -3.925004e-06 3.828661e-05
 8953.000000 -3.101935e-05 -4.245157e-07 -2.857484e-07 -3.143887e-07 7.649329e-05 -3.567196e-04 1.535550e-06 4.518047e-05
 8956.000000 -3.097679e-05 -4.254398e-07 -2.859733e-07 -3.149095e-07 7.443351e-05 -3.378118e-04 -7.013801e-06 4.773322e-05
 8958.000000 -3.086786e-05 -4.258195e-07 -2.859375e-07 -3.143044e-07 6.976847e-05 -3.421719e-04 -1.941683e-05 4.628966e-05
 8959.000000 -3.095162e-05 -4.250915e-07 -2.854180e-07 -3.152095e-07 7.836651e-05 -3.232367e-04 -4.323390e-06 4.262063e-05
 8959.200000 -3.096622e-05 -4.256686e-07 -2.858152e-07 -3.153368e-07 8.581329e-05 -3.179704e-04 1.674086e-06 2.916639e-05
 8959.400000 -3.094651e-05 -4.245850e-07 -2.848370e-07 -3.153776e-07 8.601047e-05 -3.177468e-04 5.830032e-06 3.416461e-05
 8959.600000 -3.092596e-05 -4.245128e-07 -2.849377e-07 -3.154747e-07 7.716120e-05 -3.148942e-04 2.573132e-05 4.535214e-05
