# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.8327574018495
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.00061
# Detector.I1.voltage: -1650.001221
# Detector.I2.voltage: -1650.001831
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 371132
# Scan.uid: 8ba52317-ef12-41d2-a62a-687835c7d255
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/23/2023  07:08:17.516256
# Scan.end_time: 06/23/2023  07:08:51.524419
# Scan.name: Cu2O+Ga2O3-2nd H2-ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-2nd
# Sample.comment: 
# Sample.position.x: -66.442995014
# Sample.position.y: 31.09896028
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 180.9706390698751
# SampleHeater.temperature2.readback: 181.10000000000002
# SampleHeater.voltage.setpoint: 0.45319922762575254
# SampleHeater.voltage.readback: 0.457
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.012
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.23
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.1790364533662796
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.1180013045668602
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.1057942733168602
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.01220703125
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.09765625
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.10986328125
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0406901054084301
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.437918e-05 -4.151951e-07 -2.749649e-07 -3.133978e-07 4.065644e-05 -2.338466e-04 -2.718048e-05 6.347862e-05
 8784.000000 -3.440224e-05 -4.151339e-07 -2.749782e-07 -3.146247e-07 4.597667e-05 -2.468901e-04 -2.074304e-05 6.709554e-05
 8789.000000 -3.435209e-05 -4.139308e-07 -2.745390e-07 -3.153762e-07 4.416337e-05 -2.462522e-04 -1.239157e-05 6.461157e-05
 8794.000000 -3.416424e-05 -4.139148e-07 -2.746246e-07 -3.141085e-07 3.813442e-05 -2.450904e-04 -1.459316e-05 6.279659e-05
 8799.000000 -3.377804e-05 -4.111125e-07 -2.730203e-07 -3.106804e-07 3.201451e-05 -2.612654e-04 -2.881991e-05 5.476344e-05
 8804.000000 -3.409635e-05 -4.157118e-07 -2.761626e-07 -3.139096e-07 5.117143e-05 -2.437570e-04 -2.601512e-05 6.299895e-05
 8809.000000 -3.406512e-05 -4.166208e-07 -2.770541e-07 -3.141664e-07 5.575365e-05 -2.263328e-04 -2.265732e-05 5.094404e-05
 8814.000000 -3.385412e-05 -4.157387e-07 -2.765177e-07 -3.129743e-07 4.566282e-05 -2.232641e-04 -2.150859e-05 5.101238e-05
 8819.000000 -3.377990e-05 -4.192030e-07 -2.791799e-07 -3.129060e-07 4.486223e-05 -2.152595e-04 -2.119571e-05 5.632519e-05
 8824.000000 -3.362167e-05 -4.214570e-07 -2.809136e-07 -3.123441e-07 5.043954e-05 -2.341219e-04 -1.880871e-05 5.271349e-05
 8829.000000 -3.370028e-05 -4.185973e-07 -2.793430e-07 -3.140213e-07 5.437704e-05 -2.283733e-04 -2.481585e-05 4.475348e-05
 8834.000000 -3.357222e-05 -4.189188e-07 -2.795690e-07 -3.139702e-07 4.960953e-05 -2.229428e-04 -8.352026e-06 4.584763e-05
 8839.000000 -3.348377e-05 -4.190237e-07 -2.797072e-07 -3.140941e-07 4.030146e-05 -2.192012e-04 -2.776757e-06 4.997834e-05
 8844.000000 -3.342332e-05 -4.188685e-07 -2.799467e-07 -3.145539e-07 3.521682e-05 -2.435345e-04 -5.837841e-06 5.688049e-05
 8849.000000 -3.333261e-05 -4.189336e-07 -2.801410e-07 -3.148254e-07 2.983034e-05 -2.264216e-04 -8.772464e-06 5.534711e-05
 8854.000000 -3.322734e-05 -4.189277e-07 -2.802474e-07 -3.149182e-07 2.894769e-05 -2.205336e-04 -2.713602e-05 5.179832e-05
 8859.000000 -3.309287e-05 -4.197211e-07 -2.811904e-07 -3.148266e-07 3.276995e-05 -2.414734e-04 -1.871383e-05 6.157824e-05
 8864.000000 -3.304646e-05 -4.203137e-07 -2.816085e-07 -3.154715e-07 3.361105e-05 -2.487984e-04 -1.720414e-05 5.689108e-05
 8869.000000 -3.294370e-05 -4.208977e-07 -2.823611e-07 -3.155362e-07 4.891188e-05 -2.253372e-04 -2.116836e-05 5.381489e-05
 8874.000000 -3.281013e-05 -4.218169e-07 -2.828795e-07 -3.152825e-07 5.082717e-05 -2.297965e-04 -2.393815e-05 5.366039e-05
 8879.000000 -3.266583e-05 -4.222966e-07 -2.835709e-07 -3.150138e-07 4.758950e-05 -2.277146e-04 -2.186536e-05 5.557888e-05
 8884.000000 -3.248234e-05 -4.200600e-07 -2.820920e-07 -3.142071e-07 6.056981e-05 -2.376320e-04 -8.904804e-06 5.502322e-05
 8889.000000 -3.226398e-05 -4.197764e-07 -2.822753e-07 -3.132164e-07 6.167696e-05 -2.437180e-04 -1.223587e-05 5.009694e-05
 8894.000000 -3.234527e-05 -4.241384e-07 -2.853334e-07 -3.143367e-07 5.711072e-05 -2.599409e-04 -2.340382e-05 5.144796e-05
 8899.000000 -3.219460e-05 -4.250417e-07 -2.859414e-07 -3.134721e-07 5.622813e-05 -2.621294e-04 -2.619190e-05 4.094871e-05
 8904.000000 -3.212397e-05 -4.249208e-07 -2.859825e-07 -3.134257e-07 4.860017e-05 -2.605302e-04 -1.560344e-05 4.514437e-05
 8909.000000 -3.197305e-05 -4.261082e-07 -2.869266e-07 -3.124822e-07 4.636828e-05 -2.389252e-04 -1.386364e-05 4.720533e-05
 8914.000000 -3.175091e-05 -4.247197e-07 -2.860783e-07 -3.110322e-07 4.201320e-05 -2.342423e-04 -2.286206e-05 5.288855e-05
 8919.000000 -3.159162e-05 -4.269608e-07 -2.877587e-07 -3.106013e-07 3.271026e-05 -2.630207e-04 -2.339151e-05 4.821933e-05
 8924.000000 -3.145486e-05 -4.265201e-07 -2.873719e-07 -3.105272e-07 2.632583e-05 -2.813004e-04 -2.298651e-05 4.622174e-05
 8929.000000 -3.149312e-05 -4.293058e-07 -2.894022e-07 -3.122466e-07 2.700526e-05 -2.944830e-04 -2.772569e-05 5.360472e-05
 8934.000000 -3.150329e-05 -4.291841e-07 -2.896707e-07 -3.131222e-07 2.547857e-05 -3.016639e-04 -3.072813e-05 4.655341e-05
 8939.000000 -3.136101e-05 -4.301282e-07 -2.901094e-07 -3.130366e-07 3.958948e-05 -2.937803e-04 -3.518530e-05 5.177818e-05
 8944.000000 -3.111385e-05 -4.320892e-07 -2.913438e-07 -3.118487e-07 4.706318e-05 -2.916617e-04 -2.490857e-05 4.902087e-05
 8949.000000 -3.103187e-05 -4.311083e-07 -2.903045e-07 -3.119563e-07 5.632489e-05 -2.855514e-04 -2.057468e-05 5.508755e-05
 8953.000000 -3.103034e-05 -4.300214e-07 -2.893406e-07 -3.131364e-07 5.607518e-05 -2.961407e-04 -1.641859e-05 5.633785e-05
 8956.000000 -3.097242e-05 -4.299144e-07 -2.888224e-07 -3.132652e-07 5.991066e-05 -2.851434e-04 -1.203894e-05 5.225657e-05
 8958.000000 -3.095624e-05 -4.293274e-07 -2.882485e-07 -3.134551e-07 4.448908e-05 -2.516102e-04 -3.581025e-06 4.896337e-05
 8959.000000 -3.091680e-05 -4.296158e-07 -2.884983e-07 -3.132335e-07 4.230962e-05 -2.252027e-04 -3.553099e-06 5.607682e-05
 8959.200000 -3.088368e-05 -4.295654e-07 -2.884142e-07 -3.129836e-07 5.226585e-05 -2.228345e-04 -5.549570e-06 5.416287e-05
 8959.400000 -3.086430e-05 -4.306969e-07 -2.892796e-07 -3.131066e-07 5.108396e-05 -2.257842e-04 -7.286772e-06 5.152871e-05
 8959.600000 -3.087142e-05 -4.296530e-07 -2.885134e-07 -3.131511e-07 3.614361e-05 -2.509457e-04 -1.142831e-05 4.433923e-05
