# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.91813245650076
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -349.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.002563
# Detector.I1.voltage: -1650.002441
# Detector.I2.voltage: -1650.000732
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 371123
# Scan.uid: 75bdccc9-8a29-48b3-8dd5-8d23da564d1c
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  06:59:16.963635
# Scan.end_time: 06/23/2023  06:59:51.873007
# Scan.name: Cu2O+Ga2O3-2nd H2-ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-2nd
# Sample.comment: 
# Sample.position.x: -66.442995014
# Sample.position.y: 31.0990556475
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 174.86753352096687
# SampleHeater.temperature2.readback: 175.3
# SampleHeater.voltage.setpoint: 0.5096969481401915
# SampleHeater.voltage.readback: 0.527
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.012
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.05
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.1871744841337204
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.1139322891831398
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.09765625
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.10986328125
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.03662109375
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.959494e-05 -8.009975e-07 -2.468958e-07 -9.320516e-07 5.477749e-05 -8.247717e-06 -5.107165e-05 5.708843e-05
10172.000000 -2.944259e-05 -7.973164e-07 -2.447919e-07 -9.288895e-07 3.988945e-05 -1.743383e-05 -4.710510e-05 5.049202e-05
10177.000000 -2.944335e-05 -7.965483e-07 -2.421948e-07 -9.314644e-07 4.270627e-05 -2.439113e-05 -4.984606e-05 4.835226e-05
10182.000000 -2.935046e-05 -7.986263e-07 -2.386651e-07 -9.310760e-07 3.851002e-05 -3.610046e-05 -4.302966e-05 4.837061e-05
10187.000000 -2.931260e-05 -8.009992e-07 -2.309744e-07 -9.326296e-07 3.747730e-05 -2.683074e-05 -5.122408e-05 4.863265e-05
10192.000000 -2.939279e-05 -8.038894e-07 -2.129064e-07 -9.377746e-07 3.661369e-05 -4.712561e-05 -5.004479e-05 6.045594e-05
10197.000000 -2.940721e-05 -8.037000e-07 -1.589668e-07 -9.412447e-07 4.313202e-05 -5.298310e-05 -4.738963e-05 5.687569e-05
10202.000000 -2.934983e-05 -8.047567e-07 -5.311917e-08 -9.420938e-07 3.937789e-05 -6.254598e-05 -5.069196e-05 4.997179e-05
10207.000000 -2.934106e-05 -8.055866e-07 -2.358961e-08 -9.443938e-07 4.057997e-05 -5.947106e-05 -4.118392e-05 3.931941e-05
10212.000000 -2.931496e-05 -8.083490e-07 -4.677781e-08 -9.460422e-07 2.976639e-05 -5.794895e-05 -3.451249e-05 4.021407e-05
10217.000000 -2.930074e-05 -8.090663e-07 -5.960429e-08 -9.484822e-07 3.047331e-05 -5.981974e-05 -3.679126e-05 4.967684e-05
10222.000000 -2.926895e-05 -8.112184e-07 -6.972583e-08 -9.494604e-07 4.623383e-05 -3.880461e-05 -3.821491e-05 4.313001e-05
10227.000000 -2.920781e-05 -8.132340e-07 -7.624829e-08 -9.498307e-07 4.056168e-05 -4.065595e-05 -4.574412e-05 4.464555e-05
10232.000000 -2.912468e-05 -8.141678e-07 -7.916622e-08 -9.497033e-07 4.303615e-05 -1.748025e-05 -3.184974e-05 4.859814e-05
10237.000000 -2.914557e-05 -8.160128e-07 -8.121738e-08 -9.538369e-07 4.587993e-05 -1.287347e-05 -2.950757e-05 5.604755e-05
10242.000000 -2.908454e-05 -8.191425e-07 -8.271756e-08 -9.540856e-07 3.547637e-05 -3.585637e-05 -3.159111e-05 6.292528e-05
10247.000000 -2.900653e-05 -8.214538e-07 -8.636187e-08 -9.540403e-07 4.143515e-05 -2.220744e-05 -2.946774e-05 5.572101e-05
10252.000000 -2.901305e-05 -8.231271e-07 -8.558921e-08 -9.575034e-07 3.994506e-05 -5.708351e-06 -4.066129e-05 5.506328e-05
10257.000000 -2.887015e-05 -8.292378e-07 -8.300871e-08 -9.546727e-07 3.740046e-05 -9.735829e-06 -3.855445e-05 6.412264e-05
10262.000000 -2.876307e-05 -8.314306e-07 -8.256875e-08 -9.539419e-07 3.580586e-05 -1.945309e-05 -3.708308e-05 6.320050e-05
10267.000000 -2.895044e-05 -8.323656e-07 -8.406926e-08 -9.650259e-07 4.558917e-05 -4.903341e-07 -3.563814e-05 7.455275e-05
10272.000000 -2.895563e-05 -8.360949e-07 -8.487494e-08 -9.673700e-07 5.129185e-05 8.095046e-06 -3.820164e-05 6.931781e-05
10277.000000 -2.887665e-05 -8.390526e-07 -8.449942e-08 -9.669271e-07 4.653727e-05 5.841533e-06 -4.426852e-05 6.642565e-05
10282.000000 -2.874220e-05 -8.394206e-07 -8.344784e-08 -9.656399e-07 4.412474e-05 1.057272e-05 -4.542322e-05 6.857450e-05
10287.000000 -2.867564e-05 -8.468942e-07 -8.484208e-08 -9.643845e-07 5.336080e-05 -1.096964e-06 -4.074305e-05 7.643978e-05
10292.000000 -2.865751e-05 -8.496140e-07 -8.713083e-08 -9.658671e-07 4.447522e-05 -4.933024e-06 -4.480878e-05 6.987638e-05
10297.000000 -2.867428e-05 -8.514607e-07 -8.862368e-08 -9.695690e-07 2.945646e-05 2.644628e-05 -5.036769e-05 6.725742e-05
10302.000000 -2.872876e-05 -8.549794e-07 -8.835640e-08 -9.751257e-07 3.344410e-05 3.911437e-05 -4.907401e-05 7.446975e-05
10307.000000 -2.866588e-05 -8.573435e-07 -8.857931e-08 -9.761446e-07 3.059466e-05 2.014461e-05 -5.191000e-05 6.434761e-05
10312.000000 -2.865150e-05 -8.594286e-07 -8.881797e-08 -9.789269e-07 2.590771e-05 -1.488832e-05 -4.882387e-05 6.548267e-05
10317.000000 -2.861957e-05 -8.622715e-07 -8.864348e-08 -9.811116e-07 2.187630e-05 -2.546443e-05 -4.569685e-05 6.765003e-05
10322.000000 -2.860059e-05 -8.662990e-07 -8.804285e-08 -9.840306e-07 3.190647e-05 -1.811916e-05 -4.344690e-05 6.152010e-05
10327.000000 -2.856241e-05 -8.688564e-07 -8.726923e-08 -9.872596e-07 2.756359e-05 -3.550639e-05 -4.406802e-05 5.959710e-05
10332.000000 -2.839101e-05 -8.714113e-07 -8.682577e-08 -9.863470e-07 2.446439e-05 -5.410582e-05 -4.445465e-05 6.856978e-05
10337.000000 -2.843505e-05 -8.775176e-07 -8.739119e-08 -9.924375e-07 3.171884e-05 -6.456056e-05 -4.230172e-05 7.134794e-05
10341.000000 -2.850126e-05 -8.768125e-07 -8.768571e-08 -1.000160e-06 2.992782e-05 -5.688041e-05 -5.778206e-05 6.647943e-05
10344.000000 -2.841903e-05 -8.782236e-07 -8.871366e-08 -1.000626e-06 2.980858e-05 -4.159054e-05 -5.343528e-05 6.580884e-05
10346.000000 -2.843155e-05 -8.769540e-07 -8.953352e-08 -1.005168e-06 3.078626e-05 -7.221925e-05 -5.864204e-05 5.349768e-05
10347.000000 -2.843467e-05 -8.771864e-07 -8.987238e-08 -1.007197e-06 3.631608e-05 -7.779509e-05 -5.964966e-05 5.250998e-05
10347.200000 -2.842955e-05 -8.792405e-07 -9.001197e-08 -1.007046e-06 3.241273e-05 -5.127769e-05 -5.924024e-05 5.788061e-05
10347.400000 -2.845672e-05 -8.784832e-07 -8.999835e-08 -1.008458e-06 3.235091e-05 -6.650162e-05 -4.972210e-05 6.217405e-05
10347.600000 -2.845940e-05 -8.791843e-07 -9.045495e-08 -1.009062e-06 3.436722e-05 -9.446383e-05 -5.316182e-05 6.093934e-05
10347.800000 -2.845079e-05 -8.771904e-07 -9.074052e-08 -1.009357e-06 5.279892e-05 -7.697816e-05 -7.182958e-05 5.436520e-05
10348.000000 -2.844638e-05 -8.762019e-07 -9.078939e-08 -1.010020e-06 5.556768e-05 -6.675565e-05 -7.404233e-05 5.453426e-05
10348.200000 -2.846077e-05 -8.786362e-07 -9.100076e-08 -1.010841e-06 5.077633e-05 -6.130722e-05 -6.599607e-05 6.337739e-05
10348.400000 -2.841382e-05 -8.774130e-07 -9.070552e-08 -1.008868e-06 6.446441e-05 -7.516246e-05 -6.588256e-05 6.335942e-05
