# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.5134962849379
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -349.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.994263
# Detector.I1.voltage: -1650.001221
# Detector.I2.voltage: -1650.0
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 371127
# Scan.uid: e68e9557-9d95-49e9-9c6d-f740ab6b9f04
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  07:03:18.534833
# Scan.end_time: 06/23/2023  07:03:54.328608
# Scan.name: Cu2O+Ga2O3-2nd H2-ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-2nd
# Sample.comment: 
# Sample.position.x: -66.442995014
# Sample.position.y: 31.0989793535
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 216.1674938060457
# SampleHeater.temperature2.readback: 219.4
# SampleHeater.voltage.setpoint: 0.4670067638163487
# SampleHeater.voltage.readback: 0.459
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.016
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 9.93
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.1871744841337204
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.1180013045668602
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.1057942733168602
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.01220703125
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.10986328125
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.03662109375
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.973375e-05 -7.969634e-07 -2.472900e-07 -9.399921e-07 5.229516e-05 -2.877517e-04 -7.570448e-06 -2.075287e-05
10172.000000 -2.960489e-05 -7.928835e-07 -2.446925e-07 -9.376103e-07 4.939020e-05 -2.789347e-04 -6.925084e-06 -2.531620e-05
10177.000000 -2.949934e-05 -7.937883e-07 -2.426393e-07 -9.355541e-07 4.822119e-05 -2.763131e-04 1.372308e-06 -3.200592e-05
10182.000000 -2.936387e-05 -7.952173e-07 -2.391179e-07 -9.330103e-07 5.870039e-05 -2.584439e-04 -6.435356e-06 -2.667007e-05
10187.000000 -2.939924e-05 -7.943526e-07 -2.306927e-07 -9.372767e-07 5.708778e-05 -2.420983e-04 -9.618770e-06 -2.504490e-05
10192.000000 -2.929869e-05 -8.032022e-07 -2.140739e-07 -9.352505e-07 4.755438e-05 -2.456886e-04 -1.113588e-05 -2.129706e-05
10197.000000 -2.946081e-05 -7.997410e-07 -1.592812e-07 -9.441426e-07 4.814837e-05 -2.593974e-04 -4.982234e-06 -1.697523e-05
10202.000000 -2.943840e-05 -8.017902e-07 -5.356401e-08 -9.462883e-07 3.852709e-05 -2.463967e-04 -4.054074e-06 -1.506956e-05
10207.000000 -2.944974e-05 -8.022311e-07 -2.416029e-08 -9.499777e-07 4.463330e-05 -2.658140e-04 -1.265416e-05 -2.147001e-05
10212.000000 -2.943101e-05 -8.047991e-07 -4.736161e-08 -9.521431e-07 4.862711e-05 -2.703951e-04 -1.452983e-05 -9.487907e-06
10217.000000 -2.935953e-05 -8.091563e-07 -6.026598e-08 -9.515490e-07 4.099440e-05 -2.765966e-04 -1.655920e-05 -1.858441e-05
10222.000000 -2.920570e-05 -8.147969e-07 -7.056599e-08 -9.477978e-07 4.676753e-05 -2.780871e-04 -9.633992e-06 -1.287741e-05
10227.000000 -2.924263e-05 -8.126819e-07 -7.712386e-08 -9.520017e-07 3.550119e-05 -2.813266e-04 -6.297298e-06 -2.113930e-05
10232.000000 -2.918897e-05 -8.127892e-07 -7.992244e-08 -9.532512e-07 3.566231e-05 -2.538156e-04 -2.502220e-06 -2.689921e-05
10237.000000 -2.904344e-05 -8.198358e-07 -8.256810e-08 -9.503397e-07 3.590137e-05 -2.441525e-04 -5.795563e-06 -2.645098e-05
10242.000000 -2.913322e-05 -8.186663e-07 -8.361742e-08 -9.570838e-07 4.491148e-05 -2.629126e-04 2.878751e-06 -2.445377e-05
10247.000000 -2.906934e-05 -8.204511e-07 -8.670753e-08 -9.577360e-07 4.986490e-05 -2.516301e-04 3.757137e-06 -2.242105e-05
10252.000000 -2.908470e-05 -8.217555e-07 -8.598664e-08 -9.624075e-07 4.256865e-05 -2.359312e-04 3.635603e-06 -1.659222e-05
10257.000000 -2.908262e-05 -8.236757e-07 -8.314273e-08 -9.657200e-07 4.034345e-05 -2.234203e-04 2.191770e-06 -1.120947e-05
10262.000000 -2.900441e-05 -8.257917e-07 -8.303202e-08 -9.651558e-07 4.495155e-05 -2.177867e-04 5.968283e-06 -8.371488e-06
10267.000000 -2.904154e-05 -8.292893e-07 -8.447568e-08 -9.692153e-07 5.001879e-05 -2.563481e-04 5.914413e-06 -3.292967e-06
10272.000000 -2.897608e-05 -8.332020e-07 -8.558522e-08 -9.694103e-07 4.988806e-05 -2.564767e-04 -8.291570e-07 -1.176293e-05
10277.000000 -2.888679e-05 -8.356201e-07 -8.494629e-08 -9.702509e-07 4.660106e-05 -2.849124e-04 5.202628e-07 -1.195349e-05
10282.000000 -2.864879e-05 -8.371639e-07 -8.393566e-08 -9.642750e-07 4.553079e-05 -2.904464e-04 1.779660e-06 -3.710852e-06
10287.000000 -2.885776e-05 -8.380070e-07 -8.472947e-08 -9.748223e-07 4.787442e-05 -2.827356e-04 1.250307e-06 2.915871e-06
10292.000000 -2.881522e-05 -8.402202e-07 -8.718422e-08 -9.756297e-07 4.917179e-05 -2.728796e-04 -3.527359e-06 -3.990504e-06
10297.000000 -2.866277e-05 -8.464214e-07 -8.902032e-08 -9.717005e-07 3.596463e-05 -2.608858e-04 -1.051516e-05 -3.412017e-06
10302.000000 -2.874921e-05 -8.489515e-07 -8.897753e-08 -9.779975e-07 3.475488e-05 -2.911427e-04 -1.341807e-05 3.156906e-07
10307.000000 -2.876315e-05 -8.503278e-07 -8.870589e-08 -9.813836e-07 4.512696e-05 -2.848363e-04 -1.377029e-05 3.954409e-07
10312.000000 -2.873889e-05 -8.527080e-07 -8.883161e-08 -9.838658e-07 5.301700e-05 -2.611804e-04 -1.907088e-05 -1.268546e-05
10317.000000 -2.871718e-05 -8.560632e-07 -8.864271e-08 -9.873490e-07 5.041421e-05 -2.917515e-04 -2.523861e-05 -8.725760e-06
10322.000000 -2.871633e-05 -8.594218e-07 -8.810703e-08 -9.916073e-07 4.780200e-05 -2.910094e-04 -1.541535e-05 -2.982293e-06
10327.000000 -2.867128e-05 -8.625872e-07 -8.745138e-08 -9.944569e-07 4.398387e-05 -3.008648e-04 -3.584242e-06 1.696940e-06
10332.000000 -2.852936e-05 -8.605967e-07 -8.666214e-08 -9.936778e-07 4.786507e-05 -3.056340e-04 -5.722375e-06 -7.631624e-06
10337.000000 -2.857968e-05 -8.612112e-07 -8.655985e-08 -9.996195e-07 4.972097e-05 -2.922897e-04 -1.069765e-05 -8.408889e-06
10341.000000 -2.852439e-05 -8.584148e-07 -8.680571e-08 -1.002263e-06 5.277595e-05 -2.781585e-04 -1.013127e-05 -1.208627e-06
10344.000000 -2.853073e-05 -8.581298e-07 -8.751895e-08 -1.007392e-06 5.339932e-05 -2.613416e-04 -1.237013e-05 -1.998484e-05
10346.000000 -2.850691e-05 -8.596130e-07 -8.860786e-08 -1.010399e-06 5.355453e-05 -2.655866e-04 1.994623e-06 -2.026486e-05
10347.000000 -2.849621e-05 -8.616261e-07 -8.933475e-08 -1.011632e-06 5.455969e-05 -2.569570e-04 -2.229934e-06 -2.223915e-05
10347.200000 -2.849361e-05 -8.638201e-07 -8.976620e-08 -1.011495e-06 6.010674e-05 -2.564592e-04 -9.384955e-06 -3.052523e-05
10347.400000 -2.850593e-05 -8.616049e-07 -8.968554e-08 -1.012518e-06 6.242360e-05 -2.745569e-04 1.637101e-06 -2.116361e-05
10347.600000 -2.846913e-05 -8.597537e-07 -8.951981e-08 -1.011784e-06 5.201419e-05 -2.678191e-04 -1.487810e-05 -2.133801e-05
