# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.3370797214571
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -349.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.00061
# Detector.I1.voltage: -1650.000732
# Detector.I2.voltage: -1650.00061
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 371131
# Scan.uid: a0df46dc-aa50-4020-b314-ef436dc0a64d
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  07:07:18.008454
# Scan.end_time: 06/23/2023  07:07:52.879196
# Scan.name: Cu2O+Ga2O3-2nd H2-ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-2nd
# Sample.comment: 
# Sample.position.x: -66.442995014
# Sample.position.y: 31.099036574
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 221.91498883565268
# SampleHeater.temperature2.readback: 226.60000000000002
# SampleHeater.voltage.setpoint: 0.40749307475543534
# SampleHeater.voltage.readback: 0.41100000000000003
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.012
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.11
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.1790364533662796
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.1180013045668602
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.10986328125
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.01220703125
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.09765625
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.10986328125
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.03662109375
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.964697e-05 -7.902155e-07 -2.444588e-07 -9.347912e-07 4.786952e-05 -3.755577e-04 -1.200332e-06 5.548712e-05
10172.000000 -2.955148e-05 -7.861686e-07 -2.422907e-07 -9.338755e-07 5.353336e-05 -3.781244e-04 -3.289403e-06 5.631058e-05
10177.000000 -2.946876e-05 -7.863003e-07 -2.397309e-07 -9.327798e-07 5.452419e-05 -3.651013e-04 -6.117075e-06 6.541876e-05
10182.000000 -2.940601e-05 -7.869923e-07 -2.357600e-07 -9.335301e-07 5.521014e-05 -3.904808e-04 -7.550398e-06 6.192568e-05
10187.000000 -2.940573e-05 -7.876774e-07 -2.281305e-07 -9.373682e-07 4.843972e-05 -3.945131e-04 -1.953752e-05 5.218902e-05
10192.000000 -2.944196e-05 -7.920035e-07 -2.104311e-07 -9.412657e-07 4.222851e-05 -3.710529e-04 -1.946150e-05 6.092952e-05
10197.000000 -2.935722e-05 -7.958621e-07 -1.576878e-07 -9.403334e-07 4.040793e-05 -3.707051e-04 -9.747001e-06 5.837320e-05
10202.000000 -2.939013e-05 -7.948439e-07 -5.225150e-08 -9.445264e-07 3.560379e-05 -3.573296e-04 2.189504e-06 5.934142e-05
10207.000000 -2.931782e-05 -7.988569e-07 -2.330991e-08 -9.445100e-07 4.114399e-05 -3.607964e-04 -3.723949e-06 4.849638e-05
10212.000000 -2.933206e-05 -7.989720e-07 -4.672314e-08 -9.480846e-07 4.515307e-05 -3.625084e-04 -5.539447e-06 5.475284e-05
10217.000000 -2.927394e-05 -8.023686e-07 -5.981937e-08 -9.486353e-07 4.725271e-05 -3.710386e-04 -1.142622e-05 5.312458e-05
10222.000000 -2.928004e-05 -8.015723e-07 -6.948186e-08 -9.517030e-07 5.122187e-05 -3.523216e-04 -8.980919e-06 5.725584e-05
10227.000000 -2.921490e-05 -8.044496e-07 -7.595432e-08 -9.513535e-07 4.214556e-05 -3.061255e-04 -1.307683e-05 5.658398e-05
10232.000000 -2.917682e-05 -8.043453e-07 -7.870147e-08 -9.528868e-07 4.815501e-05 -2.896994e-04 -1.563407e-05 5.721185e-05
10237.000000 -2.917704e-05 -8.074834e-07 -8.055829e-08 -9.559066e-07 5.325095e-05 -2.861548e-04 -1.228541e-05 6.399896e-05
10242.000000 -2.908854e-05 -8.114086e-07 -8.246711e-08 -9.557724e-07 5.687809e-05 -2.959734e-04 -1.971374e-05 6.368384e-05
10247.000000 -2.898978e-05 -8.133142e-07 -8.597113e-08 -9.547494e-07 5.962281e-05 -3.448192e-04 -9.035079e-06 6.634533e-05
10252.000000 -2.898924e-05 -8.150057e-07 -8.532054e-08 -9.565671e-07 5.946537e-05 -3.370046e-04 -5.776334e-06 6.180453e-05
10257.000000 -2.888266e-05 -8.190840e-07 -8.240522e-08 -9.549395e-07 5.678452e-05 -3.404694e-04 -1.315683e-05 6.440961e-05
10262.000000 -2.884933e-05 -8.190339e-07 -8.200553e-08 -9.566160e-07 6.001946e-05 -3.382184e-04 -1.202100e-05 6.371610e-05
10267.000000 -2.893000e-05 -8.232709e-07 -8.365553e-08 -9.624842e-07 6.117272e-05 -3.397387e-04 -1.405034e-05 7.126940e-05
10272.000000 -2.891348e-05 -8.257312e-07 -8.432182e-08 -9.647085e-07 6.135602e-05 -3.429838e-04 -9.209258e-06 6.513297e-05
10277.000000 -2.885418e-05 -8.276944e-07 -8.411357e-08 -9.655116e-07 5.616997e-05 -3.577522e-04 -3.561284e-06 6.571019e-05
10282.000000 -2.876413e-05 -8.251432e-07 -8.247706e-08 -9.661703e-07 5.859289e-05 -3.657660e-04 -4.579789e-06 6.127712e-05
10287.000000 -2.880397e-05 -8.300913e-07 -8.351988e-08 -9.700039e-07 5.422042e-05 -3.399426e-04 -8.681954e-06 6.078418e-05
10292.000000 -2.866734e-05 -8.342321e-07 -8.621107e-08 -9.669282e-07 5.476948e-05 -3.180812e-04 -7.782814e-06 6.004714e-05
10297.000000 -2.869790e-05 -8.339110e-07 -8.703220e-08 -9.715212e-07 5.932509e-05 -3.353454e-04 -1.299357e-05 5.793125e-05
10302.000000 -2.868470e-05 -8.374129e-07 -8.703705e-08 -9.740335e-07 6.017528e-05 -3.377825e-04 3.053371e-06 6.373797e-05
10307.000000 -2.868118e-05 -8.381067e-07 -8.689271e-08 -9.778222e-07 6.138292e-05 -3.252026e-04 3.769591e-06 6.809837e-05
10312.000000 -2.865189e-05 -8.410917e-07 -8.741560e-08 -9.799890e-07 6.523865e-05 -3.319228e-04 8.149587e-06 7.098337e-05
10317.000000 -2.863403e-05 -8.440667e-07 -8.720382e-08 -9.835095e-07 5.939363e-05 -3.409404e-04 4.384023e-06 8.489152e-05
10322.000000 -2.859401e-05 -8.481719e-07 -8.670638e-08 -9.859239e-07 4.634415e-05 -3.488161e-04 3.306167e-06 7.736817e-05
10327.000000 -2.850143e-05 -8.518915e-07 -8.621963e-08 -9.865707e-07 4.748181e-05 -3.498806e-04 -4.241147e-07 6.715478e-05
10332.000000 -2.843820e-05 -8.523864e-07 -8.560082e-08 -9.895217e-07 5.532463e-05 -3.449394e-04 9.624821e-07 6.211861e-05
10337.000000 -2.857973e-05 -8.590745e-07 -8.604960e-08 -1.000100e-06 5.430655e-05 -3.644944e-04 -1.851225e-06 5.916447e-05
10341.000000 -2.852800e-05 -8.586542e-07 -8.643644e-08 -1.004407e-06 5.726349e-05 -3.772753e-04 -2.526136e-06 5.986248e-05
10344.000000 -2.846440e-05 -8.569759e-07 -8.708870e-08 -1.006905e-06 5.841572e-05 -3.887473e-04 9.120399e-06 4.956307e-05
10346.000000 -2.843881e-05 -8.564717e-07 -8.809924e-08 -1.009034e-06 6.256506e-05 -3.894056e-04 1.065298e-05 4.821639e-05
10347.000000 -2.844395e-05 -8.565807e-07 -8.864936e-08 -1.010760e-06 6.390667e-05 -3.639137e-04 1.266800e-05 4.386480e-05
10347.200000 -2.847375e-05 -8.570204e-07 -8.878913e-08 -1.012496e-06 6.324452e-05 -3.725814e-04 8.260842e-06 4.264003e-05
10347.400000 -2.846888e-05 -8.556621e-07 -8.855908e-08 -1.012531e-06 6.556307e-05 -3.250199e-04 1.620167e-05 4.602382e-05
10347.600000 -2.845734e-05 -8.560219e-07 -8.838560e-08 -1.012521e-06 6.019149e-05 -3.306234e-04 1.270269e-05 5.548507e-05
