# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.4418785101241
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -349.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.999512
# Detector.I1.voltage: -1650.002319
# Detector.I2.voltage: -1650.002686
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 371133
# Scan.uid: 4b337cb6-daa4-4da2-8cf0-4d77d4f0c606
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  07:09:17.527702
# Scan.end_time: 06/23/2023  07:09:53.320236
# Scan.name: Cu2O+Ga2O3-2nd H2-ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-2nd
# Sample.comment: 
# Sample.position.x: -66.442995014
# Sample.position.y: 31.09896028
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 142.3614851633708
# SampleHeater.temperature2.readback: 140.6
# SampleHeater.voltage.setpoint: 0.4083588835641867
# SampleHeater.voltage.readback: 0.40700000000000003
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.012
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.25
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.1790364533662796
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.1220703125
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.10986328125
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.01220703125
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.03662109375
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0773111954331398
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.10986328125
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0406901054084301
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.968115e-05 -8.050519e-07 -2.492460e-07 -9.319817e-07 5.033153e-05 -2.234621e-04 -1.293196e-05 5.508198e-05
10172.000000 -2.958189e-05 -8.010122e-07 -2.468190e-07 -9.313481e-07 4.520454e-05 -2.029831e-04 -9.372454e-06 4.983751e-05
10177.000000 -2.950191e-05 -8.016956e-07 -2.447278e-07 -9.309086e-07 4.893970e-05 -2.185700e-04 -1.351861e-05 6.139992e-05
10182.000000 -2.944902e-05 -8.005052e-07 -2.399063e-07 -9.322942e-07 4.898568e-05 -1.986901e-04 -1.056960e-05 7.137943e-05
10187.000000 -2.943820e-05 -7.999565e-07 -2.317786e-07 -9.349210e-07 6.187448e-05 -2.007336e-04 -8.653155e-06 6.271782e-05
10192.000000 -2.948245e-05 -8.030430e-07 -2.140984e-07 -9.395552e-07 5.830326e-05 -2.323676e-04 -6.941033e-06 5.609128e-05
10197.000000 -2.944360e-05 -8.067034e-07 -1.605943e-07 -9.414320e-07 5.076753e-05 -2.134823e-04 -7.637496e-06 5.654292e-05
10202.000000 -2.938294e-05 -8.103303e-07 -5.403987e-08 -9.415680e-07 4.609770e-05 -1.950374e-04 -8.405450e-06 6.263953e-05
10207.000000 -2.938263e-05 -8.105849e-07 -2.355027e-08 -9.438308e-07 3.949714e-05 -2.148998e-04 -1.612137e-05 6.393482e-05
10212.000000 -2.938074e-05 -8.134684e-07 -4.740293e-08 -9.466165e-07 4.578421e-05 -2.239928e-04 -1.962692e-05 4.888202e-05
10217.000000 -2.933823e-05 -8.156092e-07 -6.080095e-08 -9.473887e-07 4.993258e-05 -2.321964e-04 -1.482911e-05 6.131009e-05
10222.000000 -2.931704e-05 -8.166679e-07 -7.093611e-08 -9.492533e-07 4.742462e-05 -2.379032e-04 -8.417243e-06 7.420762e-05
10227.000000 -2.927923e-05 -8.174803e-07 -7.740044e-08 -9.503502e-07 4.189760e-05 -2.269883e-04 2.357921e-06 7.922489e-05
10232.000000 -2.918940e-05 -8.200061e-07 -8.012802e-08 -9.494548e-07 4.420823e-05 -2.187098e-04 -2.718246e-06 6.597496e-05
10237.000000 -2.920109e-05 -8.224347e-07 -8.206123e-08 -9.530077e-07 4.401379e-05 -2.156115e-04 -7.187597e-07 7.122842e-05
10242.000000 -2.914437e-05 -8.231488e-07 -8.369439e-08 -9.539165e-07 4.633571e-05 -2.060612e-04 1.139847e-06 6.699015e-05
10247.000000 -2.907621e-05 -8.243965e-07 -8.707664e-08 -9.544989e-07 4.875405e-05 -2.134114e-04 -1.092033e-05 6.435518e-05
10252.000000 -2.902111e-05 -8.281172e-07 -8.685818e-08 -9.551780e-07 5.553584e-05 -1.751093e-04 -1.446399e-06 7.331145e-05
10257.000000 -2.899621e-05 -8.288618e-07 -8.371227e-08 -9.567628e-07 5.260376e-05 -1.788818e-04 2.526079e-07 7.674202e-05
10262.000000 -2.894031e-05 -8.279512e-07 -8.295712e-08 -9.575338e-07 4.233777e-05 -1.877537e-04 -5.586011e-07 7.233908e-05
10267.000000 -2.897383e-05 -8.312042e-07 -8.437710e-08 -9.617494e-07 5.141615e-05 -1.876323e-04 -8.700440e-06 6.867362e-05
10272.000000 -2.893584e-05 -8.348578e-07 -8.543520e-08 -9.640572e-07 6.377686e-05 -2.175763e-04 -1.621577e-05 6.882451e-05
10277.000000 -2.885531e-05 -8.363188e-07 -8.472596e-08 -9.642828e-07 6.094269e-05 -1.989104e-04 -1.381084e-05 7.000791e-05
10282.000000 -2.875273e-05 -8.366867e-07 -8.372298e-08 -9.632193e-07 5.487052e-05 -1.828175e-04 -3.550485e-06 7.418443e-05
10287.000000 -2.881547e-05 -8.415938e-07 -8.473080e-08 -9.678713e-07 5.917548e-05 -1.724480e-04 -9.680524e-06 7.368366e-05
10292.000000 -2.878194e-05 -8.449784e-07 -8.744261e-08 -9.692971e-07 5.898574e-05 -2.049035e-04 -8.898677e-06 7.546276e-05
10297.000000 -2.875096e-05 -8.477872e-07 -8.881040e-08 -9.713150e-07 5.300780e-05 -1.792778e-04 -2.996730e-06 7.258551e-05
10302.000000 -2.875838e-05 -8.522784e-07 -8.879738e-08 -9.746780e-07 5.386426e-05 -1.678918e-04 -6.440409e-06 6.671689e-05
10307.000000 -2.870097e-05 -8.546945e-07 -8.887953e-08 -9.749932e-07 5.335203e-05 -1.647833e-04 -9.567212e-06 6.065444e-05
10312.000000 -2.864047e-05 -8.576911e-07 -8.940296e-08 -9.755414e-07 4.994598e-05 -1.812439e-04 -9.257462e-06 6.104208e-05
10317.000000 -2.863466e-05 -8.610019e-07 -8.913404e-08 -9.800994e-07 5.089097e-05 -1.724949e-04 -1.001198e-05 6.054004e-05
10322.000000 -2.863929e-05 -8.637647e-07 -8.831448e-08 -9.852678e-07 4.572552e-05 -1.551739e-04 -1.807555e-06 5.633410e-05
10327.000000 -2.857843e-05 -8.666935e-07 -8.785222e-08 -9.871312e-07 5.041405e-05 -1.541828e-04 3.248256e-06 5.067954e-05
10332.000000 -2.845977e-05 -8.663299e-07 -8.707144e-08 -9.872523e-07 4.598907e-05 -1.534821e-04 -9.209592e-06 4.732833e-05
10337.000000 -2.855145e-05 -8.700484e-07 -8.717029e-08 -9.946279e-07 5.051773e-05 -1.911204e-04 -2.611070e-05 5.017553e-05
10341.000000 -2.849429e-05 -8.690698e-07 -8.758890e-08 -9.974584e-07 5.976228e-05 -2.255714e-04 -1.887339e-05 6.416019e-05
10344.000000 -2.846703e-05 -8.704502e-07 -8.858592e-08 -1.001294e-06 5.671592e-05 -2.250297e-04 -1.075960e-05 6.784965e-05
10346.000000 -2.843384e-05 -8.716592e-07 -8.960376e-08 -1.003584e-06 6.262352e-05 -2.385230e-04 -6.466168e-06 6.963231e-05
10347.000000 -2.842694e-05 -8.717821e-07 -9.020325e-08 -1.005500e-06 6.815956e-05 -2.665904e-04 -1.071963e-05 5.998607e-05
10347.200000 -2.843489e-05 -8.722755e-07 -9.049150e-08 -1.006276e-06 7.032024e-05 -2.848619e-04 -6.622615e-06 5.513532e-05
10347.400000 -2.841511e-05 -8.695534e-07 -9.006293e-08 -1.005949e-06 7.570402e-05 -2.829202e-04 -5.787577e-06 6.494409e-05
10347.600000 -2.841253e-05 -8.756045e-07 -9.072985e-08 -1.005908e-06 6.900534e-05 -2.998229e-04 -5.216014e-06 6.047745e-05
