# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.56595807976635
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.008301
# Detector.I1.voltage: -1650.001465
# Detector.I2.voltage: -1650.002808
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 371109
# Scan.uid: c59acf30-915b-43cf-943e-b54b176ddaf1
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  06:45:21.067423
# Scan.end_time: 06/23/2023  06:45:56.198323
# Scan.name: Cu2O+Ga2O3-2nd H2-ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-2nd
# Sample.comment: 
# Sample.position.x: -66.442995014
# Sample.position.y: 31.0990556475
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 31.956201218173412
# SampleHeater.temperature2.readback: 28.900000000000002
# SampleHeater.voltage.setpoint: 0.1863177063516464
# SampleHeater.voltage.readback: 0.185
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.008000000000001
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.3
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.2034505158662796
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.1057942733168602
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.09765625
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.01220703125
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.03662109375
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.10986328125
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.03662109375
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.946090e-05 -7.700109e-07 -2.382519e-07 -9.226880e-07 6.133476e-05 -1.631565e-04 2.762044e-05 6.221914e-05
10172.000000 -2.933091e-05 -7.676606e-07 -2.365437e-07 -9.207639e-07 5.739292e-05 -1.745893e-04 1.985446e-05 5.129477e-05
10177.000000 -2.928462e-05 -7.718408e-07 -2.353036e-07 -9.210794e-07 5.164103e-05 -1.805659e-04 2.292240e-05 4.563502e-05
10182.000000 -2.922130e-05 -7.761581e-07 -2.325654e-07 -9.215820e-07 5.758851e-05 -1.928447e-04 2.373109e-05 5.246651e-05
10187.000000 -2.917956e-05 -7.813017e-07 -2.261293e-07 -9.229620e-07 5.896153e-05 -1.948888e-04 2.476958e-05 4.662352e-05
10192.000000 -2.929827e-05 -7.863348e-07 -2.089142e-07 -9.293744e-07 7.069559e-05 -1.840646e-04 1.835461e-05 4.693842e-05
10197.000000 -2.937503e-05 -7.893771e-07 -1.565909e-07 -9.348879e-07 6.411853e-05 -1.667174e-04 1.014428e-05 5.127209e-05
10202.000000 -2.932816e-05 -7.929062e-07 -5.230888e-08 -9.360606e-07 6.121410e-05 -1.762076e-04 1.550936e-05 4.858292e-05
10207.000000 -2.932448e-05 -7.982522e-07 -2.312030e-08 -9.382585e-07 6.655500e-05 -1.578551e-04 2.607879e-05 5.580970e-05
10212.000000 -2.934394e-05 -8.008374e-07 -4.636987e-08 -9.419499e-07 6.713208e-05 -1.472892e-04 2.671627e-05 5.765912e-05
10217.000000 -2.928984e-05 -8.062858e-07 -5.987753e-08 -9.427973e-07 7.629064e-05 -1.582168e-04 3.267760e-05 5.434688e-05
10222.000000 -2.927945e-05 -8.088924e-07 -6.982458e-08 -9.451045e-07 7.163857e-05 -1.597048e-04 2.882430e-05 5.302504e-05
10227.000000 -2.920893e-05 -8.127513e-07 -7.650021e-08 -9.445923e-07 6.816618e-05 -1.398502e-04 2.453855e-05 5.114463e-05
10232.000000 -2.903196e-05 -8.179027e-07 -7.969474e-08 -9.407813e-07 6.393279e-05 -1.224725e-04 2.979605e-05 5.560271e-05
10237.000000 -2.918180e-05 -8.206379e-07 -8.155481e-08 -9.492527e-07 6.865473e-05 -1.319582e-04 2.494613e-05 5.063240e-05
10242.000000 -2.920265e-05 -8.241966e-07 -8.344401e-08 -9.526397e-07 6.396175e-05 -1.356527e-04 1.989620e-05 5.112034e-05
10247.000000 -2.912996e-05 -8.269252e-07 -8.719955e-08 -9.522925e-07 6.520694e-05 -1.322717e-04 2.363652e-05 5.836390e-05
10252.000000 -2.911965e-05 -8.323231e-07 -8.674401e-08 -9.539916e-07 6.123072e-05 -1.485662e-04 2.740901e-05 5.248171e-05
10257.000000 -2.899392e-05 -8.359695e-07 -8.375866e-08 -9.516611e-07 6.023715e-05 -1.497044e-04 2.060070e-05 5.336953e-05
10262.000000 -2.890654e-05 -8.384335e-07 -8.351194e-08 -9.509855e-07 6.533079e-05 -1.432937e-04 2.299107e-05 4.894291e-05
10267.000000 -2.903808e-05 -8.433482e-07 -8.526782e-08 -9.585597e-07 6.711400e-05 -1.408882e-04 2.232185e-05 5.267908e-05
10272.000000 -2.903618e-05 -8.469628e-07 -8.586218e-08 -9.610639e-07 5.999508e-05 -1.477900e-04 2.310761e-05 4.545241e-05
10277.000000 -2.899423e-05 -8.510023e-07 -8.577238e-08 -9.626593e-07 5.721397e-05 -1.244444e-04 2.292204e-05 4.501341e-05
10282.000000 -2.886301e-05 -8.516033e-07 -8.491435e-08 -9.614002e-07 6.330754e-05 -1.321273e-04 2.695004e-05 4.748153e-05
10287.000000 -2.888234e-05 -8.571553e-07 -8.596768e-08 -9.647845e-07 7.321402e-05 -1.341017e-04 2.448408e-05 4.575225e-05
10292.000000 -2.882766e-05 -8.597836e-07 -8.830366e-08 -9.658970e-07 7.865588e-05 -1.445249e-04 2.478487e-05 5.192264e-05
10297.000000 -2.882681e-05 -8.622952e-07 -8.989312e-08 -9.706696e-07 7.191649e-05 -1.418042e-04 3.056879e-05 4.572220e-05
10302.000000 -2.883064e-05 -8.660001e-07 -8.980800e-08 -9.745835e-07 6.629131e-05 -1.420648e-04 2.559846e-05 4.550329e-05
10307.000000 -2.875932e-05 -8.678630e-07 -8.963749e-08 -9.729541e-07 7.381134e-05 -1.525525e-04 1.851853e-05 5.074512e-05
10312.000000 -2.875606e-05 -8.708117e-07 -8.997692e-08 -9.761495e-07 7.365417e-05 -1.425578e-04 1.637801e-05 5.184982e-05
10317.000000 -2.865895e-05 -8.721631e-07 -8.976486e-08 -9.760300e-07 7.153333e-05 -1.359767e-04 2.178785e-05 4.407307e-05
10322.000000 -2.865089e-05 -8.758969e-07 -8.931101e-08 -9.793885e-07 6.834806e-05 -1.387526e-04 2.635418e-05 4.221227e-05
10327.000000 -2.864217e-05 -8.788364e-07 -8.861144e-08 -9.831746e-07 6.805724e-05 -1.483426e-04 3.814649e-05 5.339811e-05
10332.000000 -2.850384e-05 -8.785572e-07 -8.770167e-08 -9.837154e-07 7.163264e-05 -1.356808e-04 3.038489e-05 4.990763e-05
10337.000000 -2.856993e-05 -8.828078e-07 -8.783702e-08 -9.914755e-07 7.682662e-05 -1.236439e-04 2.464816e-05 4.828945e-05
10341.000000 -2.856521e-05 -8.829562e-07 -8.830044e-08 -9.978584e-07 7.087372e-05 -1.405408e-04 2.433752e-05 4.796665e-05
10344.000000 -2.847998e-05 -8.834288e-07 -8.921967e-08 -9.994034e-07 6.156844e-05 -1.517221e-04 2.043735e-05 5.179772e-05
10346.000000 -2.847720e-05 -8.846015e-07 -9.023377e-08 -1.002591e-06 5.489236e-05 -1.439649e-04 1.977225e-05 5.877032e-05
10347.000000 -2.849133e-05 -8.856454e-07 -9.078433e-08 -1.004914e-06 5.943519e-05 -1.550125e-04 1.997514e-05 5.009156e-05
10347.200000 -2.853877e-05 -8.888885e-07 -9.111205e-08 -1.007290e-06 5.840461e-05 -1.541361e-04 2.126148e-05 4.927743e-05
10347.400000 -2.851869e-05 -8.855538e-07 -9.054190e-08 -1.006992e-06 6.312172e-05 -1.356337e-04 2.285821e-05 5.704655e-05
10347.600000 -2.850831e-05 -8.880544e-07 -9.144369e-08 -1.007260e-06 6.161932e-05 -1.226996e-04 3.119233e-05 5.772549e-05
10347.800000 -2.851519e-05 -8.865274e-07 -9.149871e-08 -1.007219e-06 6.351502e-05 -1.267221e-04 3.351233e-05 6.318631e-05
