# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.1322414966781
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -349.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.987427
# Detector.I1.voltage: -1650.000366
# Detector.I2.voltage: -1650.000244
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 371136
# Scan.uid: c3e1c55c-7f7c-48a1-bacb-2cfa9c941b23
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/23/2023  07:21:37.536336
# Scan.end_time: 06/23/2023  07:22:13.489857
# Scan.name: Cu2O+Ga2O3-2nd PP+O2-RT (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-2nd
# Sample.comment: 
# Sample.position.x: -66.442995014
# Sample.position.y: 31.098998426999998
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 25.0
# SampleHeater.temperature2.readback: 28.0
# SampleHeater.voltage.setpoint: 0.0
# SampleHeater.voltage.readback: 0.0
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 3.0
# SampleGasCart.MFC.CH4.readback: 2.998
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 9.68
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 7.0
# SampleGasHandlingSystem.MFC1.readback: 6.998697757720947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.1180013045668602
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.01220703125
# SampleGasHandlingSystem.MFC6.setpoint: 1.5
# SampleGasHandlingSystem.MFC6.readback: 1.50146484375
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.03662109375
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.06103515625
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0773111954331398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.10986328125
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.03662109375
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.443230e-05 -4.031255e-07 -2.668953e-07 -3.120571e-07 7.471563e-06 -3.332820e-04 -2.512248e-05 5.226061e-05
 8784.000000 -3.452040e-05 -4.021587e-07 -2.664160e-07 -3.136820e-07 8.463353e-06 -3.296644e-04 -2.423887e-05 5.987743e-05
 8789.000000 -3.444078e-05 -4.015416e-07 -2.664251e-07 -3.137879e-07 3.643547e-06 -3.486536e-04 -2.707367e-05 5.099486e-05
 8794.000000 -3.423944e-05 -4.006552e-07 -2.657826e-07 -3.127983e-07 -8.943191e-06 -3.308466e-04 -2.105887e-05 4.000698e-05
 8799.000000 -3.367731e-05 -3.996736e-07 -2.652281e-07 -3.086403e-07 1.509283e-06 -3.269070e-04 -1.332900e-05 3.987841e-05
 8804.000000 -3.387520e-05 -4.053307e-07 -2.692882e-07 -3.108518e-07 4.464306e-06 -3.384840e-04 -2.064290e-05 4.401104e-05
 8809.000000 -3.397129e-05 -4.037660e-07 -2.685825e-07 -3.123161e-07 1.169896e-05 -3.373443e-04 -1.311461e-05 4.670491e-05
 8814.000000 -3.393452e-05 -4.021500e-07 -2.675789e-07 -3.124385e-07 6.185795e-06 -3.512616e-04 -1.914381e-05 4.806051e-05
 8819.000000 -3.395541e-05 -4.033102e-07 -2.684260e-07 -3.132518e-07 -2.568090e-06 -3.400857e-04 -2.165737e-05 4.675178e-05
 8824.000000 -3.380491e-05 -4.043906e-07 -2.693378e-07 -3.128063e-07 1.023725e-06 -3.245457e-04 -2.288798e-05 4.537449e-05
 8829.000000 -3.374117e-05 -4.042482e-07 -2.694987e-07 -3.130341e-07 7.280041e-06 -3.506139e-04 -2.623367e-05 4.115413e-05
 8834.000000 -3.372822e-05 -4.040388e-07 -2.695152e-07 -3.137258e-07 1.793755e-05 -3.280530e-04 -2.809650e-05 4.324383e-05
 8839.000000 -3.361299e-05 -4.042879e-07 -2.700975e-07 -3.137141e-07 2.079500e-05 -3.230552e-04 -2.025512e-05 4.057796e-05
 8844.000000 -3.348694e-05 -4.051125e-07 -2.709699e-07 -3.135073e-07 2.554174e-05 -3.262468e-04 -1.399813e-05 4.212377e-05
 8849.000000 -3.326824e-05 -4.066380e-07 -2.722982e-07 -3.127582e-07 2.361576e-05 -3.545046e-04 -1.269125e-05 4.742159e-05
 8854.000000 -3.318455e-05 -4.069391e-07 -2.725627e-07 -3.130641e-07 2.140421e-05 -3.526696e-04 -2.300817e-05 4.365727e-05
 8859.000000 -3.317371e-05 -4.062878e-07 -2.720225e-07 -3.142182e-07 1.497264e-05 -3.365271e-04 -2.417703e-05 5.215652e-05
 8864.000000 -3.308342e-05 -4.072796e-07 -2.726415e-07 -3.142797e-07 1.263235e-05 -3.764784e-04 -1.628302e-05 4.920320e-05
 8869.000000 -3.296472e-05 -4.083319e-07 -2.738071e-07 -3.139893e-07 1.372596e-05 -3.683476e-04 -1.903386e-05 3.593364e-05
 8874.000000 -3.288830e-05 -4.091563e-07 -2.747497e-07 -3.141125e-07 1.190154e-05 -3.570572e-04 -8.391841e-06 3.057962e-05
 8879.000000 -3.275918e-05 -4.095577e-07 -2.752785e-07 -3.139955e-07 1.462623e-05 -3.412412e-04 -9.891557e-06 3.544154e-05
 8884.000000 -3.238285e-05 -4.086729e-07 -2.745455e-07 -3.120810e-07 1.916185e-05 -3.089576e-04 -1.680344e-05 4.081753e-05
 8889.000000 -3.220440e-05 -4.077638e-07 -2.737600e-07 -3.117732e-07 1.362956e-05 -3.131032e-04 -2.995381e-05 4.067088e-05
 8894.000000 -3.240734e-05 -4.109793e-07 -2.761030e-07 -3.137560e-07 1.201651e-06 -3.438056e-04 -2.764164e-05 4.128818e-05
 8899.000000 -3.214027e-05 -4.129153e-07 -2.778459e-07 -3.118570e-07 5.831860e-06 -3.497256e-04 -2.590482e-05 3.837621e-05
 8904.000000 -3.208160e-05 -4.129858e-07 -2.782113e-07 -3.118329e-07 2.563905e-06 -3.397493e-04 -2.708361e-05 3.857236e-05
 8909.000000 -3.207320e-05 -4.128214e-07 -2.780648e-07 -3.123859e-07 1.925766e-06 -3.527061e-04 -3.258553e-05 3.691998e-05
 8914.000000 -3.180337e-05 -4.115042e-07 -2.772570e-07 -3.104001e-07 2.690708e-06 -3.674991e-04 -2.593939e-05 4.556556e-05
 8919.000000 -3.172367e-05 -4.126237e-07 -2.783124e-07 -3.102834e-07 7.125788e-06 -3.536577e-04 -1.170641e-05 5.556240e-05
 8924.000000 -3.158860e-05 -4.129904e-07 -2.783284e-07 -3.100769e-07 3.038111e-06 -3.289233e-04 -2.974199e-05 5.116742e-05
 8929.000000 -3.153907e-05 -4.156669e-07 -2.799256e-07 -3.108974e-07 2.035640e-06 -3.291163e-04 -3.472265e-05 3.988409e-05
 8934.000000 -3.148824e-05 -4.162654e-07 -2.805656e-07 -3.117500e-07 1.351117e-05 -3.338228e-04 -2.650612e-05 4.702616e-05
 8939.000000 -3.135181e-05 -4.166822e-07 -2.809752e-07 -3.115418e-07 1.685090e-05 -3.188816e-04 -1.305421e-05 5.872171e-05
 8944.000000 -3.120649e-05 -4.169571e-07 -2.809344e-07 -3.112854e-07 1.136764e-05 -3.240082e-04 -7.829528e-06 6.113410e-05
 8949.000000 -3.101842e-05 -4.167131e-07 -2.806868e-07 -3.105720e-07 1.477045e-05 -3.293653e-04 -8.158012e-06 6.169169e-05
 8953.000000 -3.096707e-05 -4.163006e-07 -2.802323e-07 -3.109783e-07 1.259566e-05 -3.574278e-04 -7.635882e-06 5.676919e-05
 8956.000000 -3.091167e-05 -4.160387e-07 -2.798051e-07 -3.112803e-07 1.578318e-05 -3.736774e-04 -9.589875e-06 5.144148e-05
 8958.000000 -3.089142e-05 -4.154612e-07 -2.792850e-07 -3.117377e-07 1.592960e-05 -3.973442e-04 -7.051375e-06 5.051758e-05
 8959.000000 -3.085549e-05 -4.156991e-07 -2.791821e-07 -3.116271e-07 1.906076e-05 -4.094097e-04 -2.018131e-05 4.633207e-05
 8959.200000 -3.090026e-05 -4.166874e-07 -2.797278e-07 -3.121101e-07 1.722133e-05 -4.025696e-04 -2.446682e-05 4.467303e-05
 8959.400000 -3.087537e-05 -4.159660e-07 -2.791118e-07 -3.117171e-07 5.914036e-06 -3.987809e-04 -3.215950e-05 4.814191e-05
