# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.6139264669098
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -349.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.990845
# Detector.I1.voltage: -1650.000732
# Detector.I2.voltage: -1649.996948
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 371135
# Scan.uid: 542e6972-b515-4744-8f3b-1c4624d53c55
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  07:20:40.049589
# Scan.end_time: 06/23/2023  07:21:13.482452
# Scan.name: Cu2O+Ga2O3-2nd PP+O2-RT (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-2nd
# Sample.comment: 
# Sample.position.x: -66.442995014
# Sample.position.y: 31.09896028
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 25.0
# SampleHeater.temperature2.readback: 26.8
# SampleHeater.voltage.setpoint: 0.0
# SampleHeater.voltage.readback: 0.0
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 3.0
# SampleGasCart.MFC.CH4.readback: 2.998
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 9.33
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 7.0
# SampleGasHandlingSystem.MFC1.readback: 6.998697757720947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.1180013045668602
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.1057942733168602
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.01220703125
# SampleGasHandlingSystem.MFC6.setpoint: 1.5
# SampleGasHandlingSystem.MFC6.readback: 1.50146484375
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0732421875
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.10986328125
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.03662109375
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.950094e-05 -7.817920e-07 -2.420708e-07 -9.265424e-07 3.230656e-05 -3.572911e-04 -2.452406e-05 4.442832e-05
10172.000000 -2.939557e-05 -7.778893e-07 -2.398644e-07 -9.255845e-07 3.199470e-05 -3.571734e-04 -3.029774e-05 4.352219e-05
10177.000000 -2.926093e-05 -7.805599e-07 -2.384466e-07 -9.230338e-07 2.101398e-05 -3.558572e-04 -3.791124e-05 4.274839e-05
10182.000000 -2.908137e-05 -7.847044e-07 -2.354856e-07 -9.197056e-07 2.608955e-05 -3.286527e-04 -3.202389e-05 4.367412e-05
10187.000000 -2.927614e-05 -7.805751e-07 -2.262479e-07 -9.309276e-07 3.558390e-05 -3.013809e-04 -1.968309e-05 4.086290e-05
10192.000000 -2.931763e-05 -7.852072e-07 -2.091081e-07 -9.337263e-07 3.752382e-05 -2.719349e-04 -1.472586e-05 3.580070e-05
10197.000000 -2.933491e-05 -7.869083e-07 -1.561330e-07 -9.368905e-07 4.065697e-05 -3.009189e-04 -2.336933e-05 3.319333e-05
10202.000000 -2.931093e-05 -7.887681e-07 -5.190521e-08 -9.390335e-07 3.642444e-05 -2.937797e-04 -2.261287e-05 4.008601e-05
10207.000000 -2.927239e-05 -7.900934e-07 -2.322441e-08 -9.404555e-07 3.757808e-05 -2.773458e-04 -2.301162e-05 3.657378e-05
10212.000000 -2.924213e-05 -7.937188e-07 -4.614997e-08 -9.420676e-07 3.541838e-05 -2.958003e-04 -3.225009e-05 3.889984e-05
10217.000000 -2.921544e-05 -7.945748e-07 -5.865526e-08 -9.441505e-07 3.977337e-05 -2.942388e-04 -3.501396e-05 3.781342e-05
10222.000000 -2.916919e-05 -7.959503e-07 -6.857017e-08 -9.448688e-07 4.149517e-05 -2.759926e-04 -2.745979e-05 4.152443e-05
10227.000000 -2.912079e-05 -7.968740e-07 -7.545431e-08 -9.453204e-07 3.718857e-05 -2.576604e-04 -3.298047e-05 4.218655e-05
10232.000000 -2.904950e-05 -7.978881e-07 -7.809744e-08 -9.457340e-07 4.298728e-05 -2.749653e-04 -3.329702e-05 3.910560e-05
10237.000000 -2.901842e-05 -8.013579e-07 -8.016742e-08 -9.471099e-07 4.611802e-05 -2.800165e-04 -1.849508e-05 3.702706e-05
10242.000000 -2.898078e-05 -8.021566e-07 -8.147508e-08 -9.483445e-07 4.044121e-05 -2.596728e-04 -2.235169e-05 3.421243e-05
10247.000000 -2.891583e-05 -8.037521e-07 -8.479534e-08 -9.486784e-07 3.615076e-05 -2.765177e-04 -2.494934e-05 4.231141e-05
10252.000000 -2.893384e-05 -8.071094e-07 -8.468340e-08 -9.520748e-07 2.992539e-05 -2.795526e-04 -2.710129e-05 3.758337e-05
10257.000000 -2.885269e-05 -8.111967e-07 -8.204969e-08 -9.514342e-07 3.055738e-05 -2.631327e-04 -3.626504e-05 3.221914e-05
10262.000000 -2.880098e-05 -8.094520e-07 -8.100380e-08 -9.531904e-07 3.672630e-05 -2.705921e-04 -3.585379e-05 2.847059e-05
10267.000000 -2.870002e-05 -8.186270e-07 -8.304026e-08 -9.511760e-07 3.790930e-05 -2.394909e-04 -3.627572e-05 3.305900e-05
10272.000000 -2.879079e-05 -8.199919e-07 -8.379859e-08 -9.572040e-07 3.749914e-05 -2.490633e-04 -4.314175e-05 4.362319e-05
10277.000000 -2.877797e-05 -8.192085e-07 -8.314169e-08 -9.599713e-07 3.313443e-05 -2.759256e-04 -4.147422e-05 4.496501e-05
10282.000000 -2.860861e-05 -8.204943e-07 -8.226202e-08 -9.566800e-07 4.091512e-05 -2.957932e-04 -3.190032e-05 4.242519e-05
10287.000000 -2.869783e-05 -8.244648e-07 -8.323303e-08 -9.634476e-07 4.388322e-05 -2.905690e-04 -2.594558e-05 4.097034e-05
10292.000000 -2.864096e-05 -8.272994e-07 -8.579711e-08 -9.641661e-07 3.533930e-05 -3.046679e-04 -1.925702e-05 4.611094e-05
10297.000000 -2.862388e-05 -8.308147e-07 -8.703208e-08 -9.669068e-07 3.741094e-05 -2.883666e-04 -1.864084e-05 4.969871e-05
10302.000000 -2.855435e-05 -8.369640e-07 -8.706064e-08 -9.665356e-07 4.562520e-05 -2.721948e-04 -2.581560e-05 4.194745e-05
10307.000000 -2.856293e-05 -8.395957e-07 -8.709672e-08 -9.696344e-07 4.321171e-05 -2.603148e-04 -1.780315e-05 3.760984e-05
10312.000000 -2.857591e-05 -8.414311e-07 -8.730103e-08 -9.746090e-07 2.943229e-05 -2.861384e-04 -1.462971e-05 4.250197e-05
10317.000000 -2.853596e-05 -8.450651e-07 -8.730925e-08 -9.774642e-07 3.485599e-05 -2.824360e-04 -1.620242e-05 4.226024e-05
10322.000000 -2.850603e-05 -8.495464e-07 -8.720218e-08 -9.799392e-07 3.577856e-05 -2.645135e-04 -2.071763e-05 4.377195e-05
10327.000000 -2.848617e-05 -8.509653e-07 -8.633235e-08 -9.831266e-07 2.976912e-05 -2.720339e-04 -1.905478e-05 3.877397e-05
10332.000000 -2.833557e-05 -8.482135e-07 -8.505234e-08 -9.822683e-07 2.997540e-05 -2.770444e-04 -2.407089e-05 3.437839e-05
10337.000000 -2.839448e-05 -8.534178e-07 -8.547682e-08 -9.882423e-07 3.325256e-05 -2.976124e-04 -1.763373e-05 3.172602e-05
10341.000000 -2.840037e-05 -8.559571e-07 -8.611950e-08 -9.934279e-07 1.895091e-05 -3.201479e-04 -1.531952e-05 3.832593e-05
10344.000000 -2.833654e-05 -8.578883e-07 -8.706322e-08 -9.951063e-07 1.639045e-05 -3.125326e-04 -9.632000e-06 4.451166e-05
10346.000000 -2.829525e-05 -8.594455e-07 -8.843637e-08 -9.962794e-07 1.535388e-05 -3.305288e-04 -8.348021e-06 3.727622e-05
10347.000000 -2.833976e-05 -8.571759e-07 -8.865573e-08 -1.000518e-06 1.105206e-05 -3.481969e-04 -1.115113e-05 3.932932e-05
10347.200000 -2.835362e-05 -8.560376e-07 -8.860695e-08 -1.001522e-06 2.048969e-05 -3.412776e-04 -1.810946e-05 4.218962e-05
10347.400000 -2.836517e-05 -8.562273e-07 -8.860074e-08 -1.002650e-06 3.065967e-05 -3.406552e-04 -1.368240e-05 3.161093e-05
10347.600000 -2.837501e-05 -8.575147e-07 -8.877111e-08 -1.004011e-06 2.588565e-05 -3.341647e-04 -2.460731e-06 3.323257e-05
