# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.64049298460236
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -349.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.007935
# Detector.I1.voltage: -1650.0
# Detector.I2.voltage: -1650.001099
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 371148
# Scan.uid: d8570922-f9c8-48f6-a343-8b08ca9b8548
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/23/2023  07:50:44.109969
# Scan.end_time: 06/23/2023  07:51:19.344758
# Scan.name: Cu2O+Ga2O3-2nd PP+O2-ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-2nd
# Sample.comment: 
# Sample.position.x: -66.442995014
# Sample.position.y: 31.0990175005
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 100.0
# SampleHeater.temperature2.readback: 101.7
# SampleHeater.voltage.setpoint: 0.3100707094720621
# SampleHeater.voltage.readback: 0.319
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 3.0
# SampleGasCart.MFC.CH4.readback: 2.998
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 19.990000000000002
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 7.0
# SampleGasHandlingSystem.MFC1.readback: 6.998697757720947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.09765625
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02848307229578495
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.08544921875
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC6.setpoint: 1.5
# SampleGasHandlingSystem.MFC6.readback: 1.50146484375
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.03662109375
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC9.setpoint: 7.0
# SampleGasHandlingSystem.MFC9.readback: 6.998697757720947
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0732421875
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.02848307229578495
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.0895182266831398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.02848307229578495
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.414562e-05 -4.106012e-07 -2.720480e-07 -3.104648e-07 3.734452e-05 -5.491788e-04 -2.102266e-05 1.371911e-05
 8784.000000 -3.418196e-05 -4.113779e-07 -2.724787e-07 -3.112059e-07 3.803496e-05 -5.414867e-04 -2.061079e-05 4.561221e-05
 8789.000000 -3.409044e-05 -4.120558e-07 -2.730992e-07 -3.108309e-07 2.966547e-05 -5.011780e-04 -1.462209e-05 5.525636e-05
 8794.000000 -3.398195e-05 -4.082216e-07 -2.709597e-07 -3.104641e-07 3.420166e-05 -5.192306e-04 -1.369549e-05 6.044347e-05
 8799.000000 -3.362816e-05 -4.026238e-07 -2.673645e-07 -3.082850e-07 3.108516e-05 -5.029081e-04 -7.620162e-06 6.500616e-05
 8804.000000 -3.392134e-05 -4.067347e-07 -2.704101e-07 -3.116719e-07 3.573653e-05 -4.991727e-04 -4.794725e-07 7.426538e-05
 8809.000000 -3.379340e-05 -4.070078e-07 -2.705471e-07 -3.113919e-07 3.531782e-05 -5.072227e-04 -7.540413e-06 6.530958e-05
 8814.000000 -3.361525e-05 -4.058261e-07 -2.698659e-07 -3.101342e-07 2.043978e-05 -5.289185e-04 -1.200195e-05 5.723354e-05
 8819.000000 -3.362005e-05 -4.076230e-07 -2.714877e-07 -3.108004e-07 2.790972e-05 -5.275378e-04 -1.291859e-05 5.361094e-05
 8824.000000 -3.359735e-05 -4.095479e-07 -2.730116e-07 -3.114129e-07 3.502153e-05 -5.014732e-04 -1.237205e-05 5.538777e-05
 8829.000000 -3.349861e-05 -4.112378e-07 -2.743237e-07 -3.114318e-07 2.584973e-05 -5.194634e-04 -1.142683e-05 5.367130e-05
 8834.000000 -3.326191e-05 -4.141577e-07 -2.765818e-07 -3.104633e-07 2.728167e-05 -5.431447e-04 -1.135938e-05 4.491553e-05
 8839.000000 -3.321571e-05 -4.136672e-07 -2.763980e-07 -3.110834e-07 3.267443e-05 -5.215772e-04 -9.405076e-06 3.962838e-05
 8844.000000 -3.301704e-05 -4.157696e-07 -2.778467e-07 -3.104719e-07 2.847768e-05 -4.935627e-04 -9.587580e-06 4.162835e-05
 8849.000000 -3.303387e-05 -4.138974e-07 -2.766819e-07 -3.115844e-07 3.089096e-05 -5.106628e-04 -9.526220e-06 4.296514e-05
 8854.000000 -3.301656e-05 -4.134334e-07 -2.768528e-07 -3.123983e-07 2.400703e-05 -5.269394e-04 -2.128204e-05 3.896033e-05
 8859.000000 -3.279044e-05 -4.167178e-07 -2.792272e-07 -3.114812e-07 3.415190e-05 -5.379867e-04 -3.363542e-05 3.233771e-05
 8864.000000 -3.272210e-05 -4.169438e-07 -2.795200e-07 -3.117861e-07 2.822718e-05 -5.426275e-04 -2.511000e-05 3.081759e-05
 8869.000000 -3.272879e-05 -4.150490e-07 -2.785045e-07 -3.126016e-07 2.816950e-05 -5.514331e-04 -1.068264e-05 2.644201e-05
 8874.000000 -3.257864e-05 -4.168537e-07 -2.800582e-07 -3.120510e-07 2.498737e-05 -5.508041e-04 -1.586787e-05 2.621695e-05
 8879.000000 -3.234372e-05 -4.191832e-07 -2.813826e-07 -3.109209e-07 3.089312e-05 -5.321169e-04 -1.938721e-05 3.245041e-05
 8884.000000 -3.212440e-05 -4.173611e-07 -2.803466e-07 -3.100997e-07 3.524974e-05 -5.283358e-04 -8.807264e-06 2.886252e-05
 8889.000000 -3.185131e-05 -4.182187e-07 -2.812428e-07 -3.090727e-07 2.809348e-05 -5.288512e-04 -9.988366e-06 3.114181e-05
 8894.000000 -3.196592e-05 -4.228364e-07 -2.843799e-07 -3.103966e-07 3.743081e-05 -4.906087e-04 -1.207982e-05 4.349514e-05
 8899.000000 -3.191963e-05 -4.226566e-07 -2.842428e-07 -3.106374e-07 2.322430e-05 -5.025000e-04 -1.010639e-05 4.167342e-05
 8904.000000 -3.175035e-05 -4.245746e-07 -2.858796e-07 -3.097011e-07 1.867231e-05 -5.331551e-04 -1.694286e-05 3.708629e-05
 8909.000000 -3.165697e-05 -4.252799e-07 -2.863582e-07 -3.091743e-07 3.499491e-05 -5.408763e-04 -1.031570e-05 3.410480e-05
 8914.000000 -3.158209e-05 -4.211151e-07 -2.836358e-07 -3.089559e-07 2.986275e-05 -5.157970e-04 -2.274618e-05 3.074145e-05
 8919.000000 -3.149714e-05 -4.221883e-07 -2.844209e-07 -3.088621e-07 2.460142e-05 -4.912424e-04 -2.817037e-05 3.944623e-05
 8924.000000 -3.134918e-05 -4.225370e-07 -2.845414e-07 -3.084548e-07 2.009727e-05 -4.926753e-04 -2.826834e-05 3.473888e-05
 8929.000000 -3.140579e-05 -4.248322e-07 -2.863946e-07 -3.104960e-07 3.343378e-05 -4.853943e-04 -2.653420e-05 3.693379e-05
 8934.000000 -3.132775e-05 -4.253271e-07 -2.867753e-07 -3.112447e-07 3.871506e-05 -4.903376e-04 -2.331812e-05 3.382108e-05
 8939.000000 -3.121060e-05 -4.264503e-07 -2.872932e-07 -3.113388e-07 2.613986e-05 -5.049216e-04 -2.528773e-05 3.051830e-05
 8944.000000 -3.105597e-05 -4.272887e-07 -2.879163e-07 -3.107814e-07 2.629730e-05 -5.112618e-04 -3.698991e-05 2.608077e-05
 8949.000000 -3.088918e-05 -4.258874e-07 -2.868540e-07 -3.101684e-07 2.935702e-05 -4.941568e-04 -4.024544e-05 3.248321e-05
 8953.000000 -3.084238e-05 -4.243369e-07 -2.856431e-07 -3.104342e-07 3.299169e-05 -4.711365e-04 -4.279868e-05 2.877956e-05
 8956.000000 -3.075905e-05 -4.244105e-07 -2.854651e-07 -3.102032e-07 3.016868e-05 -4.559988e-04 -5.282178e-05 3.234506e-05
 8958.000000 -3.073684e-05 -4.237254e-07 -2.846579e-07 -3.103002e-07 2.645767e-05 -4.427183e-04 -3.161368e-05 3.699917e-05
 8959.000000 -3.057284e-05 -4.268542e-07 -2.868278e-07 -3.089527e-07 2.700287e-05 -4.300329e-04 -2.527039e-05 3.395696e-05
 8959.200000 -3.040016e-05 -4.286651e-07 -2.879227e-07 -3.075126e-07 2.710700e-05 -4.322329e-04 -3.146673e-05 2.934192e-05
 8959.400000 -3.040318e-05 -4.307993e-07 -2.891192e-07 -3.074711e-07 2.526526e-05 -4.422673e-04 -3.215350e-05 3.204465e-05
 8959.600000 -3.056282e-05 -4.262998e-07 -2.860721e-07 -3.090529e-07 1.926470e-05 -4.323912e-04 -3.734413e-05 2.815181e-05
