# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.1896261436559
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -349.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.990723
# Detector.I1.voltage: -1649.997681
# Detector.I2.voltage: -1650.002319
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 371152
# Scan.uid: 88f57986-4847-423f-9fde-7a29c2c76e7f
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/23/2023  07:54:45.060915
# Scan.end_time: 06/23/2023  07:55:18.506356
# Scan.name: Cu2O+Ga2O3-2nd PP+O2-ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-2nd
# Sample.comment: 
# Sample.position.x: -66.442995014
# Sample.position.y: 31.099036574
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 120.38018635908762
# SampleHeater.temperature2.readback: 122.60000000000001
# SampleHeater.voltage.setpoint: 0.3294823152970192
# SampleHeater.voltage.readback: 0.323
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 3.0
# SampleGasCart.MFC.CH4.readback: 2.998
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 18.26
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 7.0
# SampleGasHandlingSystem.MFC1.readback: 6.998697757720947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0935872420668602
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.08544921875
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.01220703125
# SampleGasHandlingSystem.MFC6.setpoint: 1.5
# SampleGasHandlingSystem.MFC6.readback: 1.50146484375
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC9.setpoint: 7.0
# SampleGasHandlingSystem.MFC9.readback: 6.998697757720947
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01627604104578495
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0244140625
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0244140625
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.02848307229578495
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.08544921875
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.02848307229578495
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.402046e-05 -4.072862e-07 -2.698290e-07 -3.097520e-07 2.860514e-05 -4.151819e-04 -6.534525e-06 -3.167417e-05
 8784.000000 -3.408214e-05 -4.073750e-07 -2.696571e-07 -3.109685e-07 2.737986e-05 -4.227536e-04 -1.942217e-05 -3.497298e-05
 8789.000000 -3.402928e-05 -4.062373e-07 -2.690674e-07 -3.111598e-07 2.410815e-05 -4.311095e-04 -2.220705e-05 -4.174380e-05
 8794.000000 -3.389795e-05 -4.045817e-07 -2.682488e-07 -3.106767e-07 2.155747e-05 -4.276791e-04 -5.932435e-06 -4.260830e-05
 8799.000000 -3.348534e-05 -4.013673e-07 -2.664038e-07 -3.077033e-07 2.128299e-05 -4.223495e-04 2.378097e-06 -4.902635e-05
 8804.000000 -3.370380e-05 -4.076078e-07 -2.708555e-07 -3.102238e-07 2.623419e-05 -4.174432e-04 -5.837683e-06 -4.445037e-05
 8809.000000 -3.361001e-05 -4.082268e-07 -2.714132e-07 -3.100338e-07 2.866676e-05 -4.070470e-04 -1.103073e-05 -3.880422e-05
 8814.000000 -3.338370e-05 -4.078509e-07 -2.712985e-07 -3.084807e-07 3.319141e-05 -3.905578e-04 -1.263809e-05 -3.574193e-05
 8819.000000 -3.330801e-05 -4.118033e-07 -2.743711e-07 -3.082007e-07 3.693575e-05 -3.686858e-04 -1.949018e-05 -4.049033e-05
 8824.000000 -3.345739e-05 -4.088911e-07 -2.725797e-07 -3.101602e-07 3.642866e-05 -3.757027e-04 -1.039510e-05 -2.970799e-05
 8829.000000 -3.340259e-05 -4.083695e-07 -2.725801e-07 -3.109091e-07 4.238766e-05 -3.683111e-04 -2.209399e-05 -3.125408e-05
 8834.000000 -3.330276e-05 -4.086437e-07 -2.731059e-07 -3.112344e-07 4.744802e-05 -3.568407e-04 -1.439888e-05 -2.561560e-05
 8839.000000 -3.310073e-05 -4.112660e-07 -2.750091e-07 -3.106139e-07 4.923963e-05 -3.528831e-04 -9.461356e-07 -2.963538e-05
 8844.000000 -3.298801e-05 -4.121059e-07 -2.754276e-07 -3.109059e-07 3.893902e-05 -3.492928e-04 -1.285139e-05 -3.271096e-05
 8849.000000 -3.284887e-05 -4.135188e-07 -2.763229e-07 -3.105983e-07 3.751732e-05 -3.541614e-04 -1.053823e-05 -2.225589e-05
 8854.000000 -3.282930e-05 -4.123976e-07 -2.756756e-07 -3.111607e-07 2.882402e-05 -3.530088e-04 -1.446973e-05 -1.840285e-05
 8859.000000 -3.276525e-05 -4.111428e-07 -2.751113e-07 -3.115945e-07 1.281237e-05 -3.654663e-04 -1.584622e-05 -2.634480e-05
 8864.000000 -3.254775e-05 -4.139220e-07 -2.772207e-07 -3.108794e-07 2.111837e-05 -3.518057e-04 -1.020768e-05 -3.314622e-05
 8869.000000 -3.236146e-05 -4.166939e-07 -2.794821e-07 -3.099805e-07 3.391144e-05 -3.399552e-04 -6.962403e-06 -3.685166e-05
 8874.000000 -3.236218e-05 -4.147984e-07 -2.782588e-07 -3.105633e-07 2.859456e-05 -3.632030e-04 -1.048870e-05 -1.983147e-05
 8879.000000 -3.229175e-05 -4.141364e-07 -2.780169e-07 -3.107569e-07 2.993623e-05 -3.570501e-04 -5.320532e-06 -1.713464e-05
 8884.000000 -3.204269e-05 -4.128823e-07 -2.772920e-07 -3.095585e-07 3.701625e-05 -3.667300e-04 -1.982377e-06 -2.975093e-05
 8889.000000 -3.179668e-05 -4.120720e-07 -2.768070e-07 -3.086604e-07 3.167150e-05 -3.465260e-04 -4.505323e-06 -2.837648e-05
 8894.000000 -3.202507e-05 -4.134407e-07 -2.777836e-07 -3.113204e-07 2.439645e-05 -3.504074e-04 -4.069270e-06 -2.011138e-05
 8899.000000 -3.194471e-05 -4.130950e-07 -2.778241e-07 -3.112158e-07 3.412084e-05 -3.651418e-04 8.242346e-07 -2.678031e-05
 8904.000000 -3.181501e-05 -4.143934e-07 -2.789863e-07 -3.104548e-07 2.856751e-05 -3.442740e-04 -6.526437e-06 -4.197639e-05
 8909.000000 -3.169518e-05 -4.151972e-07 -2.795998e-07 -3.096066e-07 1.669404e-05 -3.425784e-04 -1.710536e-05 -3.592562e-05
 8914.000000 -3.145034e-05 -4.141834e-07 -2.789523e-07 -3.079560e-07 1.798702e-05 -3.492843e-04 -1.878866e-05 -3.815045e-05
 8919.000000 -3.136039e-05 -4.157558e-07 -2.802190e-07 -3.079091e-07 2.391241e-05 -3.602436e-04 -1.877060e-05 -3.006285e-05
 8924.000000 -3.121955e-05 -4.153682e-07 -2.799702e-07 -3.076862e-07 2.943069e-05 -3.771784e-04 -1.876321e-05 -2.809202e-05
 8929.000000 -3.122575e-05 -4.180548e-07 -2.816833e-07 -3.093220e-07 2.390963e-05 -3.815745e-04 -2.588778e-05 -2.203455e-05
 8934.000000 -3.110257e-05 -4.199007e-07 -2.830584e-07 -3.093801e-07 1.712876e-05 -3.624622e-04 -2.292815e-05 -3.618352e-05
 8939.000000 -3.090917e-05 -4.231201e-07 -2.852753e-07 -3.088805e-07 2.580703e-05 -3.540729e-04 -2.007019e-05 -4.056116e-05
 8944.000000 -3.075613e-05 -4.257838e-07 -2.870468e-07 -3.085956e-07 2.794385e-05 -3.447042e-04 -2.222221e-05 -3.776861e-05
 8949.000000 -3.074622e-05 -4.217774e-07 -2.840163e-07 -3.092502e-07 2.120041e-05 -3.550475e-04 -1.573105e-05 -3.829263e-05
 8953.000000 -3.066059e-05 -4.200926e-07 -2.827055e-07 -3.091968e-07 1.453974e-05 -3.556842e-04 -1.253075e-05 -4.221496e-05
 8956.000000 -3.061203e-05 -4.189381e-07 -2.817493e-07 -3.093247e-07 1.762983e-05 -3.547187e-04 -2.365852e-05 -4.139144e-05
 8958.000000 -3.058192e-05 -4.185365e-07 -2.809610e-07 -3.095290e-07 1.901756e-05 -3.792275e-04 -1.253508e-05 -4.509773e-05
 8959.000000 -3.054687e-05 -4.189196e-07 -2.810105e-07 -3.096995e-07 2.474363e-05 -3.819597e-04 -5.039588e-06 -3.918021e-05
 8959.200000 -3.052166e-05 -4.186446e-07 -2.808317e-07 -3.094685e-07 2.150172e-05 -3.919267e-04 -4.100143e-06 -3.717644e-05
 8959.400000 -3.057654e-05 -4.182715e-07 -2.806810e-07 -3.100904e-07 2.543921e-05 -3.874657e-04 -3.753917e-07 -4.249444e-05
