# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.96363686218854
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -349.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.006348
# Detector.I1.voltage: -1650.003906
# Detector.I2.voltage: -1650.00415
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 371156
# Scan.uid: 59141a86-8ae8-4ae5-837e-5a76410bdcd0
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/23/2023  07:58:45.530785
# Scan.end_time: 06/23/2023  07:59:17.900306
# Scan.name: Cu2O+Ga2O3-2nd PP+O2-ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-2nd
# Sample.comment: 
# Sample.position.x: -66.442995014
# Sample.position.y: 31.099036574
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 160.39998733997345
# SampleHeater.temperature2.readback: 163.5
# SampleHeater.voltage.setpoint: 0.3769061872822444
# SampleHeater.voltage.readback: 0.373
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 3.0
# SampleGasCart.MFC.CH4.readback: 2.998
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 17.62
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 7.0
# SampleGasHandlingSystem.MFC1.readback: 6.998697757720947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0895182266831398
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC6.setpoint: 1.5
# SampleGasHandlingSystem.MFC6.readback: 1.50146484375
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC9.setpoint: 7.0
# SampleGasHandlingSystem.MFC9.readback: 6.998697757720947
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01627604104578495
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.06103515625
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.02034505270421505
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.01627604104578495
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.02848307229578495
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.02848307229578495
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.388414e-05 -4.167345e-07 -2.759882e-07 -3.088899e-07 -3.666157e-06 -4.905995e-04 -4.995632e-05 -2.443143e-05
 8784.000000 -3.399963e-05 -4.154899e-07 -2.753906e-07 -3.106594e-07 -2.923663e-06 -4.965879e-04 -4.216313e-05 -3.578000e-05
 8789.000000 -3.394387e-05 -4.143615e-07 -2.749346e-07 -3.111574e-07 -5.693343e-06 -4.768128e-04 -4.911447e-05 -3.627287e-05
 8794.000000 -3.382205e-05 -4.126648e-07 -2.737512e-07 -3.108374e-07 -7.693585e-06 -4.728216e-04 -4.379681e-05 -2.435900e-05
 8799.000000 -3.341130e-05 -4.092766e-07 -2.717870e-07 -3.078832e-07 -1.302870e-05 -5.081645e-04 -4.042342e-05 -2.658335e-05
 8804.000000 -3.370670e-05 -4.140799e-07 -2.749851e-07 -3.110745e-07 -1.293081e-05 -5.119072e-04 -3.884701e-05 -1.830184e-05
 8809.000000 -3.361384e-05 -4.149487e-07 -2.758260e-07 -3.106213e-07 -1.574470e-05 -4.956800e-04 -2.940303e-05 -2.151208e-05
 8814.000000 -3.341886e-05 -4.130173e-07 -2.750492e-07 -3.091550e-07 -1.450708e-05 -4.770323e-04 -2.521091e-05 -1.839518e-05
 8819.000000 -3.346318e-05 -4.142980e-07 -2.760612e-07 -3.102732e-07 -1.015640e-05 -4.837837e-04 -2.697951e-05 -1.665003e-05
 8824.000000 -3.337549e-05 -4.158161e-07 -2.772175e-07 -3.102851e-07 -1.294852e-05 -5.141938e-04 -2.819247e-05 -2.458766e-05
 8829.000000 -3.333690e-05 -4.153204e-07 -2.769594e-07 -3.109140e-07 -1.540919e-05 -5.075907e-04 -2.832392e-05 -3.074164e-05
 8834.000000 -3.316280e-05 -4.171958e-07 -2.784616e-07 -3.106333e-07 -1.607619e-05 -5.139367e-04 -2.979562e-05 -3.450417e-05
 8839.000000 -3.310331e-05 -4.162331e-07 -2.781502e-07 -3.111490e-07 -1.961808e-05 -5.299956e-04 -2.721606e-05 -3.569864e-05
 8844.000000 -3.287452e-05 -4.192718e-07 -2.805104e-07 -3.100674e-07 -1.394321e-05 -5.359351e-04 -2.434642e-05 -2.894546e-05
 8849.000000 -3.279442e-05 -4.182452e-07 -2.797731e-07 -3.104531e-07 -1.485603e-05 -5.336935e-04 -3.061157e-05 -2.317548e-05
 8854.000000 -3.274559e-05 -4.166917e-07 -2.785459e-07 -3.112311e-07 -1.799082e-05 -5.338743e-04 -3.980934e-05 -2.308709e-05
 8859.000000 -3.261679e-05 -4.177090e-07 -2.794770e-07 -3.109323e-07 -1.455857e-05 -5.199152e-04 -4.751108e-05 -2.587255e-05
 8864.000000 -3.254899e-05 -4.184473e-07 -2.804582e-07 -3.112006e-07 -6.076748e-06 -5.192674e-04 -3.342589e-05 -1.132089e-05
 8869.000000 -3.253659e-05 -4.163610e-07 -2.793774e-07 -3.118764e-07 -3.413953e-06 -5.050203e-04 -3.425997e-05 -7.613775e-06
 8874.000000 -3.241887e-05 -4.179152e-07 -2.804460e-07 -3.111672e-07 -1.578075e-07 -5.008635e-04 -3.919020e-05 -1.590475e-05
 8879.000000 -3.223236e-05 -4.199577e-07 -2.819923e-07 -3.101419e-07 -1.406967e-05 -4.850215e-04 -3.601913e-05 -2.377535e-05
 8884.000000 -3.204462e-05 -4.173265e-07 -2.804588e-07 -3.098183e-07 -1.525539e-05 -4.796778e-04 -4.381201e-05 -2.689219e-05
 8889.000000 -3.176473e-05 -4.180748e-07 -2.811754e-07 -3.087691e-07 -1.601068e-05 -4.637480e-04 -4.673842e-05 -2.745431e-05
 8894.000000 -3.194507e-05 -4.203862e-07 -2.827497e-07 -3.108624e-07 -2.328097e-05 -4.816115e-04 -3.839314e-05 -2.525977e-05
 8899.000000 -3.188000e-05 -4.201990e-07 -2.827565e-07 -3.108565e-07 -2.338056e-05 -4.844424e-04 -4.891494e-05 -2.507620e-05
 8904.000000 -3.177990e-05 -4.202709e-07 -2.828909e-07 -3.104809e-07 -2.206697e-05 -4.876712e-04 -6.263774e-05 -1.632156e-05
 8909.000000 -3.165191e-05 -4.217946e-07 -2.841599e-07 -3.096380e-07 -1.566201e-05 -5.031922e-04 -5.465190e-05 -1.806100e-05
 8914.000000 -3.140268e-05 -4.207696e-07 -2.832908e-07 -3.079189e-07 -1.504082e-05 -4.992330e-04 -5.281410e-05 -2.366151e-05
 8919.000000 -3.124387e-05 -4.232120e-07 -2.853113e-07 -3.072777e-07 -1.843036e-05 -4.932889e-04 -6.082438e-05 -2.600892e-05
 8924.000000 -3.117477e-05 -4.209283e-07 -2.840076e-07 -3.077765e-07 -1.582762e-05 -4.756980e-04 -5.400506e-05 -2.636182e-05
 8929.000000 -3.120317e-05 -4.233536e-07 -2.854633e-07 -3.095191e-07 -2.219944e-05 -4.784351e-04 -5.109789e-05 -3.034988e-05
 8934.000000 -3.112873e-05 -4.249422e-07 -2.865461e-07 -3.102356e-07 -1.400591e-05 -4.810663e-04 -4.816053e-05 -3.054814e-05
 8939.000000 -3.096078e-05 -4.269528e-07 -2.879305e-07 -3.096539e-07 -1.206933e-05 -4.851041e-04 -4.475472e-05 -2.729225e-05
 8944.000000 -3.087519e-05 -4.255750e-07 -2.868316e-07 -3.098273e-07 -5.173650e-06 -4.748334e-04 -4.507978e-05 -4.054715e-05
 8949.000000 -3.070236e-05 -4.256678e-07 -2.867372e-07 -3.088488e-07 -6.034412e-06 -4.683580e-04 -3.499314e-05 -4.981287e-05
 8953.000000 -3.060379e-05 -4.246151e-07 -2.856810e-07 -3.087922e-07 -5.260799e-06 -4.998245e-04 -4.208968e-05 -5.122727e-05
 8956.000000 -3.056762e-05 -4.236729e-07 -2.847995e-07 -3.093036e-07 -6.764876e-06 -4.969520e-04 -4.196757e-05 -4.663075e-05
 8958.000000 -3.056744e-05 -4.229684e-07 -2.838057e-07 -3.097255e-07 -4.689239e-06 -5.007094e-04 -3.905393e-05 -3.749909e-05
 8959.000000 -3.056352e-05 -4.230110e-07 -2.836175e-07 -3.100325e-07 3.516847e-06 -4.920616e-04 -3.917877e-05 -3.500382e-05
 8959.200000 -3.056934e-05 -4.230842e-07 -2.838157e-07 -3.100933e-07 1.078384e-06 -4.944702e-04 -3.189062e-05 -2.925690e-05
 8959.400000 -3.055357e-05 -4.227219e-07 -2.833852e-07 -3.101362e-07 -2.373320e-06 -4.962358e-04 -2.944289e-05 -3.183043e-05
