# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.89660436669175
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -350.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.997803
# Detector.I1.voltage: -1649.998047
# Detector.I2.voltage: -1649.998657
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 371160
# Scan.uid: 09507ea2-da71-4bc1-9726-48695eeecb1b
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/23/2023  08:02:45.093806
# Scan.end_time: 06/23/2023  08:03:22.175276
# Scan.name: Cu2O+Ga2O3-2nd PP+O2-ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-2nd
# Sample.comment: 
# Sample.position.x: -66.442995014
# Sample.position.y: 31.0989793535
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 200.0
# SampleHeater.temperature2.readback: 200.3
# SampleHeater.voltage.setpoint: 0.5672773755839507
# SampleHeater.voltage.readback: 0.604
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 3.0
# SampleGasCart.MFC.CH4.readback: 2.998
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 17.71
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 7.0
# SampleGasHandlingSystem.MFC1.readback: 6.998697757720947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.08544921875
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0773111954331398
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.01220703125
# SampleGasHandlingSystem.MFC6.setpoint: 1.5
# SampleGasHandlingSystem.MFC6.readback: 1.50146484375
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC9.setpoint: 7.0
# SampleGasHandlingSystem.MFC9.readback: 6.998697757720947
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01627604104578495
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.01627604104578495
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.01627604104578495
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.02848307229578495
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.02848307229578495
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.413485e-05 -4.065125e-07 -2.693001e-07 -3.117435e-07 2.857228e-05 -5.149456e-04 -4.810098e-05 -2.449848e-06
 8784.000000 -3.420403e-05 -4.083729e-07 -2.706441e-07 -3.131610e-07 2.368888e-05 -5.055016e-04 -5.443710e-05 -2.554148e-06
 8789.000000 -3.414934e-05 -4.093368e-07 -2.715891e-07 -3.135825e-07 2.468634e-05 -5.220565e-04 -3.481201e-05 -1.492480e-06
 8794.000000 -3.399374e-05 -4.070800e-07 -2.702122e-07 -3.129668e-07 2.791536e-05 -5.054400e-04 -2.898834e-05 -2.105483e-06
 8799.000000 -3.353871e-05 -4.031298e-07 -2.676885e-07 -3.097910e-07 2.801562e-05 -4.921628e-04 -2.698216e-05 1.893415e-06
 8804.000000 -3.382729e-05 -4.076074e-07 -2.707653e-07 -3.128936e-07 3.180459e-05 -5.078031e-04 -3.215065e-05 -3.335048e-06
 8809.000000 -3.379003e-05 -4.076145e-07 -2.710813e-07 -3.131140e-07 3.405911e-05 -5.049187e-04 -2.786302e-05 8.606735e-06
 8814.000000 -3.358674e-05 -4.060029e-07 -2.701092e-07 -3.115906e-07 2.235956e-05 -5.196174e-04 -3.076749e-05 -6.733348e-07
 8819.000000 -3.357883e-05 -4.072843e-07 -2.713435e-07 -3.122372e-07 2.894997e-05 -5.125745e-04 -3.556989e-05 -2.755146e-06
 8824.000000 -3.335111e-05 -4.113924e-07 -2.742596e-07 -3.113193e-07 2.805742e-05 -4.769963e-04 -2.753694e-05 -1.314736e-05
 8829.000000 -3.334709e-05 -4.103843e-07 -2.735632e-07 -3.122480e-07 2.108030e-05 -4.958441e-04 -2.548122e-05 -1.781261e-05
 8834.000000 -3.327346e-05 -4.103485e-07 -2.736766e-07 -3.127883e-07 1.911131e-05 -5.155704e-04 -3.002479e-05 -1.740732e-05
 8839.000000 -3.323215e-05 -4.094028e-07 -2.733066e-07 -3.132430e-07 2.112248e-05 -5.334795e-04 -4.016129e-05 -1.139553e-05
 8844.000000 -3.314619e-05 -4.100361e-07 -2.739436e-07 -3.135017e-07 2.806985e-05 -5.302747e-04 -3.247226e-05 -1.296778e-05
 8849.000000 -3.304755e-05 -4.105001e-07 -2.743584e-07 -3.136486e-07 1.873621e-05 -5.270687e-04 -3.003752e-05 -7.564104e-06
 8854.000000 -3.296458e-05 -4.101379e-07 -2.745482e-07 -3.140237e-07 2.314155e-05 -5.350412e-04 -2.763921e-05 -4.756169e-06
 8859.000000 -3.282538e-05 -4.107806e-07 -2.749324e-07 -3.139213e-07 2.860069e-05 -5.351602e-04 -3.228251e-05 -4.417647e-06
 8864.000000 -3.274345e-05 -4.107520e-07 -2.750026e-07 -3.141928e-07 3.625338e-05 -5.139548e-04 -4.548943e-05 -7.390793e-06
 8869.000000 -3.258002e-05 -4.120734e-07 -2.761199e-07 -3.134666e-07 4.015097e-05 -5.138708e-04 -4.018033e-05 -7.814501e-06
 8874.000000 -3.252493e-05 -4.122339e-07 -2.762980e-07 -3.137460e-07 3.979622e-05 -5.351582e-04 -3.967080e-05 -5.277524e-06
 8879.000000 -3.241946e-05 -4.126515e-07 -2.766513e-07 -3.131744e-07 3.850762e-05 -5.457795e-04 -4.271558e-05 8.197872e-07
 8884.000000 -3.215411e-05 -4.115791e-07 -2.764479e-07 -3.120968e-07 3.744864e-05 -5.571345e-04 -5.587711e-05 -3.244353e-06
 8889.000000 -3.196846e-05 -4.100561e-07 -2.755710e-07 -3.117545e-07 4.227251e-05 -5.455634e-04 -5.497642e-05 -6.183134e-06
 8894.000000 -3.212448e-05 -4.132785e-07 -2.779941e-07 -3.136437e-07 5.552245e-05 -5.169629e-04 -4.053613e-05 -5.797428e-06
 8899.000000 -3.196935e-05 -4.146756e-07 -2.790890e-07 -3.128800e-07 5.644718e-05 -5.324779e-04 -2.946205e-05 -6.539296e-06
 8904.000000 -3.182109e-05 -4.168989e-07 -2.806098e-07 -3.121347e-07 4.307842e-05 -5.193306e-04 -3.066149e-05 -8.534176e-06
 8909.000000 -3.161571e-05 -4.189132e-07 -2.818884e-07 -3.108071e-07 2.769945e-05 -5.027130e-04 -3.081982e-05 5.593675e-07
 8914.000000 -3.152055e-05 -4.148791e-07 -2.795311e-07 -3.102697e-07 3.093159e-05 -4.966094e-04 -4.059318e-05 -4.516542e-06
 8919.000000 -3.145608e-05 -4.153705e-07 -2.798764e-07 -3.106929e-07 3.641704e-05 -5.095591e-04 -4.886269e-05 -1.338782e-05
 8924.000000 -3.128534e-05 -4.155142e-07 -2.802412e-07 -3.100951e-07 3.872892e-05 -5.017741e-04 -4.885010e-05 -1.559908e-05
 8929.000000 -3.129337e-05 -4.177573e-07 -2.815684e-07 -3.115996e-07 4.230558e-05 -4.794507e-04 -4.154015e-05 -8.605380e-06
 8934.000000 -3.119857e-05 -4.187805e-07 -2.823857e-07 -3.118586e-07 4.544035e-05 -4.720437e-04 -4.510498e-05 -7.724433e-06
 8939.000000 -3.107959e-05 -4.191749e-07 -2.827282e-07 -3.118758e-07 4.497636e-05 -4.780893e-04 -3.932362e-05 -9.141384e-08
 8944.000000 -3.092005e-05 -4.204391e-07 -2.832824e-07 -3.115098e-07 3.621551e-05 -4.910998e-04 -3.924324e-05 -4.536455e-06
 8949.000000 -3.081615e-05 -4.190396e-07 -2.821758e-07 -3.115709e-07 3.915284e-05 -4.759382e-04 -3.991613e-05 -7.176410e-07
 8953.000000 -3.073494e-05 -4.181365e-07 -2.813717e-07 -3.117717e-07 4.750037e-05 -4.477235e-04 -4.035896e-05 1.854020e-07
 8956.000000 -3.063953e-05 -4.183782e-07 -2.812464e-07 -3.116403e-07 4.291492e-05 -4.555669e-04 -3.693587e-05 4.603376e-06
 8958.000000 -3.063498e-05 -4.173392e-07 -2.802270e-07 -3.118495e-07 4.793012e-05 -4.684051e-04 -3.463270e-05 -1.167366e-06
 8959.000000 -3.051638e-05 -4.196064e-07 -2.815354e-07 -3.109633e-07 4.369844e-05 -4.829531e-04 -3.337912e-05 -1.323385e-06
 8959.200000 -3.046119e-05 -4.206936e-07 -2.822533e-07 -3.106237e-07 4.120906e-05 -4.893289e-04 -3.509059e-05 -8.881221e-06
 8959.400000 -3.052811e-05 -4.190105e-07 -2.811868e-07 -3.109555e-07 4.877948e-05 -5.081465e-04 -2.778453e-05 -2.582127e-06
