# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.1537333761804
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -349.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.001465
# Detector.I1.voltage: -1650.002197
# Detector.I2.voltage: -1649.998535
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 371164
# Scan.uid: d458500a-1e9b-465e-bcc6-af891803f5bd
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/23/2023  08:06:50.519736
# Scan.end_time: 06/23/2023  08:07:24.846299
# Scan.name: Cu2O+Ga2O3-2nd PP+O2-ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-2nd
# Sample.comment: 
# Sample.position.x: -66.442995014
# Sample.position.y: 31.09896028
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 200.0
# SampleHeater.temperature2.readback: 197.8
# SampleHeater.voltage.setpoint: 0.5867021877982725
# SampleHeater.voltage.readback: 0.5690000000000001
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 3.0
# SampleGasCart.MFC.CH4.readback: 2.998
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 13.57
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 7.0
# SampleGasHandlingSystem.MFC1.readback: 6.998697757720947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.08544921875
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.01220703125
# SampleGasHandlingSystem.MFC6.setpoint: 1.5
# SampleGasHandlingSystem.MFC6.readback: 1.50146484375
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0895182266831398
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.01627604104578495
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.01220703125
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0244140625
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.0773111954331398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0244140625
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.434400e-05 -4.140306e-07 -2.742191e-07 -3.137305e-07 3.878361e-05 -5.337416e-04 -3.153142e-05 -3.223068e-06
 8784.000000 -3.449638e-05 -4.141911e-07 -2.745656e-07 -3.156725e-07 3.233537e-05 -5.316327e-04 -3.069088e-05 -2.318039e-06
 8789.000000 -3.447781e-05 -4.148066e-07 -2.749924e-07 -3.163494e-07 3.957538e-05 -5.388270e-04 -2.518270e-05 -6.828420e-06
 8794.000000 -3.437230e-05 -4.134533e-07 -2.741336e-07 -3.164009e-07 3.221003e-05 -5.333808e-04 -1.955256e-05 -1.774243e-06
 8799.000000 -3.395791e-05 -4.096750e-07 -2.716019e-07 -3.136377e-07 3.629278e-05 -5.148638e-04 -2.786163e-05 -4.513305e-06
 8804.000000 -3.422694e-05 -4.135799e-07 -2.746593e-07 -3.164397e-07 3.914793e-05 -5.160353e-04 -2.619910e-05 2.738077e-06
 8809.000000 -3.410643e-05 -4.138268e-07 -2.752023e-07 -3.161146e-07 3.921465e-05 -5.134798e-04 -2.038650e-05 1.856764e-06
 8814.000000 -3.393238e-05 -4.128979e-07 -2.747771e-07 -3.148939e-07 2.914888e-05 -5.207795e-04 -3.666975e-05 -2.349211e-06
 8819.000000 -3.394553e-05 -4.141281e-07 -2.757128e-07 -3.153226e-07 2.592101e-05 -5.204935e-04 -2.719809e-05 -4.467103e-06
 8824.000000 -3.384438e-05 -4.151621e-07 -2.766377e-07 -3.154449e-07 2.236066e-05 -5.395269e-04 -3.611991e-05 3.293272e-06
 8829.000000 -3.378345e-05 -4.149842e-07 -2.767273e-07 -3.156828e-07 2.161229e-05 -5.310631e-04 -4.444288e-05 2.651845e-06
 8834.000000 -3.367994e-05 -4.154540e-07 -2.771404e-07 -3.158698e-07 1.888199e-05 -5.204046e-04 -4.366553e-05 -1.960154e-06
 8839.000000 -3.358364e-05 -4.153479e-07 -2.770069e-07 -3.163499e-07 2.066302e-05 -5.061084e-04 -3.710798e-05 -1.007129e-05
 8844.000000 -3.348842e-05 -4.153668e-07 -2.772044e-07 -3.167024e-07 1.615563e-05 -5.207451e-04 -3.576143e-05 -1.249182e-05
 8849.000000 -3.338290e-05 -4.164724e-07 -2.782419e-07 -3.164795e-07 2.012401e-05 -5.278396e-04 -3.380747e-05 -1.007439e-05
 8854.000000 -3.327721e-05 -4.162096e-07 -2.784430e-07 -3.165335e-07 2.764321e-05 -5.868563e-04 -3.295171e-05 -1.501991e-05
 8859.000000 -3.316170e-05 -4.166573e-07 -2.788209e-07 -3.166663e-07 1.911205e-05 -5.942791e-04 -2.764626e-05 -5.883064e-06
 8864.000000 -3.306515e-05 -4.174368e-07 -2.795572e-07 -3.168094e-07 1.401170e-05 -5.699640e-04 -3.582325e-05 -1.900622e-06
 8869.000000 -3.298043e-05 -4.173831e-07 -2.798474e-07 -3.168836e-07 1.947337e-05 -5.681848e-04 -3.461376e-05 -1.063656e-05
 8874.000000 -3.285562e-05 -4.179550e-07 -2.803687e-07 -3.164334e-07 1.358476e-05 -5.775747e-04 -4.117715e-05 -1.311781e-05
 8879.000000 -3.274078e-05 -4.181669e-07 -2.809399e-07 -3.163890e-07 1.743769e-05 -6.017532e-04 -2.908194e-05 -8.315996e-06
 8884.000000 -3.249961e-05 -4.164968e-07 -2.800658e-07 -3.151390e-07 2.844973e-05 -5.917037e-04 -2.881392e-05 -1.300633e-05
 8889.000000 -3.216888e-05 -4.168203e-07 -2.805113e-07 -3.132794e-07 2.910815e-05 -5.924270e-04 -3.677540e-05 -1.091501e-05
 8894.000000 -3.242956e-05 -4.190282e-07 -2.818456e-07 -3.160260e-07 2.970813e-05 -5.807323e-04 -3.211566e-05 -6.806069e-06
 8899.000000 -3.233485e-05 -4.192466e-07 -2.821388e-07 -3.159319e-07 1.662126e-05 -5.800866e-04 -3.278006e-05 -4.022208e-06
 8904.000000 -3.220084e-05 -4.197561e-07 -2.824895e-07 -3.151916e-07 1.566371e-05 -5.865223e-04 -4.138242e-05 -6.550109e-06
 8909.000000 -3.208457e-05 -4.206570e-07 -2.830878e-07 -3.145849e-07 2.384238e-05 -5.796320e-04 -4.031838e-05 -1.313562e-05
 8914.000000 -3.182211e-05 -4.189716e-07 -2.820992e-07 -3.124144e-07 2.104767e-05 -5.743971e-04 -3.845592e-05 -1.534415e-05
 8919.000000 -3.176234e-05 -4.204096e-07 -2.831589e-07 -3.123913e-07 2.985321e-05 -5.724444e-04 -3.608031e-05 -1.922202e-05
 8924.000000 -3.157553e-05 -4.198288e-07 -2.827724e-07 -3.120872e-07 3.527718e-05 -5.863054e-04 -3.970319e-05 -2.100836e-05
 8929.000000 -3.155662e-05 -4.226936e-07 -2.849213e-07 -3.137908e-07 4.278736e-05 -6.095880e-04 -3.853130e-05 -1.223847e-05
 8934.000000 -3.146871e-05 -4.238705e-07 -2.857399e-07 -3.138431e-07 4.354127e-05 -6.073512e-04 -3.576505e-05 -9.034674e-06
 8939.000000 -3.132957e-05 -4.241196e-07 -2.857362e-07 -3.134799e-07 3.510383e-05 -5.735793e-04 -3.082930e-05 -1.633359e-05
 8944.000000 -3.118921e-05 -4.244439e-07 -2.861592e-07 -3.134325e-07 3.280779e-05 -5.708318e-04 -3.152401e-05 -1.932754e-05
 8949.000000 -3.106305e-05 -4.234064e-07 -2.851833e-07 -3.136937e-07 2.680397e-05 -5.811519e-04 -3.115921e-05 -1.691364e-05
 8953.000000 -3.096355e-05 -4.230509e-07 -2.846532e-07 -3.139468e-07 3.297290e-05 -5.606227e-04 -2.157828e-05 -1.339079e-05
 8956.000000 -3.089587e-05 -4.223017e-07 -2.839826e-07 -3.138252e-07 3.438928e-05 -5.535423e-04 -2.506953e-05 -8.250043e-06
 8958.000000 -3.079104e-05 -4.218910e-07 -2.834458e-07 -3.131968e-07 3.354584e-05 -5.615512e-04 -3.448188e-05 -5.844911e-06
 8959.000000 -3.086544e-05 -4.204314e-07 -2.823235e-07 -3.142295e-07 3.274003e-05 -5.576433e-04 -4.278706e-05 -8.159080e-06
 8959.200000 -3.084421e-05 -4.204686e-07 -2.821739e-07 -3.140951e-07 2.763359e-05 -5.587693e-04 -5.593117e-05 -1.458810e-05
 8959.400000 -3.085088e-05 -4.213556e-07 -2.824025e-07 -3.142322e-07 3.239665e-05 -5.602403e-04 -4.459734e-05 -1.133977e-05
