# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.36868054013974
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -349.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.015137
# Detector.I1.voltage: -1649.999512
# Detector.I2.voltage: -1650.0
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 371174
# Scan.uid: 3caf83dc-979e-43d1-bbcd-166f61d86476
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/23/2023  08:16:45.091460
# Scan.end_time: 06/23/2023  08:17:20.385627
# Scan.name: Cu2O+Ga2O3-2nd PP+O2-ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-2nd
# Sample.comment: 
# Sample.position.x: -66.442995014
# Sample.position.y: 31.09896028
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 240.2066024939219
# SampleHeater.temperature2.readback: 242.0
# SampleHeater.voltage.setpoint: 0.5744041479259782
# SampleHeater.voltage.readback: 0.5700000000000001
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 3.0
# SampleGasCart.MFC.CH4.readback: 2.998
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 11.38
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 7.0
# SampleGasHandlingSystem.MFC1.readback: 6.998697757720947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0773111954331398
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.01220703125
# SampleGasHandlingSystem.MFC6.setpoint: 1.5
# SampleGasHandlingSystem.MFC6.readback: 1.50146484375
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.09765625
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.01627604104578495
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.01220703125
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0244140625
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.0732421875
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.02848307229578495
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.431676e-05 -4.150549e-07 -2.749483e-07 -3.135966e-07 -3.634853e-06 -5.486083e-04 -3.603734e-05 5.355752e-05
 8784.000000 -3.436418e-05 -4.153220e-07 -2.753161e-07 -3.145895e-07 -3.764111e-06 -5.637997e-04 -4.614572e-05 5.387245e-05
 8789.000000 -3.434058e-05 -4.142814e-07 -2.748324e-07 -3.152764e-07 -2.976195e-06 -5.365516e-04 -3.980625e-05 6.324112e-05
 8794.000000 -3.415300e-05 -4.131603e-07 -2.742433e-07 -3.144331e-07 2.542220e-06 -5.357214e-04 -2.608809e-05 6.759288e-05
 8799.000000 -3.374697e-05 -4.092253e-07 -2.715557e-07 -3.117517e-07 -5.032264e-06 -5.137919e-04 -1.498278e-05 5.842606e-05
 8804.000000 -3.407686e-05 -4.129095e-07 -2.743491e-07 -3.154658e-07 -3.200587e-06 -5.190207e-04 -1.631395e-05 5.535645e-05
 8809.000000 -3.399947e-05 -4.143186e-07 -2.752459e-07 -3.151241e-07 5.135843e-07 -5.109294e-04 -3.072102e-05 4.797644e-05
 8814.000000 -3.383000e-05 -4.129291e-07 -2.749863e-07 -3.135955e-07 1.456507e-06 -4.945017e-04 -3.572893e-05 4.226556e-05
 8819.000000 -3.387130e-05 -4.145341e-07 -2.761705e-07 -3.145732e-07 2.159649e-06 -5.061181e-04 -2.562864e-05 4.568522e-05
 8824.000000 -3.379690e-05 -4.157139e-07 -2.769793e-07 -3.146914e-07 1.796422e-06 -5.045123e-04 -3.615855e-05 4.465423e-05
 8829.000000 -3.365247e-05 -4.172605e-07 -2.781411e-07 -3.147960e-07 4.107729e-06 -4.919174e-04 -4.090366e-05 4.296608e-05
 8834.000000 -3.352947e-05 -4.182039e-07 -2.789124e-07 -3.147770e-07 1.146955e-05 -5.022654e-04 -3.601557e-05 4.729833e-05
 8839.000000 -3.346917e-05 -4.173942e-07 -2.785620e-07 -3.151448e-07 2.524759e-06 -5.191185e-04 -4.910931e-05 4.553240e-05
 8844.000000 -3.338295e-05 -4.177553e-07 -2.792673e-07 -3.156581e-07 -3.846299e-07 -5.349819e-04 -3.997690e-05 4.844144e-05
 8849.000000 -3.324507e-05 -4.192243e-07 -2.804793e-07 -3.154181e-07 -9.080183e-06 -5.334729e-04 -4.109615e-05 4.694172e-05
 8854.000000 -3.310575e-05 -4.204714e-07 -2.813984e-07 -3.152169e-07 -4.217813e-06 -5.340949e-04 -3.834995e-05 4.420254e-05
 8859.000000 -3.305984e-05 -4.198111e-07 -2.811436e-07 -3.158744e-07 -2.529298e-06 -5.292022e-04 -3.338282e-05 4.358087e-05
 8864.000000 -3.297176e-05 -4.204544e-07 -2.816738e-07 -3.162134e-07 -5.780479e-06 -5.367072e-04 -2.782457e-05 4.904629e-05
 8869.000000 -3.287890e-05 -4.209147e-07 -2.820469e-07 -3.160454e-07 -6.478618e-06 -5.311444e-04 -3.333326e-05 4.638782e-05
 8874.000000 -3.279332e-05 -4.215686e-07 -2.830955e-07 -3.159213e-07 -3.089896e-06 -5.329570e-04 -2.917766e-05 5.328918e-05
 8879.000000 -3.267633e-05 -4.217323e-07 -2.832740e-07 -3.157804e-07 -1.479904e-06 -5.380915e-04 -3.651704e-05 5.455768e-05
 8884.000000 -3.237627e-05 -4.210894e-07 -2.830838e-07 -3.140889e-07 -7.073442e-06 -5.242476e-04 -3.155564e-05 4.948862e-05
 8889.000000 -3.210719e-05 -4.207778e-07 -2.829112e-07 -3.129795e-07 -8.361408e-06 -5.053120e-04 -3.568802e-05 4.665568e-05
 8894.000000 -3.221710e-05 -4.250516e-07 -2.856390e-07 -3.140964e-07 -1.013516e-05 -5.106018e-04 -3.284128e-05 4.394562e-05
 8899.000000 -3.221420e-05 -4.238183e-07 -2.849983e-07 -3.147728e-07 6.681612e-07 -5.314680e-04 -3.043823e-05 5.442436e-05
 8904.000000 -3.211030e-05 -4.244929e-07 -2.854983e-07 -3.144751e-07 -6.921250e-06 -5.215099e-04 -3.659829e-05 3.823010e-05
 8909.000000 -3.194755e-05 -4.256694e-07 -2.866620e-07 -3.134824e-07 -2.801971e-06 -5.245952e-04 -4.304024e-05 4.001028e-05
 8914.000000 -3.175526e-05 -4.238277e-07 -2.853847e-07 -3.123376e-07 -5.181452e-06 -5.023250e-04 -4.008172e-05 4.750641e-05
 8919.000000 -3.165606e-05 -4.242956e-07 -2.857772e-07 -3.124922e-07 6.670388e-06 -5.024771e-04 -4.365337e-05 4.470487e-05
 8924.000000 -3.145117e-05 -4.252021e-07 -2.862735e-07 -3.116367e-07 1.067621e-05 -4.928945e-04 -3.509400e-05 4.195708e-05
 8929.000000 -3.130655e-05 -4.303171e-07 -2.900133e-07 -3.114904e-07 1.767408e-06 -4.923178e-04 -4.020884e-05 4.033250e-05
 8934.000000 -3.139604e-05 -4.277353e-07 -2.883856e-07 -3.133422e-07 8.322009e-06 -4.988684e-04 -3.730674e-05 4.722092e-05
 8939.000000 -3.128204e-05 -4.285623e-07 -2.887657e-07 -3.131721e-07 8.174819e-06 -5.100654e-04 -3.954583e-05 4.805594e-05
 8944.000000 -3.120320e-05 -4.283036e-07 -2.886158e-07 -3.132762e-07 4.493654e-06 -4.966008e-04 -3.547680e-05 3.644229e-05
 8949.000000 -3.104547e-05 -4.276298e-07 -2.880686e-07 -3.130658e-07 -3.810828e-06 -5.346678e-04 -3.360958e-05 4.497816e-05
 8953.000000 -3.094410e-05 -4.275495e-07 -2.876074e-07 -3.130266e-07 -2.696243e-06 -5.821951e-04 -3.429773e-05 4.290271e-05
 8956.000000 -3.091936e-05 -4.268809e-07 -2.869180e-07 -3.135842e-07 -6.632605e-06 -5.918790e-04 -2.756276e-05 4.395960e-05
 8958.000000 -3.091202e-05 -4.263822e-07 -2.863326e-07 -3.139185e-07 -7.156649e-06 -6.162507e-04 -2.701533e-05 4.149769e-05
 8959.000000 -3.087532e-05 -4.267906e-07 -2.862323e-07 -3.136814e-07 -1.384625e-05 -6.234678e-04 -2.611418e-05 3.455035e-05
 8959.200000 -3.088490e-05 -4.260058e-07 -2.856512e-07 -3.137461e-07 -1.407927e-05 -6.259183e-04 -2.118851e-05 4.152316e-05
 8959.400000 -3.086908e-05 -4.272083e-07 -2.866782e-07 -3.136973e-07 -1.193226e-05 -6.178433e-04 -3.488087e-05 2.780480e-05
