# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.2811260157896
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -349.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.001465
# Detector.I1.voltage: -1650.003906
# Detector.I2.voltage: -1650.003662
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 371182
# Scan.uid: 4863bd3f-47ba-43e2-b120-db690e702a66
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/23/2023  08:24:46.600223
# Scan.end_time: 06/23/2023  08:25:19.793136
# Scan.name: Cu2O+Ga2O3-2nd PP+O2-ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-2nd
# Sample.comment: 
# Sample.position.x: -66.442995014
# Sample.position.y: 31.0990556475
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 280.3051902850469
# SampleHeater.temperature2.readback: 282.3
# SampleHeater.voltage.setpoint: 0.6443124025855858
# SampleHeater.voltage.readback: 0.66
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 3.0
# SampleGasCart.MFC.CH4.readback: 2.998
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.84
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 7.0
# SampleGasHandlingSystem.MFC1.readback: 6.998697757720947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0773111954331398
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0732421875
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC6.setpoint: 1.5
# SampleGasHandlingSystem.MFC6.readback: 1.50146484375
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.08544921875
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0895182266831398
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.048828125
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.01220703125
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0244140625
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0244140625
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.387157e-05 -4.102824e-07 -2.718011e-07 -3.111195e-07 2.025960e-05 -5.241097e-04 -3.081156e-05 5.226119e-05
 8784.000000 -3.384986e-05 -4.134196e-07 -2.741899e-07 -3.113627e-07 2.880780e-05 -5.149627e-04 -3.188983e-05 5.028628e-05
 8789.000000 -3.362072e-05 -4.177384e-07 -2.769350e-07 -3.100236e-07 3.342729e-05 -5.135010e-04 -2.617678e-05 4.876154e-05
 8794.000000 -3.360030e-05 -4.125377e-07 -2.735533e-07 -3.107930e-07 3.362124e-05 -5.081077e-04 -3.474713e-05 5.084851e-05
 8799.000000 -3.331635e-05 -4.067270e-07 -2.702043e-07 -3.089673e-07 2.633974e-05 -5.203155e-04 -3.008487e-05 5.324003e-05
 8804.000000 -3.360245e-05 -4.115308e-07 -2.735717e-07 -3.121332e-07 2.526734e-05 -5.497223e-04 -2.146515e-05 4.834713e-05
 8809.000000 -3.356855e-05 -4.104963e-07 -2.728189e-07 -3.124755e-07 2.956949e-05 -5.777742e-04 -1.789118e-05 5.356540e-05
 8814.000000 -3.340167e-05 -4.095719e-07 -2.724776e-07 -3.111747e-07 2.760553e-05 -5.750800e-04 -1.156585e-05 5.183214e-05
 8819.000000 -3.338026e-05 -4.123563e-07 -2.747786e-07 -3.115422e-07 2.523534e-05 -5.637546e-04 -1.660832e-05 4.417865e-05
 8824.000000 -3.332788e-05 -4.126489e-07 -2.751918e-07 -3.123016e-07 2.264914e-05 -5.838267e-04 -1.538879e-05 4.568156e-05
 8829.000000 -3.327067e-05 -4.123370e-07 -2.751680e-07 -3.130017e-07 1.815342e-05 -5.814599e-04 -2.030937e-05 3.885543e-05
 8834.000000 -3.315722e-05 -4.129769e-07 -2.756614e-07 -3.129156e-07 1.920717e-05 -5.994696e-04 -2.863403e-05 3.860471e-05
 8839.000000 -3.308158e-05 -4.125820e-07 -2.755073e-07 -3.133511e-07 2.566574e-05 -6.026339e-04 -3.938373e-05 4.810510e-05
 8844.000000 -3.296176e-05 -4.131241e-07 -2.760240e-07 -3.130444e-07 2.826646e-05 -5.960146e-04 -3.442701e-05 5.160013e-05
 8849.000000 -3.279780e-05 -4.148375e-07 -2.772552e-07 -3.125263e-07 2.785513e-05 -6.117681e-04 -3.515941e-05 4.664826e-05
 8854.000000 -3.263827e-05 -4.164811e-07 -2.786064e-07 -3.119850e-07 2.952458e-05 -6.086932e-04 -2.970251e-05 4.147486e-05
 8859.000000 -3.260437e-05 -4.145010e-07 -2.776200e-07 -3.127553e-07 3.368599e-05 -6.282553e-04 -2.863320e-05 4.351957e-05
 8864.000000 -3.247812e-05 -4.147501e-07 -2.781829e-07 -3.126455e-07 2.750290e-05 -6.272638e-04 -3.464071e-05 3.968842e-05
 8869.000000 -3.238712e-05 -4.140322e-07 -2.776304e-07 -3.128177e-07 1.927920e-05 -6.145273e-04 -3.774705e-05 2.974531e-05
 8874.000000 -3.222997e-05 -4.155770e-07 -2.786873e-07 -3.121583e-07 2.058518e-05 -5.938181e-04 -3.746167e-05 3.073634e-05
 8879.000000 -3.213448e-05 -4.154896e-07 -2.788439e-07 -3.121570e-07 2.943491e-05 -6.010614e-04 -1.653096e-05 3.346911e-05
 8884.000000 -3.198679e-05 -4.123269e-07 -2.771477e-07 -3.119961e-07 3.483248e-05 -6.100937e-04 -2.364152e-05 3.749659e-05
 8889.000000 -3.171529e-05 -4.122167e-07 -2.769594e-07 -3.107141e-07 2.647298e-05 -6.110213e-04 -2.987799e-05 3.273457e-05
 8894.000000 -3.184731e-05 -4.160860e-07 -2.799074e-07 -3.119640e-07 2.521332e-05 -6.551421e-04 -2.854792e-05 2.750327e-05
 8899.000000 -3.181958e-05 -4.142810e-07 -2.788534e-07 -3.125229e-07 2.599673e-05 -6.467083e-04 -1.512531e-05 3.464817e-05
 8904.000000 -3.168530e-05 -4.150434e-07 -2.795325e-07 -3.119769e-07 2.964990e-05 -6.450200e-04 -2.066102e-05 3.720305e-05
 8909.000000 -3.152045e-05 -4.164994e-07 -2.804302e-07 -3.108684e-07 3.082289e-05 -6.234611e-04 -3.037519e-05 3.646887e-05
 8914.000000 -3.120884e-05 -4.174990e-07 -2.811191e-07 -3.086251e-07 2.648060e-05 -6.128409e-04 -3.167394e-05 4.893551e-05
 8919.000000 -3.123403e-05 -4.160011e-07 -2.804078e-07 -3.096746e-07 2.763708e-05 -6.278207e-04 -3.277230e-05 5.835655e-05
 8924.000000 -3.110743e-05 -4.150714e-07 -2.798218e-07 -3.096543e-07 3.729405e-05 -5.986731e-04 -4.197107e-05 5.263288e-05
 8929.000000 -3.112289e-05 -4.173529e-07 -2.813249e-07 -3.112273e-07 4.168699e-05 -5.977023e-04 -2.959859e-05 4.989746e-05
 8934.000000 -3.100215e-05 -4.189995e-07 -2.826544e-07 -3.109435e-07 2.967686e-05 -5.942055e-04 -2.663118e-05 5.127917e-05
 8939.000000 -3.088460e-05 -4.191767e-07 -2.826182e-07 -3.110668e-07 2.817696e-05 -5.872354e-04 -2.866419e-05 4.995205e-05
 8944.000000 -3.077838e-05 -4.187774e-07 -2.821919e-07 -3.111090e-07 2.293068e-05 -5.746937e-04 -2.703272e-05 3.935549e-05
 8949.000000 -3.063744e-05 -4.192142e-07 -2.823764e-07 -3.105425e-07 1.889756e-05 -5.862082e-04 -3.701508e-05 4.333470e-05
 8953.000000 -3.056059e-05 -4.204268e-07 -2.827487e-07 -3.105648e-07 1.678414e-05 -6.089874e-04 -4.216782e-05 5.290219e-05
 8956.000000 -3.049186e-05 -4.210030e-07 -2.830663e-07 -3.110056e-07 2.114218e-05 -6.148964e-04 -3.192081e-05 5.338408e-05
 8958.000000 -3.042909e-05 -4.217537e-07 -2.831965e-07 -3.111390e-07 1.907556e-05 -6.272749e-04 -3.559237e-05 5.468332e-05
 8959.000000 -3.032019e-05 -4.250450e-07 -2.853188e-07 -3.100164e-07 2.165808e-05 -6.123726e-04 -3.612229e-05 5.733728e-05
 8959.200000 -3.024615e-05 -4.280100e-07 -2.874880e-07 -3.091292e-07 1.441868e-05 -6.109459e-04 -4.674948e-05 5.507489e-05
 8959.400000 -3.021469e-05 -4.276935e-07 -2.875083e-07 -3.088661e-07 1.862098e-05 -6.018184e-04 -3.889076e-05 5.104889e-05
