# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.3887749456754
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.002563
# Detector.I1.voltage: -1649.997681
# Detector.I2.voltage: -1649.997925
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 371184
# Scan.uid: dcb743b0-267b-4a04-bcee-88e193c6dc63
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/23/2023  08:26:45.085628
# Scan.end_time: 06/23/2023  08:27:17.527248
# Scan.name: Cu2O+Ga2O3-2nd PP+O2-ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-2nd
# Sample.comment: 
# Sample.position.x: -66.442995014
# Sample.position.y: 31.099036574
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 290.1986863017082
# SampleHeater.temperature2.readback: 290.7
# SampleHeater.voltage.setpoint: 0.6926064958995527
# SampleHeater.voltage.readback: 0.7010000000000001
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 3.0
# SampleGasCart.MFC.CH4.readback: 2.998
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.85
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 7.0
# SampleGasHandlingSystem.MFC1.readback: 6.998697757720947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0773111954331398
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0732421875
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC6.setpoint: 1.5
# SampleGasHandlingSystem.MFC6.readback: 1.50146484375
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0895182266831398
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.048828125
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.01220703125
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0244140625
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0244140625
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.393142e-05 -4.210165e-07 -2.788714e-07 -3.114017e-07 -5.831804e-06 -5.800524e-04 -6.044220e-05 5.817435e-05
 8784.000000 -3.403684e-05 -4.204258e-07 -2.785922e-07 -3.131855e-07 8.100694e-07 -5.766733e-04 -6.059875e-05 5.857099e-05
 8789.000000 -3.400558e-05 -4.191532e-07 -2.778349e-07 -3.140875e-07 2.110969e-06 -5.939162e-04 -5.524313e-05 5.249024e-05
 8794.000000 -3.385809e-05 -4.190748e-07 -2.780453e-07 -3.134501e-07 -2.875788e-06 -6.094853e-04 -5.412114e-05 5.893797e-05
 8799.000000 -3.343743e-05 -4.158399e-07 -2.761323e-07 -3.104461e-07 -2.800688e-06 -6.200671e-04 -6.022345e-05 5.816124e-05
 8804.000000 -3.375789e-05 -4.201742e-07 -2.792879e-07 -3.138394e-07 -1.486067e-06 -5.934742e-04 -7.100693e-05 4.682863e-05
 8809.000000 -3.369182e-05 -4.202204e-07 -2.795757e-07 -3.137178e-07 1.001005e-05 -5.871471e-04 -6.803417e-05 4.784179e-05
 8814.000000 -3.347845e-05 -4.203236e-07 -2.798982e-07 -3.123439e-07 1.053673e-05 -5.878915e-04 -7.244366e-05 5.604238e-05
 8819.000000 -3.346944e-05 -4.212150e-07 -2.804351e-07 -3.132473e-07 1.827097e-05 -5.922294e-04 -7.741028e-05 5.737232e-05
 8824.000000 -3.342538e-05 -4.210186e-07 -2.803610e-07 -3.134452e-07 2.279495e-05 -5.806224e-04 -7.486876e-05 5.826764e-05
 8829.000000 -3.333310e-05 -4.221220e-07 -2.813566e-07 -3.133989e-07 2.024006e-05 -5.813278e-04 -6.508830e-05 5.560528e-05
 8834.000000 -3.321625e-05 -4.227220e-07 -2.820632e-07 -3.132161e-07 2.287175e-05 -5.821055e-04 -6.493392e-05 6.577240e-05
 8839.000000 -3.312614e-05 -4.223908e-07 -2.822258e-07 -3.135282e-07 1.700270e-05 -5.647851e-04 -6.681781e-05 6.193353e-05
 8844.000000 -3.298606e-05 -4.232192e-07 -2.830328e-07 -3.133878e-07 1.626056e-05 -5.658602e-04 -6.351711e-05 4.999316e-05
 8849.000000 -3.290618e-05 -4.227984e-07 -2.829941e-07 -3.136727e-07 1.481766e-05 -5.787076e-04 -6.440257e-05 4.323835e-05
 8854.000000 -3.273704e-05 -4.248399e-07 -2.844428e-07 -3.133290e-07 1.077107e-05 -5.673473e-04 -5.752566e-05 4.378005e-05
 8859.000000 -3.269588e-05 -4.234184e-07 -2.834715e-07 -3.142093e-07 6.378522e-06 -5.536726e-04 -5.534179e-05 4.484475e-05
 8864.000000 -3.264984e-05 -4.230880e-07 -2.834221e-07 -3.150162e-07 1.757635e-05 -5.700112e-04 -5.580181e-05 4.585208e-05
 8869.000000 -3.253736e-05 -4.228228e-07 -2.836349e-07 -3.147852e-07 1.936068e-05 -5.787577e-04 -5.061477e-05 4.596965e-05
 8874.000000 -3.242681e-05 -4.233072e-07 -2.839759e-07 -3.147255e-07 7.722528e-06 -5.865282e-04 -5.587919e-05 5.160411e-05
 8879.000000 -3.228998e-05 -4.237919e-07 -2.844507e-07 -3.146435e-07 9.755194e-06 -5.805640e-04 -6.130601e-05 5.786408e-05
 8884.000000 -3.207099e-05 -4.214928e-07 -2.830048e-07 -3.136693e-07 3.956279e-06 -5.881495e-04 -6.594238e-05 5.514542e-05
 8889.000000 -3.181064e-05 -4.214551e-07 -2.833114e-07 -3.121305e-07 2.242924e-05 -5.885654e-04 -6.355677e-05 4.390933e-05
 8894.000000 -3.196913e-05 -4.246527e-07 -2.855921e-07 -3.137846e-07 2.014773e-05 -5.888124e-04 -4.855479e-05 5.466581e-05
 8899.000000 -3.190094e-05 -4.241936e-07 -2.853734e-07 -3.136948e-07 1.814855e-05 -5.778135e-04 -4.644913e-05 6.703287e-05
 8904.000000 -3.178091e-05 -4.243357e-07 -2.855972e-07 -3.128403e-07 1.918317e-05 -5.762770e-04 -4.305100e-05 6.084096e-05
 8909.000000 -3.167744e-05 -4.251101e-07 -2.864753e-07 -3.123472e-07 8.969120e-06 -5.682321e-04 -4.520994e-05 5.851126e-05
 8914.000000 -3.139893e-05 -4.250022e-07 -2.864665e-07 -3.101778e-07 1.182560e-05 -5.609492e-04 -4.701906e-05 5.888246e-05
 8919.000000 -3.133573e-05 -4.254094e-07 -2.866249e-07 -3.105082e-07 2.527090e-05 -5.626842e-04 -5.741036e-05 5.438083e-05
 8924.000000 -3.110410e-05 -4.274650e-07 -2.878396e-07 -3.095379e-07 2.359974e-05 -5.377234e-04 -5.951480e-05 4.901790e-05
 8929.000000 -3.120900e-05 -4.278697e-07 -2.880985e-07 -3.122442e-07 1.560187e-05 -5.614264e-04 -6.597866e-05 4.830932e-05
 8934.000000 -3.113944e-05 -4.277736e-07 -2.883345e-07 -3.126450e-07 1.781816e-05 -5.586613e-04 -6.552561e-05 5.708467e-05
 8939.000000 -3.100529e-05 -4.283564e-07 -2.888055e-07 -3.122804e-07 2.184462e-05 -5.840021e-04 -6.761228e-05 6.114203e-05
 8944.000000 -3.088590e-05 -4.292899e-07 -2.892660e-07 -3.121153e-07 1.190037e-05 -5.911712e-04 -6.801844e-05 4.895554e-05
 8949.000000 -3.071373e-05 -4.301493e-07 -2.897406e-07 -3.112871e-07 4.763034e-06 -6.038919e-04 -7.574020e-05 4.180696e-05
 8953.000000 -3.065345e-05 -4.294151e-07 -2.888758e-07 -3.116893e-07 1.234243e-05 -5.986797e-04 -6.839725e-05 4.731941e-05
 8956.000000 -3.062991e-05 -4.290363e-07 -2.884403e-07 -3.124768e-07 9.965078e-06 -5.832216e-04 -6.904065e-05 5.039514e-05
 8958.000000 -3.061752e-05 -4.282837e-07 -2.877301e-07 -3.128234e-07 1.052033e-05 -5.685075e-04 -6.666107e-05 5.145541e-05
 8959.000000 -3.059181e-05 -4.282435e-07 -2.876859e-07 -3.128495e-07 7.443015e-06 -5.737674e-04 -6.053582e-05 5.352621e-05
 8959.200000 -3.057856e-05 -4.288822e-07 -2.881104e-07 -3.127981e-07 1.437724e-05 -5.627694e-04 -5.064947e-05 5.966116e-05
 8959.400000 -3.052531e-05 -4.295736e-07 -2.883805e-07 -3.124545e-07 1.920573e-05 -5.603276e-04 -6.165170e-05 6.033869e-05
