# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.48569337744715
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -349.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.98938
# Detector.I1.voltage: -1650.001953
# Detector.I2.voltage: -1650.000977
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 371143
# Scan.uid: 0be66edb-c6ae-4419-a029-e1f4ace2d358
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  07:45:45.047987
# Scan.end_time: 06/23/2023  07:46:18.089446
# Scan.name: Cu2O+Ga2O3-2nd PP+O2-ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-2nd
# Sample.comment: 
# Sample.position.x: -66.442995014
# Sample.position.y: 31.0989793535
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 89.93425091397654
# SampleHeater.temperature2.readback: 92.4
# SampleHeater.voltage.setpoint: 0.3074663207166512
# SampleHeater.voltage.readback: 0.315
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 3.0
# SampleGasCart.MFC.CH4.readback: 2.998
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 19.51
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 7.0
# SampleGasHandlingSystem.MFC1.readback: 6.998697757720947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0895182266831398
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.01220703125
# SampleGasHandlingSystem.MFC6.setpoint: 1.5
# SampleGasHandlingSystem.MFC6.readback: 1.50146484375
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.03662109375
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC9.setpoint: 7.0
# SampleGasHandlingSystem.MFC9.readback: 6.998697757720947
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01627604104578495
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.08544921875
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.048828125
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.09765625
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0325520820915699
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.948906e-05 -8.090272e-07 -2.513378e-07 -9.213817e-07 2.164767e-05 -3.496239e-04 -3.766083e-05 2.136078e-05
10172.000000 -2.938336e-05 -8.020579e-07 -2.481228e-07 -9.206374e-07 1.829776e-05 -3.483801e-04 -3.365967e-05 2.327338e-05
10177.000000 -2.916346e-05 -8.050676e-07 -2.468128e-07 -9.142118e-07 2.303681e-05 -3.468098e-04 -3.676080e-05 2.755474e-05
10182.000000 -2.928132e-05 -8.003397e-07 -2.409360e-07 -9.231262e-07 2.367207e-05 -3.412374e-04 -3.611166e-05 1.867726e-05
10187.000000 -2.931576e-05 -7.974725e-07 -2.319509e-07 -9.275612e-07 1.579575e-05 -3.378948e-04 -2.830067e-05 2.296103e-05
10192.000000 -2.937162e-05 -8.000367e-07 -2.136227e-07 -9.313482e-07 2.708553e-05 -3.272630e-04 -2.540408e-05 1.962457e-05
10197.000000 -2.934532e-05 -8.003465e-07 -1.596442e-07 -9.328233e-07 2.470447e-05 -3.097306e-04 -3.547890e-05 2.237462e-05
10202.000000 -2.927897e-05 -8.029553e-07 -5.355019e-08 -9.331931e-07 1.718438e-05 -3.190910e-04 -3.822630e-05 1.804816e-05
10207.000000 -2.924538e-05 -8.058388e-07 -2.395911e-08 -9.345489e-07 5.986829e-06 -2.981660e-04 -3.034281e-05 2.274044e-05
10212.000000 -2.926497e-05 -8.063430e-07 -4.724091e-08 -9.379306e-07 1.500759e-05 -3.082197e-04 -2.762234e-05 2.434569e-05
10217.000000 -2.923242e-05 -8.085803e-07 -6.044326e-08 -9.393709e-07 2.273193e-05 -2.949252e-04 -2.290032e-05 2.048279e-05
10222.000000 -2.920286e-05 -8.105911e-07 -7.061221e-08 -9.409531e-07 1.462602e-05 -3.049443e-04 -1.332339e-05 2.205302e-05
10227.000000 -2.915116e-05 -8.106657e-07 -7.734672e-08 -9.411912e-07 1.775116e-05 -2.998100e-04 -2.099500e-05 2.644830e-05
10232.000000 -2.907321e-05 -8.130459e-07 -7.995005e-08 -9.410375e-07 2.227501e-05 -2.994464e-04 -2.707699e-05 2.082309e-05
10237.000000 -2.903392e-05 -8.172112e-07 -8.207909e-08 -9.427726e-07 1.631616e-05 -2.913522e-04 -3.441906e-05 1.375347e-05
10242.000000 -2.893822e-05 -8.202732e-07 -8.385365e-08 -9.420272e-07 1.781848e-05 -2.726427e-04 -3.511727e-05 1.167764e-05
10247.000000 -2.893903e-05 -8.196972e-07 -8.704301e-08 -9.450673e-07 2.354417e-05 -2.601413e-04 -2.617075e-05 1.161570e-05
10252.000000 -2.895997e-05 -8.218556e-07 -8.679599e-08 -9.496265e-07 2.145376e-05 -2.588184e-04 -2.145220e-05 1.088079e-05
10257.000000 -2.893224e-05 -8.235000e-07 -8.340954e-08 -9.525473e-07 1.350611e-05 -2.583273e-04 -3.798437e-05 9.016701e-06
10262.000000 -2.881149e-05 -8.246687e-07 -8.294013e-08 -9.498676e-07 3.706303e-06 -2.619597e-04 -3.542442e-05 5.688593e-06
10267.000000 -2.885423e-05 -8.277853e-07 -8.455312e-08 -9.540270e-07 6.220413e-06 -2.637477e-04 -3.215329e-05 1.239656e-05
10272.000000 -2.883391e-05 -8.290819e-07 -8.548175e-08 -9.574550e-07 1.408312e-05 -2.639766e-04 -1.882406e-05 1.894123e-05
10277.000000 -2.877082e-05 -8.297954e-07 -8.484154e-08 -9.579827e-07 9.660204e-06 -2.874593e-04 -2.502756e-05 1.875954e-05
10282.000000 -2.860076e-05 -8.293830e-07 -8.365601e-08 -9.543057e-07 8.832153e-06 -2.864661e-04 -2.290846e-05 1.932731e-05
10287.000000 -2.859069e-05 -8.355982e-07 -8.468632e-08 -9.557552e-07 1.767365e-05 -2.660678e-04 -2.984326e-05 1.744512e-05
10292.000000 -2.861455e-05 -8.372891e-07 -8.703112e-08 -9.589911e-07 2.599743e-05 -2.720829e-04 -3.472218e-05 1.376479e-05
10297.000000 -2.857727e-05 -8.415488e-07 -8.869072e-08 -9.603481e-07 2.197661e-05 -2.682327e-04 -2.355925e-05 1.633841e-05
10302.000000 -2.855619e-05 -8.476267e-07 -8.894445e-08 -9.621214e-07 1.798225e-05 -2.730128e-04 -2.160562e-05 2.180088e-05
10307.000000 -2.859233e-05 -8.492836e-07 -8.882615e-08 -9.668388e-07 1.853954e-05 -2.815371e-04 -2.858200e-05 1.573395e-05
10312.000000 -2.852612e-05 -8.542820e-07 -8.961846e-08 -9.669807e-07 2.586510e-05 -2.863231e-04 -3.678747e-05 1.103285e-05
10317.000000 -2.851051e-05 -8.576054e-07 -8.942489e-08 -9.700128e-07 2.408045e-05 -2.974881e-04 -3.422513e-05 1.671740e-05
10322.000000 -2.851002e-05 -8.615008e-07 -8.871436e-08 -9.741328e-07 2.873234e-05 -2.863189e-04 -3.692991e-05 2.698095e-05
10327.000000 -2.845775e-05 -8.647039e-07 -8.814355e-08 -9.764070e-07 2.892930e-05 -3.010282e-04 -3.038917e-05 2.492898e-05
10332.000000 -2.837703e-05 -8.651100e-07 -8.755478e-08 -9.788398e-07 3.294059e-05 -3.299082e-04 -3.322413e-05 1.404022e-05
10337.000000 -2.846588e-05 -8.715055e-07 -8.797190e-08 -9.860403e-07 2.352366e-05 -3.677186e-04 -3.239373e-05 9.553587e-06
10341.000000 -2.840914e-05 -8.714625e-07 -8.824148e-08 -9.892150e-07 2.014710e-05 -3.493598e-04 -2.342669e-05 1.694321e-05
10344.000000 -2.831266e-05 -8.744727e-07 -8.972091e-08 -9.900058e-07 2.079885e-05 -3.089023e-04 -1.274953e-05 2.161196e-05
10346.000000 -2.832272e-05 -8.746595e-07 -9.027232e-08 -9.946421e-07 2.291507e-05 -3.194049e-04 -2.208513e-05 2.374786e-05
10347.000000 -2.839513e-05 -8.731783e-07 -9.054656e-08 -1.000730e-06 2.210243e-05 -2.827805e-04 -1.925218e-05 2.406073e-05
10347.200000 -2.841865e-05 -8.742604e-07 -9.089766e-08 -1.002611e-06 2.154320e-05 -2.622107e-04 -2.286284e-05 2.730925e-05
10347.400000 -2.842650e-05 -8.729387e-07 -9.078788e-08 -1.003597e-06 1.208843e-05 -3.034864e-04 -2.046002e-05 3.212124e-05
10347.600000 -2.840968e-05 -8.743180e-07 -9.069575e-08 -1.003328e-06 1.260056e-05 -3.114463e-04 -2.065222e-05 3.485585e-05
