# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.3470746807603
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -349.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.002075
# Detector.I1.voltage: -1649.999634
# Detector.I2.voltage: -1650.001343
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 371145
# Scan.uid: 6c3e66a9-8f1f-4edd-9433-38358e98eb2a
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  07:47:43.531848
# Scan.end_time: 06/23/2023  07:48:20.507683
# Scan.name: Cu2O+Ga2O3-2nd PP+O2-ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-2nd
# Sample.comment: 
# Sample.position.x: -66.442995014
# Sample.position.y: 31.098998426999998
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 100.0
# SampleHeater.temperature2.readback: 102.80000000000001
# SampleHeater.voltage.setpoint: 0.2915286499376144
# SampleHeater.voltage.readback: 0.301
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 3.0
# SampleGasCart.MFC.CH4.readback: 2.998
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 20.26
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 7.0
# SampleGasHandlingSystem.MFC1.readback: 6.998697757720947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.08544921875
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC6.setpoint: 1.5
# SampleGasHandlingSystem.MFC6.readback: 1.50146484375
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC9.setpoint: 7.0
# SampleGasHandlingSystem.MFC9.readback: 6.998697757720947
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0773111954331398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.03662109375
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.0935872420668602
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0325520820915699
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.968105e-05 -8.060565e-07 -2.506363e-07 -9.291681e-07 4.955487e-05 -4.029063e-04 -1.709974e-05 4.317019e-05
10172.000000 -2.954456e-05 -8.007216e-07 -2.478691e-07 -9.265076e-07 4.996357e-05 -3.969187e-04 -1.802986e-05 4.200245e-05
10177.000000 -2.936335e-05 -8.021652e-07 -2.461230e-07 -9.215841e-07 5.474204e-05 -4.061274e-04 -3.080042e-05 3.816866e-05
10182.000000 -2.919667e-05 -8.039688e-07 -2.422978e-07 -9.189056e-07 5.324058e-05 -4.075595e-04 -3.016007e-05 3.614267e-05
10187.000000 -2.929963e-05 -8.018978e-07 -2.336373e-07 -9.262471e-07 4.548004e-05 -4.171669e-04 -2.569109e-05 3.641541e-05
10192.000000 -2.944098e-05 -8.050699e-07 -2.152830e-07 -9.333631e-07 3.842359e-05 -4.277105e-04 -2.870730e-05 3.499716e-05
10197.000000 -2.942861e-05 -8.082033e-07 -1.613666e-07 -9.354553e-07 4.067756e-05 -4.031792e-04 -2.945966e-05 3.307278e-05
10202.000000 -2.941990e-05 -8.083616e-07 -5.398314e-08 -9.380215e-07 4.070090e-05 -4.065275e-04 -2.196963e-05 2.663944e-05
10207.000000 -2.935538e-05 -8.115262e-07 -2.419006e-08 -9.381790e-07 3.421260e-05 -4.068396e-04 -2.622499e-05 3.899962e-05
10212.000000 -2.920260e-05 -8.180047e-07 -4.821891e-08 -9.346392e-07 3.493355e-05 -4.086913e-04 -3.795934e-05 4.145046e-05
10217.000000 -2.925155e-05 -8.190888e-07 -6.161786e-08 -9.393723e-07 3.850425e-05 -3.901920e-04 -3.077351e-05 4.657144e-05
10222.000000 -2.927509e-05 -8.190347e-07 -7.173150e-08 -9.432755e-07 3.671290e-05 -3.688107e-04 -2.297008e-05 3.999053e-05
10227.000000 -2.926330e-05 -8.195422e-07 -7.827035e-08 -9.452385e-07 3.988527e-05 -3.873494e-04 -3.727614e-05 4.261459e-05
10232.000000 -2.916620e-05 -8.224143e-07 -8.086691e-08 -9.438794e-07 3.364734e-05 -4.220262e-04 -3.922117e-05 5.030602e-05
10237.000000 -2.918463e-05 -8.247721e-07 -8.278573e-08 -9.477844e-07 3.256202e-05 -3.971009e-04 -3.350462e-05 3.693798e-05
10242.000000 -2.915465e-05 -8.272885e-07 -8.455737e-08 -9.501073e-07 3.820916e-05 -4.001060e-04 -2.581701e-05 3.574326e-05
10247.000000 -2.903483e-05 -8.303811e-07 -8.835302e-08 -9.489226e-07 3.632547e-05 -3.969027e-04 -2.524730e-05 4.886631e-05
10252.000000 -2.902370e-05 -8.330569e-07 -8.785162e-08 -9.521235e-07 3.591568e-05 -3.978001e-04 -2.759358e-05 4.683102e-05
10257.000000 -2.895309e-05 -8.368063e-07 -8.500461e-08 -9.518636e-07 2.953683e-05 -3.955033e-04 -2.795129e-05 4.346666e-05
10262.000000 -2.897528e-05 -8.360618e-07 -8.432016e-08 -9.558093e-07 3.480632e-05 -3.972991e-04 -3.691359e-05 3.788667e-05
10267.000000 -2.901545e-05 -8.404474e-07 -8.615666e-08 -9.605889e-07 3.102385e-05 -4.053438e-04 -4.614572e-05 4.206336e-05
10272.000000 -2.896295e-05 -8.437448e-07 -8.691356e-08 -9.608499e-07 3.144505e-05 -4.041810e-04 -5.196872e-05 3.892583e-05
10277.000000 -2.891412e-05 -8.450901e-07 -8.671185e-08 -9.618326e-07 3.809926e-05 -3.919036e-04 -4.620129e-05 3.715036e-05
10282.000000 -2.877226e-05 -8.447074e-07 -8.521878e-08 -9.600364e-07 4.262533e-05 -3.961675e-04 -4.296193e-05 2.890668e-05
10287.000000 -2.884591e-05 -8.492390e-07 -8.610959e-08 -9.648633e-07 3.096252e-05 -4.009451e-04 -4.488932e-05 2.079440e-05
10292.000000 -2.878088e-05 -8.526031e-07 -8.895574e-08 -9.645638e-07 3.091357e-05 -4.087072e-04 -4.909837e-05 3.171523e-05
10297.000000 -2.874762e-05 -8.559371e-07 -9.053748e-08 -9.663043e-07 3.226680e-05 -4.091988e-04 -3.923984e-05 3.079449e-05
10302.000000 -2.876245e-05 -8.588762e-07 -9.040638e-08 -9.700340e-07 3.614065e-05 -4.030199e-04 -3.879575e-05 3.110806e-05
10307.000000 -2.869822e-05 -8.616994e-07 -9.052963e-08 -9.700976e-07 4.218722e-05 -4.025144e-04 -3.919593e-05 2.500210e-05
10312.000000 -2.864448e-05 -8.654574e-07 -9.061671e-08 -9.709886e-07 3.074547e-05 -4.126724e-04 -4.341455e-05 2.898290e-05
10317.000000 -2.864416e-05 -8.674423e-07 -9.036110e-08 -9.750835e-07 2.613180e-05 -4.082656e-04 -3.126052e-05 3.149236e-05
10322.000000 -2.861860e-05 -8.714944e-07 -9.005593e-08 -9.779725e-07 1.660265e-05 -3.987422e-04 -3.104098e-05 3.114122e-05
10327.000000 -2.855244e-05 -8.750272e-07 -8.929741e-08 -9.793391e-07 2.433793e-05 -3.956103e-04 -3.622294e-05 3.198247e-05
10332.000000 -2.846432e-05 -8.745184e-07 -8.845299e-08 -9.815473e-07 3.460270e-05 -3.953152e-04 -4.245949e-05 3.595557e-05
10337.000000 -2.857526e-05 -8.776420e-07 -8.848025e-08 -9.905889e-07 4.108299e-05 -3.887452e-04 -3.808588e-05 4.033497e-05
10341.000000 -2.856211e-05 -8.793195e-07 -8.911630e-08 -9.956390e-07 3.154887e-05 -4.030004e-04 -3.529201e-05 4.549697e-05
10344.000000 -2.850404e-05 -8.820641e-07 -9.040840e-08 -9.978162e-07 3.625175e-05 -4.018451e-04 -3.480897e-05 4.478540e-05
10346.000000 -2.845583e-05 -8.817582e-07 -9.110731e-08 -1.000145e-06 4.892403e-05 -3.653183e-04 -3.606985e-05 4.492365e-05
10347.000000 -2.846113e-05 -8.823773e-07 -9.183130e-08 -1.002677e-06 5.123908e-05 -3.566415e-04 -2.203962e-05 4.924610e-05
10347.200000 -2.848284e-05 -8.834331e-07 -9.207184e-08 -1.004140e-06 4.747596e-05 -3.312170e-04 -2.001803e-05 4.202461e-05
10347.400000 -2.849753e-05 -8.821102e-07 -9.159128e-08 -1.005747e-06 5.142845e-05 -3.279933e-04 -1.452341e-05 5.463260e-05
10347.600000 -2.850064e-05 -8.841083e-07 -9.217834e-08 -1.006308e-06 5.065257e-05 -3.278737e-04 -2.684911e-05 5.812810e-05
10347.800000 -2.847891e-05 -8.803072e-07 -9.183992e-08 -1.005767e-06 4.837915e-05 -3.079120e-04 -3.145768e-05 5.900248e-05
10348.000000 -2.848109e-05 -8.812183e-07 -9.179895e-08 -1.006581e-06 3.801346e-05 -3.210159e-04 -3.525798e-05 5.566492e-05
10348.200000 -2.848688e-05 -8.829480e-07 -9.221953e-08 -1.007090e-06 3.673965e-05 -3.561011e-04 -3.493819e-05 4.994119e-05
10348.400000 -2.848856e-05 -8.807947e-07 -9.229156e-08 -1.008001e-06 4.137923e-05 -3.691953e-04 -4.090548e-05 4.092571e-05
10348.600000 -2.846368e-05 -8.826998e-07 -9.262982e-08 -1.006803e-06 4.612885e-05 -4.000300e-04 -4.884887e-05 4.210857e-05
10348.800000 -2.842227e-05 -8.812971e-07 -9.269552e-08 -1.005053e-06 4.284054e-05 -3.828433e-04 -3.742540e-05 4.493771e-05
10349.000000 -2.846074e-05 -8.842567e-07 -9.330778e-08 -1.007598e-06 4.434662e-05 -3.822825e-04 -4.014962e-05 4.964629e-05
10349.200000 -2.846743e-05 -8.807188e-07 -9.292277e-08 -1.008886e-06 3.732262e-05 -3.897938e-04 -4.732106e-05 3.909122e-05
10349.400000 -2.847459e-05 -8.812910e-07 -9.300007e-08 -1.010324e-06 3.942248e-05 -4.032952e-04 -4.387490e-05 4.697288e-05
10349.600000 -2.848449e-05 -8.824532e-07 -9.328068e-08 -1.010783e-06 3.106362e-05 -4.080134e-04 -4.737646e-05 4.360790e-05
10349.800000 -2.844082e-05 -8.798662e-07 -9.284635e-08 -1.008903e-06 1.635705e-05 -4.016174e-04 -5.159104e-05 3.232543e-05
10350.000000 -2.841471e-05 -8.844602e-07 -9.342264e-08 -1.007733e-06 2.510341e-05 -3.910200e-04 -3.675906e-05 3.738359e-05
10350.200000 -2.843094e-05 -8.809714e-07 -9.313158e-08 -1.009733e-06 2.238693e-05 -3.994074e-04 -3.203396e-05 4.488820e-05
10350.400000 -2.845237e-05 -8.807655e-07 -9.310748e-08 -1.012020e-06 2.718344e-05 -4.020899e-04 -4.343477e-05 3.151308e-05
10350.600000 -2.845894e-05 -8.816824e-07 -9.313441e-08 -1.012510e-06 3.180201e-05 -4.206461e-04 -4.704017e-05 2.358473e-05
10350.800000 -2.845860e-05 -8.814262e-07 -9.327531e-08 -1.013442e-06 3.207488e-05 -4.292097e-04 -3.574852e-05 4.179167e-05
10351.000000 -2.842940e-05 -8.818723e-07 -9.378797e-08 -1.012272e-06 3.199647e-05 -4.198102e-04 -4.427161e-05 3.975321e-05
10351.200000 -2.836699e-05 -8.792966e-07 -9.357840e-08 -1.009822e-06 3.908792e-05 -4.095637e-04 -4.980663e-05 4.184916e-05
10351.400000 -2.841507e-05 -8.838940e-07 -9.449182e-08 -1.012328e-06 3.430126e-05 -3.981888e-04 -3.288072e-05 5.452869e-05
10351.600000 -2.845359e-05 -8.823215e-07 -9.394137e-08 -1.014541e-06 3.015833e-05 -4.197045e-04 -2.739478e-05 4.449221e-05
10351.800000 -2.845155e-05 -8.828544e-07 -9.406874e-08 -1.015705e-06 2.930781e-05 -4.456515e-04 -3.315358e-05 3.302535e-05
10352.000000 -2.845512e-05 -8.824158e-07 -9.415346e-08 -1.016464e-06 3.585625e-05 -4.473760e-04 -4.676530e-05 2.930808e-05
10352.200000 -2.844423e-05 -8.827123e-07 -9.419495e-08 -1.016514e-06 3.811087e-05 -4.303411e-04 -2.469896e-05 4.326218e-05
10352.400000 -2.839720e-05 -8.839016e-07 -9.415708e-08 -1.014399e-06 3.311045e-05 -4.096947e-04 -4.015320e-05 4.262722e-05
10352.600000 -2.834303e-05 -8.813668e-07 -9.358471e-08 -1.012811e-06 3.506115e-05 -4.276871e-04 -3.467327e-05 4.198965e-05
10352.800000 -2.834493e-05 -8.810996e-07 -9.360766e-08 -1.013363e-06 3.734333e-05 -4.427365e-04 -1.954556e-05 4.462857e-05
10353.000000 -2.834245e-05 -8.801455e-07 -9.316371e-08 -1.014062e-06 3.619602e-05 -4.069080e-04 -3.641803e-05 3.840750e-05
10353.200000 -2.839170e-05 -8.806934e-07 -9.378102e-08 -1.017070e-06 2.960419e-05 -4.153944e-04 -4.329473e-05 3.838717e-05
10353.400000 -2.842617e-05 -8.799572e-07 -9.373950e-08 -1.019793e-06 3.219417e-05 -4.261967e-04 -4.178455e-05 3.964568e-05
10353.600000 -2.842219e-05 -8.800145e-07 -9.403184e-08 -1.019845e-06 4.121185e-05 -4.259509e-04 -3.654470e-05 4.487946e-05
10353.800000 -2.840484e-05 -8.787607e-07 -9.399441e-08 -1.019896e-06 4.043161e-05 -4.111507e-04 -4.947320e-05 5.052615e-05
10354.000000 -2.840474e-05 -8.815234e-07 -9.409823e-08 -1.019995e-06 3.120040e-05 -4.056103e-04 -4.079591e-05 5.534071e-05
10354.200000 -2.836790e-05 -8.793819e-07 -9.416142e-08 -1.019340e-06 3.052693e-05 -4.296536e-04 -4.781628e-05 4.459255e-05
10354.400000 -2.838691e-05 -8.805216e-07 -9.434121e-08 -1.020889e-06 3.330674e-05 -4.284565e-04 -4.992008e-05 4.259777e-05
10354.600000 -2.839357e-05 -8.818294e-07 -9.477229e-08 -1.021752e-06 3.250984e-05 -4.436722e-04 -5.175001e-05 3.607464e-05
10354.800000 -2.839837e-05 -8.781447e-07 -9.389772e-08 -1.023036e-06 4.046382e-05 -4.455433e-04 -5.012291e-05 4.401821e-05
10355.000000 -2.840157e-05 -8.803041e-07 -9.449452e-08 -1.023966e-06 4.065478e-05 -4.342746e-04 -5.794529e-05 3.824241e-05
10355.200000 -2.838829e-05 -8.798250e-07 -9.423474e-08 -1.024246e-06 3.721619e-05 -4.364578e-04 -5.141062e-05 4.007186e-05
10355.400000 -2.833416e-05 -8.785562e-07 -9.441830e-08 -1.022038e-06 4.370085e-05 -4.406948e-04 -4.612546e-05 4.434899e-05
10355.600000 -2.832422e-05 -8.793641e-07 -9.442058e-08 -1.022050e-06 4.758544e-05 -4.544932e-04 -4.453811e-05 3.943034e-05
10355.800000 -2.835454e-05 -8.790529e-07 -9.461590e-08 -1.024380e-06 4.339838e-05 -4.740395e-04 -3.408413e-05 4.728011e-05
10356.000000 -2.836242e-05 -8.790611e-07 -9.441572e-08 -1.025861e-06 3.818511e-05 -4.587820e-04 -3.105274e-05 5.091218e-05
10356.200000 -2.837744e-05 -8.791006e-07 -9.426140e-08 -1.027425e-06 3.407904e-05 -4.411028e-04 -3.914677e-05 3.962781e-05
10356.400000 -2.835250e-05 -8.803898e-07 -9.422408e-08 -1.026960e-06 3.361862e-05 -4.495357e-04 -3.991319e-05 3.389553e-05
10356.600000 -2.830538e-05 -8.792325e-07 -9.466534e-08 -1.026164e-06 3.498215e-05 -4.589573e-04 -3.887192e-05 3.325098e-05
10356.800000 -2.835965e-05 -8.818736e-07 -9.478302e-08 -1.029388e-06 3.522885e-05 -4.497172e-04 -3.647865e-05 3.195705e-05
10357.000000 -2.835429e-05 -8.823830e-07 -9.504074e-08 -1.030093e-06 2.063302e-05 -4.476882e-04 -5.146094e-05 2.736033e-05
10357.200000 -2.833493e-05 -8.844970e-07 -9.514013e-08 -1.029386e-06 2.262265e-05 -4.336767e-04 -5.201611e-05 3.085645e-05
10357.400000 -2.829249e-05 -8.809234e-07 -9.497441e-08 -1.028223e-06 3.066278e-05 -4.294224e-04 -3.714364e-05 4.554172e-05
10357.600000 -2.828122e-05 -8.801103e-07 -9.517246e-08 -1.029213e-06 4.547071e-05 -4.468626e-04 -4.926401e-05 3.752894e-05
