# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.44013357660265
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -349.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.997803
# Detector.I1.voltage: -1649.999268
# Detector.I2.voltage: -1650.00061
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 371147
# Scan.uid: d50d9110-2a19-41f8-9f98-bcf3d131cc2e
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  07:49:46.075184
# Scan.end_time: 06/23/2023  07:50:19.463010
# Scan.name: Cu2O+Ga2O3-2nd PP+O2-ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-2nd
# Sample.comment: 
# Sample.position.x: -66.442995014
# Sample.position.y: 31.099036574
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 100.0
# SampleHeater.temperature2.readback: 100.5
# SampleHeater.voltage.setpoint: 0.35006069107431287
# SampleHeater.voltage.readback: 0.36
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 3.0
# SampleGasCart.MFC.CH4.readback: 2.998
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 20.42
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 7.0
# SampleGasHandlingSystem.MFC1.readback: 6.998697757720947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.09765625
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0895182266831398
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.01220703125
# SampleGasHandlingSystem.MFC6.setpoint: 1.5
# SampleGasHandlingSystem.MFC6.readback: 1.50146484375
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC9.setpoint: 7.0
# SampleGasHandlingSystem.MFC9.readback: 6.998697757720947
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01627604104578495
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0732421875
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.0895182266831398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.02848307229578495
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.975243e-05 -8.105361e-07 -2.514533e-07 -9.310116e-07 6.865187e-05 -4.069594e-04 -1.452774e-05 5.547547e-05
10172.000000 -2.958228e-05 -8.036475e-07 -2.482238e-07 -9.276018e-07 5.823626e-05 -4.161390e-04 -1.330084e-05 5.241009e-05
10177.000000 -2.953834e-05 -8.026483e-07 -2.454320e-07 -9.279442e-07 5.656650e-05 -4.162006e-04 -8.626144e-06 4.439698e-05
10182.000000 -2.949083e-05 -8.023936e-07 -2.410430e-07 -9.296769e-07 5.249605e-05 -3.998999e-04 -7.493404e-06 5.498905e-05
10187.000000 -2.949498e-05 -8.051434e-07 -2.338220e-07 -9.335307e-07 5.054688e-05 -3.900363e-04 -1.002032e-05 5.753365e-05
10192.000000 -2.951253e-05 -8.097418e-07 -2.161717e-07 -9.360172e-07 5.187620e-05 -3.809835e-04 -1.096077e-05 5.592834e-05
10197.000000 -2.944142e-05 -8.138098e-07 -1.618384e-07 -9.357300e-07 4.364898e-05 -3.897747e-04 -2.323418e-05 5.748810e-05
10202.000000 -2.943153e-05 -8.144773e-07 -5.413734e-08 -9.379689e-07 4.279633e-05 -3.870933e-04 -2.097507e-05 6.979232e-05
10207.000000 -2.944255e-05 -8.142695e-07 -2.425005e-08 -9.409449e-07 4.659633e-05 -3.823507e-04 -3.064953e-05 6.834449e-05
10212.000000 -2.940251e-05 -8.175723e-07 -4.811061e-08 -9.420443e-07 5.024775e-05 -3.882401e-04 -3.255514e-05 5.888170e-05
10217.000000 -2.939817e-05 -8.194673e-07 -6.124799e-08 -9.447761e-07 4.180557e-05 -4.074219e-04 -2.352684e-05 5.456038e-05
10222.000000 -2.931489e-05 -8.237691e-07 -7.188178e-08 -9.441369e-07 4.134857e-05 -3.861917e-04 -1.862062e-05 5.852120e-05
10227.000000 -2.931985e-05 -8.234437e-07 -7.850228e-08 -9.467095e-07 4.244982e-05 -3.788486e-04 -1.142551e-05 7.514983e-05
10232.000000 -2.926659e-05 -8.250848e-07 -8.130795e-08 -9.472604e-07 4.039715e-05 -3.710844e-04 -4.567656e-06 7.841998e-05
10237.000000 -2.926899e-05 -8.281532e-07 -8.314155e-08 -9.502075e-07 3.515436e-05 -3.721014e-04 -7.204476e-06 7.668825e-05
10242.000000 -2.922059e-05 -8.310280e-07 -8.484944e-08 -9.515829e-07 2.944819e-05 -3.759619e-04 -7.411317e-06 7.520611e-05
10247.000000 -2.914364e-05 -8.323308e-07 -8.814182e-08 -9.524913e-07 3.646933e-05 -3.741332e-04 -8.400156e-06 7.326777e-05
10252.000000 -2.915193e-05 -8.381784e-07 -8.816588e-08 -9.566394e-07 4.228743e-05 -3.678771e-04 -1.361676e-05 6.957932e-05
10257.000000 -2.909619e-05 -8.419031e-07 -8.499834e-08 -9.576701e-07 3.882410e-05 -3.690439e-04 -2.011342e-05 7.409452e-05
10262.000000 -2.901456e-05 -8.402676e-07 -8.419660e-08 -9.574200e-07 4.926807e-05 -3.687063e-04 -2.011830e-05 7.096019e-05
10267.000000 -2.888888e-05 -8.490551e-07 -8.619564e-08 -9.552283e-07 4.874094e-05 -3.727682e-04 -1.947209e-05 5.918066e-05
10272.000000 -2.885755e-05 -8.514573e-07 -8.705160e-08 -9.561702e-07 4.559003e-05 -3.670269e-04 -1.938253e-05 5.487184e-05
10277.000000 -2.891426e-05 -8.515428e-07 -8.649918e-08 -9.611423e-07 4.079372e-05 -3.660946e-04 -1.726591e-05 5.243908e-05
10282.000000 -2.885923e-05 -8.512841e-07 -8.545996e-08 -9.628935e-07 4.574885e-05 -3.648663e-04 -2.108961e-05 5.852730e-05
10287.000000 -2.888919e-05 -8.560565e-07 -8.640164e-08 -9.657575e-07 4.757464e-05 -3.724577e-04 -3.300512e-05 6.169054e-05
10292.000000 -2.885865e-05 -8.585212e-07 -8.900038e-08 -9.673437e-07 3.805154e-05 -3.649610e-04 -3.038922e-05 6.337167e-05
10297.000000 -2.869432e-05 -8.622623e-07 -9.045423e-08 -9.635786e-07 3.478201e-05 -3.534362e-04 -3.120656e-05 6.031512e-05
10302.000000 -2.880173e-05 -8.641042e-07 -9.020328e-08 -9.713834e-07 2.495349e-05 -3.379470e-04 -2.248644e-05 6.296238e-05
10307.000000 -2.880079e-05 -8.658625e-07 -9.046732e-08 -9.746197e-07 2.611158e-05 -3.539558e-04 -3.110009e-05 6.954340e-05
10312.000000 -2.877073e-05 -8.690256e-07 -9.072231e-08 -9.761208e-07 2.981271e-05 -3.495505e-04 -3.440810e-05 6.335102e-05
10317.000000 -2.872594e-05 -8.722347e-07 -9.068349e-08 -9.779040e-07 3.026120e-05 -3.855667e-04 -2.073633e-05 6.286600e-05
10322.000000 -2.873813e-05 -8.758382e-07 -9.015105e-08 -9.827511e-07 2.930057e-05 -4.016330e-04 -2.398190e-05 5.707221e-05
10327.000000 -2.869156e-05 -8.784638e-07 -8.938285e-08 -9.852241e-07 2.700970e-05 -3.906249e-04 -2.637509e-05 6.758228e-05
10332.000000 -2.856090e-05 -8.787942e-07 -8.845580e-08 -9.849383e-07 2.086831e-05 -3.827861e-04 -2.784317e-05 6.915814e-05
10337.000000 -2.866398e-05 -8.839477e-07 -8.894081e-08 -9.934958e-07 1.954826e-05 -3.763318e-04 -3.395038e-05 7.894192e-05
10341.000000 -2.861002e-05 -8.844023e-07 -8.936520e-08 -9.966786e-07 2.848914e-05 -3.765082e-04 -2.305930e-05 8.004245e-05
10344.000000 -2.857872e-05 -8.838727e-07 -8.999631e-08 -1.000810e-06 3.687096e-05 -3.703355e-04 -1.863004e-05 7.330603e-05
10346.000000 -2.855933e-05 -8.841630e-07 -9.089170e-08 -1.004245e-06 3.596098e-05 -3.729651e-04 -2.176718e-05 6.599659e-05
10347.000000 -2.855600e-05 -8.847952e-07 -9.157923e-08 -1.005930e-06 1.819926e-05 -3.674663e-04 -9.188960e-06 6.279314e-05
10347.200000 -2.855035e-05 -8.846283e-07 -9.200089e-08 -1.005625e-06 1.905662e-05 -3.703272e-04 -6.898836e-06 5.369065e-05
10347.400000 -2.854776e-05 -8.845773e-07 -9.200367e-08 -1.006296e-06 2.174450e-05 -3.600124e-04 -1.122993e-05 5.820199e-05
10347.600000 -2.853861e-05 -8.856067e-07 -9.231970e-08 -1.006771e-06 2.291523e-05 -3.452509e-04 -9.783368e-06 5.612082e-05
