# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.589648803159
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -349.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.002075
# Detector.I1.voltage: -1650.002563
# Detector.I2.voltage: -1649.99939
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 371163
# Scan.uid: 96305183-ff79-44d0-a3f7-371b70518a68
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  08:05:51.097364
# Scan.end_time: 06/23/2023  08:06:26.021090
# Scan.name: Cu2O+Ga2O3-2nd PP+O2-ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-2nd
# Sample.comment: 
# Sample.position.x: -66.442995014
# Sample.position.y: 31.09896028
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 200.0
# SampleHeater.temperature2.readback: 201.20000000000002
# SampleHeater.voltage.setpoint: 0.4997897955263472
# SampleHeater.voltage.readback: 0.497
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 3.0
# SampleGasCart.MFC.CH4.readback: 2.998
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 15.040000000000001
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 7.0
# SampleGasHandlingSystem.MFC1.readback: 6.998697757720947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.08544921875
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.01220703125
# SampleGasHandlingSystem.MFC6.setpoint: 1.5
# SampleGasHandlingSystem.MFC6.readback: 1.50146484375
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.03662109375
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.08544921875
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0895182266831398
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01627604104578495
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.01627604104578495
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.01627604104578495
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0244140625
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.0773111954331398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.02848307229578495
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.944036e-05 -7.995954e-07 -2.475527e-07 -9.257854e-07 1.420806e-05 -4.176278e-04 -2.248852e-05 -2.846548e-05
10172.000000 -2.928849e-05 -7.960251e-07 -2.452820e-07 -9.226863e-07 1.388895e-05 -4.047447e-04 -2.273008e-05 -3.248452e-05
10177.000000 -2.914965e-05 -7.960514e-07 -2.431640e-07 -9.189916e-07 1.892067e-05 -4.274303e-04 -2.678494e-05 -2.532630e-05
10182.000000 -2.913294e-05 -7.940208e-07 -2.382663e-07 -9.213872e-07 2.263066e-05 -4.056757e-04 -2.415376e-05 -1.937349e-05
10187.000000 -2.918763e-05 -7.924925e-07 -2.296117e-07 -9.266119e-07 2.097987e-05 -3.891080e-04 -2.544230e-05 -2.256496e-05
10192.000000 -2.924896e-05 -7.964990e-07 -2.118952e-07 -9.312047e-07 1.650750e-05 -3.967127e-04 -2.653214e-05 -2.162377e-05
10197.000000 -2.922364e-05 -7.965268e-07 -1.586910e-07 -9.324885e-07 1.638970e-05 -3.796470e-04 -2.316115e-05 -1.912051e-05
10202.000000 -2.916685e-05 -7.978367e-07 -5.305449e-08 -9.331459e-07 6.843869e-06 -3.876066e-04 -3.134344e-05 -1.595716e-05
10207.000000 -2.911526e-05 -8.002426e-07 -2.356232e-08 -9.337896e-07 1.314138e-05 -4.279641e-04 -2.409770e-05 -1.544413e-05
10212.000000 -2.900551e-05 -8.058186e-07 -4.680513e-08 -9.323788e-07 1.977779e-05 -4.406061e-04 -2.393242e-05 -2.761754e-05
10217.000000 -2.903194e-05 -8.050502e-07 -5.974132e-08 -9.362952e-07 1.781160e-05 -4.388375e-04 -2.780712e-05 -3.623774e-05
10222.000000 -2.904969e-05 -8.044641e-07 -6.986179e-08 -9.404735e-07 1.766592e-05 -4.560737e-04 -1.894622e-05 -2.639021e-05
10227.000000 -2.899476e-05 -8.088870e-07 -7.684944e-08 -9.397881e-07 1.599633e-05 -4.595408e-04 -1.923271e-05 -2.315120e-05
10232.000000 -2.888384e-05 -8.135665e-07 -8.008692e-08 -9.380294e-07 1.374570e-05 -4.730738e-04 -3.490778e-05 -2.617703e-05
10237.000000 -2.880939e-05 -8.174014e-07 -8.189750e-08 -9.383472e-07 1.252913e-05 -4.627402e-04 -2.382586e-05 6.561052e-06
10242.000000 -2.887635e-05 -8.169124e-07 -8.288601e-08 -9.444317e-07 1.063534e-05 -4.347266e-04 -2.099942e-05 1.379389e-05
10247.000000 -2.879936e-05 -8.205072e-07 -8.644945e-08 -9.448210e-07 2.311515e-05 -4.323454e-04 -2.677743e-05 1.725373e-05
10252.000000 -2.878480e-05 -8.234134e-07 -8.612685e-08 -9.468056e-07 2.123251e-05 -4.503751e-04 -2.686141e-05 -1.431234e-08
10257.000000 -2.880639e-05 -8.226416e-07 -8.285059e-08 -9.507358e-07 1.424882e-05 -4.413508e-04 -2.252166e-05 -6.761156e-06
10262.000000 -2.869572e-05 -8.259093e-07 -8.285058e-08 -9.489142e-07 2.379001e-05 -4.508912e-04 -2.056435e-05 -2.070439e-05
10267.000000 -2.875167e-05 -8.300407e-07 -8.436739e-08 -9.540169e-07 2.074828e-05 -4.423273e-04 -2.668956e-05 -2.040779e-05
10272.000000 -2.867617e-05 -8.357963e-07 -8.556677e-08 -9.529920e-07 1.167595e-05 -4.429522e-04 -3.731304e-05 -2.023823e-05
10277.000000 -2.867094e-05 -8.352038e-07 -8.482845e-08 -9.558814e-07 8.751454e-06 -4.498666e-04 -2.892734e-05 -7.820546e-06
10282.000000 -2.844406e-05 -8.357705e-07 -8.351383e-08 -9.502555e-07 2.267374e-05 -4.317505e-04 -3.472015e-05 -2.684324e-06
10287.000000 -2.852461e-05 -8.405093e-07 -8.483396e-08 -9.559226e-07 2.379660e-05 -4.132523e-04 -3.201223e-05 2.662072e-07
10292.000000 -2.855918e-05 -8.416472e-07 -8.726754e-08 -9.606198e-07 2.944824e-05 -3.933030e-04 -3.779067e-05 -1.803005e-06
10297.000000 -2.847760e-05 -8.463845e-07 -8.862346e-08 -9.598628e-07 2.127944e-05 -3.946203e-04 -3.745415e-05 -3.957098e-06
10302.000000 -2.853591e-05 -8.475154e-07 -8.829047e-08 -9.652148e-07 2.113035e-05 -4.087336e-04 -3.679219e-05 -1.252372e-05
10307.000000 -2.848587e-05 -8.500870e-07 -8.833343e-08 -9.658805e-07 2.517796e-05 -4.029025e-04 -3.121336e-05 -2.147332e-05
10312.000000 -2.845908e-05 -8.516771e-07 -8.846547e-08 -9.681308e-07 2.343571e-05 -3.839508e-04 -3.250774e-05 -2.288437e-05
10317.000000 -2.847093e-05 -8.533680e-07 -8.832012e-08 -9.724699e-07 2.607000e-05 -3.823771e-04 -3.462334e-05 -2.589001e-05
10322.000000 -2.839310e-05 -8.586406e-07 -8.802620e-08 -9.730106e-07 2.772903e-05 -3.840213e-04 -2.824346e-05 -2.097467e-05
10327.000000 -2.836509e-05 -8.593484e-07 -8.706407e-08 -9.769198e-07 2.161003e-05 -3.685527e-04 -3.038854e-05 -1.843238e-05
10332.000000 -2.828469e-05 -8.584608e-07 -8.628130e-08 -9.804177e-07 1.717169e-05 -4.044686e-04 -2.531242e-05 -1.909487e-05
10337.000000 -2.837416e-05 -8.636601e-07 -8.641325e-08 -9.893884e-07 1.468721e-05 -4.463233e-04 -1.698210e-05 -8.027142e-06
10341.000000 -2.835627e-05 -8.651804e-07 -8.712360e-08 -9.932134e-07 1.733341e-05 -4.376109e-04 -1.459905e-05 7.830706e-06
10344.000000 -2.829495e-05 -8.661281e-07 -8.817823e-08 -9.937841e-07 1.569164e-05 -4.014601e-04 -2.123060e-05 9.095427e-06
10346.000000 -2.825537e-05 -8.653879e-07 -8.889317e-08 -9.957031e-07 1.926875e-05 -3.650919e-04 -2.790002e-05 1.095368e-05
10347.000000 -2.829493e-05 -8.636721e-07 -8.899126e-08 -9.998883e-07 2.299273e-05 -3.446197e-04 -3.073765e-05 -1.325278e-05
10347.200000 -2.828752e-05 -8.632091e-07 -8.903270e-08 -1.000072e-06 2.519598e-05 -3.499810e-04 -2.491533e-05 -1.733320e-05
10347.400000 -2.827782e-05 -8.622001e-07 -8.905821e-08 -1.000459e-06 3.088386e-05 -3.544583e-04 -2.896309e-05 -1.480422e-05
10347.600000 -2.827650e-05 -8.643535e-07 -8.968399e-08 -1.000451e-06 3.589085e-05 -3.373214e-04 -3.032535e-05 -9.111359e-06
10347.800000 -2.828700e-05 -8.631074e-07 -8.973630e-08 -1.001141e-06 3.727135e-05 -3.375822e-04 -2.089849e-05 -6.004457e-06
10348.000000 -2.829124e-05 -8.649397e-07 -9.022200e-08 -1.001581e-06 3.354825e-05 -3.301673e-04 -1.717627e-05 -1.325844e-05
10348.200000 -2.828485e-05 -8.631987e-07 -8.985138e-08 -1.001968e-06 2.708424e-05 -3.155884e-04 -7.255298e-06 -1.335747e-05
10348.400000 -2.828766e-05 -8.642530e-07 -8.993127e-08 -1.002482e-06 3.194284e-05 -3.613426e-04 -2.894600e-05 -1.000902e-05
10348.600000 -2.827012e-05 -8.636626e-07 -8.993288e-08 -1.001694e-06 2.310231e-05 -3.659410e-04 -4.108931e-05 -1.265970e-05
10348.800000 -2.825143e-05 -8.652997e-07 -9.007728e-08 -1.001033e-06 2.033962e-05 -3.719044e-04 -2.099817e-05 -5.516344e-06
10349.000000 -2.824125e-05 -8.649803e-07 -9.036029e-08 -1.000988e-06 2.110873e-05 -3.893861e-04 -1.996461e-05 -3.741806e-06
10349.200000 -2.823047e-05 -8.636638e-07 -9.058348e-08 -1.000684e-06 2.540274e-05 -3.664327e-04 -2.387796e-05 -7.341081e-06
10349.400000 -2.822439e-05 -8.690361e-07 -9.115550e-08 -1.000375e-06 4.096872e-05 -3.794137e-04 -3.155110e-05 -1.046501e-05
10349.600000 -2.824046e-05 -8.657549e-07 -9.086392e-08 -1.002093e-06 4.963135e-05 -3.611368e-04 -3.974609e-05 -1.402730e-05
10349.800000 -2.826539e-05 -8.669731e-07 -9.107293e-08 -1.003604e-06 5.309495e-05 -3.826676e-04 -3.009406e-05 -7.507150e-06
