# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.82106220763643
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -350.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.996094
# Detector.I1.voltage: -1649.998901
# Detector.I2.voltage: -1649.998657
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 371173
# Scan.uid: adfa690a-9aad-41c6-a5fa-3b4491b6b09d
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  08:15:46.548466
# Scan.end_time: 06/23/2023  08:16:21.493264
# Scan.name: Cu2O+Ga2O3-2nd PP+O2-ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-2nd
# Sample.comment: 
# Sample.position.x: -66.442995014
# Sample.position.y: 31.099036574
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 235.1189116636912
# SampleHeater.temperature2.readback: 237.4
# SampleHeater.voltage.setpoint: 0.5469355321341638
# SampleHeater.voltage.readback: 0.553
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 3.0
# SampleGasCart.MFC.CH4.readback: 2.998
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 11.65
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 7.0
# SampleGasHandlingSystem.MFC1.readback: 6.990560054779053
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0773111954331398
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.01220703125
# SampleGasHandlingSystem.MFC6.setpoint: 1.5
# SampleGasHandlingSystem.MFC6.readback: 1.50146484375
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0895182266831398
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01627604104578495
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.01220703125
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.01220703125
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0244140625
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.0732421875
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.02848307229578495
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.948949e-05 -8.089569e-07 -2.504112e-07 -9.268600e-07 -2.254495e-05 -4.445339e-04 -3.118229e-05 9.305249e-06
10172.000000 -2.935622e-05 -8.045387e-07 -2.477536e-07 -9.248635e-07 -1.682982e-05 -4.529093e-04 -3.407128e-05 6.269481e-06
10177.000000 -2.926355e-05 -8.034781e-07 -2.453158e-07 -9.234719e-07 -1.461916e-05 -4.649368e-04 -3.387033e-05 1.053726e-05
10182.000000 -2.925420e-05 -8.027451e-07 -2.407813e-07 -9.258536e-07 -2.158040e-05 -4.810603e-04 -2.714724e-05 1.309373e-05
10187.000000 -2.925664e-05 -8.029493e-07 -2.327063e-07 -9.292634e-07 -1.293224e-05 -4.992591e-04 -3.181478e-05 1.796310e-05
10192.000000 -2.930070e-05 -8.070664e-07 -2.148299e-07 -9.331510e-07 -8.646244e-06 -4.889686e-04 -3.076470e-05 2.336282e-05
10197.000000 -2.920862e-05 -8.108698e-07 -1.610366e-07 -9.326614e-07 -1.230149e-05 -4.897083e-04 -3.096579e-05 2.053806e-05
10202.000000 -2.914749e-05 -8.147468e-07 -5.406504e-08 -9.340928e-07 -5.483800e-06 -4.809628e-04 -2.608870e-05 1.571807e-05
10207.000000 -2.919048e-05 -8.158694e-07 -2.376450e-08 -9.383206e-07 -7.073497e-06 -4.856006e-04 -2.456748e-05 1.472349e-05
10212.000000 -2.916456e-05 -8.191541e-07 -4.791915e-08 -9.392399e-07 -1.402105e-05 -4.584506e-04 -3.243736e-05 1.014494e-05
10217.000000 -2.918316e-05 -8.192500e-07 -6.090912e-08 -9.420639e-07 -1.330727e-05 -4.721188e-04 -2.274605e-05 1.027352e-05
10222.000000 -2.914035e-05 -8.211681e-07 -7.112628e-08 -9.428946e-07 -1.411852e-05 -4.638614e-04 -2.471313e-05 1.010125e-05
10227.000000 -2.909162e-05 -8.225128e-07 -7.796900e-08 -9.440477e-07 -2.222479e-05 -4.893628e-04 -3.275134e-05 1.529008e-05
10232.000000 -2.903471e-05 -8.229571e-07 -8.051666e-08 -9.455091e-07 -1.650506e-05 -4.929529e-04 -2.610764e-05 1.703001e-05
10237.000000 -2.901077e-05 -8.271453e-07 -8.270972e-08 -9.481915e-07 -2.185511e-05 -4.927235e-04 -2.318348e-05 2.098183e-05
10242.000000 -2.895894e-05 -8.284374e-07 -8.440830e-08 -9.495146e-07 -1.628196e-05 -4.849571e-04 -2.911254e-05 1.432228e-05
10247.000000 -2.892337e-05 -8.279569e-07 -8.721888e-08 -9.511489e-07 -1.131571e-05 -4.675017e-04 -2.403601e-05 1.744936e-05
10252.000000 -2.891075e-05 -8.314351e-07 -8.686747e-08 -9.532143e-07 -7.404548e-06 -4.643696e-04 -1.775091e-05 2.473131e-05
10257.000000 -2.886932e-05 -8.343035e-07 -8.409959e-08 -9.538833e-07 -1.551146e-05 -4.696651e-04 -2.426574e-05 2.610687e-05
10262.000000 -2.878260e-05 -8.357766e-07 -8.337127e-08 -9.533113e-07 -1.826796e-05 -4.765978e-04 -2.810016e-05 3.029346e-05
10267.000000 -2.879332e-05 -8.419894e-07 -8.553230e-08 -9.558893e-07 -1.864070e-05 -4.911317e-04 -3.487062e-05 2.951172e-05
10272.000000 -2.881704e-05 -8.432886e-07 -8.639993e-08 -9.598840e-07 -1.496654e-05 -5.153188e-04 -3.780863e-05 2.017499e-05
10277.000000 -2.874763e-05 -8.450131e-07 -8.597759e-08 -9.599064e-07 -1.651174e-05 -5.351681e-04 -3.412516e-05 2.472453e-05
10282.000000 -2.859859e-05 -8.447546e-07 -8.507119e-08 -9.571723e-07 -1.651278e-05 -5.310605e-04 -4.082749e-05 1.791868e-05
10287.000000 -2.859318e-05 -8.529906e-07 -8.628065e-08 -9.585467e-07 -1.060271e-05 -5.374322e-04 -3.995192e-05 2.490683e-05
10292.000000 -2.857026e-05 -8.541968e-07 -8.838761e-08 -9.608988e-07 -3.700888e-06 -5.285026e-04 -3.845992e-05 2.462878e-05
10297.000000 -2.859010e-05 -8.563348e-07 -8.965939e-08 -9.649198e-07 1.025925e-06 -5.250253e-04 -2.733487e-05 2.774867e-05
10302.000000 -2.859894e-05 -8.587564e-07 -8.950257e-08 -9.680591e-07 -2.972868e-06 -5.298665e-04 -2.225227e-05 3.002452e-05
10307.000000 -2.855295e-05 -8.605494e-07 -8.981604e-08 -9.693402e-07 -4.887443e-06 -5.296649e-04 -2.787485e-05 2.572317e-05
10312.000000 -2.856494e-05 -8.598994e-07 -8.956230e-08 -9.737248e-07 -1.638892e-06 -5.271534e-04 -2.581205e-05 3.689441e-05
10317.000000 -2.852900e-05 -8.612769e-07 -8.901019e-08 -9.763318e-07 3.139403e-06 -5.298491e-04 -1.933317e-05 3.144807e-05
10322.000000 -2.848724e-05 -8.660437e-07 -8.870556e-08 -9.788862e-07 -1.028201e-05 -5.112598e-04 -1.538982e-05 2.473136e-05
10327.000000 -2.840792e-05 -8.702345e-07 -8.838820e-08 -9.803810e-07 -8.583358e-06 -5.350150e-04 -2.208913e-05 2.150733e-05
10332.000000 -2.832953e-05 -8.678050e-07 -8.725335e-08 -9.832941e-07 -1.247796e-05 -5.381658e-04 -2.377433e-05 2.264314e-05
10337.000000 -2.837017e-05 -8.736810e-07 -8.769955e-08 -9.878960e-07 -8.793994e-06 -5.447735e-04 -2.988923e-05 1.353369e-05
10341.000000 -2.836833e-05 -8.731905e-07 -8.806818e-08 -9.929843e-07 -8.208926e-06 -5.712990e-04 -2.492650e-05 1.681515e-05
10344.000000 -2.837966e-05 -8.717115e-07 -8.859704e-08 -9.981514e-07 -9.449153e-06 -5.309621e-04 -2.998759e-05 2.088469e-05
10346.000000 -2.833957e-05 -8.740971e-07 -8.980939e-08 -9.997105e-07 -1.096143e-05 -5.293086e-04 -3.725296e-05 2.617335e-05
10347.000000 -2.833956e-05 -8.757094e-07 -9.063244e-08 -1.001721e-06 1.542766e-06 -5.449287e-04 -3.721968e-05 1.319874e-05
10347.200000 -2.835665e-05 -8.741578e-07 -9.059119e-08 -1.003478e-06 5.024368e-07 -5.438954e-04 -3.848530e-05 1.089895e-05
10347.400000 -2.835205e-05 -8.740327e-07 -9.061086e-08 -1.003274e-06 6.587491e-06 -5.181664e-04 -3.756456e-05 7.210230e-06
10347.600000 -2.830824e-05 -8.752893e-07 -9.072119e-08 -1.001854e-06 -3.902765e-06 -5.018835e-04 -4.126382e-05 1.624538e-05
