# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.4901472614448
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -350.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.01062
# Detector.I1.voltage: -1649.998901
# Detector.I2.voltage: -1649.998657
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 371175
# Scan.uid: 23cbb3d6-94f0-4199-84ad-81ee70ba0c05
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  08:17:47.534185
# Scan.end_time: 06/23/2023  08:18:21.071458
# Scan.name: Cu2O+Ga2O3-2nd PP+O2-ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-2nd
# Sample.comment: 
# Sample.position.x: -66.442995014
# Sample.position.y: 31.09896028
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 245.20057654380798
# SampleHeater.temperature2.readback: 246.0
# SampleHeater.voltage.setpoint: 0.6023100002953876
# SampleHeater.voltage.readback: 0.602
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 3.0
# SampleGasCart.MFC.CH4.readback: 2.998
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 11.16
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 7.0
# SampleGasHandlingSystem.MFC1.readback: 6.998697757720947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0773111954331398
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC6.setpoint: 1.5
# SampleGasHandlingSystem.MFC6.readback: 1.50146484375
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.08544921875
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0895182266831398
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.01220703125
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.01220703125
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0244140625
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.0732421875
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0244140625
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.956932e-05 -8.012225e-07 -2.483042e-07 -9.309786e-07 1.496191e-05 -5.996947e-04 -1.434716e-05 -2.995763e-05
10172.000000 -2.946919e-05 -7.970795e-07 -2.457657e-07 -9.295071e-07 1.710995e-05 -6.068904e-04 -1.404618e-05 -2.699466e-05
10177.000000 -2.940424e-05 -7.957552e-07 -2.429542e-07 -9.286744e-07 1.816769e-05 -5.974806e-04 -1.996593e-05 -2.325070e-05
10182.000000 -2.934021e-05 -7.936279e-07 -2.384312e-07 -9.294608e-07 2.365849e-05 -5.907404e-04 -4.058088e-05 -1.312851e-05
10187.000000 -2.923839e-05 -7.977699e-07 -2.315181e-07 -9.284986e-07 1.378987e-05 -5.983614e-04 -3.106305e-05 -1.346715e-05
10192.000000 -2.935808e-05 -7.983180e-07 -2.127346e-07 -9.350213e-07 1.381900e-05 -6.084931e-04 -3.899088e-05 -1.744198e-05
10197.000000 -2.933389e-05 -8.022894e-07 -1.598758e-07 -9.361951e-07 2.124371e-05 -6.316473e-04 -4.023884e-05 -1.746558e-05
10202.000000 -2.931587e-05 -8.031066e-07 -5.381299e-08 -9.383369e-07 2.327803e-05 -6.207602e-04 -3.909343e-05 -1.370680e-05
10207.000000 -2.928970e-05 -8.047247e-07 -2.400045e-08 -9.407422e-07 2.713877e-05 -6.072283e-04 -3.738061e-05 -1.394831e-05
10212.000000 -2.922872e-05 -8.079168e-07 -4.748558e-08 -9.416401e-07 3.027765e-05 -6.017251e-04 -3.689910e-05 -1.912230e-05
10217.000000 -2.916019e-05 -8.128427e-07 -6.083604e-08 -9.418287e-07 2.768562e-05 -5.883910e-04 -2.835634e-05 -2.192144e-05
10222.000000 -2.915137e-05 -8.125709e-07 -7.056844e-08 -9.446862e-07 2.599974e-05 -5.625092e-04 -3.730985e-05 -2.025686e-05
10227.000000 -2.914708e-05 -8.128133e-07 -7.714812e-08 -9.473691e-07 2.685028e-05 -5.606965e-04 -3.830623e-05 -2.311387e-05
10232.000000 -2.908380e-05 -8.138611e-07 -7.995642e-08 -9.478451e-07 3.086871e-05 -5.577875e-04 -2.865098e-05 -2.277738e-05
10237.000000 -2.903901e-05 -8.178119e-07 -8.205855e-08 -9.486004e-07 2.372643e-05 -5.401373e-04 -3.252040e-05 -1.841266e-05
10242.000000 -2.898539e-05 -8.205536e-07 -8.377002e-08 -9.498046e-07 2.589583e-05 -5.524691e-04 -3.604361e-05 -1.695945e-05
10247.000000 -2.875179e-05 -8.270256e-07 -8.730178e-08 -9.431220e-07 3.091281e-05 -5.513623e-04 -2.614045e-05 -8.805272e-06
10252.000000 -2.884773e-05 -8.256545e-07 -8.636570e-08 -9.496301e-07 2.679106e-05 -5.599898e-04 -3.320383e-05 -1.038030e-05
10257.000000 -2.892291e-05 -8.252521e-07 -8.321941e-08 -9.546657e-07 3.701042e-05 -5.517225e-04 -1.966385e-05 -5.050270e-06
10262.000000 -2.877149e-05 -8.291818e-07 -8.320132e-08 -9.514438e-07 2.830055e-05 -5.422226e-04 -8.184085e-06 -3.996382e-06
10267.000000 -2.888186e-05 -8.291656e-07 -8.487048e-08 -9.587403e-07 2.887768e-05 -5.600794e-04 -1.108989e-05 -5.817665e-07
10272.000000 -2.888875e-05 -8.297129e-07 -8.525398e-08 -9.622568e-07 2.297971e-05 -5.665648e-04 -1.401475e-05 -4.623471e-06
10277.000000 -2.881531e-05 -8.325170e-07 -8.505400e-08 -9.626155e-07 3.129310e-05 -5.559808e-04 -6.376673e-06 -5.965710e-06
10282.000000 -2.868368e-05 -8.325940e-07 -8.368179e-08 -9.610045e-07 3.105821e-05 -5.446094e-04 -2.196278e-05 -1.721020e-05
10287.000000 -2.874781e-05 -8.373004e-07 -8.479764e-08 -9.657095e-07 3.223246e-05 -5.209507e-04 -2.331044e-05 -2.359747e-05
10292.000000 -2.871347e-05 -8.416987e-07 -8.751410e-08 -9.668980e-07 2.158123e-05 -5.260304e-04 -2.586260e-05 -2.411417e-05
10297.000000 -2.865658e-05 -8.465935e-07 -8.915562e-08 -9.674561e-07 1.633570e-05 -5.348862e-04 -2.665543e-05 -1.485978e-05
10302.000000 -2.866315e-05 -8.501547e-07 -8.927809e-08 -9.710843e-07 1.928316e-05 -5.535698e-04 -3.261570e-05 -2.169471e-05
10307.000000 -2.862020e-05 -8.519719e-07 -8.903553e-08 -9.722013e-07 2.861331e-05 -5.531595e-04 -2.575917e-05 -2.512015e-05
10312.000000 -2.856566e-05 -8.553011e-07 -8.919323e-08 -9.730620e-07 2.418623e-05 -5.602429e-04 -2.273472e-05 -2.193450e-05
10317.000000 -2.848569e-05 -8.593198e-07 -8.913391e-08 -9.738604e-07 2.224218e-05 -5.658300e-04 -1.812213e-05 -2.513637e-05
10322.000000 -2.845857e-05 -8.620248e-07 -8.850616e-08 -9.783026e-07 2.102136e-05 -5.486001e-04 -1.981388e-05 -2.947136e-05
10327.000000 -2.848661e-05 -8.627930e-07 -8.770638e-08 -9.848522e-07 2.418150e-05 -5.438995e-04 -2.323621e-05 -2.187666e-05
10332.000000 -2.832856e-05 -8.650511e-07 -8.724650e-08 -9.834385e-07 1.842417e-05 -5.468149e-04 -2.693394e-05 -2.370374e-05
10337.000000 -2.850449e-05 -8.695142e-07 -8.750384e-08 -9.937153e-07 2.443283e-05 -5.504124e-04 -2.669575e-05 -1.679753e-05
10341.000000 -2.846380e-05 -8.703420e-07 -8.792242e-08 -9.968832e-07 2.692530e-05 -5.577822e-04 -3.411663e-05 -1.766206e-05
10344.000000 -2.837762e-05 -8.710912e-07 -8.894663e-08 -9.978153e-07 1.866463e-05 -5.803976e-04 -3.428416e-05 -7.678307e-06
10346.000000 -2.837908e-05 -8.691446e-07 -8.969659e-08 -1.001619e-06 1.987335e-05 -5.700320e-04 -3.549669e-05 -2.306978e-06
10347.000000 -2.835542e-05 -8.681766e-07 -9.019322e-08 -1.002297e-06 2.139260e-05 -5.680927e-04 -3.255307e-05 -1.679266e-06
10347.200000 -2.839259e-05 -8.682275e-07 -9.024120e-08 -1.004640e-06 2.382342e-05 -5.605610e-04 -2.886960e-05 1.722923e-06
10347.400000 -2.838957e-05 -8.679598e-07 -9.058258e-08 -1.004909e-06 3.437603e-05 -5.674069e-04 -4.080003e-05 2.810084e-06
10347.600000 -2.838044e-05 -8.678082e-07 -9.064250e-08 -1.004729e-06 3.426891e-05 -5.420275e-04 -4.858461e-05 -6.389634e-06
