# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.9813556514222
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -349.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.998657
# Detector.I1.voltage: -1650.000977
# Detector.I2.voltage: -1650.001343
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370593
# Scan.uid: 00e5498f-4858-4bd6-8b8f-bf9c761de44b
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/22/2023  16:16:23.532136
# Scan.end_time: 06/22/2023  16:16:58.881305
# Scan.name: CuGaO2-2nd H2 ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-2nd
# Sample.comment: 
# Sample.position.x: -66.7280103245
# Sample.position.y: 31.628021023
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 119.35968093122241
# SampleHeater.temperature2.readback: 118.5
# SampleHeater.voltage.setpoint: 0.44324049111869956
# SampleHeater.voltage.readback: 0.445
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.008000000000001
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.18
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.1302083283662796
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: 0.0
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0244140625
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0773111954331398
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01627604104578495
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.09765625
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1139322891831398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0325520820915699
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 7.16251e-07
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 1.3815e-10
# SampleGasHandlingSystem.RGA.ch3.mass: 12
# SampleGasHandlingSystem.RGA.ch3.readback: 2.54025e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 16
# SampleGasHandlingSystem.RGA.ch4.readback: 4.94614e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 4.13337e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.0363e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.3424e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 40
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 1.0321e-11
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -4.485993e-05 -1.096174e-06 -7.262086e-07 -3.630256e-07 2.914443e-05 -2.593069e-04 -7.303799e-05 -2.004609e-05
 8784.000000 -4.504968e-05 -1.096851e-06 -7.272608e-07 -3.654333e-07 3.210940e-05 -2.538903e-04 -8.191365e-05 -2.299997e-05
 8789.000000 -4.497962e-05 -1.090050e-06 -7.230777e-07 -3.660551e-07 4.062410e-05 -2.482564e-04 -8.654376e-05 -2.854343e-05
 8794.000000 -4.472719e-05 -1.079469e-06 -7.167200e-07 -3.650203e-07 4.832246e-05 -2.664911e-04 -8.783471e-05 -2.061088e-05
 8799.000000 -4.430897e-05 -1.074782e-06 -7.140823e-07 -3.624701e-07 5.042448e-05 -2.817779e-04 -8.996710e-05 -2.841876e-05
 8804.000000 -4.466746e-05 -1.083764e-06 -7.207508e-07 -3.660276e-07 4.652471e-05 -2.809111e-04 -9.383841e-05 -2.965981e-05
 8809.000000 -4.452041e-05 -1.078913e-06 -7.177765e-07 -3.654047e-07 4.193315e-05 -2.738844e-04 -7.290066e-05 -2.719517e-05
 8814.000000 -4.415159e-05 -1.068941e-06 -7.116266e-07 -3.626878e-07 4.248643e-05 -2.744495e-04 -8.016478e-05 -3.166814e-05
 8819.000000 -4.429266e-05 -1.080770e-06 -7.199955e-07 -3.648535e-07 3.470030e-05 -2.777038e-04 -7.896939e-05 -2.430507e-05
 8824.000000 -4.424576e-05 -1.084966e-06 -7.232320e-07 -3.653601e-07 3.226288e-05 -3.000269e-04 -6.282456e-05 -2.343441e-05
 8829.000000 -4.407427e-05 -1.082208e-06 -7.217830e-07 -3.650958e-07 3.495176e-05 -3.073083e-04 -5.974314e-05 -2.417116e-05
 8834.000000 -4.384049e-05 -1.077797e-06 -7.193626e-07 -3.645786e-07 3.651608e-05 -3.192400e-04 -5.946373e-05 -2.418771e-05
 8839.000000 -4.367097e-05 -1.075633e-06 -7.185472e-07 -3.645018e-07 3.695594e-05 -3.304277e-04 -6.532780e-05 -2.567927e-05
 8844.000000 -4.337698e-05 -1.068642e-06 -7.142994e-07 -3.632830e-07 2.934399e-05 -3.058924e-04 -6.569426e-05 -2.925611e-05
 8849.000000 -4.318619e-05 -1.066371e-06 -7.132785e-07 -3.631284e-07 2.273974e-05 -2.911246e-04 -6.238342e-05 -2.124752e-05
 8854.000000 -4.326239e-05 -1.075952e-06 -7.203826e-07 -3.648689e-07 2.882628e-05 -2.857023e-04 -6.595270e-05 -2.267122e-05
 8859.000000 -4.308747e-05 -1.075414e-06 -7.204538e-07 -3.647879e-07 3.452314e-05 -3.017563e-04 -6.856392e-05 -2.528227e-05
 8864.000000 -4.292013e-05 -1.076427e-06 -7.213029e-07 -3.646909e-07 2.824401e-05 -3.032109e-04 -6.647268e-05 -3.045479e-05
 8869.000000 -4.280100e-05 -1.078052e-06 -7.227075e-07 -3.646120e-07 3.377034e-05 -2.927635e-04 -7.104693e-05 -3.318259e-05
 8874.000000 -4.259785e-05 -1.074941e-06 -7.208832e-07 -3.639626e-07 3.458698e-05 -2.877236e-04 -7.143332e-05 -2.826315e-05
 8879.000000 -4.223385e-05 -1.066064e-06 -7.156359e-07 -3.620670e-07 3.989376e-05 -3.331371e-04 -6.590656e-05 -2.763200e-05
 8884.000000 -4.202736e-05 -1.070238e-06 -7.189575e-07 -3.616627e-07 3.472360e-05 -3.273283e-04 -7.411896e-05 -2.862439e-05
 8889.000000 -4.178731e-05 -1.070925e-06 -7.199730e-07 -3.613779e-07 3.462078e-05 -3.377801e-04 -6.516341e-05 -2.262419e-05
 8894.000000 -4.199083e-05 -1.082539e-06 -7.281169e-07 -3.631751e-07 3.860543e-05 -3.296198e-04 -6.505188e-05 -1.236708e-05
 8899.000000 -4.185741e-05 -1.088050e-06 -7.322790e-07 -3.625311e-07 2.627416e-05 -3.309605e-04 -8.399232e-05 -2.582187e-05
 8904.000000 -4.169514e-05 -1.091889e-06 -7.350934e-07 -3.619379e-07 3.092475e-05 -3.345788e-04 -7.972799e-05 -2.379927e-05
 8909.000000 -4.148227e-05 -1.092369e-06 -7.358640e-07 -3.607013e-07 2.881726e-05 -3.186532e-04 -7.903809e-05 -2.160082e-05
 8914.000000 -4.109134e-05 -1.086349e-06 -7.320040e-07 -3.580736e-07 2.976157e-05 -3.422833e-04 -7.155543e-05 -2.862081e-05
 8919.000000 -4.080132e-05 -1.078490e-06 -7.267113e-07 -3.564744e-07 2.962471e-05 -3.524122e-04 -7.233428e-05 -2.369093e-05
 8924.000000 -4.070320e-05 -1.089822e-06 -7.343792e-07 -3.572644e-07 2.392538e-05 -3.705270e-04 -7.596917e-05 -1.642287e-05
 8929.000000 -4.071497e-05 -1.096620e-06 -7.391861e-07 -3.591203e-07 2.497265e-05 -3.628880e-04 -7.774121e-05 -8.778874e-06
 8934.000000 -4.067838e-05 -1.106921e-06 -7.465281e-07 -3.603045e-07 3.447208e-05 -3.777745e-04 -6.860841e-05 -4.216954e-06
 8939.000000 -4.050605e-05 -1.109139e-06 -7.479950e-07 -3.599701e-07 3.184704e-05 -3.811280e-04 -5.998747e-05 -8.849446e-06
 8944.000000 -4.030453e-05 -1.105562e-06 -7.451659e-07 -3.593737e-07 3.884313e-05 -3.720141e-04 -6.374395e-05 -2.024188e-05
 8949.000000 -4.011010e-05 -1.106362e-06 -7.452963e-07 -3.594801e-07 3.880522e-05 -3.530229e-04 -6.601476e-05 -3.175485e-05
 8953.000000 -3.998991e-05 -1.105885e-06 -7.442845e-07 -3.596497e-07 3.289137e-05 -3.510414e-04 -5.457451e-05 -3.570542e-05
 8956.000000 -3.992936e-05 -1.107155e-06 -7.443529e-07 -3.603423e-07 2.623544e-05 -3.620353e-04 -5.674856e-05 -2.974425e-05
 8958.000000 -3.989144e-05 -1.106464e-06 -7.433092e-07 -3.610722e-07 3.366027e-05 -3.583712e-04 -5.475033e-05 -2.793651e-05
 8959.000000 -3.984538e-05 -1.103253e-06 -7.405664e-07 -3.610358e-07 3.501202e-05 -3.608754e-04 -5.698755e-05 -2.756077e-05
 8959.200000 -3.986741e-05 -1.106068e-06 -7.423291e-07 -3.613837e-07 3.489225e-05 -3.722081e-04 -5.625424e-05 -2.207225e-05
 8959.400000 -3.983574e-05 -1.104451e-06 -7.410471e-07 -3.612170e-07 4.027718e-05 -3.735710e-04 -5.619623e-05 -2.349591e-05
