# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.1838898390223
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.000244
# Detector.I1.voltage: -1650.012939
# Detector.I2.voltage: -1650.000854
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370599
# Scan.uid: 2f740db0-1978-4c08-b396-cb9c7f54fb60
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/22/2023  16:23:26.527984
# Scan.end_time: 06/22/2023  16:23:59.346744
# Scan.name: CuGaO2-2nd H2 ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-2nd
# Sample.comment: 
# Sample.position.x: -66.493997553
# Sample.position.y: 31.590026611
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 190.0508735868217
# SampleHeater.temperature2.readback: 191.4
# SampleHeater.voltage.setpoint: 0.528720392400846
# SampleHeater.voltage.readback: 0.52
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.01
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.06
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.1383463591337204
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.048828125
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: 0.0
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.02848307229578495
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0773111954331398
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.048828125
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01627604104578495
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.09765625
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1139322891831398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0325520820915699
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 7.09457e-07
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 8.61279e-11
# SampleGasHandlingSystem.RGA.ch3.mass: 12
# SampleGasHandlingSystem.RGA.ch3.readback: 2.10596e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 16
# SampleGasHandlingSystem.RGA.ch4.readback: 4.6751e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 3.75242e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 9.632e-09
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.58965e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 40
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 8.79526e-12
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -4.497845e-05 -6.155844e-07 -4.081093e-07 -3.569049e-07 3.018698e-05 -3.108922e-04 -5.896714e-05 2.181142e-06
 8784.000000 -4.505434e-05 -6.129300e-07 -4.066707e-07 -3.582926e-07 3.083046e-05 -3.065701e-04 -7.585414e-05 -7.999072e-06
 8789.000000 -4.494354e-05 -6.117732e-07 -4.061554e-07 -3.582134e-07 2.769318e-05 -3.278219e-04 -7.504531e-05 -9.349581e-06
 8794.000000 -4.472895e-05 -6.110002e-07 -4.058862e-07 -3.576721e-07 2.739798e-05 -3.187805e-04 -5.375942e-05 -1.181250e-05
 8799.000000 -4.425384e-05 -6.052979e-07 -4.023863e-07 -3.547820e-07 3.659010e-05 -3.019574e-04 -6.110356e-05 -1.282744e-05
 8804.000000 -4.458068e-05 -6.099329e-07 -4.057963e-07 -3.578691e-07 3.113795e-05 -2.661087e-04 -5.619937e-05 -1.993715e-05
 8809.000000 -4.437095e-05 -6.080429e-07 -4.048490e-07 -3.570613e-07 2.943008e-05 -2.697797e-04 -5.588672e-05 -6.723173e-06
 8814.000000 -4.421946e-05 -6.104766e-07 -4.067085e-07 -3.562756e-07 2.980893e-05 -2.503188e-04 -5.765481e-05 -5.382341e-06
 8819.000000 -4.426508e-05 -6.156711e-07 -4.108145e-07 -3.572874e-07 3.317257e-05 -2.412432e-04 -5.662382e-05 -3.516863e-06
 8824.000000 -4.411003e-05 -6.161750e-07 -4.111437e-07 -3.568246e-07 2.853145e-05 -2.703078e-04 -5.450397e-05 -4.942392e-06
 8829.000000 -4.389412e-05 -6.156725e-07 -4.109473e-07 -3.563970e-07 4.183540e-05 -2.904986e-04 -4.811950e-05 -1.080079e-07
 8834.000000 -4.384380e-05 -6.185342e-07 -4.131275e-07 -3.574311e-07 3.234194e-05 -2.766321e-04 -6.050948e-05 -4.588025e-06
 8839.000000 -4.368152e-05 -6.186361e-07 -4.134995e-07 -3.573311e-07 2.762325e-05 -3.124224e-04 -5.389131e-05 -2.839957e-08
 8844.000000 -4.354860e-05 -6.196595e-07 -4.143640e-07 -3.572879e-07 2.798719e-05 -2.995942e-04 -4.765940e-05 -1.178160e-07
 8849.000000 -4.334465e-05 -6.193622e-07 -4.143693e-07 -3.569282e-07 1.979137e-05 -2.772067e-04 -5.926351e-05 -5.588627e-06
 8854.000000 -4.318286e-05 -6.192359e-07 -4.145261e-07 -3.569263e-07 1.590901e-05 -2.873154e-04 -6.412798e-05 -1.219084e-05
 8859.000000 -4.305275e-05 -6.215230e-07 -4.162009e-07 -3.572011e-07 1.765921e-05 -2.715612e-04 -5.820900e-05 -1.275464e-05
 8864.000000 -4.288785e-05 -6.236409e-07 -4.179114e-07 -3.569329e-07 9.428242e-06 -2.637150e-04 -3.823599e-05 -1.647180e-05
 8869.000000 -4.272550e-05 -6.257705e-07 -4.195232e-07 -3.567581e-07 3.683925e-06 -2.388115e-04 -3.970880e-05 -2.128500e-05
 8874.000000 -4.255848e-05 -6.275227e-07 -4.209578e-07 -3.563085e-07 1.241660e-05 -2.498190e-04 -3.864143e-05 -1.764127e-05
 8879.000000 -4.242055e-05 -6.294135e-07 -4.224355e-07 -3.562519e-07 1.445771e-05 -2.711938e-04 -4.745688e-05 -1.645092e-05
 8884.000000 -4.202353e-05 -6.251450e-07 -4.199561e-07 -3.541906e-07 1.854673e-05 -2.914037e-04 -4.597210e-05 -1.482289e-05
 8889.000000 -4.168186e-05 -6.246016e-07 -4.196777e-07 -3.529006e-07 1.838107e-05 -3.052022e-04 -4.462013e-05 -1.248076e-05
 8894.000000 -4.193657e-05 -6.329959e-07 -4.257774e-07 -3.554232e-07 2.066438e-05 -2.882625e-04 -5.894840e-05 -1.690614e-05
 8899.000000 -4.172524e-05 -6.341845e-07 -4.266518e-07 -3.545100e-07 1.490063e-05 -2.848559e-04 -3.846064e-05 -1.594955e-05
 8904.000000 -4.143481e-05 -6.330144e-07 -4.261026e-07 -3.526564e-07 1.619552e-05 -2.831565e-04 -4.605961e-05 -2.467599e-05
 8909.000000 -4.115176e-05 -6.317029e-07 -4.253521e-07 -3.505741e-07 2.163321e-05 -3.104982e-04 -4.535613e-05 -2.591391e-05
 8914.000000 -4.103528e-05 -6.357234e-07 -4.284819e-07 -3.505484e-07 2.938807e-05 -3.110211e-04 -4.652030e-05 -2.078205e-05
 8919.000000 -4.089854e-05 -6.374686e-07 -4.296412e-07 -3.505945e-07 2.317893e-05 -3.223644e-04 -5.807674e-05 -1.831948e-05
 8924.000000 -4.069762e-05 -6.393094e-07 -4.310462e-07 -3.501036e-07 1.969399e-05 -3.111725e-04 -6.839274e-05 -2.911286e-05
 8929.000000 -4.069059e-05 -6.435041e-07 -4.339780e-07 -3.515468e-07 1.831706e-05 -3.255848e-04 -5.759722e-05 -1.963313e-05
 8934.000000 -4.057534e-05 -6.448020e-07 -4.349805e-07 -3.519586e-07 2.179045e-05 -3.224411e-04 -6.283600e-05 -1.728617e-05
 8939.000000 -4.040045e-05 -6.455436e-07 -4.356715e-07 -3.516880e-07 2.375656e-05 -2.872778e-04 -6.120734e-05 -2.033567e-05
 8944.000000 -4.015067e-05 -6.436811e-07 -4.341248e-07 -3.510365e-07 2.813166e-05 -2.844016e-04 -6.777774e-05 -1.211200e-05
 8949.000000 -4.005891e-05 -6.459063e-07 -4.354046e-07 -3.518400e-07 3.089763e-05 -2.912981e-04 -7.406657e-05 -6.820248e-06
 8953.000000 -3.992774e-05 -6.452910e-07 -4.346734e-07 -3.518334e-07 3.784728e-05 -3.022925e-04 -8.270417e-05 -3.495574e-06
 8956.000000 -3.986337e-05 -6.459624e-07 -4.344969e-07 -3.521204e-07 3.683859e-05 -2.727003e-04 -8.694184e-05 -7.921036e-06
 8958.000000 -3.982614e-05 -6.465446e-07 -4.343599e-07 -3.527943e-07 3.272516e-05 -2.799443e-04 -7.977276e-05 -1.181632e-05
 8959.000000 -3.979503e-05 -6.469790e-07 -4.344506e-07 -3.533518e-07 3.004240e-05 -2.790243e-04 -8.175548e-05 -1.538634e-05
 8959.200000 -3.979659e-05 -6.472461e-07 -4.346272e-07 -3.535061e-07 2.242819e-05 -2.663746e-04 -8.197124e-05 -1.458209e-05
 8959.400000 -3.979174e-05 -6.463753e-07 -4.341136e-07 -3.536203e-07 3.125488e-05 -2.774358e-04 -7.735415e-05 -1.099903e-05
