# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.90822474147967
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -349.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.998535
# Detector.I1.voltage: -1649.99939
# Detector.I2.voltage: -1650.0
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370609
# Scan.uid: 03c20628-0880-4635-92a3-a918db46fcd8
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/22/2023  16:33:27.525307
# Scan.end_time: 06/22/2023  16:33:59.826119
# Scan.name: CuGaO2-2nd H2 ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-2nd
# Sample.comment: 
# Sample.position.x: -66.493997553
# Sample.position.y: 31.590026611
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 290.36926714534366
# SampleHeater.temperature2.readback: 290.0
# SampleHeater.voltage.setpoint: 0.7395826955545671
# SampleHeater.voltage.readback: 0.741
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.012
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.08
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.1302083283662796
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.048828125
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: 0.0
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0244140625
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0773111954331398
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.048828125
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01627604104578495
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.048828125
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1180013045668602
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0325520820915699
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 7.40804e-07
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 4.19583e-11
# SampleGasHandlingSystem.RGA.ch3.mass: 12
# SampleGasHandlingSystem.RGA.ch3.readback: 1.85927e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 16
# SampleGasHandlingSystem.RGA.ch4.readback: 4.79968e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 3.7148e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.0492e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.43781e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 40
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 7.59627e-12
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.446632e-05 -4.812632e-07 -3.191148e-07 -2.717142e-07 5.162217e-05 -3.027967e-04 -2.762392e-05 -9.659110e-06
 8784.000000 -3.458125e-05 -4.810622e-07 -3.191421e-07 -2.733832e-07 6.088004e-05 -3.151894e-04 -2.945282e-05 -1.443306e-05
 8789.000000 -3.457901e-05 -4.813192e-07 -3.194402e-07 -2.742568e-07 5.547269e-05 -3.104006e-04 -2.749513e-05 -1.496532e-05
 8794.000000 -3.447467e-05 -4.808752e-07 -3.195174e-07 -2.740318e-07 5.043562e-05 -3.376940e-04 -2.218440e-05 -5.361310e-06
 8799.000000 -3.407046e-05 -4.770705e-07 -3.171904e-07 -2.714431e-07 4.841753e-05 -3.274255e-04 -2.664305e-05 -8.638535e-06
 8804.000000 -3.437531e-05 -4.827776e-07 -3.211148e-07 -2.744481e-07 5.688996e-05 -3.272204e-04 -3.142311e-05 -9.202533e-06
 8809.000000 -3.427494e-05 -4.825099e-07 -3.210237e-07 -2.740522e-07 6.309789e-05 -2.966479e-04 -2.733058e-05 -8.421584e-06
 8814.000000 -3.402802e-05 -4.794151e-07 -3.192630e-07 -2.723343e-07 6.366102e-05 -3.102185e-04 -2.608826e-05 -8.724551e-06
 8819.000000 -3.406945e-05 -4.818130e-07 -3.211062e-07 -2.731083e-07 6.257636e-05 -3.187790e-04 -2.911276e-05 -1.119194e-05
 8824.000000 -3.394075e-05 -4.820732e-07 -3.215675e-07 -2.731187e-07 5.341799e-05 -3.065053e-04 -3.061547e-05 -1.899925e-05
 8829.000000 -3.388894e-05 -4.839109e-07 -3.232342e-07 -2.737185e-07 5.835022e-05 -3.235074e-04 -3.392519e-05 -1.457628e-05
 8834.000000 -3.383716e-05 -4.856423e-07 -3.243035e-07 -2.745355e-07 5.760975e-05 -3.252173e-04 -3.807040e-05 -6.427022e-06
 8839.000000 -3.372276e-05 -4.866982e-07 -3.253430e-07 -2.744202e-07 5.820924e-05 -3.265438e-04 -3.321144e-05 -7.231896e-06
 8844.000000 -3.361884e-05 -4.881349e-07 -3.264418e-07 -2.746610e-07 5.474610e-05 -3.538060e-04 -2.427002e-05 -1.147228e-05
 8849.000000 -3.348999e-05 -4.881234e-07 -3.265635e-07 -2.745984e-07 5.286533e-05 -3.342713e-04 -3.533247e-05 -9.706274e-06
 8854.000000 -3.338382e-05 -4.899383e-07 -3.282878e-07 -2.747664e-07 6.168380e-05 -3.396587e-04 -3.503094e-05 -2.448408e-06
 8859.000000 -3.323939e-05 -4.903350e-07 -3.288181e-07 -2.748050e-07 6.233136e-05 -3.460679e-04 -2.744094e-05 -8.444488e-06
 8864.000000 -3.314572e-05 -4.913810e-07 -3.294459e-07 -2.747671e-07 5.441225e-05 -3.470424e-04 -2.379337e-05 -8.940173e-06
 8869.000000 -3.296343e-05 -4.909344e-07 -3.294487e-07 -2.738740e-07 4.781547e-05 -3.612203e-04 -3.537949e-05 -1.579002e-05
 8874.000000 -3.288922e-05 -4.928363e-07 -3.308982e-07 -2.738174e-07 5.201183e-05 -3.615779e-04 -3.600162e-05 -2.206855e-05
 8879.000000 -3.271278e-05 -4.927660e-07 -3.311291e-07 -2.732394e-07 6.404906e-05 -3.505194e-04 -3.014082e-05 -3.421533e-05
 8884.000000 -3.248311e-05 -4.915719e-07 -3.305766e-07 -2.724633e-07 6.530474e-05 -3.363733e-04 -4.107872e-05 -3.621446e-05
 8889.000000 -3.225349e-05 -4.916626e-07 -3.307238e-07 -2.718849e-07 5.862572e-05 -3.341716e-04 -3.604841e-05 -3.374852e-05
 8894.000000 -3.249606e-05 -4.985390e-07 -3.354767e-07 -2.742332e-07 5.918168e-05 -3.352951e-04 -3.335098e-05 -2.682690e-05
 8899.000000 -3.240098e-05 -5.003402e-07 -3.367830e-07 -2.737805e-07 4.780716e-05 -3.520608e-04 -4.218155e-05 -1.724881e-05
 8904.000000 -3.225238e-05 -5.014226e-07 -3.375021e-07 -2.729677e-07 4.736927e-05 -3.591805e-04 -4.664421e-05 -2.525684e-05
 8909.000000 -3.212857e-05 -5.017874e-07 -3.378861e-07 -2.724880e-07 4.849755e-05 -3.556955e-04 -3.932954e-05 -3.162820e-05
 8914.000000 -3.188197e-05 -5.018440e-07 -3.381284e-07 -2.710849e-07 4.402603e-05 -3.443579e-04 -3.156886e-05 -3.318361e-05
 8919.000000 -3.173784e-05 -5.022889e-07 -3.388597e-07 -2.708579e-07 4.111433e-05 -3.314208e-04 -2.205063e-05 -2.082786e-05
 8924.000000 -3.164223e-05 -5.046450e-07 -3.406962e-07 -2.710297e-07 4.333459e-05 -3.359582e-04 -3.436889e-05 -2.309687e-05
 8929.000000 -3.162123e-05 -5.069803e-07 -3.423953e-07 -2.721355e-07 4.566499e-05 -3.366984e-04 -3.364414e-05 -1.938202e-05
 8934.000000 -3.150404e-05 -5.072615e-07 -3.425747e-07 -2.725071e-07 3.602615e-05 -3.242672e-04 -3.867802e-05 -9.229227e-06
 8939.000000 -3.141919e-05 -5.083597e-07 -3.430848e-07 -2.732166e-07 3.385381e-05 -3.139984e-04 -3.395679e-05 -7.604878e-06
 8944.000000 -3.128571e-05 -5.088261e-07 -3.433746e-07 -2.730796e-07 3.318914e-05 -2.910042e-04 -2.788653e-05 -1.331474e-05
 8949.000000 -3.113446e-05 -5.077417e-07 -3.423155e-07 -2.727969e-07 3.652102e-05 -3.118481e-04 -1.615523e-05 -1.120676e-05
 8953.000000 -3.107844e-05 -5.089978e-07 -3.428139e-07 -2.727631e-07 4.697053e-05 -3.409801e-04 -1.787162e-05 -1.632404e-05
 8956.000000 -3.104922e-05 -5.108760e-07 -3.438258e-07 -2.736311e-07 5.275712e-05 -3.470145e-04 -2.428952e-05 -1.253982e-05
 8958.000000 -3.099438e-05 -5.102202e-07 -3.428689e-07 -2.738681e-07 4.931666e-05 -3.459733e-04 -2.742186e-05 -1.628151e-05
 8959.000000 -3.098016e-05 -5.103352e-07 -3.428529e-07 -2.740120e-07 5.563388e-05 -3.567032e-04 -2.893880e-05 -1.220249e-05
 8959.200000 -3.097860e-05 -5.096936e-07 -3.425757e-07 -2.741173e-07 5.695378e-05 -3.651762e-04 -2.512027e-05 -1.119539e-05
 8959.400000 -3.097176e-05 -5.108743e-07 -3.433056e-07 -2.741432e-07 5.990420e-05 -3.614480e-04 -1.806298e-05 1.473919e-06
