# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.75227146555034
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.004272
# Detector.I1.voltage: -1650.000488
# Detector.I2.voltage: -1650.001343
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370611
# Scan.uid: deeae0c1-0c70-4bd5-a7c4-727a2483f38e
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/22/2023  16:35:24.068617
# Scan.end_time: 06/22/2023  16:35:58.809018
# Scan.name: CuGaO2-2nd H2 ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-2nd
# Sample.comment: 
# Sample.position.x: -66.493997553
# Sample.position.y: 31.589988464
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 309.83879951586607
# SampleHeater.temperature2.readback: 312.1
# SampleHeater.voltage.setpoint: 0.7367295605031532
# SampleHeater.voltage.readback: 0.759
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.012
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.07
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.1383463591337204
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.048828125
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: 0.0
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0244140625
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0773111954331398
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.048828125
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01627604104578495
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.09765625
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.048828125
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1180013045668602
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0325520820915699
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 7.41148e-07
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 3.69843e-11
# SampleGasHandlingSystem.RGA.ch3.mass: 12
# SampleGasHandlingSystem.RGA.ch3.readback: 1.88012e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 16
# SampleGasHandlingSystem.RGA.ch4.readback: 4.89729e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 3.78668e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.1008e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.46603e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 40
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 7.88978e-12
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.459786e-05 -4.716939e-07 -3.128861e-07 -2.728961e-07 3.163014e-05 -4.426281e-04 -4.314449e-05 2.952265e-05
 8784.000000 -3.468121e-05 -4.712560e-07 -3.127511e-07 -2.740005e-07 2.879021e-05 -4.244852e-04 -3.728105e-05 3.112628e-05
 8789.000000 -3.461398e-05 -4.700268e-07 -3.120982e-07 -2.742619e-07 2.739042e-05 -4.522800e-04 -4.013436e-05 2.980895e-05
 8794.000000 -3.446453e-05 -4.684874e-07 -3.112337e-07 -2.739551e-07 2.506882e-05 -4.589327e-04 -4.037032e-05 3.098634e-05
 8799.000000 -3.409551e-05 -4.657665e-07 -3.094102e-07 -2.719533e-07 2.305916e-05 -4.559957e-04 -4.096664e-05 3.052007e-05
 8804.000000 -3.431688e-05 -4.695186e-07 -3.120574e-07 -2.740686e-07 1.774787e-05 -4.659885e-04 -3.749725e-05 1.933449e-05
 8809.000000 -3.427136e-05 -4.706894e-07 -3.131332e-07 -2.740904e-07 2.321780e-05 -4.492864e-04 -3.876851e-05 1.568180e-05
 8814.000000 -3.411490e-05 -4.700182e-07 -3.128751e-07 -2.731392e-07 2.571011e-05 -4.440820e-04 -4.005057e-05 1.091637e-05
 8819.000000 -3.406565e-05 -4.711211e-07 -3.137629e-07 -2.734910e-07 2.923587e-05 -4.570932e-04 -4.325901e-05 1.180699e-05
 8824.000000 -3.402817e-05 -4.734333e-07 -3.157592e-07 -2.741827e-07 3.088339e-05 -4.527198e-04 -3.161878e-05 1.612822e-05
 8829.000000 -3.400250e-05 -4.749245e-07 -3.171301e-07 -2.751136e-07 2.672649e-05 -4.645826e-04 -3.196032e-05 1.468419e-05
 8834.000000 -3.391844e-05 -4.755754e-07 -3.179007e-07 -2.752341e-07 3.323589e-05 -4.350575e-04 -3.436812e-05 1.171896e-05
 8839.000000 -3.381202e-05 -4.766147e-07 -3.187649e-07 -2.752087e-07 3.628335e-05 -4.352871e-04 -3.156638e-05 1.757624e-05
 8844.000000 -3.367908e-05 -4.778600e-07 -3.198383e-07 -2.749323e-07 3.849163e-05 -4.207088e-04 -3.878447e-05 2.495948e-05
 8849.000000 -3.353341e-05 -4.775720e-07 -3.197896e-07 -2.749912e-07 3.301692e-05 -4.163821e-04 -4.225610e-05 2.607884e-05
 8854.000000 -3.341044e-05 -4.779389e-07 -3.200304e-07 -2.752090e-07 2.642493e-05 -4.136714e-04 -4.147742e-05 1.919149e-05
 8859.000000 -3.335487e-05 -4.809256e-07 -3.219187e-07 -2.758811e-07 2.830691e-05 -4.347223e-04 -3.480560e-05 1.841656e-05
 8864.000000 -3.326644e-05 -4.818663e-07 -3.230014e-07 -2.758998e-07 3.541044e-05 -4.412779e-04 -3.443966e-05 1.691538e-05
 8869.000000 -3.314955e-05 -4.832454e-07 -3.241489e-07 -2.756129e-07 3.235054e-05 -4.596754e-04 -2.825838e-05 1.996415e-05
 8874.000000 -3.298137e-05 -4.830289e-07 -3.242083e-07 -2.747244e-07 2.980130e-05 -4.782968e-04 -3.694017e-05 1.586790e-05
 8879.000000 -3.284385e-05 -4.825461e-07 -3.240159e-07 -2.742380e-07 2.777642e-05 -4.593633e-04 -4.265618e-05 1.167213e-05
 8884.000000 -3.262489e-05 -4.817401e-07 -3.237023e-07 -2.735966e-07 2.347735e-05 -4.536892e-04 -3.526187e-05 1.973764e-05
 8889.000000 -3.241053e-05 -4.822492e-07 -3.242402e-07 -2.731693e-07 1.572512e-05 -4.202137e-04 -1.973633e-05 1.723452e-05
 8894.000000 -3.256654e-05 -4.867062e-07 -3.273878e-07 -2.747208e-07 3.043946e-05 -4.330883e-04 -2.377126e-05 1.447169e-05
 8899.000000 -3.246383e-05 -4.876635e-07 -3.282163e-07 -2.747204e-07 3.707095e-05 -4.275121e-04 -2.970708e-05 1.438480e-05
 8904.000000 -3.230093e-05 -4.884973e-07 -3.287669e-07 -2.742384e-07 2.170613e-05 -4.297612e-04 -2.378751e-05 1.111733e-05
 8909.000000 -3.218299e-05 -4.899637e-07 -3.299921e-07 -2.738029e-07 1.416759e-05 -4.299651e-04 -2.515848e-05 1.095658e-05
 8914.000000 -3.193259e-05 -4.895128e-07 -3.299942e-07 -2.720597e-07 2.276751e-05 -4.062885e-04 -2.491907e-05 7.691016e-06
 8919.000000 -3.170024e-05 -4.875258e-07 -3.288648e-07 -2.707164e-07 2.674330e-05 -4.098801e-04 -2.742121e-05 1.752027e-05
 8924.000000 -3.157001e-05 -4.884923e-07 -3.295702e-07 -2.710054e-07 2.838904e-05 -4.142038e-04 -3.703354e-05 1.968905e-05
 8929.000000 -3.168288e-05 -4.933105e-07 -3.328870e-07 -2.731431e-07 3.196907e-05 -4.230896e-04 -4.576840e-05 1.792916e-05
 8934.000000 -3.155999e-05 -4.943354e-07 -3.336476e-07 -2.728245e-07 4.126111e-05 -4.357671e-04 -3.890968e-05 2.280229e-05
 8939.000000 -3.141597e-05 -4.952773e-07 -3.341779e-07 -2.730152e-07 3.608507e-05 -4.194771e-04 -4.625191e-05 2.483477e-05
 8944.000000 -3.130857e-05 -4.964741e-07 -3.348129e-07 -2.728856e-07 2.796588e-05 -4.351091e-04 -3.672199e-05 1.772462e-05
 8949.000000 -3.116784e-05 -4.977041e-07 -3.354526e-07 -2.726809e-07 3.228731e-05 -4.331768e-04 -3.783291e-05 1.222377e-05
 8953.000000 -3.112420e-05 -4.986433e-07 -3.358315e-07 -2.732677e-07 3.398782e-05 -4.027867e-04 -2.887056e-05 1.391283e-05
 8956.000000 -3.100819e-05 -4.964923e-07 -3.337202e-07 -2.729866e-07 2.757788e-05 -4.097048e-04 -2.762827e-05 1.981030e-05
 8958.000000 -3.091009e-05 -4.940083e-07 -3.320033e-07 -2.725172e-07 3.133591e-05 -4.409166e-04 -3.399361e-05 1.776901e-05
 8959.000000 -3.092145e-05 -4.957201e-07 -3.331179e-07 -2.730463e-07 3.544613e-05 -4.567745e-04 -3.429549e-05 1.442777e-05
 8959.200000 -3.097041e-05 -4.973327e-07 -3.341428e-07 -2.735734e-07 3.632866e-05 -4.516682e-04 -2.805916e-05 7.274602e-06
 8959.400000 -3.103569e-05 -4.990282e-07 -3.353123e-07 -2.742965e-07 2.503787e-05 -4.597920e-04 -3.064258e-05 1.486449e-05
