# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.96548423096345
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.000244
# Detector.I1.voltage: -1650.001099
# Detector.I2.voltage: -1649.998901
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370629
# Scan.uid: 11be0a26-cf0d-4a00-a039-7130bd03649d
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/22/2023  16:53:22.599690
# Scan.end_time: 06/22/2023  16:53:57.692295
# Scan.name: CuGaO2-2nd H2 ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-2nd
# Sample.comment: 
# Sample.position.x: -66.493997553
# Sample.position.y: 31.590026611
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 380.0
# SampleHeater.temperature2.readback: 380.90000000000003
# SampleHeater.voltage.setpoint: 0.8707381113667638
# SampleHeater.voltage.readback: 0.85
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.012
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.120000000000001
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.1383463591337204
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.048828125
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.02848307229578495
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0773111954331398
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01627604104578495
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.048828125
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1139322891831398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.03662109375
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 7.57359e-07
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 1.93661e-11
# SampleGasHandlingSystem.RGA.ch3.mass: 12
# SampleGasHandlingSystem.RGA.ch3.readback: 1.62363e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 16
# SampleGasHandlingSystem.RGA.ch4.readback: 4.68975e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 3.63887e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.0492e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.29739e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 40
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 7.11745e-12
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.441073e-05 -4.283723e-07 -2.838588e-07 -2.706959e-07 5.847266e-05 -4.979527e-04 -4.805918e-05 -2.524279e-05
 8784.000000 -3.455204e-05 -4.290403e-07 -2.844757e-07 -2.721367e-07 5.362113e-05 -5.034892e-04 -4.127205e-05 -1.873106e-05
 8789.000000 -3.453463e-05 -4.286423e-07 -2.843410e-07 -2.726677e-07 5.380908e-05 -5.020410e-04 -3.550197e-05 -2.045531e-05
 8794.000000 -3.436727e-05 -4.281626e-07 -2.843238e-07 -2.723108e-07 5.020325e-05 -5.148641e-04 -3.673756e-05 -1.894757e-05
 8799.000000 -3.385800e-05 -4.218887e-07 -2.802508e-07 -2.689678e-07 4.625040e-05 -5.261359e-04 -3.717243e-05 -1.224742e-05
 8804.000000 -3.409080e-05 -4.248190e-07 -2.822995e-07 -2.713364e-07 3.574651e-05 -5.163870e-04 -5.530155e-05 -1.654846e-05
 8809.000000 -3.408583e-05 -4.275835e-07 -2.842434e-07 -2.719805e-07 3.878878e-05 -5.406915e-04 -5.477965e-05 -1.363843e-05
 8814.000000 -3.390567e-05 -4.267595e-07 -2.838894e-07 -2.710090e-07 3.774295e-05 -5.663321e-04 -4.023358e-05 -1.802774e-05
 8819.000000 -3.390005e-05 -4.289908e-07 -2.854647e-07 -2.711599e-07 4.009896e-05 -5.660558e-04 -4.445115e-05 -3.009424e-05
 8824.000000 -3.383507e-05 -4.306315e-07 -2.869986e-07 -2.716898e-07 3.582704e-05 -5.866262e-04 -4.465738e-05 -2.777438e-05
 8829.000000 -3.375235e-05 -4.311266e-07 -2.874236e-07 -2.723315e-07 3.045905e-05 -5.867475e-04 -4.821377e-05 -3.217520e-05
 8834.000000 -3.373328e-05 -4.343774e-07 -2.900475e-07 -2.730402e-07 2.711040e-05 -5.869520e-04 -4.061841e-05 -3.774914e-05
 8839.000000 -3.349442e-05 -4.308951e-07 -2.879479e-07 -2.720840e-07 3.208779e-05 -5.670549e-04 -5.097840e-05 -3.646287e-05
 8844.000000 -3.345771e-05 -4.335009e-07 -2.897061e-07 -2.728703e-07 3.566726e-05 -5.819260e-04 -5.494580e-05 -4.278480e-05
 8849.000000 -3.327770e-05 -4.315599e-07 -2.882738e-07 -2.727682e-07 3.519368e-05 -5.886853e-04 -4.215699e-05 -4.588454e-05
 8854.000000 -3.322742e-05 -4.328883e-07 -2.895650e-07 -2.735987e-07 4.076053e-05 -5.643024e-04 -4.908299e-05 -4.431037e-05
 8859.000000 -3.320941e-05 -4.364149e-07 -2.921463e-07 -2.744255e-07 4.075053e-05 -5.592119e-04 -5.354095e-05 -3.958970e-05
 8864.000000 -3.307589e-05 -4.365045e-07 -2.925779e-07 -2.741962e-07 3.992152e-05 -5.540994e-04 -5.663703e-05 -3.423540e-05
 8869.000000 -3.296635e-05 -4.376260e-07 -2.938936e-07 -2.738670e-07 4.215260e-05 -5.501349e-04 -4.473373e-05 -2.396213e-05
 8874.000000 -3.278816e-05 -4.367638e-07 -2.932457e-07 -2.731857e-07 3.710450e-05 -5.472424e-04 -3.244845e-05 -3.477478e-05
 8879.000000 -3.259349e-05 -4.352371e-07 -2.923190e-07 -2.722241e-07 3.985323e-05 -5.513184e-04 -3.300811e-05 -3.426083e-05
 8884.000000 -3.246583e-05 -4.383685e-07 -2.944222e-07 -2.721623e-07 4.579979e-05 -5.384745e-04 -4.033186e-05 -3.770757e-05
 8889.000000 -3.221180e-05 -4.386741e-07 -2.947538e-07 -2.710455e-07 4.422613e-05 -5.670865e-04 -4.813329e-05 -3.587222e-05
 8894.000000 -3.240110e-05 -4.443956e-07 -2.990126e-07 -2.729644e-07 4.823256e-05 -5.630890e-04 -4.534062e-05 -4.095992e-05
 8899.000000 -3.228435e-05 -4.457468e-07 -3.000545e-07 -2.723574e-07 5.138894e-05 -5.444132e-04 -4.295284e-05 -2.468662e-05
 8904.000000 -3.215082e-05 -4.463593e-07 -3.007830e-07 -2.718313e-07 4.271340e-05 -5.306429e-04 -4.400601e-05 -2.091865e-05
 8909.000000 -3.199607e-05 -4.462826e-07 -3.003999e-07 -2.707405e-07 3.844726e-05 -5.403495e-04 -5.489632e-05 -2.676527e-05
 8914.000000 -3.173939e-05 -4.451475e-07 -2.996686e-07 -2.690341e-07 4.358571e-05 -5.661608e-04 -5.854003e-05 -3.117414e-05
 8919.000000 -3.161998e-05 -4.454119e-07 -2.999850e-07 -2.690962e-07 4.589768e-05 -5.764960e-04 -5.652801e-05 -2.793757e-05
 8924.000000 -3.153527e-05 -4.483306e-07 -3.024110e-07 -2.696970e-07 3.840296e-05 -5.868222e-04 -5.202956e-05 -3.192927e-05
 8929.000000 -3.153076e-05 -4.510879e-07 -3.042668e-07 -2.710962e-07 4.170297e-05 -5.604381e-04 -4.850704e-05 -3.545620e-05
 8934.000000 -3.142864e-05 -4.517703e-07 -3.045658e-07 -2.711116e-07 4.522586e-05 -5.433329e-04 -4.695819e-05 -3.245557e-05
 8939.000000 -3.132678e-05 -4.529560e-07 -3.055313e-07 -2.712076e-07 4.314155e-05 -5.474838e-04 -4.473246e-05 -2.846346e-05
 8944.000000 -3.121492e-05 -4.536783e-07 -3.058288e-07 -2.712501e-07 4.345056e-05 -5.431695e-04 -4.659291e-05 -3.601051e-05
 8949.000000 -3.106508e-05 -4.535866e-07 -3.055939e-07 -2.709844e-07 4.295213e-05 -5.322286e-04 -5.078740e-05 -3.265567e-05
 8953.000000 -3.099157e-05 -4.550935e-07 -3.064259e-07 -2.709295e-07 4.974996e-05 -5.389384e-04 -4.570447e-05 -2.268924e-05
 8956.000000 -3.090012e-05 -4.540457e-07 -3.054143e-07 -2.712204e-07 5.689549e-05 -5.524846e-04 -3.907503e-05 -2.776086e-05
 8958.000000 -3.085297e-05 -4.532388e-07 -3.044718e-07 -2.717486e-07 4.977334e-05 -5.775425e-04 -4.013355e-05 -2.694753e-05
 8959.000000 -3.085414e-05 -4.529517e-07 -3.040936e-07 -2.720059e-07 4.812601e-05 -5.876975e-04 -4.122857e-05 -2.089816e-05
 8959.200000 -3.082324e-05 -4.522473e-07 -3.035675e-07 -2.719423e-07 4.449931e-05 -5.828524e-04 -4.558416e-05 -2.242436e-05
 8959.400000 -3.084357e-05 -4.521452e-07 -3.036695e-07 -2.719468e-07 5.052676e-05 -5.776227e-04 -3.379058e-05 -2.563287e-05
