# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.68134554485675
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -349.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.000122
# Detector.I1.voltage: -1650.001709
# Detector.I2.voltage: -1650.001953
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370651
# Scan.uid: 07f494bf-fbae-4059-bab8-bb05ae24c798
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/22/2023  17:15:15.029748
# Scan.end_time: 06/22/2023  17:15:50.030225
# Scan.name: CuGaO2-2nd H2 ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-2nd
# Sample.comment: 
# Sample.position.x: -66.493997553
# Sample.position.y: 31.5900075375
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 30.0
# SampleHeater.temperature2.readback: 29.1
# SampleHeater.voltage.setpoint: 0.06674428319598544
# SampleHeater.voltage.readback: 0.063
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.012
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.42
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.146484375
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.048828125
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.06103515625
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.03662109375
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01627604104578495
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.048828125
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1139322891831398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.03662109375
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 7.71463e-07
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 4.43265e-11
# SampleGasHandlingSystem.RGA.ch3.mass: 12
# SampleGasHandlingSystem.RGA.ch3.readback: 1.65479e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 16
# SampleGasHandlingSystem.RGA.ch4.readback: 5.04477e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 3.63282e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.2255e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.52449e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 40
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 7.09988e-12
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.455611e-05 -5.082845e-07 -3.370426e-07 -2.727303e-07 -7.376410e-06 -6.485817e-04 -4.056832e-05 2.440800e-06
 8784.000000 -3.460891e-05 -5.055574e-07 -3.353615e-07 -2.736489e-07 -1.423972e-06 -6.526575e-04 -4.399338e-05 6.389037e-06
 8789.000000 -3.455108e-05 -5.041342e-07 -3.350123e-07 -2.738520e-07 -6.866526e-06 -6.423416e-04 -4.759946e-05 2.555056e-06
 8794.000000 -3.441150e-05 -5.027684e-07 -3.342981e-07 -2.734864e-07 -2.731169e-06 -6.144340e-04 -4.646575e-05 1.910150e-06
 8799.000000 -3.403115e-05 -4.971389e-07 -3.305571e-07 -2.713963e-07 -8.514896e-06 -6.160513e-04 -4.928690e-05 -1.777377e-06
 8804.000000 -3.429944e-05 -5.018763e-07 -3.336605e-07 -2.739589e-07 -2.858412e-06 -6.127645e-04 -4.081749e-05 9.119279e-06
 8809.000000 -3.425128e-05 -5.033274e-07 -3.347332e-07 -2.741831e-07 2.224226e-06 -6.142308e-04 -3.839201e-05 9.555189e-07
 8814.000000 -3.409322e-05 -5.023006e-07 -3.342104e-07 -2.732831e-07 -5.868227e-06 -6.165343e-04 -5.142241e-05 7.681262e-06
 8819.000000 -3.407839e-05 -5.044223e-07 -3.360843e-07 -2.734456e-07 -6.283317e-06 -6.200426e-04 -4.859015e-05 1.655057e-06
 8824.000000 -3.389426e-05 -5.034570e-07 -3.357233e-07 -2.725185e-07 -2.436198e-06 -6.319745e-04 -4.227640e-05 3.710954e-06
 8829.000000 -3.394781e-05 -5.058445e-07 -3.377609e-07 -2.738434e-07 3.367312e-06 -6.628732e-04 -3.674903e-05 1.074810e-05
 8834.000000 -3.385558e-05 -5.065946e-07 -3.383496e-07 -2.742274e-07 -2.368067e-06 -6.651996e-04 -5.072100e-05 2.219912e-06
 8839.000000 -3.369772e-05 -5.064565e-07 -3.383764e-07 -2.741037e-07 -4.746392e-06 -6.418932e-04 -3.519916e-05 6.198954e-06
 8844.000000 -3.353723e-05 -5.072777e-07 -3.390998e-07 -2.738649e-07 -4.899255e-06 -6.200386e-04 -3.793376e-05 1.090621e-06
 8849.000000 -3.350668e-05 -5.090211e-07 -3.407860e-07 -2.744838e-07 1.264063e-06 -6.172687e-04 -3.498559e-05 -6.169269e-06
 8854.000000 -3.344069e-05 -5.097843e-07 -3.415916e-07 -2.751918e-07 -3.396094e-07 -6.090548e-04 -3.800515e-05 -3.160349e-06
 8859.000000 -3.331484e-05 -5.106836e-07 -3.424032e-07 -2.753584e-07 -1.655049e-06 -5.955484e-04 -4.748198e-05 2.681139e-06
 8864.000000 -3.321882e-05 -5.128911e-07 -3.438278e-07 -2.754259e-07 6.683397e-06 -6.002719e-04 -3.881114e-05 -2.356219e-06
 8869.000000 -3.309159e-05 -5.148498e-07 -3.453639e-07 -2.751123e-07 7.748711e-06 -6.019586e-04 -4.338925e-05 -6.130439e-06
 8874.000000 -3.294418e-05 -5.151364e-07 -3.458612e-07 -2.745066e-07 4.755475e-06 -5.953789e-04 -4.065332e-05 -5.641142e-06
 8879.000000 -3.283768e-05 -5.156500e-07 -3.463661e-07 -2.744941e-07 -2.796622e-06 -6.122558e-04 -3.540818e-05 -2.231954e-06
 8884.000000 -3.255937e-05 -5.140961e-07 -3.453713e-07 -2.733986e-07 -4.859588e-06 -6.156357e-04 -3.575758e-05 4.239412e-06
 8889.000000 -3.231917e-05 -5.145062e-07 -3.457218e-07 -2.728795e-07 -6.346604e-06 -6.217369e-04 -3.989663e-05 5.045429e-06
 8894.000000 -3.251719e-05 -5.205931e-07 -3.500572e-07 -2.748912e-07 -9.863011e-06 -6.180481e-04 -4.462357e-05 7.749988e-06
 8899.000000 -3.242478e-05 -5.220295e-07 -3.511792e-07 -2.744899e-07 -6.372884e-07 -6.239224e-04 -3.174683e-05 6.175664e-06
 8904.000000 -3.229738e-05 -5.234317e-07 -3.525102e-07 -2.736646e-07 -3.410789e-06 -6.505393e-04 -3.949835e-05 -2.996280e-06
 8909.000000 -3.213016e-05 -5.244162e-07 -3.534159e-07 -2.726361e-07 8.880058e-07 -6.522194e-04 -4.283610e-05 4.272829e-06
 8914.000000 -3.188605e-05 -5.244945e-07 -3.538422e-07 -2.712762e-07 1.876072e-06 -6.506943e-04 -4.533882e-05 1.112299e-05
 8919.000000 -3.180734e-05 -5.268241e-07 -3.554183e-07 -2.714067e-07 4.799826e-06 -6.710567e-04 -4.524317e-05 1.464422e-05
 8924.000000 -3.163500e-05 -5.278342e-07 -3.560579e-07 -2.707715e-07 -1.213215e-06 -6.652310e-04 -5.002235e-05 7.114030e-06
 8929.000000 -3.165061e-05 -5.309769e-07 -3.582866e-07 -2.723665e-07 -7.264620e-06 -6.713008e-04 -4.490175e-05 1.101270e-05
 8934.000000 -3.155631e-05 -5.322776e-07 -3.594105e-07 -2.726200e-07 -9.316401e-06 -6.751182e-04 -4.173966e-05 4.650355e-06
 8939.000000 -3.139641e-05 -5.320329e-07 -3.591796e-07 -2.722838e-07 -1.424914e-08 -6.616597e-04 -3.558823e-05 1.821773e-06
 8944.000000 -3.132435e-05 -5.331107e-07 -3.596900e-07 -2.728791e-07 -3.898103e-06 -6.733893e-04 -3.305823e-05 6.942113e-06
 8949.000000 -3.120517e-05 -5.315628e-07 -3.585669e-07 -2.728152e-07 -4.797345e-06 -7.037768e-04 -4.412696e-05 7.691340e-06
 8953.000000 -3.111896e-05 -5.297947e-07 -3.570587e-07 -2.729898e-07 2.359080e-06 -7.324852e-04 -3.898580e-05 4.353473e-05
 8956.000000 -3.104251e-05 -5.283286e-07 -3.553838e-07 -2.730400e-07 -8.476325e-06 -7.423361e-04 -4.247764e-05 2.991245e-05
 8958.000000 -3.102100e-05 -5.275279e-07 -3.546990e-07 -2.733209e-07 -3.915745e-06 -7.382909e-04 -3.591951e-05 7.862077e-06
 8959.000000 -3.102794e-05 -5.268360e-07 -3.541009e-07 -2.736702e-07 -5.549002e-06 -7.156550e-04 -4.372282e-05 -2.209436e-06
 8959.200000 -3.102145e-05 -5.261706e-07 -3.537083e-07 -2.737970e-07 -9.316080e-06 -7.043097e-04 -4.637715e-05 -6.661632e-06
 8959.400000 -3.102203e-05 -5.281429e-07 -3.549252e-07 -2.739897e-07 -4.700817e-06 -7.306598e-04 -4.609346e-05 -8.077925e-06
