# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.02664773672194
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.000244
# Detector.I1.voltage: -1650.002686
# Detector.I2.voltage: -1650.002075
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370590
# Scan.uid: 017f1cca-67fe-4851-a271-46f3c390a251
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/22/2023  16:13:27.583119
# Scan.end_time: 06/22/2023  16:14:01.354274
# Scan.name: CuGaO2-2nd H2 ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-2nd
# Sample.comment: 
# Sample.position.x: -66.72772422199999
# Sample.position.y: 31.62805917
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 89.95879253869677
# SampleHeater.temperature2.readback: 89.30000000000001
# SampleHeater.voltage.setpoint: 0.36173029522773703
# SampleHeater.voltage.readback: 0.367
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.006
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.11
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.1383463591337204
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.02848307229578495
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0773111954331398
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.048828125
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01627604104578495
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.09765625
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.048828125
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1139322891831398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0325520820915699
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 7.31473e-07
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 1.72598e-10
# SampleGasHandlingSystem.RGA.ch3.mass: 12
# SampleGasHandlingSystem.RGA.ch3.readback: 2.91145e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 16
# SampleGasHandlingSystem.RGA.ch4.readback: 5.2155e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 4.41623e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.1223e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.53926e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 40
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 1.19378e-11
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -3.512829e-05 -1.616952e-06 -5.009686e-07 -1.279427e-06 4.272830e-05 -1.045133e-04 -5.881934e-05 -2.435425e-05
10172.000000 -3.495846e-05 -1.597347e-06 -4.923885e-07 -1.273095e-06 4.319305e-05 -7.338856e-05 -5.391091e-05 -1.708752e-05
10177.000000 -3.491555e-05 -1.611626e-06 -4.923047e-07 -1.276469e-06 4.151017e-05 -9.141933e-05 -7.346587e-05 -2.298623e-05
10182.000000 -3.481861e-05 -1.604618e-06 -4.816141e-07 -1.273459e-06 3.934656e-05 -9.700729e-05 -7.382805e-05 -1.765009e-05
10187.000000 -3.479290e-05 -1.595612e-06 -4.617874e-07 -1.275728e-06 3.754110e-05 -1.152445e-04 -6.838661e-05 -2.265662e-05
10192.000000 -3.489035e-05 -1.610580e-06 -4.282880e-07 -1.285866e-06 2.471986e-05 -1.023637e-04 -5.974131e-05 -2.766264e-05
10197.000000 -3.486158e-05 -1.611923e-06 -3.188818e-07 -1.287428e-06 1.924574e-05 -1.338103e-04 -5.090237e-05 -2.060094e-05
10202.000000 -3.481809e-05 -1.614835e-06 -1.067345e-07 -1.289182e-06 2.967899e-05 -1.269261e-04 -5.127724e-05 -1.230475e-05
10207.000000 -3.476277e-05 -1.611383e-06 -4.599344e-08 -1.288713e-06 3.157459e-05 -1.165288e-04 -5.644706e-05 -1.875459e-05
10212.000000 -3.470357e-05 -1.607332e-06 -9.100664e-08 -1.287445e-06 3.484280e-05 -1.153898e-04 -4.986640e-05 -2.583443e-05
10217.000000 -3.461082e-05 -1.601437e-06 -1.165531e-07 -1.284293e-06 3.884039e-05 -1.012408e-04 -5.049378e-05 -2.566827e-05
10222.000000 -3.463628e-05 -1.615732e-06 -1.373459e-07 -1.294151e-06 3.538680e-05 -1.246897e-04 -5.203995e-05 -2.335557e-05
10227.000000 -3.458445e-05 -1.617006e-06 -1.502749e-07 -1.296048e-06 3.524467e-05 -1.571639e-04 -4.606403e-05 -2.848052e-05
10232.000000 -3.451350e-05 -1.621165e-06 -1.559554e-07 -1.296207e-06 3.393231e-05 -1.628183e-04 -4.776292e-05 -2.926551e-05
10237.000000 -3.451893e-05 -1.629853e-06 -1.601659e-07 -1.301179e-06 3.910319e-05 -1.647950e-04 -5.108772e-05 -2.832009e-05
10242.000000 -3.447814e-05 -1.634199e-06 -1.630051e-07 -1.303665e-06 5.203769e-05 -1.763144e-04 -5.031048e-05 -3.312911e-05
10247.000000 -3.436567e-05 -1.629475e-06 -1.686122e-07 -1.300747e-06 4.520711e-05 -1.808290e-04 -6.034818e-05 -2.607332e-05
10252.000000 -3.433133e-05 -1.633680e-06 -1.678862e-07 -1.302423e-06 2.890329e-05 -1.790355e-04 -6.325284e-05 -2.635839e-05
10257.000000 -3.428020e-05 -1.634330e-06 -1.616989e-07 -1.302694e-06 1.654847e-05 -1.726440e-04 -5.827672e-05 -2.543762e-05
10262.000000 -3.419786e-05 -1.640438e-06 -1.615157e-07 -1.304124e-06 2.126136e-05 -1.903469e-04 -5.076480e-05 -2.217177e-05
10267.000000 -3.425153e-05 -1.654361e-06 -1.653275e-07 -1.311194e-06 2.939727e-05 -1.790911e-04 -5.225603e-05 -2.405842e-05
10272.000000 -3.423356e-05 -1.661486e-06 -1.671338e-07 -1.315303e-06 3.359234e-05 -1.824380e-04 -5.935814e-05 -3.049637e-05
10277.000000 -3.414075e-05 -1.662354e-06 -1.659823e-07 -1.314542e-06 2.957353e-05 -1.638843e-04 -6.647420e-05 -2.058405e-05
10282.000000 -3.396464e-05 -1.662611e-06 -1.635026e-07 -1.310531e-06 2.127013e-05 -1.752522e-04 -5.890278e-05 -2.053976e-05
10287.000000 -3.402373e-05 -1.675087e-06 -1.658859e-07 -1.317674e-06 2.912509e-05 -1.982370e-04 -6.148386e-05 -1.856658e-05
10292.000000 -3.399118e-05 -1.684145e-06 -1.714106e-07 -1.320650e-06 4.678709e-05 -1.920727e-04 -7.477689e-05 -2.086693e-05
10297.000000 -3.389693e-05 -1.670731e-06 -1.717462e-07 -1.316574e-06 4.031338e-05 -2.026997e-04 -6.752259e-05 -2.307739e-05
10302.000000 -3.386510e-05 -1.668242e-06 -1.707249e-07 -1.316491e-06 3.600237e-05 -2.044034e-04 -7.206194e-05 -2.720511e-05
10307.000000 -3.382770e-05 -1.678174e-06 -1.713723e-07 -1.320611e-06 4.331053e-05 -2.012598e-04 -6.530175e-05 -1.738837e-05
10312.000000 -3.381030e-05 -1.693106e-06 -1.730333e-07 -1.326760e-06 4.715076e-05 -2.213084e-04 -6.548808e-05 -2.383385e-05
10317.000000 -3.378708e-05 -1.703645e-06 -1.730316e-07 -1.332480e-06 4.605488e-05 -2.272203e-04 -6.847439e-05 -2.119775e-05
10322.000000 -3.368886e-05 -1.689950e-06 -1.696435e-07 -1.327878e-06 4.739179e-05 -2.358224e-04 -5.400595e-05 -2.584850e-05
10327.000000 -3.366229e-05 -1.706041e-06 -1.698080e-07 -1.334685e-06 3.888362e-05 -2.347133e-04 -5.373870e-05 -2.766492e-05
10332.000000 -3.351273e-05 -1.702330e-06 -1.676108e-07 -1.333005e-06 4.590302e-05 -2.166442e-04 -4.632591e-05 -3.787424e-05
10337.000000 -3.360407e-05 -1.710452e-06 -1.680061e-07 -1.341882e-06 4.220675e-05 -2.321965e-04 -5.087146e-05 -3.372299e-05
10341.000000 -3.355523e-05 -1.707745e-06 -1.686193e-07 -1.345073e-06 3.124508e-05 -2.284911e-04 -5.138001e-05 -3.163910e-05
10344.000000 -3.349693e-05 -1.702348e-06 -1.696732e-07 -1.345288e-06 2.872065e-05 -2.033766e-04 -5.150616e-05 -3.060406e-05
10346.000000 -3.343016e-05 -1.691623e-06 -1.702555e-07 -1.342899e-06 3.284834e-05 -1.687680e-04 -4.964848e-05 -3.608360e-05
10347.000000 -3.351583e-05 -1.723123e-06 -1.749148e-07 -1.357526e-06 3.225860e-05 -1.646567e-04 -5.466222e-05 -3.835422e-05
10347.200000 -3.352069e-05 -1.727932e-06 -1.755573e-07 -1.359095e-06 2.554643e-05 -1.825153e-04 -5.754144e-05 -3.444708e-05
10347.400000 -3.350540e-05 -1.722002e-06 -1.750573e-07 -1.357823e-06 3.182351e-05 -1.907494e-04 -4.828343e-05 -2.455591e-05
10347.600000 -3.350205e-05 -1.721165e-06 -1.754839e-07 -1.358230e-06 3.349760e-05 -1.863639e-04 -5.985141e-05 -3.357175e-05
