# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.45153582741284
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.990356
# Detector.I1.voltage: -1649.990601
# Detector.I2.voltage: -1649.993408
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370592
# Scan.uid: 01c0da37-f81d-48de-a0dc-8f52fe25eef4
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/22/2023  16:15:24.513856
# Scan.end_time: 06/22/2023  16:15:59.746405
# Scan.name: CuGaO2-2nd H2 ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-2nd
# Sample.comment: 
# Sample.position.x: -66.72799125099999
# Sample.position.y: 31.627982876
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 109.11801704839574
# SampleHeater.temperature2.readback: 109.7
# SampleHeater.voltage.setpoint: 0.40342335902626575
# SampleHeater.voltage.readback: 0.41000000000000003
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.008000000000001
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.1
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.1302083283662796
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: 0.0
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0244140625
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0773111954331398
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.048828125
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01627604104578495
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.09765625
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1139322891831398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0325520820915699
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 7.17842e-07
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 1.40441e-10
# SampleGasHandlingSystem.RGA.ch3.mass: 12
# SampleGasHandlingSystem.RGA.ch3.readback: 2.72004e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 16
# SampleGasHandlingSystem.RGA.ch4.readback: 5.02872e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 4.26103e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.075e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.60914e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 40
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 1.06425e-11
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -3.515748e-05 -1.605390e-06 -4.962039e-07 -1.278521e-06 2.803007e-05 -2.500575e-04 -6.337706e-05 -1.828068e-05
10172.000000 -3.501976e-05 -1.588086e-06 -4.887415e-07 -1.275970e-06 3.745129e-05 -2.633750e-04 -5.997942e-05 -2.627695e-05
10177.000000 -3.487578e-05 -1.576869e-06 -4.802790e-07 -1.268324e-06 3.817777e-05 -2.749448e-04 -4.996370e-05 -2.388127e-05
10182.000000 -3.482388e-05 -1.575977e-06 -4.718530e-07 -1.269937e-06 3.537687e-05 -2.770198e-04 -4.746308e-05 -2.580285e-05
10187.000000 -3.488185e-05 -1.586765e-06 -4.590327e-07 -1.280591e-06 2.727792e-05 -2.745895e-04 -5.914587e-05 -1.798749e-05
10192.000000 -3.497154e-05 -1.603543e-06 -4.259587e-07 -1.289523e-06 3.080189e-05 -2.704316e-04 -5.806596e-05 -2.021533e-05
10197.000000 -3.493914e-05 -1.605655e-06 -3.164903e-07 -1.290550e-06 2.708017e-05 -2.417881e-04 -5.188779e-05 -2.808747e-05
10202.000000 -3.487160e-05 -1.605790e-06 -1.043186e-07 -1.289339e-06 2.916105e-05 -2.404917e-04 -6.037266e-05 -4.177965e-05
10207.000000 -3.477823e-05 -1.598154e-06 -4.531032e-08 -1.284467e-06 3.440751e-05 -2.695269e-04 -6.446152e-05 -4.447981e-05
10212.000000 -3.478037e-05 -1.607530e-06 -9.086947e-08 -1.290721e-06 3.659996e-05 -2.785512e-04 -6.417952e-05 -4.943019e-05
10217.000000 -3.461085e-05 -1.581170e-06 -1.140789e-07 -1.279514e-06 2.811566e-05 -2.995479e-04 -5.971366e-05 -4.312651e-05
10222.000000 -3.468950e-05 -1.607983e-06 -1.360342e-07 -1.293940e-06 3.216934e-05 -3.136466e-04 -5.733142e-05 -3.488909e-05
10227.000000 -3.464298e-05 -1.612279e-06 -1.496422e-07 -1.295837e-06 3.542093e-05 -2.909602e-04 -4.831821e-05 -2.571018e-05
10232.000000 -3.459630e-05 -1.619482e-06 -1.554628e-07 -1.301017e-06 2.462607e-05 -3.048877e-04 -4.606164e-05 -3.050553e-05
10237.000000 -3.457874e-05 -1.620886e-06 -1.588272e-07 -1.303459e-06 2.473761e-05 -2.804848e-04 -4.843477e-05 -3.493982e-05
10242.000000 -3.451155e-05 -1.618682e-06 -1.610911e-07 -1.303142e-06 2.240402e-05 -2.523978e-04 -6.034288e-05 -4.494932e-05
10247.000000 -3.445470e-05 -1.626653e-06 -1.681550e-07 -1.306107e-06 1.173708e-05 -2.409433e-04 -6.534659e-05 -4.018861e-05
10252.000000 -3.438716e-05 -1.621797e-06 -1.661678e-07 -1.303432e-06 1.058978e-05 -2.402049e-04 -7.038666e-05 -3.493507e-05
10257.000000 -3.437562e-05 -1.634929e-06 -1.613756e-07 -1.308550e-06 1.878333e-05 -2.739632e-04 -6.640581e-05 -3.112447e-05
10262.000000 -3.428895e-05 -1.638807e-06 -1.606915e-07 -1.309338e-06 1.784917e-05 -2.737175e-04 -6.927373e-05 -3.511411e-05
10267.000000 -3.433815e-05 -1.650250e-06 -1.644383e-07 -1.316053e-06 1.254109e-05 -2.628626e-04 -7.659529e-05 -4.058826e-05
10272.000000 -3.429504e-05 -1.651192e-06 -1.658098e-07 -1.317756e-06 8.555462e-06 -2.493180e-04 -6.586693e-05 -3.686335e-05
10277.000000 -3.417239e-05 -1.642060e-06 -1.634162e-07 -1.312854e-06 1.673231e-05 -2.387621e-04 -5.123744e-05 -2.469055e-05
10282.000000 -3.399322e-05 -1.639187e-06 -1.607873e-07 -1.308415e-06 1.619453e-05 -2.382461e-04 -5.187818e-05 -1.874752e-05
10287.000000 -3.400454e-05 -1.638246e-06 -1.617154e-07 -1.309898e-06 1.619033e-05 -2.301921e-04 -4.693298e-05 -2.429122e-05
10292.000000 -3.402599e-05 -1.661464e-06 -1.686570e-07 -1.320467e-06 2.245053e-05 -2.491348e-04 -4.244706e-05 -1.657026e-05
10297.000000 -3.398027e-05 -1.666042e-06 -1.708811e-07 -1.322726e-06 1.630978e-05 -2.391048e-04 -5.974969e-05 -3.267675e-05
10302.000000 -3.396494e-05 -1.670431e-06 -1.705263e-07 -1.325716e-06 2.076539e-05 -2.325271e-04 -6.647044e-05 -4.338692e-05
10307.000000 -3.390959e-05 -1.674441e-06 -1.709199e-07 -1.327811e-06 1.546656e-05 -2.462679e-04 -6.051488e-05 -4.855751e-05
10312.000000 -3.386897e-05 -1.682715e-06 -1.718833e-07 -1.330856e-06 1.140207e-05 -2.359583e-04 -6.901405e-05 -3.802271e-05
10317.000000 -3.382244e-05 -1.684222e-06 -1.706304e-07 -1.332941e-06 1.402550e-05 -2.543881e-04 -7.177550e-05 -3.314018e-05
10322.000000 -3.378749e-05 -1.691055e-06 -1.698577e-07 -1.337288e-06 1.361409e-05 -2.456163e-04 -6.474963e-05 -3.250253e-05
10327.000000 -3.372104e-05 -1.691301e-06 -1.678544e-07 -1.338584e-06 1.318017e-05 -2.355828e-04 -7.442367e-05 -3.462605e-05
10332.000000 -3.357700e-05 -1.688330e-06 -1.660878e-07 -1.338116e-06 2.020410e-05 -2.503515e-04 -6.921726e-05 -3.294642e-05
10337.000000 -3.366641e-05 -1.695083e-06 -1.663858e-07 -1.346050e-06 1.867298e-05 -2.607616e-04 -5.490039e-05 -2.427035e-05
10341.000000 -3.364072e-05 -1.703317e-06 -1.683621e-07 -1.352152e-06 1.842162e-05 -3.164306e-04 -5.179146e-05 -3.159175e-05
10344.000000 -3.357057e-05 -1.693189e-06 -1.686966e-07 -1.351306e-06 1.606471e-05 -3.374273e-04 -5.024471e-05 -3.595593e-05
10346.000000 -3.352296e-05 -1.687049e-06 -1.698212e-07 -1.351907e-06 1.725805e-05 -3.338396e-04 -5.263050e-05 -3.805921e-05
10347.000000 -3.350756e-05 -1.686517e-06 -1.706645e-07 -1.352809e-06 2.514921e-05 -3.211984e-04 -5.021361e-05 -3.256134e-05
10347.200000 -3.348679e-05 -1.684202e-06 -1.703461e-07 -1.350015e-06 2.443533e-05 -3.146198e-04 -3.958143e-05 -2.936626e-05
10347.400000 -3.337107e-05 -1.645572e-06 -1.660582e-07 -1.339321e-06 6.105566e-06 -2.807137e-04 -4.231940e-05 -3.038552e-05
10347.600000 -3.346405e-05 -1.677769e-06 -1.699499e-07 -1.349482e-06 2.566735e-05 -2.696773e-04 -3.828927e-05 -1.706709e-05
