# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.37007793329553
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.988159
# Detector.I1.voltage: -1650.000977
# Detector.I2.voltage: -1650.001343
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370596
# Scan.uid: 983d4a38-aa2a-4901-a8ad-81c53230fa76
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/22/2023  16:19:24.094243
# Scan.end_time: 06/22/2023  16:19:58.056336
# Scan.name: CuGaO2-2nd H2 ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-2nd
# Sample.comment: 
# Sample.position.x: -66.72799125099999
# Sample.position.y: 31.6280019495
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 149.16062905806382
# SampleHeater.temperature2.readback: 150.20000000000002
# SampleHeater.voltage.setpoint: 0.42779780889623037
# SampleHeater.voltage.readback: 0.434
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.012
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.120000000000001
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.1302083283662796
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02848307229578495
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: 0.0
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0244140625
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0773111954331398
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.048828125
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01627604104578495
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.09765625
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1139322891831398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0325520820915699
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 7.17154e-07
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 1.20796e-10
# SampleGasHandlingSystem.RGA.ch3.mass: 12
# SampleGasHandlingSystem.RGA.ch3.readback: 2.36488e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 16
# SampleGasHandlingSystem.RGA.ch4.readback: 5.09899e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 4.01848e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.1137e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.59033e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 40
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 9.54063e-12
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -3.525029e-05 -1.567563e-06 -4.846337e-07 -1.284543e-06 2.869463e-05 -4.674236e-04 -4.032852e-05 -3.179828e-05
10172.000000 -3.510550e-05 -1.553331e-06 -4.781310e-07 -1.281649e-06 2.157334e-05 -4.797639e-04 -4.980984e-05 -2.921974e-05
10177.000000 -3.491287e-05 -1.535542e-06 -4.675611e-07 -1.269410e-06 2.406715e-05 -5.012379e-04 -5.468408e-05 -3.025941e-05
10182.000000 -3.476569e-05 -1.525282e-06 -4.556063e-07 -1.262179e-06 2.919335e-05 -4.952457e-04 -5.556419e-05 -2.333321e-05
10187.000000 -3.487667e-05 -1.536078e-06 -4.436167e-07 -1.277740e-06 3.057489e-05 -4.754687e-04 -4.507941e-05 -1.478978e-05
10192.000000 -3.496074e-05 -1.546931e-06 -4.101175e-07 -1.285514e-06 2.864942e-05 -4.847768e-04 -4.552365e-05 -1.558954e-05
10197.000000 -3.498007e-05 -1.554365e-06 -3.070863e-07 -1.292437e-06 3.068267e-05 -5.180367e-04 -4.493011e-05 -1.564716e-05
10202.000000 -3.492228e-05 -1.555974e-06 -1.021767e-07 -1.293305e-06 3.408543e-05 -5.058561e-04 -4.879475e-05 -2.271926e-05
10207.000000 -3.487898e-05 -1.556361e-06 -4.425867e-08 -1.294445e-06 2.974081e-05 -4.759718e-04 -4.973442e-05 -3.337932e-05
10212.000000 -3.482202e-05 -1.558233e-06 -8.802398e-08 -1.293456e-06 1.893763e-05 -4.615575e-04 -4.807780e-05 -3.113274e-05
10217.000000 -3.479675e-05 -1.566396e-06 -1.132251e-07 -1.297053e-06 1.765054e-05 -4.603647e-04 -2.966848e-05 -2.472324e-05
10222.000000 -3.476276e-05 -1.574494e-06 -1.329576e-07 -1.301003e-06 1.718106e-05 -4.708691e-04 -3.001521e-05 -1.427791e-05
10227.000000 -3.463771e-05 -1.569805e-06 -1.451673e-07 -1.294521e-06 1.850172e-05 -4.742549e-04 -4.344498e-05 -1.666078e-05
10232.000000 -3.458448e-05 -1.578919e-06 -1.515695e-07 -1.298336e-06 2.258610e-05 -4.601687e-04 -3.788430e-05 -1.726344e-05
10237.000000 -3.461733e-05 -1.588415e-06 -1.559718e-07 -1.306590e-06 1.570935e-05 -4.744549e-04 -3.643207e-05 -2.208558e-05
10242.000000 -3.454740e-05 -1.586909e-06 -1.580166e-07 -1.305130e-06 1.747765e-05 -4.669297e-04 -5.100004e-05 -2.953061e-05
10247.000000 -3.446126e-05 -1.590873e-06 -1.643816e-07 -1.304056e-06 2.624406e-05 -4.582598e-04 -3.661070e-05 -2.365089e-05
10252.000000 -3.444629e-05 -1.597614e-06 -1.640118e-07 -1.307496e-06 2.799985e-05 -4.681060e-04 -3.368987e-05 -2.297740e-05
10257.000000 -3.439113e-05 -1.601154e-06 -1.580887e-07 -1.307738e-06 3.041139e-05 -4.776112e-04 -3.405728e-05 -2.677187e-05
10262.000000 -3.431692e-05 -1.612698e-06 -1.581057e-07 -1.311159e-06 2.660340e-05 -4.752682e-04 -3.623791e-05 -2.833433e-05
10267.000000 -3.435833e-05 -1.623567e-06 -1.615273e-07 -1.316476e-06 2.706442e-05 -4.642987e-04 -4.531450e-05 -2.025410e-05
10272.000000 -3.431958e-05 -1.626165e-06 -1.628549e-07 -1.317750e-06 3.612969e-05 -4.655365e-04 -5.641378e-05 -2.485143e-05
10277.000000 -3.426027e-05 -1.631747e-06 -1.622835e-07 -1.321048e-06 3.141721e-05 -4.562410e-04 -4.618115e-05 -2.717576e-05
10282.000000 -3.407288e-05 -1.627180e-06 -1.596026e-07 -1.316055e-06 3.495520e-05 -4.418288e-04 -4.144775e-05 -2.335087e-05
10287.000000 -3.407930e-05 -1.626607e-06 -1.604432e-07 -1.317253e-06 3.502360e-05 -4.742005e-04 -4.568484e-05 -2.877735e-05
10292.000000 -3.401173e-05 -1.626435e-06 -1.646156e-07 -1.316247e-06 2.434924e-05 -4.904901e-04 -4.059189e-05 -2.856768e-05
10297.000000 -3.401001e-05 -1.642392e-06 -1.683454e-07 -1.324552e-06 2.895900e-05 -4.945425e-04 -2.787395e-05 -3.515305e-05
10302.000000 -3.401080e-05 -1.650397e-06 -1.686719e-07 -1.328880e-06 2.534438e-05 -4.693809e-04 -3.048963e-05 -3.346722e-05
10307.000000 -3.393678e-05 -1.649962e-06 -1.681492e-07 -1.327307e-06 3.112240e-05 -4.756797e-04 -2.394056e-05 -3.874928e-05
10312.000000 -3.386472e-05 -1.653410e-06 -1.683370e-07 -1.326934e-06 3.663707e-05 -4.559003e-04 -2.717884e-05 -3.464962e-05
10317.000000 -3.384397e-05 -1.664557e-06 -1.685737e-07 -1.332975e-06 3.254475e-05 -4.445514e-04 -2.000651e-05 -3.528525e-05
10322.000000 -3.381706e-05 -1.671512e-06 -1.676754e-07 -1.337446e-06 2.286302e-05 -4.369009e-04 -3.126192e-05 -4.566926e-05
10327.000000 -3.375633e-05 -1.675152e-06 -1.665176e-07 -1.340224e-06 1.511420e-05 -4.500743e-04 -4.155885e-05 -3.980227e-05
10332.000000 -3.360653e-05 -1.672976e-06 -1.644882e-07 -1.338970e-06 2.324538e-05 -4.420972e-04 -2.988818e-05 -4.327769e-05
10337.000000 -3.370841e-05 -1.683547e-06 -1.652490e-07 -1.348761e-06 3.307354e-05 -4.281509e-04 -1.923247e-05 -4.661594e-05
10341.000000 -3.364088e-05 -1.676996e-06 -1.653449e-07 -1.350199e-06 2.848023e-05 -4.354483e-04 -2.119260e-05 -4.139639e-05
10344.000000 -3.359165e-05 -1.675086e-06 -1.669267e-07 -1.353530e-06 3.368875e-05 -4.530654e-04 -2.153794e-05 -4.382054e-05
10346.000000 -3.356463e-05 -1.679631e-06 -1.689271e-07 -1.356075e-06 4.216000e-05 -4.338035e-04 -1.798935e-05 -4.417603e-05
10347.000000 -3.357203e-05 -1.687306e-06 -1.709216e-07 -1.360098e-06 3.272650e-05 -4.409170e-04 -3.342670e-05 -3.939632e-05
10347.200000 -3.356944e-05 -1.682330e-06 -1.704066e-07 -1.360180e-06 2.948308e-05 -4.513055e-04 -3.570927e-05 -3.323366e-05
10347.400000 -3.354514e-05 -1.680661e-06 -1.699741e-07 -1.355865e-06 1.612150e-05 -4.554272e-04 -3.036326e-05 -3.578790e-05
10347.600000 -3.347434e-05 -1.659237e-06 -1.676718e-07 -1.348148e-06 1.954235e-05 -4.563145e-04 -3.907963e-05 -4.215953e-05
