# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.7658603169506
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -349.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.001587
# Detector.I1.voltage: -1650.002808
# Detector.I2.voltage: -1650.002075
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370626
# Scan.uid: af04cb7b-139d-437b-8a78-156562eaa3ce
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/22/2023  16:50:24.546652
# Scan.end_time: 06/22/2023  16:50:56.928412
# Scan.name: CuGaO2-2nd H2 ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-2nd
# Sample.comment: 
# Sample.position.x: -66.493997553
# Sample.position.y: 31.590026611
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 380.0
# SampleHeater.temperature2.readback: 381.40000000000003
# SampleHeater.voltage.setpoint: 0.8670958107505692
# SampleHeater.voltage.readback: 0.852
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.012
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.14
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.1383463591337204
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.048828125
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.02848307229578495
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01627604104578495
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.048828125
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1139322891831398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0325520820915699
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 7.62347e-07
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 2.1257e-11
# SampleGasHandlingSystem.RGA.ch3.mass: 12
# SampleGasHandlingSystem.RGA.ch3.readback: 1.72197e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 16
# SampleGasHandlingSystem.RGA.ch4.readback: 4.8586e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 3.74503e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.1352e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.48013e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 40
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 7.49267e-12
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.966671e-05 -7.762254e-07 -2.254903e-07 -9.997329e-07 6.765797e-05 -5.259420e-04 -3.057728e-05 -2.459205e-05
10172.000000 -2.957297e-05 -7.736732e-07 -2.237384e-07 -9.995795e-07 7.476110e-05 -5.011726e-04 -2.371511e-05 -1.634785e-05
10177.000000 -2.938114e-05 -7.658244e-07 -2.192405e-07 -9.906156e-07 6.596246e-05 -4.962236e-04 -1.677207e-05 -2.041773e-05
10182.000000 -2.933397e-05 -7.681116e-07 -2.160113e-07 -9.913409e-07 6.275848e-05 -4.927417e-04 -2.456189e-05 -2.530832e-05
10187.000000 -2.938007e-05 -7.709198e-07 -2.090244e-07 -9.971450e-07 6.350929e-05 -4.755988e-04 -2.789373e-05 -2.444575e-05
10192.000000 -2.948861e-05 -7.792738e-07 -1.932753e-07 -1.005520e-06 5.590185e-05 -4.878742e-04 -3.421751e-05 -2.863391e-05
10197.000000 -2.952580e-05 -7.872939e-07 -1.451760e-07 -1.011243e-06 5.982466e-05 -5.181658e-04 -2.735956e-05 -2.485480e-05
10202.000000 -2.947937e-05 -7.883795e-07 -4.837412e-08 -1.011290e-06 5.893199e-05 -5.081816e-04 -3.123265e-05 -2.951207e-05
10207.000000 -2.939678e-05 -7.840609e-07 -1.882254e-08 -1.008076e-06 5.564251e-05 -5.144395e-04 -3.555089e-05 -1.953791e-05
10212.000000 -2.941172e-05 -7.885009e-07 -3.914590e-08 -1.012918e-06 4.938098e-05 -5.138730e-04 -3.309907e-05 -7.121915e-06
10217.000000 -2.937208e-05 -7.896512e-07 -5.086327e-08 -1.014637e-06 4.334504e-05 -5.055507e-04 -3.757532e-05 -7.453727e-06
10222.000000 -2.927703e-05 -7.865512e-07 -5.956501e-08 -1.011530e-06 5.194905e-05 -4.979751e-04 -4.011065e-05 -1.333016e-05
10227.000000 -2.917924e-05 -7.832008e-07 -6.520121e-08 -1.008243e-06 5.555318e-05 -5.248640e-04 -3.093920e-05 -1.014383e-05
10232.000000 -2.915565e-05 -7.881511e-07 -6.778743e-08 -1.011691e-06 4.697100e-05 -4.929761e-04 -3.734074e-05 -1.344102e-05
10237.000000 -2.922714e-05 -7.978684e-07 -6.994441e-08 -1.020805e-06 5.356404e-05 -4.918908e-04 -3.500221e-05 -1.597449e-05
10242.000000 -2.921274e-05 -8.015156e-07 -7.174857e-08 -1.023554e-06 5.484965e-05 -5.013764e-04 -3.457579e-05 -2.155765e-05
10247.000000 -2.916027e-05 -8.043806e-07 -7.516237e-08 -1.025073e-06 5.417020e-05 -5.022737e-04 -2.874442e-05 -2.143339e-05
10252.000000 -2.912915e-05 -8.069939e-07 -7.470434e-08 -1.026220e-06 4.917157e-05 -4.769541e-04 -2.593583e-05 -1.032527e-05
10257.000000 -2.911121e-05 -8.113631e-07 -7.206398e-08 -1.028523e-06 4.538513e-05 -4.594137e-04 -2.258247e-05 -6.101884e-06
10262.000000 -2.902279e-05 -8.107252e-07 -7.179137e-08 -1.027999e-06 4.378364e-05 -4.869767e-04 -3.117917e-05 -1.378217e-05
10267.000000 -2.904595e-05 -8.140556e-07 -7.288424e-08 -1.031529e-06 4.713702e-05 -4.904436e-04 -2.333686e-05 -1.784437e-05
10272.000000 -2.895263e-05 -8.093141e-07 -7.286127e-08 -1.027527e-06 4.223179e-05 -4.701916e-04 -2.829793e-05 -1.486215e-05
10277.000000 -2.887303e-05 -8.091777e-07 -7.247145e-08 -1.027090e-06 4.291840e-05 -5.156646e-04 -2.408153e-05 -8.356955e-06
10282.000000 -2.862463e-05 -8.003995e-07 -7.065799e-08 -1.016969e-06 4.469066e-05 -5.131728e-04 -2.536160e-05 -1.423511e-05
10287.000000 -2.871515e-05 -8.082326e-07 -7.161773e-08 -1.023810e-06 5.445462e-05 -5.078337e-04 -2.230792e-05 -1.309475e-05
10292.000000 -2.876929e-05 -8.182295e-07 -7.480035e-08 -1.031116e-06 4.766187e-05 -5.033839e-04 -3.124855e-05 -4.329054e-06
10297.000000 -2.878187e-05 -8.258420e-07 -7.642904e-08 -1.036684e-06 5.061534e-05 -4.911059e-04 -2.566384e-05 -3.987965e-06
10302.000000 -2.877815e-05 -8.283885e-07 -7.640294e-08 -1.039557e-06 5.430610e-05 -4.792633e-04 -2.502324e-05 -8.932932e-06
10307.000000 -2.869254e-05 -8.250643e-07 -7.603649e-08 -1.036682e-06 5.854603e-05 -4.855837e-04 -2.384338e-05 -7.236797e-06
10312.000000 -2.867751e-05 -8.314086e-07 -7.623541e-08 -1.040784e-06 6.348827e-05 -4.681363e-04 -1.987644e-05 -4.173896e-06
10317.000000 -2.861855e-05 -8.312084e-07 -7.585428e-08 -1.040693e-06 6.725416e-05 -4.873345e-04 -2.240663e-05 -1.240800e-05
10322.000000 -2.865183e-05 -8.396078e-07 -7.607761e-08 -1.048053e-06 6.942054e-05 -5.108169e-04 -2.587014e-05 -1.993692e-05
10327.000000 -2.857903e-05 -8.385979e-07 -7.508504e-08 -1.047491e-06 6.656387e-05 -5.216570e-04 -2.253323e-05 -1.913734e-05
10332.000000 -2.846041e-05 -8.371847e-07 -7.432872e-08 -1.047488e-06 6.032978e-05 -5.121699e-04 -1.989119e-05 -1.088647e-05
10337.000000 -2.856933e-05 -8.457989e-07 -7.488009e-08 -1.055421e-06 5.523415e-05 -5.088258e-04 -1.526812e-05 -3.131989e-06
10341.000000 -2.855227e-05 -8.503312e-07 -7.565140e-08 -1.060170e-06 5.925328e-05 -5.139474e-04 -2.771444e-05 2.636995e-05
10344.000000 -2.851915e-05 -8.514430e-07 -7.646778e-08 -1.061687e-06 5.480233e-05 -5.256493e-04 -2.758117e-05 1.705854e-05
10346.000000 -2.851421e-05 -8.548330e-07 -7.760227e-08 -1.064929e-06 6.055778e-05 -5.274891e-04 -3.381159e-05 2.138534e-05
10347.000000 -2.850726e-05 -8.563679e-07 -7.842285e-08 -1.066593e-06 6.935086e-05 -5.267776e-04 -3.635454e-05 2.566196e-05
10347.200000 -2.851246e-05 -8.576371e-07 -7.871928e-08 -1.067090e-06 7.007869e-05 -5.288266e-04 -4.313048e-05 1.981197e-05
10347.400000 -2.850773e-05 -8.567901e-07 -7.859087e-08 -1.067410e-06 6.979859e-05 -5.304215e-04 -3.240497e-05 1.942819e-05
10347.600000 -2.848217e-05 -8.542026e-07 -7.842515e-08 -1.065998e-06 7.629047e-05 -5.475055e-04 -2.114783e-05 1.200367e-05
