# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.0846938963744
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -349.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.998291
# Detector.I1.voltage: -1650.001953
# Detector.I2.voltage: -1650.0
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370632
# Scan.uid: 46f40d7c-d547-4c6b-a61b-0ee438a7814d
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/22/2023  16:56:24.075776
# Scan.end_time: 06/22/2023  16:56:58.922719
# Scan.name: CuGaO2-2nd H2 ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-2nd
# Sample.comment: 
# Sample.position.x: -66.493997553
# Sample.position.y: 31.5900075375
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 334.2263046503067
# SampleHeater.temperature2.readback: 338.8
# SampleHeater.voltage.setpoint: 0.6943166666952088
# SampleHeater.voltage.readback: 0.723
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.012
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.4
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.1383463591337204
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.048828125
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.06103515625
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.02848307229578495
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0773111954331398
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.048828125
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1139322891831398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.03662109375
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 7.67378e-07
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 1.84351e-11
# SampleGasHandlingSystem.RGA.ch3.mass: 12
# SampleGasHandlingSystem.RGA.ch3.readback: 1.68265e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 16
# SampleGasHandlingSystem.RGA.ch4.readback: 4.86814e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 3.67515e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.1524e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.43646e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 40
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 7.15711e-12
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.964711e-05 -8.107133e-07 -2.357845e-07 -1.004476e-06 4.123023e-05 -5.812411e-04 -3.580297e-05 -6.656165e-06
10172.000000 -2.953470e-05 -8.076787e-07 -2.338028e-07 -1.002266e-06 4.069484e-05 -5.605877e-04 -4.305581e-05 -7.469713e-06
10177.000000 -2.947172e-05 -8.105664e-07 -2.322145e-07 -1.003453e-06 3.050028e-05 -5.649427e-04 -4.251090e-05 -1.369858e-05
10182.000000 -2.938725e-05 -8.093501e-07 -2.276387e-07 -1.001606e-06 2.893504e-05 -5.628956e-04 -3.684269e-05 -1.284263e-05
10187.000000 -2.938719e-05 -8.078393e-07 -2.192188e-07 -1.003894e-06 2.935888e-05 -5.743615e-04 -3.868065e-05 -1.597499e-05
10192.000000 -2.943162e-05 -8.092233e-07 -2.010560e-07 -1.007190e-06 3.509423e-05 -5.767621e-04 -4.059670e-05 -1.898145e-05
10197.000000 -2.944945e-05 -8.139932e-07 -1.499506e-07 -1.012396e-06 3.350471e-05 -6.031358e-04 -4.391474e-05 -2.421725e-05
10202.000000 -2.940634e-05 -8.155445e-07 -5.063528e-08 -1.013042e-06 3.808844e-05 -5.936193e-04 -3.299768e-05 -1.472392e-05
10207.000000 -2.938279e-05 -8.178075e-07 -1.976240e-08 -1.013964e-06 3.225301e-05 -5.882455e-04 -3.218768e-05 -3.915081e-06
10212.000000 -2.930634e-05 -8.145553e-07 -4.045795e-08 -1.011237e-06 3.672320e-05 -5.936433e-04 -3.832658e-05 -1.375835e-05
10217.000000 -2.923246e-05 -8.116990e-07 -5.245727e-08 -1.009669e-06 4.080072e-05 -5.923224e-04 -4.665001e-05 -9.725919e-06
10222.000000 -2.928479e-05 -8.219578e-07 -6.226055e-08 -1.018310e-06 3.364904e-05 -5.848970e-04 -5.061800e-05 4.515446e-07
10227.000000 -2.919169e-05 -8.187471e-07 -6.827605e-08 -1.014445e-06 3.761677e-05 -5.727360e-04 -4.870725e-05 -3.162396e-06
10232.000000 -2.919388e-05 -8.265457e-07 -7.135315e-08 -1.020193e-06 3.579041e-05 -5.667297e-04 -5.103730e-05 -1.358376e-05
10237.000000 -2.920724e-05 -8.308104e-07 -7.330699e-08 -1.024364e-06 4.333639e-05 -5.705836e-04 -5.495510e-05 -1.350351e-05
10242.000000 -2.916471e-05 -8.315399e-07 -7.463869e-08 -1.024427e-06 4.645145e-05 -5.635594e-04 -6.678075e-05 -1.647149e-05
10247.000000 -2.911313e-05 -8.338963e-07 -7.760944e-08 -1.026293e-06 4.144705e-05 -5.770931e-04 -6.250428e-05 -1.231496e-05
10252.000000 -2.908968e-05 -8.359041e-07 -7.756934e-08 -1.027513e-06 4.487740e-05 -5.895060e-04 -5.824899e-05 -1.595620e-05
10257.000000 -2.892714e-05 -8.273960e-07 -7.341621e-08 -1.018564e-06 4.788451e-05 -6.106776e-04 -6.359687e-05 -2.546297e-05
10262.000000 -2.881405e-05 -8.258983e-07 -7.268792e-08 -1.015478e-06 4.067662e-05 -6.025850e-04 -5.940710e-05 -2.257575e-05
10267.000000 -2.890140e-05 -8.347050e-07 -7.464372e-08 -1.023524e-06 4.440427e-05 -5.952844e-04 -6.714623e-05 -1.780724e-05
10272.000000 -2.892937e-05 -8.413618e-07 -7.578402e-08 -1.028485e-06 4.955282e-05 -6.425331e-04 -5.683527e-05 -1.605784e-05
10277.000000 -2.895537e-05 -8.504696e-07 -7.640763e-08 -1.037019e-06 5.428861e-05 -6.496934e-04 -5.338009e-05 -2.159270e-05
10282.000000 -2.883121e-05 -8.519257e-07 -7.545167e-08 -1.036644e-06 5.694716e-05 -6.086275e-04 -4.343874e-05 -1.466660e-05
10287.000000 -2.887092e-05 -8.556680e-07 -7.621778e-08 -1.040747e-06 5.049330e-05 -6.003385e-04 -4.125864e-05 -1.192765e-05
10292.000000 -2.884232e-05 -8.582545e-07 -7.864326e-08 -1.042958e-06 5.651283e-05 -5.809241e-04 -4.158401e-05 -1.058798e-05
10297.000000 -2.880643e-05 -8.603102e-07 -7.975586e-08 -1.044282e-06 4.481944e-05 -5.779504e-04 -4.643605e-05 -2.017130e-05
10302.000000 -2.879511e-05 -8.629258e-07 -7.987506e-08 -1.045135e-06 5.102013e-05 -5.730146e-04 -4.545346e-05 -3.437252e-05
10307.000000 -2.873544e-05 -8.635949e-07 -7.964224e-08 -1.044491e-06 4.287460e-05 -5.671919e-04 -4.942834e-05 -2.248134e-05
10312.000000 -2.870234e-05 -8.667265e-07 -8.001681e-08 -1.047264e-06 3.553223e-05 -6.000930e-04 -5.551332e-05 -8.752767e-06
10317.000000 -2.868371e-05 -8.698520e-07 -7.966185e-08 -1.050526e-06 2.819565e-05 -5.956436e-04 -6.197354e-05 -2.150042e-05
10322.000000 -2.863904e-05 -8.708757e-07 -7.895512e-08 -1.050872e-06 2.081759e-05 -6.185116e-04 -5.629530e-05 -2.242175e-05
10327.000000 -2.856421e-05 -8.705309e-07 -7.803725e-08 -1.050036e-06 3.575471e-05 -6.402900e-04 -5.569386e-05 -1.963303e-05
10332.000000 -2.848190e-05 -8.721710e-07 -7.741225e-08 -1.053578e-06 3.805875e-05 -6.279385e-04 -5.066632e-05 -1.856682e-05
10337.000000 -2.857689e-05 -8.785814e-07 -7.791605e-08 -1.061204e-06 4.126226e-05 -5.887485e-04 -3.407608e-05 -1.962209e-05
10341.000000 -2.855561e-05 -8.802154e-07 -7.842891e-08 -1.064395e-06 3.597389e-05 -5.930336e-04 -3.107854e-05 -1.921806e-05
10344.000000 -2.852034e-05 -8.800741e-07 -7.919347e-08 -1.066227e-06 3.869085e-05 -5.746244e-04 -3.323884e-05 -2.269838e-05
10346.000000 -2.850554e-05 -8.812784e-07 -8.007800e-08 -1.069062e-06 4.297603e-05 -5.833012e-04 -3.462676e-05 -2.599134e-05
10347.000000 -2.849890e-05 -8.817669e-07 -8.072449e-08 -1.070268e-06 4.644825e-05 -5.974744e-04 -2.491206e-05 -2.478709e-05
10347.200000 -2.849487e-05 -8.826873e-07 -8.104883e-08 -1.070803e-06 5.326093e-05 -5.881090e-04 -2.792471e-05 -2.142364e-05
10347.400000 -2.849848e-05 -8.813507e-07 -8.084155e-08 -1.071452e-06 4.554572e-05 -5.988497e-04 -2.826571e-05 -2.744470e-05
