# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.83407506068903
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -349.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.002319
# Detector.I1.voltage: -1650.002197
# Detector.I2.voltage: -1650.002441
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370634
# Scan.uid: f0c71493-15c0-41fc-b866-9f628e38f8ab
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/22/2023  16:58:24.012333
# Scan.end_time: 06/22/2023  16:58:58.904395
# Scan.name: CuGaO2-2nd H2 ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-2nd
# Sample.comment: 
# Sample.position.x: -66.493997553
# Sample.position.y: 31.5900075375
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 287.5351010958354
# SampleHeater.temperature2.readback: 285.2
# SampleHeater.voltage.setpoint: 0.7339517706329725
# SampleHeater.voltage.readback: 0.706
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.012
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.46
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.1383463591337204
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.048828125
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.06103515625
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.02848307229578495
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01627604104578495
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.048828125
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1139322891831398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0325520820915699
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 7.67679e-07
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 1.78181e-11
# SampleGasHandlingSystem.RGA.ch3.mass: 12
# SampleGasHandlingSystem.RGA.ch3.readback: 1.52473e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 16
# SampleGasHandlingSystem.RGA.ch4.readback: 4.47159e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 3.58714e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.0019e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.45125e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 40
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 6.88119e-12
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.959417e-05 -8.292725e-07 -2.409389e-07 -9.996462e-07 3.061141e-05 -6.751210e-04 -2.692755e-05 -2.639900e-05
10172.000000 -2.950922e-05 -8.270603e-07 -2.393300e-07 -9.999041e-07 2.954374e-05 -6.969357e-04 -2.481996e-05 -2.354636e-05
10177.000000 -2.945924e-05 -8.306713e-07 -2.380743e-07 -1.001060e-06 3.425341e-05 -7.397482e-04 -2.829140e-05 -3.923489e-05
10182.000000 -2.940544e-05 -8.309180e-07 -2.337487e-07 -1.002488e-06 4.395190e-05 -7.356480e-04 -2.535228e-05 -3.185397e-05
10187.000000 -2.945794e-05 -8.332238e-07 -2.262084e-07 -1.010055e-06 3.892889e-05 -7.195980e-04 -2.456606e-05 -2.972640e-05
10192.000000 -2.950513e-05 -8.364229e-07 -2.075316e-07 -1.013106e-06 2.910780e-05 -7.189263e-04 -1.666732e-05 -2.185838e-05
10197.000000 -2.951275e-05 -8.414495e-07 -1.549796e-07 -1.016850e-06 2.756581e-05 -7.168902e-04 -1.200438e-05 -1.417241e-05
10202.000000 -2.949102e-05 -8.445961e-07 -5.173280e-08 -1.019514e-06 2.134754e-05 -7.078322e-04 -1.370862e-05 -1.629759e-05
10207.000000 -2.944545e-05 -8.452491e-07 -2.066391e-08 -1.019389e-06 3.448891e-05 -6.827225e-04 -1.753393e-05 -1.584487e-05
10212.000000 -2.943359e-05 -8.476023e-07 -4.239265e-08 -1.021932e-06 4.136548e-05 -6.810857e-04 -1.137035e-05 -2.044147e-05
10217.000000 -2.937561e-05 -8.472554e-07 -5.470145e-08 -1.020719e-06 4.249918e-05 -7.021273e-04 -1.639606e-05 -2.377981e-05
10222.000000 -2.925356e-05 -8.422351e-07 -6.370708e-08 -1.015026e-06 4.314616e-05 -6.878078e-04 -2.134372e-05 -1.754839e-05
10227.000000 -2.909356e-05 -8.332928e-07 -6.942725e-08 -1.007622e-06 4.598769e-05 -6.936983e-04 -1.699941e-05 -1.633089e-05
10232.000000 -2.911773e-05 -8.422241e-07 -7.256172e-08 -1.013996e-06 4.561536e-05 -6.843486e-04 -6.291688e-06 -1.244068e-05
10237.000000 -2.918247e-05 -8.500730e-07 -7.506738e-08 -1.021542e-06 3.875688e-05 -6.866384e-04 -1.145083e-05 -2.551674e-05
10242.000000 -2.917192e-05 -8.542536e-07 -7.682555e-08 -1.024594e-06 4.148092e-05 -6.815700e-04 -1.816154e-05 -3.104295e-05
10247.000000 -2.912321e-05 -8.575643e-07 -8.008597e-08 -1.025789e-06 4.248874e-05 -6.630470e-04 -3.439416e-05 -2.505309e-05
10252.000000 -2.911635e-05 -8.611571e-07 -7.986993e-08 -1.029446e-06 3.594667e-05 -6.689040e-04 -3.723277e-05 -2.358761e-05
10257.000000 -2.910943e-05 -8.645676e-07 -7.725448e-08 -1.032972e-06 4.666740e-05 -6.677095e-04 -3.017016e-05 -1.789493e-05
10262.000000 -2.904477e-05 -8.675984e-07 -7.636424e-08 -1.034272e-06 4.891255e-05 -6.578205e-04 -3.726498e-05 -2.540452e-05
10267.000000 -2.905783e-05 -8.695211e-07 -7.794685e-08 -1.036590e-06 5.383656e-05 -6.651207e-04 -3.509041e-05 -1.858380e-05
10272.000000 -2.896429e-05 -8.655709e-07 -7.832695e-08 -1.032633e-06 6.239023e-05 -6.566459e-04 -3.807408e-05 -1.204354e-05
10277.000000 -2.894440e-05 -8.709350e-07 -7.817322e-08 -1.037579e-06 5.495407e-05 -6.532099e-04 -3.757569e-05 -4.710618e-06
10282.000000 -2.883610e-05 -8.726916e-07 -7.740935e-08 -1.037398e-06 4.897248e-05 -6.419522e-04 -3.932867e-05 -1.479411e-05
10287.000000 -2.887635e-05 -8.766246e-07 -7.830640e-08 -1.041190e-06 4.271458e-05 -6.307581e-04 -3.671565e-05 -6.190593e-06
10292.000000 -2.884143e-05 -8.786323e-07 -8.071358e-08 -1.043150e-06 4.389343e-05 -6.223878e-04 -2.288060e-05 -1.600915e-05
10297.000000 -2.880889e-05 -8.812312e-07 -8.185269e-08 -1.045050e-06 5.023518e-05 -6.249625e-04 -2.675420e-05 -2.029869e-05
10302.000000 -2.880885e-05 -8.847228e-07 -8.182464e-08 -1.047545e-06 5.032250e-05 -6.252651e-04 -3.291753e-05 -2.484096e-05
10307.000000 -2.873483e-05 -8.846618e-07 -8.159131e-08 -1.045061e-06 4.987863e-05 -6.326391e-04 -3.336657e-05 -2.063382e-05
10312.000000 -2.873689e-05 -8.903544e-07 -8.204755e-08 -1.050421e-06 6.153014e-05 -6.164287e-04 -1.969512e-05 -8.320925e-06
10317.000000 -2.868150e-05 -8.907552e-07 -8.169380e-08 -1.049860e-06 6.500828e-05 -5.999574e-04 -1.136904e-05 -1.499281e-05
10322.000000 -2.867912e-05 -8.947396e-07 -8.140330e-08 -1.054592e-06 4.704705e-05 -6.295347e-04 -2.025224e-05 -1.382647e-05
10327.000000 -2.856584e-05 -8.902808e-07 -7.988314e-08 -1.050682e-06 3.423163e-05 -6.322587e-04 -2.757187e-05 -1.199671e-05
10332.000000 -2.847137e-05 -8.910902e-07 -7.918874e-08 -1.052406e-06 3.752406e-05 -6.105472e-04 -2.281964e-05 -1.466972e-05
10337.000000 -2.860599e-05 -8.998319e-07 -7.977491e-08 -1.063750e-06 4.018034e-05 -5.731609e-04 -1.887528e-05 -2.267821e-05
10341.000000 -2.856594e-05 -9.003492e-07 -8.051998e-08 -1.066199e-06 4.261875e-05 -5.550306e-04 -1.405918e-05 -2.907206e-05
10344.000000 -2.848300e-05 -8.976279e-07 -8.072176e-08 -1.063938e-06 4.139473e-05 -5.331989e-04 -1.639749e-05 -2.300826e-05
10346.000000 -2.844030e-05 -8.956152e-07 -8.143217e-08 -1.063864e-06 3.559029e-05 -5.551825e-04 -2.255386e-05 -2.590258e-05
10347.000000 -2.840406e-05 -8.936087e-07 -8.166737e-08 -1.062661e-06 3.814156e-05 -5.601935e-04 -2.642825e-05 -2.193753e-05
10347.200000 -2.842414e-05 -8.944395e-07 -8.176840e-08 -1.064472e-06 4.399154e-05 -5.732867e-04 -2.729713e-05 -2.551890e-05
10347.400000 -2.842678e-05 -8.963418e-07 -8.208435e-08 -1.064331e-06 5.489802e-05 -5.632327e-04 -2.595713e-05 -1.961386e-05
