# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.79981634636465
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -349.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.002319
# Detector.I1.voltage: -1650.000366
# Detector.I2.voltage: -1650.000488
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370640
# Scan.uid: fda121ec-affb-4689-8391-d43373d95293
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/22/2023  17:04:21.492631
# Scan.end_time: 06/22/2023  17:04:56.689862
# Scan.name: CuGaO2-2nd H2 ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-2nd
# Sample.comment: 
# Sample.position.x: -66.493997553
# Sample.position.y: 31.590026611
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 148.3921913438373
# SampleHeater.temperature2.readback: 149.0
# SampleHeater.voltage.setpoint: 0.4446854832071024
# SampleHeater.voltage.readback: 0.47000000000000003
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.012
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.47
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.1383463591337204
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.048828125
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.06103515625
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.03662109375
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01627604104578495
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.048828125
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1139322891831398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.03662109375
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 7.78644e-07
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 4.45727e-11
# SampleGasHandlingSystem.RGA.ch3.mass: 12
# SampleGasHandlingSystem.RGA.ch3.readback: 1.61945e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 16
# SampleGasHandlingSystem.RGA.ch4.readback: 4.4939e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 3.58781e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.0277e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.26647e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 40
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 6.13306e-12
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.970476e-05 -8.657955e-07 -2.514600e-07 -1.004704e-06 4.481689e-05 -7.003106e-04 -3.448350e-05 -2.729221e-05
10172.000000 -2.958671e-05 -8.617415e-07 -2.490655e-07 -1.001986e-06 4.788925e-05 -7.054492e-04 -2.749051e-05 -3.031090e-05
10177.000000 -2.951415e-05 -8.636227e-07 -2.471900e-07 -1.001624e-06 4.128633e-05 -6.929418e-04 -3.024555e-05 -2.575697e-05
10182.000000 -2.944200e-05 -8.626645e-07 -2.423753e-07 -1.000897e-06 3.961960e-05 -6.725303e-04 -3.439679e-05 -1.665595e-05
10187.000000 -2.943657e-05 -8.616370e-07 -2.335893e-07 -1.003532e-06 4.776899e-05 -6.768308e-04 -4.127645e-05 -1.771380e-05
10192.000000 -2.952261e-05 -8.669952e-07 -2.154734e-07 -1.010142e-06 4.070372e-05 -6.814790e-04 -3.910070e-05 -1.964768e-05
10197.000000 -2.949031e-05 -8.688678e-07 -1.602144e-07 -1.009913e-06 3.628046e-05 -6.695298e-04 -3.358547e-05 -2.770212e-05
10202.000000 -2.950666e-05 -8.742971e-07 -5.412222e-08 -1.015623e-06 3.165825e-05 -6.780720e-04 -3.430024e-05 -2.831051e-05
10207.000000 -2.945343e-05 -8.754286e-07 -2.140619e-08 -1.014983e-06 3.913228e-05 -6.797817e-04 -2.998929e-05 -2.743896e-05
10212.000000 -2.944240e-05 -8.784447e-07 -4.359184e-08 -1.017590e-06 3.788072e-05 -6.779345e-04 -1.831712e-05 -1.897781e-05
10217.000000 -2.941980e-05 -8.812319e-07 -5.679662e-08 -1.020214e-06 3.459889e-05 -6.429490e-04 -2.823205e-05 -1.765938e-05
10222.000000 -2.938179e-05 -8.832503e-07 -6.706286e-08 -1.021401e-06 3.796974e-05 -6.421368e-04 -3.965128e-05 -1.377222e-05
10227.000000 -2.934486e-05 -8.854085e-07 -7.384678e-08 -1.022425e-06 3.106157e-05 -6.549769e-04 -3.513821e-05 -1.268013e-05
10232.000000 -2.930068e-05 -8.883115e-07 -7.702193e-08 -1.024192e-06 2.918025e-05 -6.460723e-04 -2.068818e-05 -1.346540e-05
10237.000000 -2.929731e-05 -8.907043e-07 -7.896832e-08 -1.026655e-06 3.329574e-05 -6.298325e-04 -2.085272e-05 -1.633407e-05
10242.000000 -2.927505e-05 -8.941969e-07 -8.050133e-08 -1.028899e-06 2.873141e-05 -6.125440e-04 -2.642605e-05 -1.153551e-05
10247.000000 -2.919850e-05 -8.957729e-07 -8.353581e-08 -1.027955e-06 2.626460e-05 -6.415160e-04 -2.752535e-05 -1.015752e-05
10252.000000 -2.912547e-05 -8.948025e-07 -8.287015e-08 -1.025505e-06 2.284565e-05 -6.198482e-04 -3.006639e-05 -1.919814e-05
10257.000000 -2.904689e-05 -8.943378e-07 -7.954942e-08 -1.023095e-06 2.761439e-05 -6.132546e-04 -3.604710e-05 -2.059010e-05
10262.000000 -2.901283e-05 -8.979658e-07 -7.927471e-08 -1.026772e-06 2.972718e-05 -6.190231e-04 -3.956949e-05 -1.216820e-05
10267.000000 -2.905514e-05 -9.024904e-07 -8.137021e-08 -1.030802e-06 4.249268e-05 -6.167413e-04 -3.046662e-05 -1.143617e-05
10272.000000 -2.905303e-05 -9.056198e-07 -8.241695e-08 -1.034417e-06 3.866136e-05 -5.908996e-04 -2.780769e-05 -1.883382e-05
10277.000000 -2.901697e-05 -9.078749e-07 -8.207043e-08 -1.037519e-06 3.112695e-05 -6.092321e-04 -1.615266e-05 -1.559138e-05
10282.000000 -2.888370e-05 -9.084890e-07 -8.070933e-08 -1.036512e-06 2.956167e-05 -6.205338e-04 -1.746309e-05 -1.690327e-05
10287.000000 -2.889788e-05 -9.105486e-07 -8.125022e-08 -1.038283e-06 3.024980e-05 -6.144678e-04 -1.599970e-05 -2.121675e-05
10292.000000 -2.880239e-05 -9.089125e-07 -8.307474e-08 -1.034156e-06 2.270817e-05 -6.246284e-04 -9.508237e-06 -2.346680e-05
10297.000000 -2.876497e-05 -9.113382e-07 -8.451156e-08 -1.036283e-06 1.987397e-05 -5.941035e-04 -8.384155e-06 -2.897801e-05
10302.000000 -2.878141e-05 -9.156247e-07 -8.433441e-08 -1.040820e-06 2.429076e-05 -6.033397e-04 -1.435498e-05 -2.751765e-05
10307.000000 -2.877267e-05 -9.197886e-07 -8.471084e-08 -1.045288e-06 3.646187e-05 -6.341734e-04 -1.708348e-05 -2.085469e-05
10312.000000 -2.876383e-05 -9.243900e-07 -8.560231e-08 -1.049974e-06 3.928042e-05 -6.536607e-04 -2.181619e-05 -2.325786e-05
10317.000000 -2.873998e-05 -9.268934e-07 -8.530370e-08 -1.052986e-06 3.250838e-05 -6.667634e-04 -2.055523e-05 -2.423849e-05
10322.000000 -2.869004e-05 -9.281497e-07 -8.443431e-08 -1.052907e-06 2.697813e-05 -6.636669e-04 -2.049890e-05 -2.784834e-05
10327.000000 -2.862421e-05 -9.287124e-07 -8.347061e-08 -1.053020e-06 2.725883e-05 -6.831918e-04 -1.625858e-05 -3.284434e-05
10332.000000 -2.845906e-05 -9.245832e-07 -8.218710e-08 -1.048802e-06 3.165986e-05 -6.663292e-04 -1.295449e-05 -2.165207e-05
10337.000000 -2.855460e-05 -9.302348e-07 -8.260662e-08 -1.057136e-06 2.298809e-05 -6.460574e-04 -2.587689e-05 -1.042608e-05
10341.000000 -2.853521e-05 -9.346356e-07 -8.364011e-08 -1.062527e-06 2.349720e-05 -6.509531e-04 -3.239042e-05 -1.785965e-05
10344.000000 -2.843131e-05 -9.302275e-07 -8.382815e-08 -1.061183e-06 2.691099e-05 -6.625717e-04 -3.539850e-05 -1.262958e-05
10346.000000 -2.840732e-05 -9.305255e-07 -8.468839e-08 -1.063230e-06 3.202517e-05 -6.656984e-04 -3.464847e-05 -1.350334e-05
10347.000000 -2.833824e-05 -9.266361e-07 -8.485914e-08 -1.058916e-06 2.854488e-05 -6.947259e-04 -2.441530e-05 -1.006568e-05
10347.200000 -2.835184e-05 -9.275625e-07 -8.493998e-08 -1.060071e-06 3.320604e-05 -6.821276e-04 -2.464487e-05 -1.575206e-05
10347.400000 -2.835542e-05 -9.307118e-07 -8.526738e-08 -1.060230e-06 2.755854e-05 -6.538379e-04 -8.975548e-06 -9.972198e-06
