# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.7155346016328
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.000732
# Detector.I1.voltage: -1650.000854
# Detector.I2.voltage: -1650.002441
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370646
# Scan.uid: 6dcda11f-2bce-4871-b986-e95bfbf4f51c
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/22/2023  17:10:19.029611
# Scan.end_time: 06/22/2023  17:10:53.748531
# Scan.name: CuGaO2-2nd H2 ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-2nd
# Sample.comment: 
# Sample.position.x: -66.493997553
# Sample.position.y: 31.590026611
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 30.0
# SampleHeater.temperature2.readback: 35.2
# SampleHeater.voltage.setpoint: 0.0
# SampleHeater.voltage.readback: 0.0
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.012
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.43
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.1383463591337204
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.06103515625
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.03662109375
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01627604104578495
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1139322891831398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.03662109375
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 7.71893e-07
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 6.17813e-11
# SampleGasHandlingSystem.RGA.ch3.mass: 12
# SampleGasHandlingSystem.RGA.ch3.readback: 1.57571e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 16
# SampleGasHandlingSystem.RGA.ch4.readback: 4.65555e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 3.54212e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.1051e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.34375e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 40
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 6.85668e-12
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.954132e-05 -9.095234e-07 -2.638625e-07 -1.003245e-06 2.439206e-06 -6.264075e-04 -4.103004e-05 -1.261276e-05
10172.000000 -2.940798e-05 -9.044772e-07 -2.612498e-07 -9.987167e-07 3.140687e-07 -6.563710e-04 -5.083014e-05 -1.268002e-05
10177.000000 -2.938493e-05 -9.087740e-07 -2.598407e-07 -1.002207e-06 1.546105e-06 -6.706008e-04 -4.201123e-05 -1.256490e-05
10182.000000 -2.933242e-05 -9.091395e-07 -2.554613e-07 -1.003151e-06 -2.193143e-06 -6.787885e-04 -3.914637e-05 -4.004677e-06
10187.000000 -2.929318e-05 -9.049608e-07 -2.453048e-07 -1.002445e-06 1.357339e-06 -6.926317e-04 -5.177029e-05 -4.329877e-06
10192.000000 -2.938927e-05 -9.103569e-07 -2.258554e-07 -1.010017e-06 -5.052751e-06 -6.791323e-04 -4.562121e-05 -1.274302e-05
10197.000000 -2.936506e-05 -9.132453e-07 -1.680656e-07 -1.010370e-06 -7.298465e-06 -6.845096e-04 -4.271746e-05 -1.710976e-05
10202.000000 -2.932686e-05 -9.148788e-07 -5.630686e-08 -1.011509e-06 -1.005928e-05 -7.025052e-04 -3.997925e-05 -1.815068e-05
10207.000000 -2.929607e-05 -9.173304e-07 -2.269298e-08 -1.013058e-06 -6.915056e-06 -6.826781e-04 -4.225625e-05 -4.652558e-06
10212.000000 -2.931368e-05 -9.215380e-07 -4.631830e-08 -1.018365e-06 -8.079693e-06 -6.686778e-04 -4.020287e-05 -7.179301e-06
10217.000000 -2.925909e-05 -9.224568e-07 -5.997888e-08 -1.017906e-06 -5.336359e-06 -6.873296e-04 -2.648134e-05 -1.320140e-05
10222.000000 -2.921826e-05 -9.238985e-07 -7.023237e-08 -1.018962e-06 -1.608124e-05 -6.761493e-04 -3.628223e-05 -1.287481e-05
10227.000000 -2.918874e-05 -9.256875e-07 -7.723219e-08 -1.021003e-06 -1.204832e-05 -7.039222e-04 -4.987099e-05 -2.021898e-05
10232.000000 -2.913932e-05 -9.278248e-07 -8.028300e-08 -1.022157e-06 -1.102430e-05 -6.784440e-04 -2.598990e-05 -8.860250e-06
10237.000000 -2.913390e-05 -9.300316e-07 -8.233956e-08 -1.024404e-06 -8.370085e-06 -6.685609e-04 -2.760569e-05 -8.494558e-06
10242.000000 -2.909119e-05 -9.321553e-07 -8.376791e-08 -1.025057e-06 -5.491351e-06 -6.635878e-04 -4.863995e-05 -1.449082e-05
10247.000000 -2.902073e-05 -9.330626e-07 -8.707815e-08 -1.024437e-06 -2.482406e-06 -6.729882e-04 -4.242133e-05 -7.950808e-06
10252.000000 -2.900550e-05 -9.358561e-07 -8.690465e-08 -1.026538e-06 2.642226e-06 -6.851845e-04 -3.023955e-05 4.011009e-06
10257.000000 -2.900023e-05 -9.399930e-07 -8.411877e-08 -1.030112e-06 -2.043281e-06 -6.824683e-04 -3.958439e-05 1.276198e-06
10262.000000 -2.891168e-05 -9.407440e-07 -8.359079e-08 -1.028883e-06 -1.891194e-06 -6.913604e-04 -4.576267e-05 -1.072783e-05
10267.000000 -2.895312e-05 -9.455336e-07 -8.515797e-08 -1.033012e-06 1.163658e-05 -6.739208e-04 -4.556267e-05 -7.532559e-06
10272.000000 -2.886683e-05 -9.442664e-07 -8.548217e-08 -1.028677e-06 1.714691e-06 -6.810226e-04 -3.824921e-05 -6.485952e-06
10277.000000 -2.882747e-05 -9.476667e-07 -8.523239e-08 -1.031038e-06 -1.422583e-05 -6.842044e-04 -4.133946e-05 -1.649113e-05
10282.000000 -2.872226e-05 -9.490774e-07 -8.449200e-08 -1.031377e-06 -1.414322e-05 -6.777330e-04 -3.412373e-05 -1.559337e-05
10287.000000 -2.878196e-05 -9.535929e-07 -8.538891e-08 -1.037004e-06 -6.006644e-06 -6.779679e-04 -4.565707e-05 -1.281470e-05
10292.000000 -2.875542e-05 -9.555286e-07 -8.757041e-08 -1.039573e-06 -4.534475e-06 -6.919294e-04 -4.658368e-05 -9.478555e-06
10297.000000 -2.869567e-05 -9.558320e-07 -8.854643e-08 -1.039310e-06 -3.884256e-06 -6.833828e-04 -4.936631e-05 2.025289e-05
10302.000000 -2.870408e-05 -9.599198e-07 -8.891424e-08 -1.043531e-06 1.124693e-05 -6.826566e-04 -5.132412e-05 2.111669e-05
10307.000000 -2.867344e-05 -9.627840e-07 -8.908038e-08 -1.046627e-06 -2.454997e-07 -7.100907e-04 -5.741877e-05 -7.925741e-06
10312.000000 -2.863803e-05 -9.654593e-07 -8.909468e-08 -1.048241e-06 -9.459652e-06 -7.298919e-04 -5.841471e-05 -1.823086e-05
10317.000000 -2.860365e-05 -9.679377e-07 -8.885290e-08 -1.050441e-06 -1.586362e-05 -7.211978e-04 -5.150776e-05 -1.762817e-05
10322.000000 -2.855422e-05 -9.696794e-07 -8.821487e-08 -1.051349e-06 -1.147471e-05 -7.074605e-04 -5.479991e-05 -2.605364e-05
10327.000000 -2.849320e-05 -9.702058e-07 -8.709941e-08 -1.052226e-06 -5.184195e-06 -7.078322e-04 -5.279135e-05 -2.108013e-05
10332.000000 -2.840331e-05 -9.700847e-07 -8.658863e-08 -1.054238e-06 -3.394892e-06 -7.016824e-04 -4.323489e-05 1.741820e-05
10337.000000 -2.847498e-05 -9.752061e-07 -8.671281e-08 -1.059945e-06 -6.995392e-06 -6.912791e-04 -3.949063e-05 2.791272e-05
10341.000000 -2.841619e-05 -9.759009e-07 -8.718972e-08 -1.059806e-06 -1.180903e-05 -7.030818e-04 -2.812411e-05 2.360201e-05
10344.000000 -2.842357e-05 -9.790695e-07 -8.834784e-08 -1.065161e-06 -5.248214e-06 -7.043990e-04 -2.189265e-05 2.298549e-05
10346.000000 -2.842293e-05 -9.812529e-07 -8.917278e-08 -1.068715e-06 -1.162319e-05 -7.066101e-04 -2.022262e-05 2.960322e-05
10347.000000 -2.838308e-05 -9.793944e-07 -8.959712e-08 -1.066962e-06 -2.047734e-05 -6.879455e-04 -2.708221e-05 2.387891e-05
10347.200000 -2.837232e-05 -9.795732e-07 -8.989663e-08 -1.066506e-06 -2.036701e-05 -6.783160e-04 -2.887840e-05 1.802868e-05
10347.400000 -2.837671e-05 -9.797256e-07 -8.999467e-08 -1.065522e-06 -1.334451e-05 -6.967257e-04 -2.215521e-05 1.916964e-05
