# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.27283772009
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.997681
# Detector.I1.voltage: -1650.002563
# Detector.I2.voltage: -1650.000122
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370648
# Scan.uid: 6f61a180-0d94-4cd0-96b8-d2d3f933ea81
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/22/2023  17:12:18.529004
# Scan.end_time: 06/22/2023  17:12:51.482432
# Scan.name: CuGaO2-2nd H2 ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-2nd
# Sample.comment: 
# Sample.position.x: -66.493997553
# Sample.position.y: 31.589988464
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 30.0
# SampleHeater.temperature2.readback: 30.0
# SampleHeater.voltage.setpoint: 0.02987470649841075
# SampleHeater.voltage.readback: 0.027
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.012
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.4
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.1383463591337204
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.06103515625
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01627604104578495
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1139322891831398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.03662109375
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 7.71635e-07
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 5.3922e-11
# SampleGasHandlingSystem.RGA.ch3.mass: 12
# SampleGasHandlingSystem.RGA.ch3.readback: 1.60561e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 16
# SampleGasHandlingSystem.RGA.ch4.readback: 4.64413e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 3.58983e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.0793e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.4284e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 40
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 6.94941e-12
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.959947e-05 -9.215090e-07 -2.676331e-07 -1.008683e-06 1.623967e-05 -6.220436e-04 -4.124606e-05 -5.604565e-06
10172.000000 -2.947723e-05 -9.165417e-07 -2.647205e-07 -1.005035e-06 1.801818e-05 -6.201968e-04 -3.971361e-05 -6.885135e-06
10177.000000 -2.936740e-05 -9.158949e-07 -2.622033e-07 -1.001364e-06 1.477068e-05 -6.361408e-04 -4.438847e-05 -9.243290e-06
10182.000000 -2.934279e-05 -9.180946e-07 -2.581908e-07 -1.004398e-06 7.644943e-06 -6.240250e-04 -4.663616e-05 -1.025812e-05
10187.000000 -2.937860e-05 -9.195131e-07 -2.495833e-07 -1.009535e-06 1.590116e-05 -6.209527e-04 -4.973397e-05 -1.422469e-05
10192.000000 -2.944404e-05 -9.234396e-07 -2.292481e-07 -1.014200e-06 1.441726e-05 -6.190629e-04 -5.320655e-05 -8.336774e-06
10197.000000 -2.941744e-05 -9.257968e-07 -1.705299e-07 -1.014687e-06 1.308524e-05 -6.140411e-04 -5.186200e-05 -1.153983e-05
10202.000000 -2.937231e-05 -9.268478e-07 -5.756596e-08 -1.015540e-06 1.730746e-05 -6.325901e-04 -5.051590e-05 -1.578825e-05
10207.000000 -2.932329e-05 -9.278701e-07 -2.270374e-08 -1.014942e-06 7.431199e-06 -6.288588e-04 -4.275286e-05 -9.350084e-06
10212.000000 -2.932034e-05 -9.301710e-07 -4.627441e-08 -1.018486e-06 1.142333e-06 -6.344740e-04 -3.953555e-05 -8.000850e-06
10217.000000 -2.926098e-05 -9.311804e-07 -6.031965e-08 -1.018113e-06 1.116965e-05 -6.282050e-04 -5.087067e-05 -4.187961e-06
10222.000000 -2.923934e-05 -9.337692e-07 -7.145972e-08 -1.020686e-06 1.666967e-05 -6.253896e-04 -6.368290e-05 -5.731111e-06
10227.000000 -2.912394e-05 -9.311499e-07 -7.778388e-08 -1.015208e-06 2.196851e-05 -6.228491e-04 -5.798867e-05 -1.237425e-06
10232.000000 -2.913064e-05 -9.362066e-07 -8.112045e-08 -1.021057e-06 2.441363e-05 -6.093204e-04 -5.117646e-05 3.066528e-06
10237.000000 -2.915056e-05 -9.396871e-07 -8.341115e-08 -1.025416e-06 2.338739e-05 -6.185507e-04 -5.032329e-05 -9.718679e-06
10242.000000 -2.913141e-05 -9.427028e-07 -8.504716e-08 -1.028115e-06 2.609348e-05 -6.110321e-04 -5.232055e-05 -1.104802e-05
10247.000000 -2.905976e-05 -9.427712e-07 -8.816505e-08 -1.028101e-06 2.320926e-05 -6.128501e-04 -4.670997e-05 4.324080e-06
10252.000000 -2.902458e-05 -9.452391e-07 -8.822043e-08 -1.028412e-06 1.280899e-05 -5.972125e-04 -5.244382e-05 -4.020180e-06
10257.000000 -2.896362e-05 -9.456098e-07 -8.488873e-08 -1.026911e-06 8.565478e-06 -5.868445e-04 -5.016638e-05 -8.643524e-06
10262.000000 -2.889782e-05 -9.462587e-07 -8.420767e-08 -1.027618e-06 2.233757e-05 -5.833733e-04 -4.392944e-05 -3.798735e-06
10267.000000 -2.894129e-05 -9.509691e-07 -8.568318e-08 -1.032365e-06 2.764796e-05 -5.865342e-04 -5.630233e-05 -1.231977e-05
10272.000000 -2.885495e-05 -9.504213e-07 -8.636245e-08 -1.028519e-06 3.219614e-05 -5.777591e-04 -4.313208e-05 2.976632e-06
10277.000000 -2.884407e-05 -9.546970e-07 -8.623031e-08 -1.033020e-06 2.704238e-05 -5.543609e-04 -4.256155e-05 4.735164e-05
10282.000000 -2.873086e-05 -9.559551e-07 -8.508293e-08 -1.033289e-06 2.369117e-05 -5.433528e-04 -3.885134e-05 5.509826e-05
10287.000000 -2.878253e-05 -9.605998e-07 -8.583926e-08 -1.037953e-06 2.472288e-05 -5.318779e-04 -4.736288e-05 4.623823e-05
10292.000000 -2.875929e-05 -9.629495e-07 -8.866285e-08 -1.040795e-06 2.286841e-05 -5.369907e-04 -5.052135e-05 5.056530e-05
10297.000000 -2.871718e-05 -9.645837e-07 -8.983485e-08 -1.042208e-06 2.051878e-05 -5.145361e-04 -4.243550e-05 5.153801e-05
10302.000000 -2.871459e-05 -9.673720e-07 -8.970132e-08 -1.045115e-06 1.889910e-05 -5.264614e-04 -3.478896e-05 5.423263e-05
10307.000000 -2.865865e-05 -9.689903e-07 -8.995269e-08 -1.044862e-06 9.737290e-06 -5.232528e-04 -4.555710e-05 5.706369e-05
10312.000000 -2.861330e-05 -9.717350e-07 -8.992151e-08 -1.046353e-06 1.191209e-05 -5.234771e-04 -4.275059e-05 5.344116e-05
10317.000000 -2.858372e-05 -9.734758e-07 -8.936818e-08 -1.048279e-06 1.196617e-05 -5.523393e-04 -4.895659e-05 4.904582e-05
10322.000000 -2.857932e-05 -9.772213e-07 -8.889532e-08 -1.053161e-06 1.399948e-05 -5.818293e-04 -4.719807e-05 4.523346e-05
10327.000000 -2.854413e-05 -9.794520e-07 -8.826641e-08 -1.056198e-06 5.495753e-06 -5.955434e-04 -5.561724e-05 5.101135e-05
10332.000000 -2.842907e-05 -9.789997e-07 -8.730688e-08 -1.056048e-06 7.514771e-06 -5.992805e-04 -6.609069e-05 4.846256e-05
10337.000000 -2.850381e-05 -9.845846e-07 -8.759785e-08 -1.061717e-06 7.260252e-06 -5.916988e-04 -6.391722e-05 5.641374e-05
10341.000000 -2.847703e-05 -9.862414e-07 -8.823408e-08 -1.064927e-06 3.065995e-06 -5.721319e-04 -6.419695e-05 3.332305e-05
10344.000000 -2.845136e-05 -9.869564e-07 -8.904198e-08 -1.067651e-06 7.297002e-06 -5.557432e-04 -5.912984e-05 -9.641713e-07
10346.000000 -2.840470e-05 -9.857650e-07 -8.988530e-08 -1.067610e-06 1.486045e-05 -5.753474e-04 -4.846475e-05 -6.567031e-06
10347.000000 -2.842385e-05 -9.877023e-07 -9.060913e-08 -1.071307e-06 6.247408e-06 -5.815886e-04 -5.013599e-05 3.537892e-06
10347.200000 -2.842336e-05 -9.877878e-07 -9.080772e-08 -1.072142e-06 5.874528e-06 -5.942401e-04 -4.453477e-05 4.144806e-06
10347.400000 -2.839763e-05 -9.858389e-07 -9.101555e-08 -1.070354e-06 2.559569e-06 -5.839002e-04 -4.212740e-05 3.349221e-06
10347.600000 -2.840196e-05 -9.870495e-07 -9.154639e-08 -1.070056e-06 1.058089e-05 -5.671512e-04 -4.485441e-05 6.954422e-06
