# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.1522373205063
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.984497
# Detector.I1.voltage: -1649.99939
# Detector.I2.voltage: -1649.998901
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370584
# Scan.uid: 8f2dc468-18db-4c92-98ed-ae4617d1b389
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/22/2023  16:07:41.084174
# Scan.end_time: 06/22/2023  16:08:16.699446
# Scan.name: CuGaO2-2nd H2 ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-2nd
# Sample.comment: 
# Sample.position.x: -66.493997553
# Sample.position.y: 31.5900075375
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 31.69327987924134
# SampleHeater.temperature2.readback: 28.900000000000002
# SampleHeater.voltage.setpoint: 0.21213941383563772
# SampleHeater.voltage.readback: 0.211
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 9.996
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 9.97
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.1383463591337204
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.02848307229578495
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0773111954331398
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.048828125
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01627604104578495
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.09765625
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.10986328125
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0325520820915699
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 6.2565e-09
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 3.58438e-10
# SampleGasHandlingSystem.RGA.ch3.mass: 12
# SampleGasHandlingSystem.RGA.ch3.readback: 6.44559e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 16
# SampleGasHandlingSystem.RGA.ch4.readback: 3.93517e-09
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 3.13563e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.19497e-07
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.892e-08
# SampleGasHandlingSystem.RGA.ch8.mass: 40
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 7.34128e-11
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -3.506551e-05 -1.100189e-06 -3.215782e-07 -1.201817e-06 7.305738e-05 -2.287282e-04 -4.848799e-05 -4.337868e-05
10172.000000 -3.494181e-05 -1.093312e-06 -3.182189e-07 -1.200918e-06 7.190982e-05 -2.542401e-04 -5.664437e-05 -4.596340e-05
10177.000000 -3.485614e-05 -1.095170e-06 -3.156260e-07 -1.200838e-06 6.617894e-05 -2.497270e-04 -5.243157e-05 -5.287656e-05
10182.000000 -3.476427e-05 -1.091779e-06 -3.089833e-07 -1.200192e-06 6.193491e-05 -2.479151e-04 -5.654985e-05 -6.374083e-05
10187.000000 -3.476454e-05 -1.088294e-06 -2.970669e-07 -1.204348e-06 6.191327e-05 -2.454724e-04 -6.170039e-05 -6.517410e-05
10192.000000 -3.481842e-05 -1.090789e-06 -2.727836e-07 -1.209075e-06 6.072275e-05 -2.715719e-04 -7.089725e-05 -6.424062e-05
10197.000000 -3.473734e-05 -1.092321e-06 -2.028058e-07 -1.206379e-06 6.968665e-05 -2.716741e-04 -6.527905e-05 -6.917485e-05
10202.000000 -3.461693e-05 -1.090082e-06 -6.757952e-08 -1.202526e-06 6.553518e-05 -2.525371e-04 -6.574012e-05 -6.859609e-05
10207.000000 -3.462237e-05 -1.095216e-06 -2.712410e-08 -1.207648e-06 6.512575e-05 -2.748052e-04 -6.874773e-05 -5.761766e-05
10212.000000 -3.463294e-05 -1.099940e-06 -5.532940e-08 -1.211920e-06 6.743162e-05 -2.591208e-04 -7.496909e-05 -5.590917e-05
10217.000000 -3.462980e-05 -1.104107e-06 -7.187787e-08 -1.216473e-06 6.526796e-05 -2.616722e-04 -7.297866e-05 -5.871695e-05
10222.000000 -3.459889e-05 -1.107511e-06 -8.448968e-08 -1.219344e-06 5.739324e-05 -2.591828e-04 -7.029338e-05 -5.758712e-05
10227.000000 -3.454473e-05 -1.109814e-06 -9.331697e-08 -1.219577e-06 6.647445e-05 -2.410958e-04 -8.270998e-05 -5.282291e-05
10232.000000 -3.447120e-05 -1.111884e-06 -9.696417e-08 -1.220377e-06 6.993766e-05 -2.317799e-04 -7.083546e-05 -5.425656e-05
10237.000000 -3.446765e-05 -1.115908e-06 -9.934421e-08 -1.223110e-06 8.057760e-05 -2.574932e-04 -6.534070e-05 -5.256027e-05
10242.000000 -3.442925e-05 -1.119772e-06 -1.015086e-07 -1.225354e-06 8.295767e-05 -2.649207e-04 -6.396060e-05 -5.513327e-05
10247.000000 -3.435195e-05 -1.121727e-06 -1.055819e-07 -1.226007e-06 7.714129e-05 -2.725309e-04 -7.483173e-05 -6.144182e-05
10252.000000 -3.429945e-05 -1.124962e-06 -1.050964e-07 -1.226083e-06 6.960189e-05 -2.832027e-04 -7.771599e-05 -5.863045e-05
10257.000000 -3.428566e-05 -1.129563e-06 -1.012648e-07 -1.229622e-06 7.544042e-05 -2.829616e-04 -6.963231e-05 -5.463993e-05
10262.000000 -3.420046e-05 -1.131733e-06 -1.008727e-07 -1.229130e-06 7.780208e-05 -2.845183e-04 -5.772986e-05 -5.933086e-05
10267.000000 -3.420416e-05 -1.135799e-06 -1.028703e-07 -1.230961e-06 7.371319e-05 -2.816686e-04 -5.766341e-05 -5.883978e-05
10272.000000 -3.416548e-05 -1.137934e-06 -1.037871e-07 -1.232253e-06 7.269464e-05 -3.077115e-04 -5.708271e-05 -6.279139e-05
10277.000000 -3.410800e-05 -1.140599e-06 -1.034528e-07 -1.234416e-06 7.408717e-05 -3.059482e-04 -5.678727e-05 -6.112919e-05
10282.000000 -3.392851e-05 -1.140398e-06 -1.021484e-07 -1.230681e-06 8.206441e-05 -2.940973e-04 -4.969070e-05 -5.763296e-05
10287.000000 -3.398474e-05 -1.146121e-06 -1.030547e-07 -1.236694e-06 7.550480e-05 -2.936941e-04 -5.002905e-05 -5.418828e-05
10292.000000 -3.393442e-05 -1.147839e-06 -1.059573e-07 -1.238078e-06 6.866559e-05 -2.833680e-04 -6.002801e-05 -6.274096e-05
10297.000000 -3.386582e-05 -1.150227e-06 -1.076720e-07 -1.237692e-06 6.570607e-05 -2.751628e-04 -6.194052e-05 -6.764130e-05
10302.000000 -3.383113e-05 -1.153639e-06 -1.074379e-07 -1.238494e-06 6.160247e-05 -2.637944e-04 -5.626456e-05 -7.243035e-05
10307.000000 -3.369746e-05 -1.151759e-06 -1.069552e-07 -1.232794e-06 7.027107e-05 -2.473730e-04 -6.385121e-05 -7.241393e-05
10312.000000 -3.371276e-05 -1.159837e-06 -1.079835e-07 -1.239899e-06 7.160953e-05 -2.431580e-04 -6.343176e-05 -6.660520e-05
10317.000000 -3.371641e-05 -1.165367e-06 -1.076700e-07 -1.246140e-06 7.449214e-05 -2.356819e-04 -5.977325e-05 -6.869482e-05
10322.000000 -3.368622e-05 -1.167547e-06 -1.067987e-07 -1.250676e-06 7.288531e-05 -2.343502e-04 -5.261898e-05 -7.742721e-05
10327.000000 -3.361927e-05 -1.167511e-06 -1.056191e-07 -1.252798e-06 7.289013e-05 -2.338140e-04 -5.873358e-05 -7.220213e-05
10332.000000 -3.346083e-05 -1.163172e-06 -1.042730e-07 -1.251963e-06 6.479610e-05 -2.460794e-04 -5.991022e-05 -6.897591e-05
10337.000000 -3.355112e-05 -1.168420e-06 -1.044179e-07 -1.260001e-06 7.314324e-05 -2.733005e-04 -5.925977e-05 -5.958858e-05
10341.000000 -3.351809e-05 -1.170655e-06 -1.051932e-07 -1.263476e-06 7.837313e-05 -2.527182e-04 -5.850923e-05 -6.043820e-05
10344.000000 -3.345228e-05 -1.169008e-06 -1.060105e-07 -1.264349e-06 7.393426e-05 -2.472187e-04 -6.402751e-05 -5.918873e-05
10346.000000 -3.344152e-05 -1.171878e-06 -1.073738e-07 -1.268136e-06 6.230773e-05 -2.520191e-04 -6.063474e-05 -5.648995e-05
10347.000000 -3.345167e-05 -1.174667e-06 -1.083552e-07 -1.271466e-06 6.114022e-05 -2.552864e-04 -6.534700e-05 -6.667072e-05
10347.200000 -3.346168e-05 -1.176149e-06 -1.086010e-07 -1.272781e-06 5.983310e-05 -2.672467e-04 -6.557382e-05 -6.799474e-05
10347.400000 -3.346164e-05 -1.175606e-06 -1.088278e-07 -1.272651e-06 5.997159e-05 -2.587938e-04 -6.350506e-05 -6.089617e-05
10347.600000 -3.344643e-05 -1.173742e-06 -1.086898e-07 -1.271640e-06 6.525959e-05 -2.436593e-04 -6.683404e-05 -6.009344e-05
