# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.7261719995048
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.997559
# Detector.I1.voltage: -1649.998901
# Detector.I2.voltage: -1649.998291
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370655
# Scan.uid: e1748fd9-6676-4e18-8dc1-7aa0a35f3897
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/22/2023  17:30:10.071107
# Scan.end_time: 06/22/2023  17:30:43.791558
# Scan.name: CuGaO2-2nd O2- RT (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-2nd
# Sample.comment: 
# Sample.position.x: -66.493997553
# Sample.position.y: 31.5900075375
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 30.0
# SampleHeater.temperature2.readback: 29.3
# SampleHeater.voltage.setpoint: 0.06982684201768334
# SampleHeater.voltage.readback: 0.061
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 8.3
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 8.0
# SampleGasHandlingSystem.MFC1.readback: 7.991536617279053
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.048828125
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.06103515625
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 2.0
# SampleGasHandlingSystem.MFC6.readback: 2.001953125
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01627604104578495
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.09765625
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0773111954331398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1139322891831398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.03662109375
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.17443e-09
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 2.09625e-07
# SampleGasHandlingSystem.RGA.ch3.mass: 12
# SampleGasHandlingSystem.RGA.ch3.readback: 1.19267e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 16
# SampleGasHandlingSystem.RGA.ch4.readback: 3.22298e-09
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 6.6523e-10
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 7.39062e-10
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.8877e-08
# SampleGasHandlingSystem.RGA.ch8.mass: 40
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 4.76391e-12
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.445305e-05 -5.139140e-07 -3.408858e-07 -2.724411e-07 2.515792e-05 -6.008164e-04 -6.210091e-05 -7.629369e-06
 8784.000000 -3.453571e-05 -5.112261e-07 -3.391570e-07 -2.734734e-07 2.734566e-05 -5.950243e-04 -6.132756e-05 -6.208273e-06
 8789.000000 -3.448008e-05 -5.094874e-07 -3.380193e-07 -2.738261e-07 2.710473e-05 -5.630918e-04 -6.000763e-05 -1.437167e-05
 8794.000000 -3.434829e-05 -5.092709e-07 -3.382519e-07 -2.733745e-07 2.918698e-05 -5.846621e-04 -5.673425e-05 -1.569881e-05
 8799.000000 -3.384655e-05 -5.032966e-07 -3.348105e-07 -2.702646e-07 2.330459e-05 -5.930155e-04 -4.886849e-05 -1.475044e-05
 8804.000000 -3.421082e-05 -5.089853e-07 -3.385500e-07 -2.738299e-07 2.577071e-05 -6.068899e-04 -4.913375e-05 -1.317980e-05
 8809.000000 -3.416163e-05 -5.082659e-07 -3.380760e-07 -2.739615e-07 1.792510e-05 -5.939765e-04 -5.413544e-05 2.467146e-05
 8814.000000 -3.394494e-05 -5.070299e-07 -3.375731e-07 -2.726457e-07 1.372112e-05 -5.958348e-04 -6.074656e-05 3.041143e-05
 8819.000000 -3.396816e-05 -5.109220e-07 -3.402392e-07 -2.731297e-07 1.530127e-05 -5.909929e-04 -6.424895e-05 2.851121e-05
 8824.000000 -3.395264e-05 -5.138439e-07 -3.425260e-07 -2.737501e-07 1.574507e-05 -5.889858e-04 -6.605001e-05 2.403212e-05
 8829.000000 -3.384463e-05 -5.148729e-07 -3.435160e-07 -2.740848e-07 8.866346e-06 -5.944029e-04 -7.171408e-05 2.842795e-05
 8834.000000 -3.376457e-05 -5.157371e-07 -3.447486e-07 -2.744109e-07 7.077082e-06 -5.885455e-04 -7.043628e-05 1.791325e-05
 8839.000000 -3.353571e-05 -5.148529e-07 -3.442679e-07 -2.734924e-07 7.432810e-06 -5.928051e-04 -5.717379e-05 1.721901e-05
 8844.000000 -3.349110e-05 -5.170352e-07 -3.457402e-07 -2.744227e-07 1.008504e-05 -6.067720e-04 -5.945750e-05 2.088653e-05
 8849.000000 -3.325334e-05 -5.171907e-07 -3.461091e-07 -2.732428e-07 1.757191e-05 -6.007777e-04 -5.510709e-05 2.033191e-05
 8854.000000 -3.318429e-05 -5.194166e-07 -3.479631e-07 -2.736179e-07 2.590537e-05 -5.947530e-04 -4.729226e-05 2.477447e-05
 8859.000000 -3.310855e-05 -5.216918e-07 -3.498125e-07 -2.742122e-07 2.071983e-05 -5.762729e-04 -4.492347e-05 2.410282e-05
 8864.000000 -3.292556e-05 -5.218782e-07 -3.499234e-07 -2.738534e-07 8.124980e-06 -5.678028e-04 -5.114587e-05 2.231709e-05
 8869.000000 -3.297243e-05 -5.253796e-07 -3.522310e-07 -2.749363e-07 1.592794e-05 -5.826485e-04 -4.688084e-05 2.668176e-05
 8874.000000 -3.282979e-05 -5.271066e-07 -3.537688e-07 -2.745132e-07 1.374168e-05 -5.795204e-04 -6.032293e-05 2.028298e-05
 8879.000000 -3.268603e-05 -5.276229e-07 -3.546222e-07 -2.743344e-07 4.942592e-06 -5.687181e-04 -6.259710e-05 -3.565467e-06
 8884.000000 -3.242829e-05 -5.257507e-07 -3.534682e-07 -2.730813e-07 4.318745e-06 -5.524498e-04 -6.039565e-05 -1.392956e-05
 8889.000000 -3.215591e-05 -5.248373e-07 -3.530625e-07 -2.719706e-07 1.542425e-05 -5.583180e-04 -6.797747e-05 -1.795780e-05
 8894.000000 -3.238810e-05 -5.320784e-07 -3.580629e-07 -2.744243e-07 2.255897e-05 -5.918814e-04 -6.357852e-05 -1.322155e-05
 8899.000000 -3.229347e-05 -5.331013e-07 -3.591393e-07 -2.741236e-07 2.516557e-05 -6.085007e-04 -6.510294e-05 -2.012180e-05
 8904.000000 -3.216417e-05 -5.336667e-07 -3.593158e-07 -2.735208e-07 2.239058e-05 -5.826487e-04 -6.448658e-05 -2.755013e-05
 8909.000000 -3.202954e-05 -5.343684e-07 -3.598211e-07 -2.728602e-07 1.947063e-05 -6.170291e-04 -7.190259e-05 -1.548807e-05
 8914.000000 -3.178894e-05 -5.337395e-07 -3.598630e-07 -2.711422e-07 1.916654e-05 -6.385312e-04 -7.170499e-05 -8.408235e-06
 8919.000000 -3.172584e-05 -5.360107e-07 -3.616589e-07 -2.715637e-07 1.822627e-05 -6.196948e-04 -7.423988e-05 -1.078096e-05
 8924.000000 -3.148056e-05 -5.353333e-07 -3.611142e-07 -2.703362e-07 1.548349e-05 -6.122643e-04 -6.246792e-05 -1.765159e-05
 8929.000000 -3.155696e-05 -5.405194e-07 -3.648795e-07 -2.723128e-07 8.070372e-06 -6.263159e-04 -6.209640e-05 -2.141519e-05
 8934.000000 -3.142461e-05 -5.411506e-07 -3.652852e-07 -2.724133e-07 1.360403e-05 -6.268553e-04 -7.160578e-05 -1.330081e-05
 8939.000000 -3.127753e-05 -5.405575e-07 -3.646723e-07 -2.722395e-07 1.246539e-05 -6.227841e-04 -7.301382e-05 -4.564059e-06
 8944.000000 -3.121397e-05 -5.428814e-07 -3.663003e-07 -2.727190e-07 2.422765e-05 -6.326917e-04 -7.652138e-05 3.673760e-06
 8949.000000 -3.106609e-05 -5.431419e-07 -3.662355e-07 -2.723341e-07 1.656734e-05 -6.348218e-04 -7.548061e-05 -1.556651e-05
 8953.000000 -3.098560e-05 -5.422831e-07 -3.653811e-07 -2.724981e-07 2.050561e-05 -6.294222e-04 -7.952575e-05 -2.730455e-05
 8956.000000 -3.093195e-05 -5.428929e-07 -3.654355e-07 -2.728340e-07 1.201287e-05 -6.202537e-04 -7.277789e-05 -2.402681e-05
 8958.000000 -3.091853e-05 -5.429567e-07 -3.650047e-07 -2.733893e-07 1.130363e-05 -6.100219e-04 -7.286465e-05 -1.806863e-05
 8959.000000 -3.090086e-05 -5.427859e-07 -3.644140e-07 -2.737473e-07 1.050395e-05 -6.157146e-04 -7.289778e-05 -1.962742e-05
 8959.200000 -3.087684e-05 -5.421750e-07 -3.640013e-07 -2.736072e-07 8.594734e-06 -6.076871e-04 -6.803142e-05 -1.882374e-05
 8959.400000 -3.089631e-05 -5.426361e-07 -3.640790e-07 -2.740574e-07 8.784500e-06 -6.011627e-04 -6.298098e-05 -1.592849e-05
