# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.4935188400652
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.00061
# Detector.I1.voltage: -1650.002686
# Detector.I2.voltage: -1650.003906
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370657
# Scan.uid: 52719044-9895-4782-b4af-b7455f4521bc
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/22/2023  17:32:09.534496
# Scan.end_time: 06/22/2023  17:32:44.956699
# Scan.name: CuGaO2-2nd O2- RT (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-2nd
# Sample.comment: 
# Sample.position.x: -66.493997553
# Sample.position.y: 31.590026611
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 25.0
# SampleHeater.temperature2.readback: 28.1
# SampleHeater.voltage.setpoint: 0.0
# SampleHeater.voltage.readback: 0.0
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 8.870000000000001
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 8.0
# SampleGasHandlingSystem.MFC1.readback: 7.999674320220947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.048828125
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.06103515625
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC6.setpoint: 2.0
# SampleGasHandlingSystem.MFC6.readback: 2.001953125
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0773111954331398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1139322891831398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.03662109375
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 5.4698e-10
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 2.38048e-07
# SampleGasHandlingSystem.RGA.ch3.mass: 12
# SampleGasHandlingSystem.RGA.ch3.readback: 1.05372e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 16
# SampleGasHandlingSystem.RGA.ch4.readback: 2.24003e-09
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 5.33301e-10
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 2.86568e-10
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.1911e-08
# SampleGasHandlingSystem.RGA.ch8.mass: 40
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 3.66477e-12
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.453107e-05 -5.233124e-07 -3.470257e-07 -2.730209e-07 1.192505e-05 -6.296696e-04 -4.822667e-05 -5.696082e-06
 8784.000000 -3.450412e-05 -5.194611e-07 -3.444884e-07 -2.733398e-07 2.823575e-05 -6.067886e-04 -5.318291e-05 -9.445848e-06
 8789.000000 -3.454876e-05 -5.181091e-07 -3.439053e-07 -2.745114e-07 2.617233e-05 -6.285384e-04 -5.583645e-05 -1.485047e-05
 8794.000000 -3.441349e-05 -5.160207e-07 -3.428732e-07 -2.741815e-07 3.134501e-05 -6.286640e-04 -5.895331e-05 -2.250699e-05
 8799.000000 -3.404181e-05 -5.097608e-07 -3.387716e-07 -2.720634e-07 3.099577e-05 -6.448475e-04 -5.773730e-05 -1.779178e-05
 8804.000000 -3.437261e-05 -5.146065e-07 -3.419611e-07 -2.752122e-07 2.903826e-05 -6.423257e-04 -5.425439e-05 -2.456121e-05
 8809.000000 -3.431962e-05 -5.161820e-07 -3.434104e-07 -2.756321e-07 1.849760e-05 -6.334634e-04 -5.006488e-05 -2.328675e-05
 8814.000000 -3.410691e-05 -5.154211e-07 -3.430500e-07 -2.742295e-07 2.099248e-05 -6.220867e-04 -5.046360e-05 -1.234904e-05
 8819.000000 -3.406733e-05 -5.170444e-07 -3.443816e-07 -2.740995e-07 2.256047e-05 -6.324690e-04 -5.040641e-05 -1.205520e-05
 8824.000000 -3.403578e-05 -5.197710e-07 -3.465184e-07 -2.747064e-07 2.431492e-05 -6.473995e-04 -4.539736e-05 -2.272432e-05
 8829.000000 -3.387480e-05 -5.203921e-07 -3.473137e-07 -2.744933e-07 1.895145e-05 -6.493591e-04 -5.812757e-05 -3.136084e-05
 8834.000000 -3.387374e-05 -5.224640e-07 -3.490544e-07 -2.755564e-07 2.047056e-05 -6.094427e-04 -4.829168e-05 -2.517569e-05
 8839.000000 -3.373997e-05 -5.241083e-07 -3.505950e-07 -2.752270e-07 2.932716e-05 -6.071563e-04 -5.493718e-05 -3.163202e-05
 8844.000000 -3.360425e-05 -5.252042e-07 -3.515970e-07 -2.750845e-07 3.602453e-05 -6.231851e-04 -5.550766e-05 -2.495687e-05
 8849.000000 -3.353024e-05 -5.256851e-07 -3.519824e-07 -2.755224e-07 3.564454e-05 -6.204196e-04 -3.987632e-05 -1.580291e-05
 8854.000000 -3.344847e-05 -5.256210e-07 -3.518804e-07 -2.759247e-07 2.841255e-05 -6.288170e-04 -3.870870e-05 -5.478697e-06
 8859.000000 -3.334857e-05 -5.265267e-07 -3.527986e-07 -2.759915e-07 3.440651e-05 -6.172106e-04 -4.169751e-05 2.534439e-06
 8864.000000 -3.323014e-05 -5.257595e-07 -3.526320e-07 -2.761494e-07 2.412065e-05 -6.149188e-04 -4.274685e-05 -8.812625e-07
 8869.000000 -3.301361e-05 -5.261168e-07 -3.529121e-07 -2.754293e-07 1.920351e-05 -6.196630e-04 -3.001522e-05 -2.875834e-06
 8874.000000 -3.287143e-05 -5.277401e-07 -3.543241e-07 -2.750813e-07 1.205313e-05 -6.268413e-04 -3.666546e-05 -3.399781e-06
 8879.000000 -3.275111e-05 -5.281284e-07 -3.546253e-07 -2.747910e-07 2.021639e-05 -6.138197e-04 -3.661048e-05 1.291511e-06
 8884.000000 -3.254467e-05 -5.277496e-07 -3.546035e-07 -2.741016e-07 2.293877e-05 -6.145025e-04 -3.925396e-05 -4.093920e-06
 8889.000000 -3.228919e-05 -5.277363e-07 -3.547324e-07 -2.731554e-07 2.455506e-05 -6.175687e-04 -4.018938e-05 -5.802885e-06
 8894.000000 -3.248506e-05 -5.337914e-07 -3.592580e-07 -2.750570e-07 1.752888e-05 -5.992485e-04 -3.456499e-05 -8.492410e-06
 8899.000000 -3.244809e-05 -5.360129e-07 -3.610465e-07 -2.755395e-07 2.442740e-05 -5.921433e-04 -3.861976e-05 -1.204626e-05
 8904.000000 -3.231677e-05 -5.377139e-07 -3.627283e-07 -2.748322e-07 2.785352e-05 -5.904341e-04 -5.472467e-05 -9.102866e-06
 8909.000000 -3.219208e-05 -5.396943e-07 -3.639545e-07 -2.741888e-07 3.517339e-05 -5.937419e-04 -4.770486e-05 -1.085678e-05
 8914.000000 -3.194240e-05 -5.392868e-07 -3.637094e-07 -2.726546e-07 3.568372e-05 -6.040728e-04 -5.419736e-05 -9.567711e-06
 8919.000000 -3.185668e-05 -5.407674e-07 -3.649229e-07 -2.726849e-07 3.305005e-05 -6.183958e-04 -5.780880e-05 -1.068454e-05
 8924.000000 -3.169254e-05 -5.418770e-07 -3.656370e-07 -2.723387e-07 2.597537e-05 -6.056603e-04 -5.555799e-05 -4.823221e-06
 8929.000000 -3.168249e-05 -5.455582e-07 -3.683929e-07 -2.735453e-07 1.928278e-05 -5.981090e-04 -5.383260e-05 -8.610514e-06
 8934.000000 -3.155228e-05 -5.464849e-07 -3.689303e-07 -2.735541e-07 1.518692e-05 -6.007498e-04 -4.394753e-05 -1.838650e-06
 8939.000000 -3.144421e-05 -5.478287e-07 -3.697456e-07 -2.735953e-07 8.810564e-06 -6.068957e-04 -5.057989e-05 -1.197699e-05
 8944.000000 -3.132994e-05 -5.498334e-07 -3.709955e-07 -2.736177e-07 8.718227e-06 -5.971544e-04 -4.349575e-05 -1.143938e-05
 8949.000000 -3.118566e-05 -5.490648e-07 -3.701952e-07 -2.733755e-07 1.633760e-05 -6.025542e-04 -4.513814e-05 -3.068012e-06
 8953.000000 -3.106276e-05 -5.484697e-07 -3.695770e-07 -2.732888e-07 1.835118e-05 -6.457238e-04 -5.427573e-05 -1.612148e-06
 8956.000000 -3.106979e-05 -5.500542e-07 -3.703161e-07 -2.741043e-07 1.807688e-05 -6.178203e-04 -6.195587e-05 2.094200e-06
 8958.000000 -3.100993e-05 -5.489684e-07 -3.690611e-07 -2.740951e-07 1.851888e-05 -6.183714e-04 -6.913032e-05 -1.138427e-06
 8959.000000 -3.095644e-05 -5.488197e-07 -3.685764e-07 -2.739202e-07 2.785033e-05 -6.128970e-04 -6.225553e-05 -1.300007e-06
 8959.200000 -3.097579e-05 -5.481793e-07 -3.679491e-07 -2.742429e-07 2.229782e-05 -5.921226e-04 -6.259075e-05 4.025359e-06
 8959.400000 -3.096926e-05 -5.496432e-07 -3.691863e-07 -2.742327e-07 3.003567e-05 -6.386045e-04 -5.900996e-05 8.646645e-07
