# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.46379069173867
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.997925
# Detector.I1.voltage: -1649.99939
# Detector.I2.voltage: -1650.001587
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370661
# Scan.uid: a5be7130-bbaa-4f0d-a7c5-2c74835a93f8
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/22/2023  17:46:38.608669
# Scan.end_time: 06/22/2023  17:47:13.148630
# Scan.name: CuGaO2-2nd O2-ramp  (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-2nd
# Sample.comment: 
# Sample.position.x: -66.493997553
# Sample.position.y: 31.589988464
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 61.65337183021364
# SampleHeater.temperature2.readback: 59.300000000000004
# SampleHeater.voltage.setpoint: 0.37173790442372023
# SampleHeater.voltage.readback: 0.372
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 8.85
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 8.0
# SampleGasHandlingSystem.MFC1.readback: 7.999674320220947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC6.setpoint: 2.0
# SampleGasHandlingSystem.MFC6.readback: 2.001953125
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.03662109375
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1139322891831398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0406901054084301
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 3.51054e-10
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 2.29362e-07
# SampleGasHandlingSystem.RGA.ch3.mass: 12
# SampleGasHandlingSystem.RGA.ch3.readback: 6.76422e-13
# SampleGasHandlingSystem.RGA.ch4.mass: 16
# SampleGasHandlingSystem.RGA.ch4.readback: 2.98246e-09
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 3.55784e-10
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.08426e-10
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.6942e-08
# SampleGasHandlingSystem.RGA.ch8.mass: 40
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.10087e-12
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.441530e-05 -5.058422e-07 -3.353788e-07 -2.712515e-07 -1.054514e-05 -5.910392e-04 -4.105113e-05 -1.936407e-05
 8784.000000 -3.453612e-05 -5.059929e-07 -3.357643e-07 -2.728318e-07 -4.439169e-06 -6.059382e-04 -4.263818e-05 1.613259e-05
 8789.000000 -3.450742e-05 -5.056578e-07 -3.355818e-07 -2.734203e-07 -6.548542e-07 -6.335210e-04 -3.827560e-05 2.845208e-05
 8794.000000 -3.436562e-05 -5.053225e-07 -3.353785e-07 -2.731002e-07 -1.957108e-06 -6.504356e-04 -4.649066e-05 2.327021e-05
 8799.000000 -3.394471e-05 -5.009818e-07 -3.331045e-07 -2.706185e-07 -5.039001e-06 -6.469783e-04 -4.938813e-05 1.488466e-05
 8804.000000 -3.420171e-05 -5.060975e-07 -3.365425e-07 -2.730851e-07 -8.847544e-06 -6.547018e-04 -3.636726e-05 -2.864145e-05
 8809.000000 -3.409628e-05 -5.058022e-07 -3.365713e-07 -2.727194e-07 -1.218950e-05 -6.509756e-04 -2.792406e-05 -3.417223e-05
 8814.000000 -3.396444e-05 -5.051196e-07 -3.365815e-07 -2.721882e-07 -1.800361e-05 -6.662341e-04 -3.545198e-05 -2.561336e-05
 8819.000000 -3.398136e-05 -5.078644e-07 -3.385736e-07 -2.727749e-07 -8.445724e-06 -6.530032e-04 -5.125717e-05 -2.736169e-05
 8824.000000 -3.388340e-05 -5.097975e-07 -3.401218e-07 -2.727616e-07 -2.175669e-05 -6.527082e-04 -6.128718e-05 -2.575315e-05
 8829.000000 -3.380893e-05 -5.103889e-07 -3.401752e-07 -2.733741e-07 -1.799652e-05 -6.677040e-04 -5.962625e-05 -2.100808e-05
 8834.000000 -3.373194e-05 -5.107456e-07 -3.408509e-07 -2.735750e-07 -1.777218e-05 -6.674320e-04 -5.598990e-05 -2.492335e-05
 8839.000000 -3.360411e-05 -5.114055e-07 -3.418303e-07 -2.735658e-07 -1.747735e-05 -6.601555e-04 -5.171386e-05 -2.450221e-05
 8844.000000 -3.347878e-05 -5.127622e-07 -3.429238e-07 -2.735941e-07 -1.316723e-05 -6.393134e-04 -4.400303e-05 -2.508989e-05
 8849.000000 -3.328373e-05 -5.128879e-07 -3.430170e-07 -2.728952e-07 -1.705947e-05 -6.118970e-04 -4.766845e-05 -2.502943e-05
 8854.000000 -3.310228e-05 -5.124646e-07 -3.432266e-07 -2.724204e-07 -1.115191e-05 -6.284494e-04 -5.246853e-05 -2.271650e-05
 8859.000000 -3.313092e-05 -5.161033e-07 -3.461953e-07 -2.739565e-07 -1.364947e-05 -6.357115e-04 -4.913368e-05 -1.550118e-05
 8864.000000 -3.305654e-05 -5.172263e-07 -3.468416e-07 -2.742038e-07 -1.523680e-05 -6.431610e-04 -4.587106e-05 -1.241957e-05
 8869.000000 -3.289592e-05 -5.176378e-07 -3.473207e-07 -2.736065e-07 -1.426197e-05 -6.239561e-04 -4.312137e-05 -1.743871e-05
 8874.000000 -3.274615e-05 -5.179765e-07 -3.476764e-07 -2.733453e-07 -1.941938e-05 -6.300828e-04 -3.497403e-05 -1.630568e-05
 8879.000000 -3.264372e-05 -5.193890e-07 -3.490785e-07 -2.732295e-07 -7.332469e-06 -6.093944e-04 -4.080655e-05 -1.883510e-05
 8884.000000 -3.242090e-05 -5.181396e-07 -3.482416e-07 -2.724033e-07 -5.355049e-06 -5.965200e-04 -4.123269e-05 -2.549543e-05
 8889.000000 -3.217922e-05 -5.174832e-07 -3.479843e-07 -2.718174e-07 -4.189437e-06 -6.031583e-04 -3.527382e-05 -1.732466e-05
 8894.000000 -3.235519e-05 -5.236617e-07 -3.525581e-07 -2.733878e-07 -9.530721e-06 -6.092584e-04 -4.126147e-05 1.785858e-05
 8899.000000 -3.223262e-05 -5.250319e-07 -3.538022e-07 -2.729404e-07 -1.255409e-05 -6.270166e-04 -4.244500e-05 3.219808e-05
 8904.000000 -3.210758e-05 -5.260735e-07 -3.542083e-07 -2.725993e-07 -1.563811e-05 -6.200182e-04 -4.412966e-05 2.669320e-05
 8909.000000 -3.189857e-05 -5.256396e-07 -3.539080e-07 -2.712151e-07 -1.232084e-05 -6.310645e-04 -3.927133e-05 1.971298e-05
 8914.000000 -3.170366e-05 -5.250441e-07 -3.539972e-07 -2.699878e-07 -5.252116e-06 -6.202517e-04 -3.945502e-05 2.168005e-05
 8919.000000 -3.165642e-05 -5.271949e-07 -3.555970e-07 -2.705068e-07 -4.021355e-06 -6.338233e-04 -4.312051e-05 3.348885e-05
 8924.000000 -3.151059e-05 -5.282388e-07 -3.561850e-07 -2.701543e-07 -1.522153e-05 -6.130981e-04 -4.870706e-05 3.642108e-05
 8929.000000 -3.146638e-05 -5.308408e-07 -3.583202e-07 -2.710907e-07 -1.695733e-05 -6.190508e-04 -4.327952e-05 3.903093e-05
 8934.000000 -3.130295e-05 -5.312218e-07 -3.584428e-07 -2.706966e-07 -1.853931e-05 -6.431184e-04 -4.783047e-05 2.268397e-05
 8939.000000 -3.121927e-05 -5.337062e-07 -3.600731e-07 -2.710475e-07 -1.450440e-05 -6.467752e-04 -4.197541e-05 -6.996197e-06
 8944.000000 -3.116755e-05 -5.359884e-07 -3.615790e-07 -2.716301e-07 -1.692562e-05 -6.765470e-04 -4.882293e-05 -7.464188e-06
 8949.000000 -3.098916e-05 -5.350391e-07 -3.606651e-07 -2.710011e-07 -1.237368e-05 -6.536601e-04 -5.080712e-05 -5.191977e-07
 8953.000000 -3.095426e-05 -5.353025e-07 -3.606879e-07 -2.714704e-07 -1.022516e-05 -6.543827e-04 -4.067068e-05 -6.180625e-06
 8956.000000 -3.089152e-05 -5.344788e-07 -3.595792e-07 -2.718470e-07 -1.423631e-05 -6.511304e-04 -4.717125e-05 -1.834739e-05
 8958.000000 -3.088241e-05 -5.350333e-07 -3.596941e-07 -2.724935e-07 -1.086912e-05 -6.374323e-04 -5.187281e-05 -1.486614e-05
 8959.000000 -3.086121e-05 -5.348975e-07 -3.596240e-07 -2.725325e-07 -1.948202e-05 -6.066368e-04 -4.864336e-05 -1.928353e-05
 8959.200000 -3.085375e-05 -5.346620e-07 -3.593435e-07 -2.723556e-07 -1.415181e-05 -6.119593e-04 -4.627524e-05 -2.459381e-05
 8959.400000 -3.084744e-05 -5.357835e-07 -3.601911e-07 -2.723440e-07 -1.505604e-05 -6.446363e-04 -5.483132e-05 -2.422741e-05
