# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.10367068235894
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.998535
# Detector.I1.voltage: -1650.001099
# Detector.I2.voltage: -1650.002075
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370663
# Scan.uid: 75149062-4e32-456e-b6c0-be6e61b46d23
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/22/2023  17:48:37.060687
# Scan.end_time: 06/22/2023  17:49:11.810638
# Scan.name: CuGaO2-2nd O2-ramp  (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-2nd
# Sample.comment: 
# Sample.position.x: -66.493997553
# Sample.position.y: 31.5900075375
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 82.06178944543169
# SampleHeater.temperature2.readback: 82.30000000000001
# SampleHeater.voltage.setpoint: 0.3434158167297804
# SampleHeater.voltage.readback: 0.34700000000000003
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 8.620000000000001
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 8.0
# SampleGasHandlingSystem.MFC1.readback: 7.999674320220947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC6.setpoint: 2.0
# SampleGasHandlingSystem.MFC6.readback: 2.001953125
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.03662109375
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.06103515625
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1139322891831398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0406901054084301
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 3.66837e-10
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 2.30265e-07
# SampleGasHandlingSystem.RGA.ch3.mass: 12
# SampleGasHandlingSystem.RGA.ch3.readback: 6.26542e-13
# SampleGasHandlingSystem.RGA.ch4.mass: 16
# SampleGasHandlingSystem.RGA.ch4.readback: 2.96364e-09
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 3.45296e-10
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 9.38013e-11
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.6684e-08
# SampleGasHandlingSystem.RGA.ch8.mass: 40
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.12349e-12
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.438953e-05 -5.157262e-07 -3.420005e-07 -2.717720e-07 -8.262599e-06 -5.710430e-04 -5.257385e-05 3.397199e-06
 8784.000000 -3.449496e-05 -5.161408e-07 -3.424413e-07 -2.732933e-07 -9.983801e-06 -5.809489e-04 -4.559027e-05 -2.225198e-06
 8789.000000 -3.446842e-05 -5.165832e-07 -3.431940e-07 -2.738623e-07 -5.109479e-06 -6.061897e-04 -4.898115e-05 -9.872003e-07
 8794.000000 -3.429897e-05 -5.156465e-07 -3.428025e-07 -2.730762e-07 5.669160e-06 -5.996067e-04 -4.354144e-05 -2.181373e-06
 8799.000000 -3.394393e-05 -5.128290e-07 -3.410403e-07 -2.712661e-07 6.667659e-06 -6.330503e-04 -4.305869e-05 2.268076e-06
 8804.000000 -3.422893e-05 -5.185801e-07 -3.449432e-07 -2.740036e-07 1.304659e-06 -6.323460e-04 -4.007466e-05 1.125322e-05
 8809.000000 -3.413328e-05 -5.190172e-07 -3.456431e-07 -2.736238e-07 1.303921e-06 -5.958938e-04 -3.945083e-05 1.727473e-06
 8814.000000 -3.399554e-05 -5.185023e-07 -3.453555e-07 -2.732246e-07 -1.014816e-06 -5.831319e-04 -3.596827e-05 2.986570e-06
 8819.000000 -3.397517e-05 -5.193144e-07 -3.459880e-07 -2.733902e-07 -1.023776e-05 -5.792248e-04 -5.500511e-05 -4.019001e-06
 8824.000000 -3.390502e-05 -5.201430e-07 -3.471037e-07 -2.735127e-07 -2.070499e-05 -5.887363e-04 -5.818548e-05 -6.028564e-06
 8829.000000 -3.382754e-05 -5.204706e-07 -3.476124e-07 -2.740447e-07 -2.012006e-05 -5.936365e-04 -5.140141e-05 -4.676328e-06
 8834.000000 -3.365735e-05 -5.190674e-07 -3.468385e-07 -2.734596e-07 -1.467298e-05 -5.650929e-04 -4.846661e-05 1.578332e-07
 8839.000000 -3.355704e-05 -5.197960e-07 -3.475356e-07 -2.735795e-07 -7.457137e-06 -5.821508e-04 -5.517140e-05 5.384448e-06
 8844.000000 -3.336731e-05 -5.205043e-07 -3.483390e-07 -2.729871e-07 -9.222853e-06 -5.887821e-04 -5.033806e-05 4.050904e-06
 8849.000000 -3.333114e-05 -5.226534e-07 -3.501454e-07 -2.737205e-07 -1.010431e-05 -5.906615e-04 -5.529317e-05 8.056769e-06
 8854.000000 -3.320544e-05 -5.228089e-07 -3.501364e-07 -2.736968e-07 -1.023779e-05 -5.873508e-04 -5.336380e-05 1.121843e-05
 8859.000000 -3.309457e-05 -5.245834e-07 -3.515179e-07 -2.740122e-07 -1.419324e-05 -6.036470e-04 -5.064554e-05 1.028775e-05
 8864.000000 -3.295370e-05 -5.247652e-07 -3.518814e-07 -2.738893e-07 -1.289504e-05 -6.092214e-04 -5.555205e-05 3.991006e-05
 8869.000000 -3.283452e-05 -5.257033e-07 -3.528985e-07 -2.737162e-07 -1.031852e-05 -6.037169e-04 -6.491894e-05 6.002612e-05
 8874.000000 -3.280204e-05 -5.289444e-07 -3.550767e-07 -2.743267e-07 -8.544502e-06 -5.979554e-04 -6.530286e-05 5.906289e-05
 8879.000000 -3.268459e-05 -5.297939e-07 -3.560787e-07 -2.739778e-07 -8.304637e-06 -5.930779e-04 -5.913985e-05 5.656796e-05
 8884.000000 -3.239189e-05 -5.279668e-07 -3.552910e-07 -2.726138e-07 1.399219e-07 -6.008738e-04 -4.684736e-05 5.557307e-05
 8889.000000 -3.220821e-05 -5.286972e-07 -3.559489e-07 -2.725882e-07 -2.439768e-06 -6.064151e-04 -6.241788e-05 3.836649e-05
 8894.000000 -3.236676e-05 -5.336958e-07 -3.590939e-07 -2.740760e-07 -5.681069e-07 -6.026469e-04 -5.610862e-05 2.192209e-05
 8899.000000 -3.222641e-05 -5.341193e-07 -3.597319e-07 -2.733804e-07 -4.676207e-07 -6.030775e-04 -5.451998e-05 2.181607e-05
 8904.000000 -3.210631e-05 -5.358772e-07 -3.611690e-07 -2.730367e-07 -3.591998e-06 -6.012693e-04 -5.235287e-05 1.981658e-05
 8909.000000 -3.190969e-05 -5.362086e-07 -3.614842e-07 -2.716712e-07 -6.184894e-06 -6.336942e-04 -3.891953e-05 2.168452e-05
 8914.000000 -3.167418e-05 -5.352235e-07 -3.608222e-07 -2.701782e-07 -3.498829e-06 -6.402335e-04 -4.944359e-05 5.729183e-05
 8919.000000 -3.156442e-05 -5.362163e-07 -3.619284e-07 -2.699498e-07 5.850346e-06 -6.334304e-04 -4.956524e-05 5.556351e-05
 8924.000000 -3.138685e-05 -5.362870e-07 -3.620845e-07 -2.694146e-07 7.816275e-06 -6.186190e-04 -4.547924e-05 2.541187e-05
 8929.000000 -3.146771e-05 -5.409932e-07 -3.651514e-07 -2.714284e-07 2.955737e-06 -6.267946e-04 -4.909714e-05 7.754535e-06
 8934.000000 -3.137102e-05 -5.420693e-07 -3.660189e-07 -2.717021e-07 8.547897e-06 -6.090487e-04 -4.713325e-05 6.188830e-06
 8939.000000 -3.128754e-05 -5.427299e-07 -3.664090e-07 -2.719460e-07 2.398120e-06 -6.118762e-04 -4.049055e-05 1.145334e-05
 8944.000000 -3.115169e-05 -5.412308e-07 -3.652986e-07 -2.716446e-07 3.567568e-06 -6.256071e-04 -4.941313e-05 4.946781e-06
 8949.000000 -3.104155e-05 -5.389026e-07 -3.634042e-07 -2.717188e-07 6.795313e-06 -6.557655e-04 -5.552979e-05 7.368367e-06
 8953.000000 -3.095742e-05 -5.410174e-07 -3.644941e-07 -2.720545e-07 5.034687e-06 -6.419959e-04 -5.987751e-05 2.713431e-05
 8956.000000 -3.089555e-05 -5.433610e-07 -3.657600e-07 -2.723184e-07 6.553166e-06 -6.511717e-04 -5.252958e-05 4.516967e-05
 8958.000000 -3.086526e-05 -5.426924e-07 -3.649370e-07 -2.727803e-07 1.631883e-06 -6.439570e-04 -5.604666e-05 2.766570e-05
 8959.000000 -3.085103e-05 -5.432370e-07 -3.649888e-07 -2.731890e-07 -2.706708e-06 -6.440174e-04 -5.597421e-05 -1.129352e-05
 8959.200000 -3.083524e-05 -5.417862e-07 -3.639882e-07 -2.729992e-07 -2.965393e-07 -6.317738e-04 -5.287180e-05 -6.988884e-06
 8959.400000 -3.084113e-05 -5.433591e-07 -3.646108e-07 -2.731709e-07 7.012260e-06 -6.260439e-04 -5.463935e-05 -5.308247e-06
