# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 398.7620981343531
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.001099
# Detector.I1.voltage: -1650.000122
# Detector.I2.voltage: -1650.000732
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370679
# Scan.uid: 51eba0ea-e168-4a57-870e-ed6de6f3a398
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/22/2023  18:04:37.087378
# Scan.end_time: 06/22/2023  18:05:13.384663
# Scan.name: CuGaO2-2nd O2-ramp  (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-2nd
# Sample.comment: 
# Sample.position.x: -66.493997553
# Sample.position.y: 31.5900075375
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 246.80520956319765
# SampleHeater.temperature2.readback: 251.5
# SampleHeater.voltage.setpoint: 0.5374017965359915
# SampleHeater.voltage.readback: 0.544
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 8.27
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 8.0
# SampleGasHandlingSystem.MFC1.readback: 7.999674320220947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC6.setpoint: 2.0
# SampleGasHandlingSystem.MFC6.readback: 2.001953125
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.08544921875
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.06103515625
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1139322891831398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0406901054084301
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 2.53995e-10
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 2.28545e-07
# SampleGasHandlingSystem.RGA.ch3.mass: 12
# SampleGasHandlingSystem.RGA.ch3.readback: 5.45509e-13
# SampleGasHandlingSystem.RGA.ch4.mass: 16
# SampleGasHandlingSystem.RGA.ch4.readback: 2.98917e-09
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.93481e-10
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 5.84682e-11
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.6942e-08
# SampleGasHandlingSystem.RGA.ch8.mass: 40
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 1.71393e-12
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.449336e-05 -4.499109e-07 -2.982171e-07 -2.715651e-07 3.205214e-05 -6.899820e-04 -4.502233e-05 -1.459592e-06
 8784.000000 -3.455938e-05 -4.479171e-07 -2.970797e-07 -2.729099e-07 2.353048e-05 -6.796952e-04 -4.397284e-05 9.323614e-07
 8789.000000 -3.451199e-05 -4.453502e-07 -2.954926e-07 -2.730768e-07 3.081981e-05 -6.479926e-04 -3.945647e-05 -6.126430e-06
 8794.000000 -3.441032e-05 -4.435856e-07 -2.943686e-07 -2.728805e-07 2.528500e-05 -6.419219e-04 -3.523960e-05 -1.012165e-05
 8799.000000 -3.401072e-05 -4.388114e-07 -2.916546e-07 -2.705007e-07 2.949908e-05 -6.634438e-04 -3.509548e-05 -1.262607e-05
 8804.000000 -3.420824e-05 -4.415358e-07 -2.935225e-07 -2.727087e-07 2.413444e-05 -6.704074e-04 -3.060196e-05 -8.564586e-07
 8809.000000 -3.418624e-05 -4.428174e-07 -2.946956e-07 -2.732114e-07 2.695157e-05 -6.490353e-04 -2.660541e-05 -2.267273e-06
 8814.000000 -3.394075e-05 -4.401721e-07 -2.931367e-07 -2.717813e-07 2.640581e-05 -6.371490e-04 -2.646039e-05 -2.009780e-06
 8819.000000 -3.399305e-05 -4.434037e-07 -2.953593e-07 -2.726229e-07 1.845464e-05 -6.582113e-04 -3.238639e-05 -3.752644e-06
 8824.000000 -3.395010e-05 -4.460431e-07 -2.970557e-07 -2.727986e-07 1.480943e-05 -6.656519e-04 -3.709640e-05 -3.260095e-06
 8829.000000 -3.384304e-05 -4.469475e-07 -2.980533e-07 -2.729338e-07 9.444277e-06 -6.624099e-04 -2.895324e-05 -1.155667e-05
 8834.000000 -3.379828e-05 -4.486425e-07 -2.993660e-07 -2.733517e-07 1.005807e-05 -6.699229e-04 -3.421252e-05 -9.769847e-06
 8839.000000 -3.370343e-05 -4.510633e-07 -3.014340e-07 -2.731976e-07 1.487140e-05 -6.598363e-04 -4.195279e-05 -1.735142e-06
 8844.000000 -3.359023e-05 -4.529120e-07 -3.027926e-07 -2.733590e-07 9.750534e-06 -6.696235e-04 -3.583572e-05 5.595569e-06
 8849.000000 -3.348071e-05 -4.537525e-07 -3.034514e-07 -2.738767e-07 1.675839e-05 -6.789460e-04 -4.283548e-05 -3.009318e-06
 8854.000000 -3.333394e-05 -4.538960e-07 -3.035942e-07 -2.739718e-07 1.222718e-05 -6.785946e-04 -5.186331e-05 -7.250460e-06
 8859.000000 -3.323928e-05 -4.543578e-07 -3.044130e-07 -2.740607e-07 1.529223e-05 -6.685294e-04 -4.568037e-05 -1.628892e-05
 8864.000000 -3.315650e-05 -4.553907e-07 -3.055487e-07 -2.741732e-07 1.410668e-05 -6.600239e-04 -3.867192e-05 -1.669833e-05
 8869.000000 -3.298132e-05 -4.564377e-07 -3.065830e-07 -2.735112e-07 6.848486e-06 -6.685861e-04 -4.031627e-05 -3.501777e-06
 8874.000000 -3.291134e-05 -4.579825e-07 -3.077278e-07 -2.737563e-07 9.495580e-06 -6.563740e-04 -3.976785e-05 -8.652648e-06
 8879.000000 -3.281953e-05 -4.592844e-07 -3.086615e-07 -2.738728e-07 1.920881e-05 -6.559387e-04 -3.653426e-05 -7.145846e-07
 8884.000000 -3.258025e-05 -4.580315e-07 -3.079875e-07 -2.730641e-07 1.490161e-05 -6.544545e-04 -4.108190e-05 3.543265e-08
 8889.000000 -3.231560e-05 -4.580965e-07 -3.081148e-07 -2.722643e-07 2.070074e-05 -6.409243e-04 -4.675334e-05 7.216314e-07
 8894.000000 -3.244320e-05 -4.616668e-07 -3.106046e-07 -2.735847e-07 2.351249e-05 -6.083440e-04 -3.770763e-05 -4.101273e-06
 8899.000000 -3.235839e-05 -4.629856e-07 -3.114583e-07 -2.736734e-07 1.190908e-05 -6.058798e-04 -3.315699e-05 -1.906960e-06
 8904.000000 -3.221890e-05 -4.642792e-07 -3.126680e-07 -2.728985e-07 9.072029e-06 -5.998266e-04 -3.382116e-05 8.833546e-06
 8909.000000 -3.204539e-05 -4.647649e-07 -3.131748e-07 -2.716495e-07 1.840311e-05 -5.945864e-04 -3.336836e-05 4.465132e-06
 8914.000000 -3.180077e-05 -4.643038e-07 -3.129129e-07 -2.701656e-07 1.793617e-05 -5.965296e-04 -4.368492e-05 -1.691282e-07
 8919.000000 -3.171561e-05 -4.654052e-07 -3.140931e-07 -2.703072e-07 1.417182e-05 -6.025899e-04 -5.328001e-05 1.435808e-05
 8924.000000 -3.155720e-05 -4.678148e-07 -3.157225e-07 -2.703447e-07 1.993715e-05 -5.990924e-04 -4.330150e-05 1.895631e-05
 8929.000000 -3.148398e-05 -4.713865e-07 -3.180526e-07 -2.710029e-07 1.957294e-05 -6.199793e-04 -3.998696e-05 1.325039e-05
 8934.000000 -3.147405e-05 -4.749855e-07 -3.205753e-07 -2.724046e-07 2.130726e-05 -6.380379e-04 -3.837007e-05 1.137014e-05
 8939.000000 -3.139520e-05 -4.764999e-07 -3.216907e-07 -2.725434e-07 1.644748e-05 -6.517652e-04 -3.442480e-05 8.183598e-06
 8944.000000 -3.125724e-05 -4.770273e-07 -3.218485e-07 -2.720734e-07 1.408082e-05 -6.920549e-04 -2.751053e-05 7.410908e-06
 8949.000000 -3.110493e-05 -4.780915e-07 -3.223844e-07 -2.717004e-07 1.463136e-05 -6.979887e-04 -3.977972e-05 -1.350844e-05
 8953.000000 -3.098726e-05 -4.792438e-07 -3.228098e-07 -2.716085e-07 1.165996e-05 -7.068627e-04 -4.106881e-05 -1.857363e-05
 8956.000000 -3.092088e-05 -4.787251e-07 -3.220584e-07 -2.718684e-07 1.706726e-05 -7.508469e-04 -3.346220e-05 -1.833216e-05
 8958.000000 -3.095507e-05 -4.790097e-07 -3.220179e-07 -2.728949e-07 7.410141e-06 -7.708340e-04 -3.428636e-05 -1.495506e-05
 8959.000000 -3.096583e-05 -4.786648e-07 -3.217092e-07 -2.732295e-07 1.290848e-06 -7.624199e-04 -2.960704e-05 -1.209496e-05
 8959.200000 -3.095284e-05 -4.790904e-07 -3.220657e-07 -2.733978e-07 8.117598e-07 -7.621562e-04 -3.337658e-05 -1.157758e-05
 8959.400000 -3.096388e-05 -4.785784e-07 -3.216545e-07 -2.734207e-07 -4.985745e-06 -7.779007e-04 -3.173954e-05 -1.031247e-05
