# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.5205631145049
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.000366
# Detector.I1.voltage: -1650.000854
# Detector.I2.voltage: -1649.999756
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370685
# Scan.uid: 1efffce1-3db6-4237-aba1-9f223acbee24
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/22/2023  18:10:34.535580
# Scan.end_time: 06/22/2023  18:11:10.457188
# Scan.name: CuGaO2-2nd O2-ramp  (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-2nd
# Sample.comment: 
# Sample.position.x: -66.493997553
# Sample.position.y: 31.5900075375
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 308.1020705361069
# SampleHeater.temperature2.readback: 308.3
# SampleHeater.voltage.setpoint: 0.7525933577742957
# SampleHeater.voltage.readback: 0.743
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 8.23
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 8.0
# SampleGasHandlingSystem.MFC1.readback: 7.999674320220947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.06103515625
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.01220703125
# SampleGasHandlingSystem.MFC6.setpoint: 2.0
# SampleGasHandlingSystem.MFC6.readback: 2.001953125
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.08544921875
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.1057942733168602
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.06103515625
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1139322891831398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0406901054084301
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 2.2755e-10
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 2.2919e-07
# SampleGasHandlingSystem.RGA.ch3.mass: 12
# SampleGasHandlingSystem.RGA.ch3.readback: 5.82693e-13
# SampleGasHandlingSystem.RGA.ch4.mass: 16
# SampleGasHandlingSystem.RGA.ch4.readback: 2.98783e-09
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.84344e-10
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 5.43982e-11
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.6899e-08
# SampleGasHandlingSystem.RGA.ch8.mass: 40
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 1.77254e-12
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.445129e-05 -4.165796e-07 -2.760098e-07 -2.711400e-07 -5.967766e-06 -7.667393e-04 -3.989313e-05 2.349481e-05
 8784.000000 -3.450508e-05 -4.133634e-07 -2.740950e-07 -2.720729e-07 -3.449966e-06 -7.462826e-04 -3.681531e-05 2.378912e-05
 8789.000000 -3.445442e-05 -4.119422e-07 -2.734497e-07 -2.722909e-07 -8.382657e-07 -7.269343e-04 -3.654662e-05 2.306455e-05
 8794.000000 -3.432453e-05 -4.122502e-07 -2.737804e-07 -2.719500e-07 1.396405e-06 -7.328284e-04 -4.053230e-05 2.614928e-05
 8799.000000 -3.395672e-05 -4.101233e-07 -2.725873e-07 -2.699380e-07 1.287761e-05 -7.352203e-04 -4.861400e-05 2.391573e-05
 8804.000000 -3.418445e-05 -4.139274e-07 -2.752190e-07 -2.724744e-07 7.022427e-06 -7.608594e-04 -4.978026e-05 2.566369e-05
 8809.000000 -3.416110e-05 -4.150275e-07 -2.761583e-07 -2.727375e-07 1.100870e-05 -7.626525e-04 -4.487384e-05 2.540585e-05
 8814.000000 -3.399667e-05 -4.147024e-07 -2.761811e-07 -2.712666e-07 1.717364e-05 -7.745108e-04 -3.808444e-05 2.146538e-05
 8819.000000 -3.396329e-05 -4.173541e-07 -2.782458e-07 -2.713615e-07 6.515399e-06 -7.915838e-04 -3.147770e-05 2.359103e-05
 8824.000000 -3.387826e-05 -4.187112e-07 -2.794242e-07 -2.715940e-07 1.004228e-05 -7.977455e-04 -3.727989e-05 2.448470e-05
 8829.000000 -3.382590e-05 -4.197481e-07 -2.801702e-07 -2.723821e-07 6.788362e-06 -7.818928e-04 -3.794601e-05 2.161057e-05
 8834.000000 -3.376623e-05 -4.209288e-07 -2.810611e-07 -2.730629e-07 1.935457e-06 -7.799477e-04 -3.154573e-05 2.578046e-05
 8839.000000 -3.361834e-05 -4.207349e-07 -2.811375e-07 -2.731236e-07 1.677951e-05 -7.884306e-04 -3.201400e-05 2.935021e-05
 8844.000000 -3.347605e-05 -4.212407e-07 -2.816210e-07 -2.728411e-07 1.631074e-05 -7.741090e-04 -4.739828e-05 2.555077e-05
 8849.000000 -3.340753e-05 -4.238282e-07 -2.837801e-07 -2.731168e-07 5.767591e-06 -7.739804e-04 -5.136675e-05 2.796615e-05
 8854.000000 -3.331096e-05 -4.253449e-07 -2.849559e-07 -2.733887e-07 -8.266527e-06 -7.611370e-04 -3.719608e-05 2.580066e-05
 8859.000000 -3.316293e-05 -4.259976e-07 -2.853343e-07 -2.734858e-07 -9.980975e-06 -7.757397e-04 -3.945153e-05 1.541044e-05
 8864.000000 -3.308781e-05 -4.275800e-07 -2.865076e-07 -2.739439e-07 -1.023097e-05 -7.629946e-04 -4.221362e-05 2.527799e-05
 8869.000000 -3.294680e-05 -4.277085e-07 -2.866182e-07 -2.739128e-07 -1.194037e-05 -7.595248e-04 -3.745004e-05 2.025066e-05
 8874.000000 -3.285908e-05 -4.286048e-07 -2.874999e-07 -2.737596e-07 -1.298816e-05 -7.535578e-04 -4.099151e-05 1.143249e-05
 8879.000000 -3.274713e-05 -4.300073e-07 -2.885616e-07 -2.732440e-07 -6.425424e-06 -7.627153e-04 -4.773002e-05 1.866087e-05
 8884.000000 -3.247982e-05 -4.285681e-07 -2.879176e-07 -2.719988e-07 -7.694667e-06 -7.650092e-04 -5.577043e-05 9.813529e-06
 8889.000000 -3.212225e-05 -4.262658e-07 -2.864183e-07 -2.702719e-07 -9.614818e-06 -7.671342e-04 -5.286499e-05 1.667788e-05
 8894.000000 -3.232363e-05 -4.322514e-07 -2.907067e-07 -2.722470e-07 -2.596377e-06 -7.645392e-04 -3.907292e-05 3.261250e-05
 8899.000000 -3.222242e-05 -4.342358e-07 -2.923150e-07 -2.718857e-07 -1.085535e-05 -7.537712e-04 -4.528216e-05 2.824276e-05
 8904.000000 -3.210956e-05 -4.355421e-07 -2.932006e-07 -2.715060e-07 -1.538631e-05 -7.535538e-04 -4.548399e-05 2.514038e-05
 8909.000000 -3.199750e-05 -4.363019e-07 -2.939128e-07 -2.712761e-07 -1.254941e-05 -7.627206e-04 -4.670798e-05 2.530762e-05
 8914.000000 -3.179031e-05 -4.367745e-07 -2.944134e-07 -2.700824e-07 -3.521904e-06 -7.591676e-04 -4.500411e-05 3.291267e-05
 8919.000000 -3.170374e-05 -4.380033e-07 -2.952580e-07 -2.699680e-07 -1.364616e-05 -7.626615e-04 -4.799105e-05 3.194579e-05
 8924.000000 -3.150999e-05 -4.377053e-07 -2.951670e-07 -2.692669e-07 -1.164969e-05 -7.643903e-04 -5.621262e-05 3.178357e-05
 8929.000000 -3.149472e-05 -4.400645e-07 -2.968135e-07 -2.705715e-07 -8.632331e-06 -7.600174e-04 -5.409897e-05 2.669049e-05
 8934.000000 -3.145751e-05 -4.426245e-07 -2.986174e-07 -2.717400e-07 -7.581633e-06 -7.513401e-04 -5.875732e-05 2.362302e-05
 8939.000000 -3.134781e-05 -4.445504e-07 -2.998293e-07 -2.721679e-07 -1.002246e-05 -7.538979e-04 -5.348456e-05 2.187876e-05
 8944.000000 -3.121190e-05 -4.450324e-07 -3.002019e-07 -2.716214e-07 -2.164212e-06 -7.552513e-04 -5.756281e-05 2.443789e-05
 8949.000000 -3.105180e-05 -4.464395e-07 -3.007857e-07 -2.713911e-07 -5.113067e-06 -7.702367e-04 -5.268388e-05 3.073862e-05
 8953.000000 -3.098692e-05 -4.483251e-07 -3.018606e-07 -2.718658e-07 -1.290272e-05 -8.139733e-04 -5.182080e-05 2.834185e-05
 8956.000000 -3.093079e-05 -4.475165e-07 -3.010572e-07 -2.719308e-07 -1.491876e-05 -8.153737e-04 -4.185133e-05 2.740478e-05
 8958.000000 -3.089495e-05 -4.477130e-07 -3.007809e-07 -2.721521e-07 -1.917929e-05 -8.087950e-04 -3.444365e-05 2.278861e-05
 8959.000000 -3.089877e-05 -4.480360e-07 -3.007148e-07 -2.725194e-07 -2.415429e-05 -8.039891e-04 -3.893701e-05 6.910855e-06
 8959.200000 -3.089591e-05 -4.487204e-07 -3.010539e-07 -2.724561e-07 -2.170615e-05 -8.114795e-04 -4.364221e-05 4.238831e-06
 8959.400000 -3.085961e-05 -4.478741e-07 -3.006102e-07 -2.719861e-07 -1.139839e-05 -8.047949e-04 -5.142264e-05 8.701233e-06
 8959.600000 -3.081025e-05 -4.471855e-07 -3.002238e-07 -2.718168e-07 -2.300613e-05 -8.122539e-04 -5.897642e-05 1.201298e-05
 8959.800000 -3.081241e-05 -4.476838e-07 -3.006028e-07 -2.719233e-07 -2.104814e-05 -7.987791e-04 -4.793796e-05 1.325679e-05
 8960.000000 -3.079637e-05 -4.473923e-07 -3.002029e-07 -2.717540e-07 -1.554704e-05 -8.002147e-04 -3.874275e-05 1.240868e-05
 8960.200000 -3.073253e-05 -4.463143e-07 -2.993234e-07 -2.711490e-07 -1.422759e-05 -7.922001e-04 -4.426637e-05 1.105310e-05
 8960.400000 -3.078716e-05 -4.462401e-07 -2.991008e-07 -2.715684e-07 -1.127702e-05 -8.028535e-04 -5.502608e-05 1.677614e-05
 8960.600000 -3.081793e-05 -4.469196e-07 -2.995945e-07 -2.721532e-07 -1.164821e-05 -8.073284e-04 -4.852410e-05 1.670308e-05
 8960.800000 -3.082546e-05 -4.462098e-07 -2.992738e-07 -2.721050e-07 -1.438869e-05 -8.130243e-04 -4.321720e-05 2.126829e-05
 8961.000000 -3.085292e-05 -4.470470e-07 -2.999001e-07 -2.723490e-07 -9.087506e-06 -8.036413e-04 -4.570091e-05 1.836189e-05
 8961.200000 -3.085230e-05 -4.465571e-07 -2.994243e-07 -2.725353e-07 -1.186474e-05 -8.187459e-04 -5.882877e-05 1.660407e-05
 8961.400000 -3.081459e-05 -4.453491e-07 -2.986279e-07 -2.724720e-07 -1.766270e-05 -8.211427e-04 -4.644703e-05 1.738657e-05
 8961.600000 -3.079925e-05 -4.444916e-07 -2.980441e-07 -2.726304e-07 -1.053329e-05 -8.091610e-04 -3.203523e-05 2.138457e-05
 8961.800000 -3.082785e-05 -4.461737e-07 -2.989152e-07 -2.729490e-07 -1.430788e-05 -8.172048e-04 -4.900723e-05 7.803598e-06
 8962.000000 -3.082259e-05 -4.463307e-07 -2.987991e-07 -2.728329e-07 -8.416434e-06 -8.281387e-04 -5.310312e-05 1.402828e-05
 8962.200000 -3.080981e-05 -4.459418e-07 -2.987692e-07 -2.726369e-07 -1.686565e-05 -8.222672e-04 -4.077122e-05 1.819397e-05
 8962.400000 -3.080891e-05 -4.479679e-07 -3.001342e-07 -2.728022e-07 -1.692176e-05 -8.158449e-04 -3.432672e-05 1.761294e-05
 8962.600000 -3.083309e-05 -4.472792e-07 -2.996496e-07 -2.727681e-07 -1.624888e-05 -8.094801e-04 -4.291078e-05 4.713302e-06
 8962.800000 -3.081919e-05 -4.477567e-07 -2.998862e-07 -2.725029e-07 -1.675195e-05 -8.081976e-04 -4.961006e-05 1.435179e-05
 8963.000000 -3.083352e-05 -4.482387e-07 -3.000985e-07 -2.725780e-07 -1.601998e-05 -7.834600e-04 -3.995488e-05 1.835443e-05
 8963.200000 -3.084158e-05 -4.483594e-07 -2.998661e-07 -2.725573e-07 -1.070160e-05 -7.634036e-04 -3.282609e-05 1.241431e-05
 8963.400000 -3.083648e-05 -4.491666e-07 -3.006709e-07 -2.725135e-07 -1.484735e-05 -7.809166e-04 -2.491085e-05 5.022741e-06
 8963.600000 -3.083145e-05 -4.479922e-07 -2.996024e-07 -2.726783e-07 -2.950934e-05 -7.881625e-04 -4.118818e-05 2.268859e-06
 8963.800000 -3.082675e-05 -4.488910e-07 -3.001248e-07 -2.727605e-07 -2.717059e-05 -8.070369e-04 -4.183930e-05 4.462823e-06
 8964.000000 -3.081091e-05 -4.492044e-07 -3.002152e-07 -2.726055e-07 -2.358771e-05 -8.189601e-04 -2.778189e-05 8.471110e-06
