# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.278310745404
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.000977
# Detector.I1.voltage: -1650.002808
# Detector.I2.voltage: -1650.001587
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370687
# Scan.uid: 384e5960-1c03-4ba4-b9c3-896680a2e2ab
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/22/2023  18:12:35.053162
# Scan.end_time: 06/22/2023  18:13:07.951061
# Scan.name: CuGaO2-2nd O2-ramp  (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-2nd
# Sample.comment: 
# Sample.position.x: -66.493997553
# Sample.position.y: 31.589988464
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 328.7640754364349
# SampleHeater.temperature2.readback: 325.6
# SampleHeater.voltage.setpoint: 0.8936050327965261
# SampleHeater.voltage.readback: 0.866
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 8.290000000000001
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 8.0
# SampleGasHandlingSystem.MFC1.readback: 7.999674320220947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.06103515625
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.01220703125
# SampleGasHandlingSystem.MFC6.setpoint: 2.0
# SampleGasHandlingSystem.MFC6.readback: 2.001953125
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.06103515625
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1139322891831398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0406901054084301
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 2.16612e-10
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 2.26739e-07
# SampleGasHandlingSystem.RGA.ch3.mass: 12
# SampleGasHandlingSystem.RGA.ch3.readback: 5.90766e-13
# SampleGasHandlingSystem.RGA.ch4.mass: 16
# SampleGasHandlingSystem.RGA.ch4.readback: 2.97909e-09
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.84652e-10
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 5.34318e-11
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.677e-08
# SampleGasHandlingSystem.RGA.ch8.mass: 40
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 1.58673e-12
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.448478e-05 -4.030923e-07 -2.670118e-07 -2.707639e-07 2.635430e-05 -7.557251e-04 -4.514796e-05 1.152878e-05
 8784.000000 -3.449936e-05 -4.014175e-07 -2.661126e-07 -2.717091e-07 2.910474e-05 -7.499862e-04 -5.311317e-05 1.480583e-05
 8789.000000 -3.445429e-05 -4.000135e-07 -2.654738e-07 -2.719638e-07 2.305206e-05 -7.600700e-04 -6.864597e-05 1.743144e-05
 8794.000000 -3.429164e-05 -3.990835e-07 -2.649543e-07 -2.714049e-07 2.615950e-05 -7.496419e-04 -6.470721e-05 1.363991e-05
 8799.000000 -3.396454e-05 -3.976053e-07 -2.639843e-07 -2.689049e-07 2.377169e-05 -7.685397e-04 -5.925189e-05 6.381368e-06
 8804.000000 -3.418667e-05 -4.011356e-07 -2.666611e-07 -2.707428e-07 2.600114e-05 -7.491284e-04 -5.213310e-05 1.409179e-05
 8809.000000 -3.408843e-05 -4.007238e-07 -2.667251e-07 -2.709814e-07 2.382695e-05 -7.636990e-04 -5.083909e-05 1.116115e-05
 8814.000000 -3.398876e-05 -4.002364e-07 -2.664360e-07 -2.707781e-07 2.550877e-05 -7.827150e-04 -6.699216e-05 9.992888e-06
 8819.000000 -3.402252e-05 -4.028484e-07 -2.684213e-07 -2.714276e-07 2.425001e-05 -7.814358e-04 -6.933914e-05 3.436668e-06
 8824.000000 -3.396360e-05 -4.047258e-07 -2.700636e-07 -2.718731e-07 2.177913e-05 -7.751661e-04 -7.018250e-05 -1.876570e-06
 8829.000000 -3.386409e-05 -4.051831e-07 -2.702918e-07 -2.718863e-07 2.030597e-05 -7.592390e-04 -6.829621e-05 1.847048e-06
 8834.000000 -3.373791e-05 -4.047721e-07 -2.700468e-07 -2.720960e-07 2.095658e-05 -7.536795e-04 -6.380597e-05 1.342511e-05
 8839.000000 -3.358541e-05 -4.040698e-07 -2.699374e-07 -2.720541e-07 2.643371e-05 -7.567168e-04 -6.063480e-05 2.039582e-05
 8844.000000 -3.343879e-05 -4.032050e-07 -2.693922e-07 -2.715519e-07 1.452609e-05 -7.451604e-04 -6.416030e-05 1.408394e-05
 8849.000000 -3.330513e-05 -4.041237e-07 -2.702640e-07 -2.715219e-07 1.416886e-05 -7.442166e-04 -5.430257e-05 1.943324e-05
 8854.000000 -3.327135e-05 -4.067594e-07 -2.723462e-07 -2.723311e-07 1.014726e-05 -7.624235e-04 -5.394161e-05 2.204545e-05
 8859.000000 -3.316583e-05 -4.077241e-07 -2.734493e-07 -2.727004e-07 9.379390e-07 -7.350375e-04 -5.137559e-05 1.962774e-05
 8864.000000 -3.305429e-05 -4.098109e-07 -2.749822e-07 -2.728567e-07 -7.110960e-06 -7.136845e-04 -5.778254e-05 1.255335e-05
 8869.000000 -3.290537e-05 -4.109514e-07 -2.758722e-07 -2.726299e-07 -1.918921e-06 -7.286295e-04 -5.048474e-05 2.105326e-05
 8874.000000 -3.276985e-05 -4.122905e-07 -2.766071e-07 -2.723619e-07 1.142059e-05 -7.265525e-04 -4.589495e-05 2.318379e-05
 8879.000000 -3.266822e-05 -4.142768e-07 -2.780395e-07 -2.721135e-07 1.316967e-05 -7.428346e-04 -4.968229e-05 2.202770e-05
 8884.000000 -3.231385e-05 -4.119190e-07 -2.766621e-07 -2.699721e-07 3.690249e-06 -7.747277e-04 -4.811937e-05 2.519536e-05
 8889.000000 -3.217434e-05 -4.141184e-07 -2.784978e-07 -2.702933e-07 1.294429e-05 -7.920966e-04 -5.239971e-05 2.916981e-05
 8894.000000 -3.240163e-05 -4.195407e-07 -2.821042e-07 -2.725058e-07 2.038030e-05 -7.663257e-04 -4.897754e-05 3.730049e-05
 8899.000000 -3.225337e-05 -4.203083e-07 -2.828441e-07 -2.716124e-07 1.329682e-05 -7.551344e-04 -5.413708e-05 2.400534e-05
 8904.000000 -3.219636e-05 -4.234088e-07 -2.850582e-07 -2.719967e-07 1.192363e-05 -7.685185e-04 -5.051250e-05 3.087498e-05
 8909.000000 -3.206911e-05 -4.243686e-07 -2.860873e-07 -2.714568e-07 1.070640e-05 -7.769384e-04 -4.899582e-05 2.713919e-05
 8914.000000 -3.181214e-05 -4.237555e-07 -2.856917e-07 -2.698914e-07 7.990800e-06 -7.788832e-04 -4.475930e-05 2.398858e-05
 8919.000000 -3.170322e-05 -4.254846e-07 -2.869475e-07 -2.698890e-07 9.583078e-07 -7.943380e-04 -4.803098e-05 1.619498e-05
 8924.000000 -3.144444e-05 -4.240622e-07 -2.861173e-07 -2.687151e-07 1.769142e-05 -7.813604e-04 -4.721177e-05 1.609359e-05
 8929.000000 -3.152598e-05 -4.288611e-07 -2.893288e-07 -2.710945e-07 2.743400e-05 -7.589043e-04 -4.478011e-05 1.524394e-05
 8934.000000 -3.148432e-05 -4.304779e-07 -2.902606e-07 -2.718293e-07 1.872120e-05 -7.378516e-04 -4.077041e-05 1.205933e-05
 8939.000000 -3.134927e-05 -4.306468e-07 -2.905227e-07 -2.717052e-07 1.655737e-05 -7.636201e-04 -3.463189e-05 1.843970e-05
 8944.000000 -3.122091e-05 -4.309048e-07 -2.905946e-07 -2.717137e-07 1.655717e-05 -7.740964e-04 -3.460284e-05 3.221791e-05
 8949.000000 -3.106781e-05 -4.318141e-07 -2.910308e-07 -2.716437e-07 1.438276e-05 -7.571919e-04 -3.890282e-05 2.849306e-05
 8953.000000 -3.094037e-05 -4.323968e-07 -2.911226e-07 -2.716429e-07 1.055605e-05 -7.671800e-04 -4.592651e-05 2.741272e-05
 8956.000000 -3.094754e-05 -4.342096e-07 -2.921321e-07 -2.724133e-07 1.665959e-05 -7.547226e-04 -5.112993e-05 2.001889e-05
 8958.000000 -3.090969e-05 -4.341385e-07 -2.917068e-07 -2.725018e-07 1.673854e-05 -7.636173e-04 -4.989372e-05 1.652796e-05
 8959.000000 -3.088495e-05 -4.339453e-07 -2.916380e-07 -2.725500e-07 1.121565e-05 -7.642979e-04 -5.778817e-05 2.859984e-05
 8959.200000 -3.082791e-05 -4.326459e-07 -2.907431e-07 -2.722927e-07 6.823108e-06 -7.706738e-04 -5.573452e-05 3.022410e-05
 8959.400000 -3.085976e-05 -4.334264e-07 -2.911838e-07 -2.726207e-07 4.440620e-06 -7.653531e-04 -5.392445e-05 2.497028e-05
