# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.7403014754447
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.999878
# Detector.I1.voltage: -1650.002563
# Detector.I2.voltage: -1650.003052
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370693
# Scan.uid: 573e6a4e-ffc5-4a2e-a263-ee38cc01af35
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/22/2023  18:18:31.007235
# Scan.end_time: 06/22/2023  18:19:04.846262
# Scan.name: CuGaO2-2nd O2-ramp  (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-2nd
# Sample.comment: 
# Sample.position.x: -66.493997553
# Sample.position.y: 31.5900075375
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 389.9505956970728
# SampleHeater.temperature2.readback: 387.8
# SampleHeater.voltage.setpoint: 1.0040354086796859
# SampleHeater.voltage.readback: 0.971
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 8.25
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 8.0
# SampleGasHandlingSystem.MFC1.readback: 7.999674320220947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.01220703125
# SampleGasHandlingSystem.MFC6.setpoint: 2.0
# SampleGasHandlingSystem.MFC6.readback: 2.001953125
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.08544921875
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.06103515625
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1139322891831398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0406901054084301
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.92002e-10
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 2.23514e-07
# SampleGasHandlingSystem.RGA.ch3.mass: 12
# SampleGasHandlingSystem.RGA.ch3.readback: 5.21386e-13
# SampleGasHandlingSystem.RGA.ch4.mass: 16
# SampleGasHandlingSystem.RGA.ch4.readback: 2.95019e-09
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.81112e-10
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 5.2045e-11
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.6641e-08
# SampleGasHandlingSystem.RGA.ch8.mass: 40
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 1.56421e-12
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.450217e-05 -3.931065e-07 -2.604533e-07 -2.705326e-07 1.075588e-05 -8.207227e-04 -5.547807e-05 6.213177e-05
 8784.000000 -3.464175e-05 -3.931008e-07 -2.605489e-07 -2.723741e-07 7.462564e-06 -8.135121e-04 -6.253457e-05 6.492859e-05
 8789.000000 -3.462087e-05 -3.947081e-07 -2.617050e-07 -2.730999e-07 2.150466e-05 -7.965787e-04 -7.234035e-05 6.248054e-05
 8794.000000 -3.434868e-05 -3.915923e-07 -2.599631e-07 -2.719659e-07 2.173058e-05 -7.850485e-04 -6.993164e-05 6.830368e-05
 8799.000000 -3.396604e-05 -3.877732e-07 -2.576762e-07 -2.695872e-07 1.100639e-05 -7.762154e-04 -7.853355e-05 6.348278e-05
 8804.000000 -3.417714e-05 -3.899024e-07 -2.591026e-07 -2.719079e-07 6.366332e-06 -7.944039e-04 -7.930023e-05 6.965463e-05
 8809.000000 -3.420480e-05 -3.928507e-07 -2.613832e-07 -2.722275e-07 7.536537e-06 -7.882468e-04 -7.951252e-05 6.126808e-05
 8814.000000 -3.407403e-05 -3.938301e-07 -2.620260e-07 -2.714100e-07 1.875765e-05 -7.876520e-04 -6.904597e-05 5.063412e-05
 8819.000000 -3.410619e-05 -3.962229e-07 -2.635616e-07 -2.725508e-07 2.231443e-05 -7.880175e-04 -7.046950e-05 5.018753e-05
 8824.000000 -3.404924e-05 -3.976060e-07 -2.650237e-07 -2.727077e-07 1.530085e-05 -7.973636e-04 -6.737838e-05 5.582824e-05
 8829.000000 -3.397339e-05 -3.986644e-07 -2.660925e-07 -2.729798e-07 2.229176e-05 -7.968661e-04 -6.061896e-05 5.806820e-05
 8834.000000 -3.387524e-05 -3.997207e-07 -2.669254e-07 -2.734096e-07 1.741438e-05 -7.834825e-04 -6.154297e-05 5.000701e-05
 8839.000000 -3.378030e-05 -4.009154e-07 -2.679088e-07 -2.736235e-07 2.030538e-05 -7.718039e-04 -7.225865e-05 5.020143e-05
 8844.000000 -3.364891e-05 -4.008713e-07 -2.681344e-07 -2.739049e-07 2.157599e-05 -7.693253e-04 -6.137781e-05 6.153182e-05
 8849.000000 -3.351056e-05 -4.003034e-07 -2.679328e-07 -2.742573e-07 1.736324e-05 -7.284848e-04 -5.630158e-05 7.374575e-05
 8854.000000 -3.339265e-05 -3.998945e-07 -2.676553e-07 -2.741863e-07 1.686235e-05 -7.219341e-04 -5.738052e-05 6.732963e-05
 8859.000000 -3.327292e-05 -4.008944e-07 -2.684105e-07 -2.742778e-07 1.008688e-05 -7.339570e-04 -4.773422e-05 6.992498e-05
 8864.000000 -3.315950e-05 -4.020695e-07 -2.693452e-07 -2.743293e-07 4.010135e-06 -7.637712e-04 -5.266306e-05 6.977733e-05
 8869.000000 -3.298561e-05 -4.020836e-07 -2.696932e-07 -2.734544e-07 4.869421e-06 -7.608325e-04 -6.029288e-05 7.330221e-05
 8874.000000 -3.288105e-05 -4.034438e-07 -2.705799e-07 -2.734369e-07 8.654383e-06 -7.370290e-04 -6.728481e-05 7.218718e-05
 8879.000000 -3.261286e-05 -4.009963e-07 -2.690636e-07 -2.721095e-07 1.505221e-05 -7.539947e-04 -5.923402e-05 6.587101e-05
 8884.000000 -3.239107e-05 -3.996354e-07 -2.682546e-07 -2.711580e-07 1.831564e-05 -7.484899e-04 -4.986634e-05 6.094454e-05
 8889.000000 -3.227374e-05 -4.031789e-07 -2.709589e-07 -2.710428e-07 1.933302e-05 -7.528125e-04 -4.997683e-05 5.762584e-05
 8894.000000 -3.249339e-05 -4.089974e-07 -2.751906e-07 -2.728823e-07 1.825749e-05 -7.539773e-04 -5.646037e-05 5.627811e-05
 8899.000000 -3.239839e-05 -4.107087e-07 -2.765553e-07 -2.732290e-07 3.041134e-05 -7.438862e-04 -6.189352e-05 6.316346e-05
 8904.000000 -3.220834e-05 -4.104506e-07 -2.763968e-07 -2.723018e-07 2.486062e-05 -7.479450e-04 -4.742060e-05 7.188606e-05
 8909.000000 -3.209958e-05 -4.122611e-07 -2.776778e-07 -2.714153e-07 1.675643e-05 -7.380038e-04 -5.906649e-05 6.326290e-05
 8914.000000 -3.188760e-05 -4.125792e-07 -2.778768e-07 -2.702858e-07 2.626837e-05 -7.257413e-04 -6.121050e-05 6.583720e-05
 8919.000000 -3.171804e-05 -4.109963e-07 -2.769098e-07 -2.698529e-07 2.096430e-05 -7.521263e-04 -6.021653e-05 6.117893e-05
 8924.000000 -3.160815e-05 -4.123932e-07 -2.778516e-07 -2.702211e-07 1.975941e-05 -7.573329e-04 -4.964844e-05 6.549162e-05
 8929.000000 -3.163689e-05 -4.163162e-07 -2.805543e-07 -2.718022e-07 2.078431e-05 -7.752545e-04 -5.587941e-05 6.559694e-05
 8934.000000 -3.152514e-05 -4.176387e-07 -2.817875e-07 -2.720359e-07 3.190174e-05 -7.495519e-04 -6.256464e-05 6.446242e-05
 8939.000000 -3.142484e-05 -4.189763e-07 -2.826452e-07 -2.722732e-07 3.118829e-05 -7.477745e-04 -5.926218e-05 7.530364e-05
 8944.000000 -3.129840e-05 -4.181461e-07 -2.819140e-07 -2.723965e-07 2.161114e-05 -7.436620e-04 -5.578506e-05 6.530791e-05
 8949.000000 -3.114761e-05 -4.173423e-07 -2.811465e-07 -2.720895e-07 2.022322e-05 -7.205004e-04 -5.405138e-05 6.254568e-05
 8953.000000 -3.107576e-05 -4.178352e-07 -2.812993e-07 -2.722801e-07 2.037198e-05 -7.257587e-04 -5.094123e-05 6.636735e-05
 8956.000000 -3.100129e-05 -4.168812e-07 -2.803385e-07 -2.723201e-07 2.393379e-05 -7.138898e-04 -5.376619e-05 5.956728e-05
 8958.000000 -3.089654e-05 -4.146611e-07 -2.787057e-07 -2.722107e-07 1.546332e-05 -6.976316e-04 -5.131501e-05 6.498684e-05
 8959.000000 -3.079759e-05 -4.131279e-07 -2.776053e-07 -2.716809e-07 1.535011e-05 -6.923882e-04 -5.445594e-05 6.466106e-05
 8959.200000 -3.082519e-05 -4.139484e-07 -2.781844e-07 -2.719211e-07 1.691937e-05 -6.820137e-04 -6.015537e-05 6.136583e-05
 8959.400000 -3.079239e-05 -4.131867e-07 -2.775950e-07 -2.715677e-07 1.350020e-05 -6.901526e-04 -5.956677e-05 5.785802e-05
