# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.2393130919762
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.999268
# Detector.I1.voltage: -1650.000977
# Detector.I2.voltage: -1649.999878
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370723
# Scan.uid: 17cc8ca4-90ce-48c0-9eaf-2771c0ccdaa5
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/22/2023  18:48:54.555358
# Scan.end_time: 06/22/2023  18:49:28.291231
# Scan.name: CuGaO2-2nd O2-ramp  (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-2nd
# Sample.comment: 
# Sample.position.x: -66.493997553
# Sample.position.y: 31.5900075375
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 30.0
# SampleHeater.temperature2.readback: 31.400000000000002
# SampleHeater.voltage.setpoint: 0.010250846197282476
# SampleHeater.voltage.readback: 0.012
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 11.43
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 8.0
# SampleGasHandlingSystem.MFC1.readback: 7.999674320220947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.01220703125
# SampleGasHandlingSystem.MFC6.setpoint: 2.0
# SampleGasHandlingSystem.MFC6.readback: 2.001953125
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.08544921875
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.1057942733168602
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.06103515625
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1139322891831398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0406901054084301
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 3.02048e-10
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 2.24374e-07
# SampleGasHandlingSystem.RGA.ch3.mass: 12
# SampleGasHandlingSystem.RGA.ch3.readback: 4.7529e-13
# SampleGasHandlingSystem.RGA.ch4.mass: 16
# SampleGasHandlingSystem.RGA.ch4.readback: 3.00731e-09
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.4338e-10
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 2.18691e-10
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.7114e-08
# SampleGasHandlingSystem.RGA.ch8.mass: 40
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 1.30318e-12
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.448299e-05 -4.953480e-07 -3.285487e-07 -2.727406e-07 2.126487e-05 -9.254839e-04 -4.316063e-05 8.432632e-06
 8784.000000 -3.455561e-05 -4.928096e-07 -3.268388e-07 -2.740264e-07 2.549154e-05 -9.080511e-04 -4.428823e-05 1.219680e-05
 8789.000000 -3.440844e-05 -4.891166e-07 -3.246789e-07 -2.734834e-07 1.752759e-05 -8.960372e-04 -4.689193e-05 4.255989e-06
 8794.000000 -3.424691e-05 -4.885250e-07 -3.246410e-07 -2.728765e-07 1.007444e-05 -8.874649e-04 -5.268277e-05 5.625697e-06
 8799.000000 -3.382370e-05 -4.847396e-07 -3.221517e-07 -2.702507e-07 1.380118e-05 -8.889958e-04 -4.127485e-05 1.200314e-05
 8804.000000 -3.416219e-05 -4.905369e-07 -3.263803e-07 -2.733697e-07 1.621861e-05 -8.975102e-04 -4.358695e-05 8.654890e-07
 8809.000000 -3.403219e-05 -4.905716e-07 -3.267130e-07 -2.727777e-07 2.354503e-05 -9.176965e-04 -4.303172e-05 1.222639e-06
 8814.000000 -3.382663e-05 -4.897745e-07 -3.260308e-07 -2.717269e-07 2.787896e-05 -9.270608e-04 -3.864955e-05 -1.629774e-06
 8819.000000 -3.397242e-05 -4.928126e-07 -3.281685e-07 -2.732159e-07 2.967613e-05 -9.408384e-04 -3.861789e-05 1.886172e-06
 8824.000000 -3.393650e-05 -4.952364e-07 -3.303108e-07 -2.735044e-07 1.448979e-05 -9.506691e-04 -3.368198e-05 7.342573e-06
 8829.000000 -3.381299e-05 -4.956037e-07 -3.308429e-07 -2.735931e-07 1.076260e-05 -9.559983e-04 -3.820036e-05 9.360792e-06
 8834.000000 -3.370796e-05 -4.943775e-07 -3.300871e-07 -2.735478e-07 1.132896e-05 -9.518634e-04 -4.343004e-05 9.291999e-06
 8839.000000 -3.361915e-05 -4.950501e-07 -3.309400e-07 -2.735834e-07 1.437746e-05 -9.463387e-04 -4.433419e-05 1.133649e-05
 8844.000000 -3.347280e-05 -4.953589e-07 -3.314702e-07 -2.734622e-07 2.216691e-05 -9.335662e-04 -3.993549e-05 1.028529e-05
 8849.000000 -3.334019e-05 -4.953177e-07 -3.316318e-07 -2.733996e-07 2.218333e-05 -9.516612e-04 -4.983837e-05 2.715053e-06
 8854.000000 -3.319628e-05 -4.945858e-07 -3.313398e-07 -2.731555e-07 1.554398e-05 -9.314269e-04 -5.048979e-05 2.057448e-06
 8859.000000 -3.309390e-05 -4.967323e-07 -3.328527e-07 -2.733764e-07 1.693065e-05 -9.167295e-04 -4.562037e-05 -2.871724e-06
 8864.000000 -3.299920e-05 -4.981964e-07 -3.339952e-07 -2.738484e-07 9.458180e-06 -9.030791e-04 -4.762013e-05 -1.312253e-05
 8869.000000 -3.293841e-05 -4.993776e-07 -3.349436e-07 -2.742406e-07 1.146524e-05 -9.513245e-04 -4.102468e-05 -6.870828e-06
 8874.000000 -3.279983e-05 -5.012599e-07 -3.367207e-07 -2.737899e-07 1.662860e-05 -9.560348e-04 -4.778017e-05 -3.399672e-06
 8879.000000 -3.255090e-05 -5.008121e-07 -3.365985e-07 -2.728732e-07 1.847442e-05 -9.414111e-04 -4.657264e-05 -8.965800e-06
 8884.000000 -3.232971e-05 -4.999810e-07 -3.360171e-07 -2.723468e-07 2.298653e-05 -9.283860e-04 -4.663208e-05 -1.955783e-05
 8889.000000 -3.217542e-05 -5.014624e-07 -3.373374e-07 -2.722190e-07 1.866565e-05 -8.929549e-04 -3.672185e-05 -1.037072e-05
 8894.000000 -3.228214e-05 -5.065795e-07 -3.413267e-07 -2.735023e-07 1.635625e-05 -8.915334e-04 -3.947276e-05 1.539708e-06
 8899.000000 -3.224747e-05 -5.094475e-07 -3.432171e-07 -2.736748e-07 1.614052e-05 -9.015504e-04 -4.751252e-05 -7.176074e-06
 8904.000000 -3.214484e-05 -5.109637e-07 -3.443119e-07 -2.731655e-07 1.380936e-05 -9.227987e-04 -4.295430e-05 -2.921853e-06
 8909.000000 -3.194752e-05 -5.114008e-07 -3.445253e-07 -2.718955e-07 1.157205e-05 -9.375804e-04 -4.202525e-05 2.246123e-05
 8914.000000 -3.173024e-05 -5.106014e-07 -3.443242e-07 -2.705467e-07 1.819474e-05 -9.422122e-04 -3.727199e-05 3.801459e-05
 8919.000000 -3.167249e-05 -5.125677e-07 -3.456523e-07 -2.709830e-07 1.067715e-05 -9.288882e-04 -2.573665e-05 3.951667e-05
 8924.000000 -3.152555e-05 -5.132517e-07 -3.464167e-07 -2.708031e-07 1.211989e-05 -9.346558e-04 -3.187414e-05 4.298108e-05
 8929.000000 -3.151426e-05 -5.170930e-07 -3.492467e-07 -2.721569e-07 2.212488e-05 -9.173717e-04 -2.987803e-05 5.000525e-05
 8934.000000 -3.138715e-05 -5.184622e-07 -3.498528e-07 -2.722322e-07 2.441091e-05 -8.984752e-04 -2.365602e-05 4.237243e-05
 8939.000000 -3.128233e-05 -5.189225e-07 -3.502381e-07 -2.721600e-07 2.260740e-05 -9.051845e-04 -4.112279e-05 4.198446e-05
 8944.000000 -3.116379e-05 -5.186811e-07 -3.500277e-07 -2.719635e-07 1.812641e-05 -9.162975e-04 -5.070142e-05 4.402909e-05
 8949.000000 -3.103986e-05 -5.185137e-07 -3.496960e-07 -2.720600e-07 1.754005e-05 -9.412599e-04 -4.270272e-05 3.610499e-05
 8953.000000 -3.089879e-05 -5.178976e-07 -3.489004e-07 -2.719424e-07 9.886975e-06 -9.465672e-04 -4.240857e-05 1.157890e-06
 8956.000000 -3.091232e-05 -5.185541e-07 -3.490525e-07 -2.728180e-07 2.329562e-06 -9.246169e-04 -4.914270e-05 -9.770484e-06
 8958.000000 -3.088241e-05 -5.177524e-07 -3.484032e-07 -2.729706e-07 7.608532e-06 -8.929475e-04 -3.977451e-05 -1.250342e-05
 8959.000000 -3.084950e-05 -5.172855e-07 -3.476397e-07 -2.729434e-07 2.243411e-05 -8.841382e-04 -4.600903e-05 -4.631762e-06
 8959.200000 -3.086233e-05 -5.181064e-07 -3.481966e-07 -2.732498e-07 2.004324e-05 -8.946963e-04 -4.008039e-05 7.587576e-07
 8959.400000 -3.087104e-05 -5.175621e-07 -3.479196e-07 -2.731726e-07 2.042590e-05 -9.068203e-04 -3.814571e-05 -3.023366e-06
