# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.9321133448436
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.000244
# Detector.I1.voltage: -1650.000854
# Detector.I2.voltage: -1650.001953
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370660
# Scan.uid: 752db31f-d267-4301-83ef-6a7755d276fd
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/22/2023  17:45:41.010696
# Scan.end_time: 06/22/2023  17:46:14.347021
# Scan.name: CuGaO2-2nd O2-ramp  (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-2nd
# Sample.comment: 
# Sample.position.x: -66.493997553
# Sample.position.y: 31.5900075375
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 51.41898169958548
# SampleHeater.temperature2.readback: 47.7
# SampleHeater.voltage.setpoint: 0.3402110727222578
# SampleHeater.voltage.readback: 0.34500000000000003
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 9.0
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 8.0
# SampleGasHandlingSystem.MFC1.readback: 7.999674320220947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.06103515625
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC6.setpoint: 2.0
# SampleGasHandlingSystem.MFC6.readback: 2.001953125
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.03662109375
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1139322891831398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0406901054084301
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 3.61395e-10
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 2.3005e-07
# SampleGasHandlingSystem.RGA.ch3.mass: 12
# SampleGasHandlingSystem.RGA.ch3.readback: 6.60813e-13
# SampleGasHandlingSystem.RGA.ch4.mass: 16
# SampleGasHandlingSystem.RGA.ch4.readback: 2.98782e-09
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 3.63686e-10
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.14117e-10
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.6813e-08
# SampleGasHandlingSystem.RGA.ch8.mass: 40
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.20467e-12
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.973962e-05 -9.124854e-07 -2.654165e-07 -1.004206e-06 1.067250e-05 -6.538485e-04 -4.461280e-05 -2.305606e-05
10172.000000 -2.959429e-05 -9.060168e-07 -2.622561e-07 -1.000440e-06 9.249272e-06 -6.740662e-04 -4.562401e-05 -1.978893e-05
10177.000000 -2.953424e-05 -9.097808e-07 -2.607735e-07 -1.000912e-06 2.008472e-05 -6.782822e-04 -3.494525e-05 -2.411940e-05
10182.000000 -2.945388e-05 -9.089120e-07 -2.561390e-07 -9.997377e-07 1.081931e-05 -6.806309e-04 -3.936838e-05 -2.701722e-05
10187.000000 -2.953105e-05 -9.121686e-07 -2.479366e-07 -1.007018e-06 1.720424e-05 -6.973012e-04 -3.007095e-05 -2.900799e-05
10192.000000 -2.961605e-05 -9.164810e-07 -2.278313e-07 -1.013038e-06 1.947564e-05 -6.907851e-04 -2.775431e-05 -2.643049e-05
10197.000000 -2.960052e-05 -9.187354e-07 -1.696375e-07 -1.014790e-06 2.144857e-05 -6.898887e-04 -2.740873e-05 -2.683194e-05
10202.000000 -2.952324e-05 -9.179013e-07 -5.700644e-08 -1.014358e-06 6.890407e-06 -6.835765e-04 -3.013560e-05 -2.621392e-05
10207.000000 -2.948124e-05 -9.189292e-07 -2.271924e-08 -1.015819e-06 1.051606e-05 -6.929098e-04 -2.989340e-05 -2.561001e-05
10212.000000 -2.946824e-05 -9.218992e-07 -4.658000e-08 -1.017934e-06 1.332057e-05 -7.032395e-04 -2.676885e-05 -3.254383e-05
10217.000000 -2.944807e-05 -9.239528e-07 -6.017986e-08 -1.019894e-06 1.206996e-05 -7.161451e-04 -2.740249e-05 -3.132378e-05
10222.000000 -2.938831e-05 -9.247193e-07 -7.064168e-08 -1.019493e-06 2.633253e-06 -7.359573e-04 -2.476272e-05 -2.114569e-05
10227.000000 -2.934564e-05 -9.252468e-07 -7.798815e-08 -1.020599e-06 1.076492e-06 -7.330534e-04 -2.116388e-05 -1.586295e-05
10232.000000 -2.926883e-05 -9.262853e-07 -8.066325e-08 -1.020252e-06 7.545645e-06 -6.867280e-04 -1.376605e-05 -2.416967e-05
10237.000000 -2.927170e-05 -9.295518e-07 -8.277425e-08 -1.023039e-06 1.686452e-05 -7.046479e-04 -1.275122e-05 -3.007027e-05
10242.000000 -2.922754e-05 -9.318900e-07 -8.443881e-08 -1.023798e-06 1.726470e-05 -7.173876e-04 -2.184130e-05 -1.978355e-05
10247.000000 -2.915529e-05 -9.334149e-07 -8.753151e-08 -1.023271e-06 1.916984e-05 -7.267692e-04 -2.830273e-05 -2.255901e-05
10252.000000 -2.912149e-05 -9.348675e-07 -8.701003e-08 -1.023606e-06 2.033223e-05 -7.167250e-04 -1.887008e-05 -2.398988e-05
10257.000000 -2.917358e-05 -9.429551e-07 -8.468485e-08 -1.030735e-06 2.079898e-05 -6.893266e-04 -3.548986e-05 -2.190087e-05
10262.000000 -2.908787e-05 -9.437343e-07 -8.414368e-08 -1.029961e-06 2.340984e-05 -7.037257e-04 -3.605496e-05 -2.539246e-05
10267.000000 -2.914245e-05 -9.493938e-07 -8.612462e-08 -1.034899e-06 1.877195e-05 -7.130590e-04 -2.772991e-05 -2.095668e-05
10272.000000 -2.910911e-05 -9.524031e-07 -8.699397e-08 -1.035261e-06 2.204057e-05 -6.807281e-04 -3.017158e-05 -1.962293e-05
10277.000000 -2.902986e-05 -9.536890e-07 -8.652386e-08 -1.034263e-06 2.039539e-05 -6.891396e-04 -4.124981e-05 -2.001196e-05
10282.000000 -2.886804e-05 -9.521425e-07 -8.493307e-08 -1.030934e-06 1.256954e-05 -7.120771e-04 -4.559602e-05 -1.943089e-05
10287.000000 -2.891621e-05 -9.554120e-07 -8.579987e-08 -1.035866e-06 1.408290e-05 -7.022004e-04 -3.776579e-05 -3.767735e-05
10292.000000 -2.889342e-05 -9.576938e-07 -8.847319e-08 -1.038495e-06 1.792017e-05 -6.797200e-04 -3.763899e-05 -3.388003e-05
10297.000000 -2.874228e-05 -9.540237e-07 -8.896712e-08 -1.032331e-06 1.372943e-05 -6.937641e-04 -4.223335e-05 -2.459057e-05
10302.000000 -2.872012e-05 -9.571028e-07 -8.864211e-08 -1.033697e-06 6.563280e-06 -6.955828e-04 -3.736692e-05 -9.952833e-06
10307.000000 -2.875783e-05 -9.652993e-07 -8.961985e-08 -1.040407e-06 5.667247e-06 -7.113096e-04 -3.051309e-05 -1.316080e-05
10312.000000 -2.859732e-05 -9.607033e-07 -8.925983e-08 -1.034572e-06 1.236703e-06 -6.865349e-04 -2.819799e-05 -1.714977e-05
10317.000000 -2.865202e-05 -9.702738e-07 -8.941728e-08 -1.042697e-06 2.591970e-06 -6.772511e-04 -4.164462e-05 -9.618181e-06
10322.000000 -2.874715e-05 -9.811318e-07 -8.978269e-08 -1.053308e-06 8.214319e-06 -7.018314e-04 -3.699542e-05 2.412855e-05
10327.000000 -2.868469e-05 -9.825714e-07 -8.880410e-08 -1.054164e-06 1.154913e-05 -7.044329e-04 -3.879922e-05 2.902596e-05
10332.000000 -2.851972e-05 -9.779344e-07 -8.763295e-08 -1.051013e-06 1.249681e-05 -7.035568e-04 -3.133823e-05 1.608161e-05
10337.000000 -2.864161e-05 -9.848685e-07 -8.810767e-08 -1.061151e-06 9.961985e-06 -7.321633e-04 -3.511449e-05 1.950673e-05
10341.000000 -2.858718e-05 -9.832538e-07 -8.821723e-08 -1.062747e-06 1.111171e-05 -7.367193e-04 -4.045889e-05 -1.320396e-05
10344.000000 -2.854102e-05 -9.822661e-07 -8.909734e-08 -1.063911e-06 6.066415e-06 -7.373490e-04 -4.524479e-05 -1.691894e-05
10346.000000 -2.851830e-05 -9.830232e-07 -9.010408e-08 -1.066023e-06 6.538706e-06 -7.259815e-04 -3.922986e-05 -9.336033e-06
10347.000000 -2.854605e-05 -9.858610e-07 -9.053603e-08 -1.069560e-06 1.804634e-05 -7.168961e-04 -4.389143e-05 -1.261197e-05
10347.200000 -2.854491e-05 -9.858316e-07 -9.059359e-08 -1.069468e-06 2.339454e-05 -7.184201e-04 -4.760818e-05 -1.630665e-05
10347.400000 -2.853934e-05 -9.861555e-07 -9.069585e-08 -1.070091e-06 1.663320e-05 -7.312108e-04 -3.675513e-05 1.918980e-06
10347.600000 -2.855180e-05 -9.871778e-07 -9.105706e-08 -1.071018e-06 1.356165e-05 -7.389360e-04 -4.417239e-05 -7.326572e-06
