# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.6315049630672
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.998779
# Detector.I1.voltage: -1650.002686
# Detector.I2.voltage: -1650.000122
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370668
# Scan.uid: 51969c08-3bf9-4d40-a172-48976ffc7192
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/22/2023  17:53:40.525859
# Scan.end_time: 06/22/2023  17:54:14.032451
# Scan.name: CuGaO2-2nd O2-ramp  (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-2nd
# Sample.comment: 
# Sample.position.x: -66.493997553
# Sample.position.y: 31.5900075375
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 133.7170234578433
# SampleHeater.temperature2.readback: 134.4
# SampleHeater.voltage.setpoint: 0.43137846008857206
# SampleHeater.voltage.readback: 0.436
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 8.44
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 8.0
# SampleGasHandlingSystem.MFC1.readback: 7.999674320220947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC6.setpoint: 2.0
# SampleGasHandlingSystem.MFC6.readback: 2.001953125
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.03662109375
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.06103515625
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1139322891831398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.03662109375
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 3.10896e-10
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 2.30093e-07
# SampleGasHandlingSystem.RGA.ch3.mass: 12
# SampleGasHandlingSystem.RGA.ch3.readback: 6.37744e-13
# SampleGasHandlingSystem.RGA.ch4.mass: 16
# SampleGasHandlingSystem.RGA.ch4.readback: 2.99858e-09
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 3.20726e-10
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 7.52102e-11
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.6899e-08
# SampleGasHandlingSystem.RGA.ch8.mass: 40
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.00942e-12
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.968571e-05 -8.787870e-07 -2.558619e-07 -1.001457e-06 8.152597e-06 -7.671182e-04 -4.742908e-05 3.461546e-05
10172.000000 -2.952495e-05 -8.706209e-07 -2.523071e-07 -9.966389e-07 -9.421808e-07 -7.644082e-04 -4.662304e-05 3.570063e-05
10177.000000 -2.947484e-05 -8.740326e-07 -2.506484e-07 -9.978016e-07 -8.021255e-06 -7.629169e-04 -5.334106e-05 3.774850e-05
10182.000000 -2.935319e-05 -8.708183e-07 -2.451027e-07 -9.941112e-07 -1.847645e-06 -7.897508e-04 -5.994727e-05 2.979827e-05
10187.000000 -2.935600e-05 -8.708996e-07 -2.364248e-07 -9.968193e-07 -2.334913e-08 -7.898668e-04 -6.490395e-05 2.782435e-05
10192.000000 -2.950638e-05 -8.809083e-07 -2.192666e-07 -1.007161e-06 1.929879e-06 -8.057603e-04 -5.480302e-05 3.013515e-05
10197.000000 -2.944223e-05 -8.815391e-07 -1.630636e-07 -1.005279e-06 -1.011563e-05 -7.984240e-04 -6.711078e-05 3.526117e-05
10202.000000 -2.943643e-05 -8.848186e-07 -5.497173e-08 -1.008241e-06 -5.847441e-06 -7.759719e-04 -7.559388e-05 3.292450e-05
10207.000000 -2.941669e-05 -8.863140e-07 -2.180269e-08 -1.010746e-06 -6.281447e-06 -7.878574e-04 -7.473993e-05 2.458798e-05
10212.000000 -2.939559e-05 -8.878987e-07 -4.462598e-08 -1.012843e-06 -2.356866e-06 -8.037651e-04 -6.736765e-05 3.361724e-05
10217.000000 -2.938038e-05 -8.901172e-07 -5.805520e-08 -1.015778e-06 4.915288e-07 -7.793306e-04 -5.653514e-05 3.932889e-05
10222.000000 -2.932614e-05 -8.908709e-07 -6.821114e-08 -1.016354e-06 -1.399322e-05 -7.641308e-04 -5.923632e-05 4.661640e-05
10227.000000 -2.925900e-05 -8.912722e-07 -7.526715e-08 -1.015547e-06 -2.246564e-05 -7.555014e-04 -6.454735e-05 5.202594e-05
10232.000000 -2.920878e-05 -8.930375e-07 -7.801740e-08 -1.016774e-06 -1.669050e-05 -7.852401e-04 -5.757861e-05 4.801744e-05
10237.000000 -2.920740e-05 -8.956524e-07 -7.989603e-08 -1.019577e-06 -1.644361e-05 -7.848083e-04 -5.902252e-05 3.761844e-05
10242.000000 -2.919314e-05 -8.991500e-07 -8.150100e-08 -1.022200e-06 -8.768286e-06 -7.680976e-04 -6.366377e-05 4.157658e-05
10247.000000 -2.913322e-05 -9.009501e-07 -8.481698e-08 -1.022382e-06 -1.427494e-05 -7.674942e-04 -5.101897e-05 3.599350e-05
10252.000000 -2.909151e-05 -9.028126e-07 -8.427786e-08 -1.022891e-06 -1.105871e-05 -7.776512e-04 -4.420132e-05 3.847110e-05
10257.000000 -2.906621e-05 -9.049842e-07 -8.124506e-08 -1.025038e-06 -1.106575e-05 -7.773887e-04 -4.592593e-05 4.355327e-05
10262.000000 -2.899491e-05 -9.065970e-07 -8.063476e-08 -1.025660e-06 -2.003643e-05 -7.770594e-04 -4.238070e-05 4.333258e-05
10267.000000 -2.897816e-05 -9.069050e-07 -8.178194e-08 -1.026155e-06 -1.213372e-05 -7.755126e-04 -5.220411e-05 4.626412e-05
10272.000000 -2.890605e-05 -9.064564e-07 -8.231501e-08 -1.023844e-06 -1.346767e-05 -7.699063e-04 -5.588845e-05 3.345035e-05
10277.000000 -2.894386e-05 -9.150612e-07 -8.257425e-08 -1.031003e-06 -2.003917e-05 -7.613445e-04 -4.663832e-05 3.807531e-05
10282.000000 -2.881555e-05 -9.165073e-07 -8.186840e-08 -1.029573e-06 -1.916288e-05 -7.506914e-04 -5.060267e-05 2.674280e-05
10287.000000 -2.885907e-05 -9.211150e-07 -8.271171e-08 -1.033588e-06 -1.235829e-05 -7.355488e-04 -5.620111e-05 3.137336e-05
10292.000000 -2.876764e-05 -9.195137e-07 -8.475928e-08 -1.031333e-06 -4.756723e-06 -7.434315e-04 -5.460347e-05 3.369734e-05
10297.000000 -2.877223e-05 -9.240871e-07 -8.631250e-08 -1.036490e-06 3.377290e-06 -7.771062e-04 -6.020850e-05 3.829400e-05
10302.000000 -2.875142e-05 -9.265422e-07 -8.621369e-08 -1.038339e-06 -4.258645e-06 -7.681383e-04 -5.845756e-05 4.037672e-05
10307.000000 -2.870216e-05 -9.294809e-07 -8.633189e-08 -1.039078e-06 -3.728739e-06 -7.490927e-04 -5.397898e-05 3.220774e-05
10312.000000 -2.866682e-05 -9.329171e-07 -8.667033e-08 -1.041216e-06 -2.867159e-06 -7.565126e-04 -5.709627e-05 3.290157e-05
10317.000000 -2.866177e-05 -9.368190e-07 -8.628124e-08 -1.045335e-06 4.961412e-06 -7.458643e-04 -6.157284e-05 3.210500e-05
10322.000000 -2.864570e-05 -9.403366e-07 -8.588907e-08 -1.048509e-06 9.298941e-06 -7.496218e-04 -6.171490e-05 3.707523e-05
10327.000000 -2.859078e-05 -9.418133e-07 -8.516876e-08 -1.049686e-06 -1.490864e-06 -7.582780e-04 -6.157664e-05 3.899273e-05
10332.000000 -2.845699e-05 -9.402613e-07 -8.437880e-08 -1.048369e-06 -7.690450e-06 -7.446652e-04 -6.559953e-05 3.970206e-05
10337.000000 -2.855039e-05 -9.463575e-07 -8.470180e-08 -1.055839e-06 6.238823e-07 -7.544972e-04 -6.027711e-05 3.920660e-05
10341.000000 -2.849761e-05 -9.440639e-07 -8.492543e-08 -1.057935e-06 1.303873e-06 -7.537891e-04 -6.501330e-05 4.119154e-05
10344.000000 -2.848021e-05 -9.441175e-07 -8.596390e-08 -1.061007e-06 7.037068e-06 -7.344018e-04 -6.690637e-05 4.041742e-05
10346.000000 -2.842249e-05 -9.422992e-07 -8.650550e-08 -1.061139e-06 1.314179e-05 -7.602395e-04 -6.979536e-05 3.798482e-05
10347.000000 -2.836921e-05 -9.387247e-07 -8.663515e-08 -1.059174e-06 1.073588e-05 -7.583049e-04 -8.205087e-05 3.593904e-05
10347.200000 -2.837137e-05 -9.376677e-07 -8.667973e-08 -1.059409e-06 1.542801e-05 -7.746449e-04 -7.707892e-05 3.738465e-05
10347.400000 -2.831912e-05 -9.354773e-07 -8.653166e-08 -1.055724e-06 1.696942e-05 -7.544529e-04 -7.170572e-05 3.486097e-05
10347.600000 -2.833787e-05 -9.359118e-07 -8.668165e-08 -1.057986e-06 1.672654e-05 -7.462314e-04 -7.530867e-05 3.089746e-05
