# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.1863340604181
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -349.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.995972
# Detector.I1.voltage: -1650.000366
# Detector.I2.voltage: -1650.000977
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370676
# Scan.uid: 4f16713f-abee-477f-9255-d02cded73943
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/22/2023  18:01:36.056160
# Scan.end_time: 06/22/2023  18:02:11.782414
# Scan.name: CuGaO2-2nd O2-ramp  (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-2nd
# Sample.comment: 
# Sample.position.x: -66.493997553
# Sample.position.y: 31.5900075375
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 215.3487204451264
# SampleHeater.temperature2.readback: 218.10000000000002
# SampleHeater.voltage.setpoint: 0.5416384203905084
# SampleHeater.voltage.readback: 0.555
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 8.35
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 8.0
# SampleGasHandlingSystem.MFC1.readback: 7.999674320220947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.01220703125
# SampleGasHandlingSystem.MFC6.setpoint: 2.0
# SampleGasHandlingSystem.MFC6.readback: 2.001953125
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.06103515625
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1139322891831398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0406901054084301
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 2.61762e-10
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 2.25535e-07
# SampleGasHandlingSystem.RGA.ch3.mass: 12
# SampleGasHandlingSystem.RGA.ch3.readback: 5.37801e-13
# SampleGasHandlingSystem.RGA.ch4.mass: 16
# SampleGasHandlingSystem.RGA.ch4.readback: 2.967e-09
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 3.01705e-10
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 6.0774e-11
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.6684e-08
# SampleGasHandlingSystem.RGA.ch8.mass: 40
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 1.81621e-12
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.966343e-05 -8.471175e-07 -2.456749e-07 -1.002823e-06 3.398536e-05 -7.334383e-04 -2.835226e-05 7.043391e-06
10172.000000 -2.953376e-05 -8.425594e-07 -2.430581e-07 -9.996042e-07 3.927496e-05 -7.592821e-04 -4.026838e-05 -1.021426e-06
10177.000000 -2.946336e-05 -8.462496e-07 -2.416013e-07 -9.984932e-07 4.048307e-05 -7.821800e-04 -4.386228e-05 3.306008e-07
10182.000000 -2.943230e-05 -8.490138e-07 -2.381450e-07 -1.000402e-06 4.025139e-05 -7.797195e-04 -5.023195e-05 3.553074e-06
10187.000000 -2.943544e-05 -8.482586e-07 -2.298051e-07 -1.002539e-06 4.227496e-05 -8.110443e-04 -4.238418e-05 1.016654e-06
10192.000000 -2.954135e-05 -8.551084e-07 -2.120450e-07 -1.010821e-06 3.829111e-05 -8.040959e-04 -4.343833e-05 -5.633740e-06
10197.000000 -2.952963e-05 -8.584470e-07 -1.578148e-07 -1.012951e-06 4.490672e-05 -7.848692e-04 -4.233004e-05 -1.167258e-07
10202.000000 -2.944252e-05 -8.579978e-07 -5.279602e-08 -1.011028e-06 4.624361e-05 -7.691046e-04 -3.850666e-05 7.359762e-07
10207.000000 -2.945862e-05 -8.625066e-07 -2.113934e-08 -1.016315e-06 4.710226e-05 -7.727268e-04 -4.206377e-05 -2.399447e-06
10212.000000 -2.940577e-05 -8.626764e-07 -4.284922e-08 -1.015557e-06 3.609088e-05 -7.919285e-04 -3.889306e-05 2.322844e-06
10217.000000 -2.931636e-05 -8.610974e-07 -5.573740e-08 -1.012550e-06 3.453574e-05 -7.897771e-04 -2.649668e-05 8.523261e-06
10222.000000 -2.936664e-05 -8.682547e-07 -6.600314e-08 -1.020470e-06 3.836689e-05 -7.814727e-04 -2.351302e-05 7.619642e-06
10227.000000 -2.928836e-05 -8.675036e-07 -7.228547e-08 -1.018160e-06 3.670858e-05 -8.159694e-04 -2.330520e-05 5.184683e-06
10232.000000 -2.923048e-05 -8.691528e-07 -7.498256e-08 -1.018465e-06 2.624601e-05 -8.301191e-04 -8.947349e-06 1.246230e-05
10237.000000 -2.924182e-05 -8.724988e-07 -7.716466e-08 -1.022645e-06 3.255568e-05 -8.515676e-04 -1.720475e-05 1.414930e-05
10242.000000 -2.921690e-05 -8.754243e-07 -7.858007e-08 -1.024907e-06 3.639697e-05 -8.430055e-04 -2.049880e-05 9.804629e-06
10247.000000 -2.915114e-05 -8.763674e-07 -8.156223e-08 -1.025104e-06 3.407343e-05 -8.238893e-04 -3.016884e-05 1.638831e-05
10252.000000 -2.912130e-05 -8.788114e-07 -8.116706e-08 -1.026801e-06 3.791015e-05 -8.247205e-04 -2.632926e-05 6.329907e-06
10257.000000 -2.904858e-05 -8.778183e-07 -7.828478e-08 -1.025381e-06 3.242902e-05 -8.122323e-04 -1.773220e-05 5.360041e-06
10262.000000 -2.899602e-05 -8.807374e-07 -7.767950e-08 -1.027225e-06 2.457294e-05 -8.237975e-04 -1.327376e-05 4.989544e-06
10267.000000 -2.903468e-05 -8.851559e-07 -7.928760e-08 -1.031549e-06 2.055976e-05 -8.173505e-04 -2.726600e-05 3.640185e-06
10272.000000 -2.902989e-05 -8.889483e-07 -8.058099e-08 -1.034191e-06 2.769980e-05 -7.711842e-04 -3.717027e-05 -3.000553e-06
10277.000000 -2.892060e-05 -8.880870e-07 -7.982649e-08 -1.031654e-06 2.753942e-05 -7.562767e-04 -3.691745e-05 -9.488535e-06
10282.000000 -2.879187e-05 -8.886305e-07 -7.867177e-08 -1.030752e-06 2.084116e-05 -7.546472e-04 -2.717625e-05 2.404038e-06
10287.000000 -2.881611e-05 -8.924320e-07 -7.964983e-08 -1.033812e-06 3.738496e-05 -7.266936e-04 -2.416040e-05 4.191466e-06
10292.000000 -2.880045e-05 -8.968156e-07 -8.195009e-08 -1.036965e-06 3.254275e-05 -7.289951e-04 -3.720275e-05 4.753378e-06
10297.000000 -2.881918e-05 -9.026395e-07 -8.379196e-08 -1.042519e-06 3.960934e-05 -7.410040e-04 -3.852255e-05 6.633873e-06
10302.000000 -2.882575e-05 -9.066277e-07 -8.386034e-08 -1.045752e-06 4.882955e-05 -7.306366e-04 -4.301223e-05 1.065538e-07
10307.000000 -2.877966e-05 -9.091275e-07 -8.390655e-08 -1.046349e-06 4.700107e-05 -7.494582e-04 -3.723383e-05 3.892630e-06
10312.000000 -2.871419e-05 -9.106297e-07 -8.386126e-08 -1.045350e-06 4.579407e-05 -7.538114e-04 -2.303928e-05 1.008889e-05
10317.000000 -2.861161e-05 -9.079239e-07 -8.291612e-08 -1.041799e-06 3.715028e-05 -7.810017e-04 -2.989983e-05 4.447101e-06
10322.000000 -2.859177e-05 -9.108630e-07 -8.256800e-08 -1.044734e-06 3.673963e-05 -7.756215e-04 -3.517575e-05 1.749077e-05
10327.000000 -2.860184e-05 -9.164278e-07 -8.214441e-08 -1.051261e-06 3.872942e-05 -7.757120e-04 -3.448489e-05 1.992034e-05
10332.000000 -2.847977e-05 -9.155438e-07 -8.129494e-08 -1.051378e-06 3.691605e-05 -7.542451e-04 -3.044704e-05 2.220694e-05
10337.000000 -2.858385e-05 -9.209785e-07 -8.163157e-08 -1.060280e-06 3.843483e-05 -7.789180e-04 -3.071589e-05 2.354524e-05
10341.000000 -2.853458e-05 -9.208468e-07 -8.212680e-08 -1.061334e-06 2.555234e-05 -7.810347e-04 -2.624722e-05 1.739388e-05
10344.000000 -2.852306e-05 -9.228253e-07 -8.308894e-08 -1.064909e-06 2.364414e-05 -7.752072e-04 -2.643721e-05 1.564651e-05
10346.000000 -2.850378e-05 -9.234316e-07 -8.404538e-08 -1.066065e-06 2.771655e-05 -7.849734e-04 -3.005109e-05 1.198523e-05
10347.000000 -2.849908e-05 -9.237044e-07 -8.481456e-08 -1.067762e-06 3.255745e-05 -7.967009e-04 -2.571928e-05 1.224238e-05
10347.200000 -2.845453e-05 -9.199195e-07 -8.431091e-08 -1.065495e-06 3.106448e-05 -7.810328e-04 -3.491977e-05 4.159368e-06
10347.400000 -2.849023e-05 -9.221428e-07 -8.456077e-08 -1.066969e-06 2.519543e-05 -7.834661e-04 -3.466288e-05 9.913529e-06
10347.600000 -2.850299e-05 -9.232022e-07 -8.482637e-08 -1.069772e-06 2.473608e-05 -7.895685e-04 -2.736943e-05 -1.917204e-06
