# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.24791888186286
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.003662
# Detector.I1.voltage: -1650.001099
# Detector.I2.voltage: -1650.002563
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370678
# Scan.uid: 586c60b7-fa1e-4469-989f-fcd40b2f6ce6
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/22/2023  18:03:37.532285
# Scan.end_time: 06/22/2023  18:04:12.674202
# Scan.name: CuGaO2-2nd O2-ramp  (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-2nd
# Sample.comment: 
# Sample.position.x: -66.493997553
# Sample.position.y: 31.5900075375
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 236.18388649321304
# SampleHeater.temperature2.readback: 237.70000000000002
# SampleHeater.voltage.setpoint: 0.5947849186437514
# SampleHeater.voltage.readback: 0.586
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 8.28
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 8.0
# SampleGasHandlingSystem.MFC1.readback: 7.999674320220947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.06103515625
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.01220703125
# SampleGasHandlingSystem.MFC6.setpoint: 2.0
# SampleGasHandlingSystem.MFC6.readback: 2.001953125
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1139322891831398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0406901054084301
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 2.62239e-10
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 2.24159e-07
# SampleGasHandlingSystem.RGA.ch3.mass: 12
# SampleGasHandlingSystem.RGA.ch3.readback: 5.89164e-13
# SampleGasHandlingSystem.RGA.ch4.mass: 16
# SampleGasHandlingSystem.RGA.ch4.readback: 2.93072e-09
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.95342e-10
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 5.85133e-11
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.6555e-08
# SampleGasHandlingSystem.RGA.ch8.mass: 40
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 1.72709e-12
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.961301e-05 -8.460658e-07 -2.457586e-07 -1.001710e-06 9.579113e-06 -7.471230e-04 -5.110068e-05 4.483987e-05
10172.000000 -2.947007e-05 -8.380223e-07 -2.422238e-07 -9.990058e-07 2.808421e-07 -7.381510e-04 -4.207493e-05 4.236197e-05
10177.000000 -2.939004e-05 -8.396012e-07 -2.401220e-07 -9.986120e-07 7.748816e-06 -7.535251e-04 -5.548993e-05 3.436871e-05
10182.000000 -2.936529e-05 -8.419037e-07 -2.364285e-07 -1.001968e-06 6.435947e-06 -7.694508e-04 -6.360826e-05 3.715282e-05
10187.000000 -2.932899e-05 -8.396361e-07 -2.276178e-07 -1.001547e-06 1.505614e-05 -7.615238e-04 -6.771072e-05 3.443681e-05
10192.000000 -2.940460e-05 -8.457658e-07 -2.097992e-07 -1.007347e-06 2.268107e-05 -7.526643e-04 -8.148408e-05 2.629887e-05
10197.000000 -2.943645e-05 -8.521855e-07 -1.568760e-07 -1.012280e-06 1.796288e-05 -7.681725e-04 -8.170323e-05 1.827843e-05
10202.000000 -2.930417e-05 -8.485512e-07 -5.252513e-08 -1.005958e-06 1.504724e-05 -7.630716e-04 -7.336838e-05 2.445363e-05
10207.000000 -2.933100e-05 -8.544509e-07 -2.112177e-08 -1.011063e-06 1.641536e-05 -8.039618e-04 -6.102060e-05 2.404412e-05
10212.000000 -2.934309e-05 -8.591761e-07 -4.261881e-08 -1.015508e-06 1.084847e-05 -8.088151e-04 -6.381710e-05 2.118041e-05
10217.000000 -2.924728e-05 -8.572167e-07 -5.506992e-08 -1.011658e-06 1.021277e-05 -7.981165e-04 -7.479070e-05 2.449574e-05
10222.000000 -2.919816e-05 -8.575496e-07 -6.501587e-08 -1.012039e-06 1.255454e-05 -7.617050e-04 -6.463089e-05 3.382031e-05
10227.000000 -2.924735e-05 -8.655443e-07 -7.234644e-08 -1.020900e-06 1.021137e-05 -7.740182e-04 -6.554406e-05 4.253541e-05
10232.000000 -2.917695e-05 -8.662280e-07 -7.476569e-08 -1.020340e-06 1.746821e-05 -7.784147e-04 -5.485965e-05 3.519437e-05
10237.000000 -2.910762e-05 -8.641398e-07 -7.637031e-08 -1.017495e-06 1.557851e-05 -7.805270e-04 -4.527273e-05 3.994337e-05
10242.000000 -2.914113e-05 -8.706347e-07 -7.845898e-08 -1.023814e-06 7.000114e-06 -7.834823e-04 -5.442420e-05 2.621273e-05
10247.000000 -2.903894e-05 -8.695141e-07 -8.124700e-08 -1.021214e-06 1.462501e-05 -7.821794e-04 -5.528765e-05 1.828754e-05
10252.000000 -2.898403e-05 -8.701160e-07 -8.060141e-08 -1.020384e-06 1.072076e-05 -7.701228e-04 -5.214989e-05 2.296146e-05
10257.000000 -2.902925e-05 -8.778386e-07 -7.811018e-08 -1.027666e-06 1.038989e-05 -7.886995e-04 -6.065793e-05 2.882843e-05
10262.000000 -2.894007e-05 -8.783181e-07 -7.785126e-08 -1.026728e-06 1.266606e-05 -8.064757e-04 -5.312678e-05 2.569874e-05
10267.000000 -2.894427e-05 -8.805888e-07 -7.923232e-08 -1.028292e-06 1.243328e-05 -7.647355e-04 -5.822157e-05 2.460640e-05
10272.000000 -2.890934e-05 -8.819408e-07 -7.988456e-08 -1.029521e-06 1.654208e-05 -7.762669e-04 -5.130520e-05 2.335895e-05
10277.000000 -2.885899e-05 -8.849374e-07 -7.957805e-08 -1.031365e-06 1.107158e-05 -7.988534e-04 -6.057791e-05 2.454502e-05
10282.000000 -2.859566e-05 -8.749144e-07 -7.777489e-08 -1.020379e-06 1.955724e-05 -7.997059e-04 -5.470603e-05 2.701732e-05
10287.000000 -2.871638e-05 -8.852753e-07 -7.894445e-08 -1.030785e-06 1.524289e-05 -7.793907e-04 -6.043618e-05 1.745913e-05
10292.000000 -2.866866e-05 -8.871453e-07 -8.115239e-08 -1.031349e-06 1.611433e-05 -7.995154e-04 -5.411107e-05 1.597962e-05
10297.000000 -2.870526e-05 -8.943952e-07 -8.318924e-08 -1.038134e-06 2.510738e-05 -7.880003e-04 -5.429224e-05 1.598520e-05
10302.000000 -2.870141e-05 -8.967924e-07 -8.288240e-08 -1.040587e-06 2.019866e-05 -7.857384e-04 -5.160459e-05 2.483684e-05
10307.000000 -2.868249e-05 -8.999889e-07 -8.298612e-08 -1.044180e-06 2.197651e-05 -7.831660e-04 -4.871059e-05 3.393324e-05
10312.000000 -2.862317e-05 -9.005603e-07 -8.322378e-08 -1.044523e-06 2.794377e-05 -7.953240e-04 -6.125775e-05 2.739133e-05
10317.000000 -2.857505e-05 -9.016758e-07 -8.282248e-08 -1.045105e-06 2.084286e-05 -7.861230e-04 -6.346139e-05 2.348476e-05
10322.000000 -2.854340e-05 -9.040409e-07 -8.213628e-08 -1.046881e-06 1.655525e-05 -7.698918e-04 -6.251312e-05 2.681410e-05
10327.000000 -2.850216e-05 -9.070455e-07 -8.146791e-08 -1.048853e-06 1.319721e-05 -7.790891e-04 -5.984662e-05 2.346514e-05
10332.000000 -2.843508e-05 -9.107672e-07 -8.119567e-08 -1.052714e-06 1.738517e-05 -7.637379e-04 -5.150452e-05 2.357568e-05
10337.000000 -2.849102e-05 -9.141362e-07 -8.115301e-08 -1.057077e-06 1.347771e-05 -7.751249e-04 -4.847521e-05 2.441517e-05
10341.000000 -2.846249e-05 -9.161288e-07 -8.176583e-08 -1.059946e-06 3.643019e-06 -7.680637e-04 -5.238352e-05 2.959457e-05
10344.000000 -2.840222e-05 -9.143091e-07 -8.215714e-08 -1.059873e-06 3.442285e-06 -7.409606e-04 -4.344378e-05 2.711608e-05
10346.000000 -2.839751e-05 -9.157764e-07 -8.330342e-08 -1.063229e-06 8.072810e-08 -7.352273e-04 -4.330795e-05 3.243040e-05
10347.000000 -2.841108e-05 -9.184913e-07 -8.403734e-08 -1.065016e-06 1.129812e-05 -7.801021e-04 -4.375946e-05 3.781781e-05
10347.200000 -2.843445e-05 -9.198993e-07 -8.438000e-08 -1.066952e-06 2.487460e-05 -7.832984e-04 -4.821406e-05 3.201423e-05
10347.400000 -2.842880e-05 -9.200595e-07 -8.476066e-08 -1.068042e-06 1.977090e-05 -8.162089e-04 -4.257758e-05 3.657504e-05
10347.600000 -2.843053e-05 -9.192306e-07 -8.483588e-08 -1.067505e-06 9.736418e-06 -7.969158e-04 -3.483037e-05 3.382819e-05
