# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.74757440439186
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.999756
# Detector.I1.voltage: -1650.001099
# Detector.I2.voltage: -1650.000977
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370686
# Scan.uid: ed7d6a31-67de-4339-8b94-818d15e010de
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/22/2023  18:11:37.007898
# Scan.end_time: 06/22/2023  18:12:11.044482
# Scan.name: CuGaO2-2nd O2-ramp  (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-2nd
# Sample.comment: 
# Sample.position.x: -66.493997553
# Sample.position.y: 31.5900075375
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 318.5267162372341
# SampleHeater.temperature2.readback: 318.5
# SampleHeater.voltage.setpoint: 0.8012941107246238
# SampleHeater.voltage.readback: 0.789
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 8.27
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 8.0
# SampleGasHandlingSystem.MFC1.readback: 7.999674320220947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.06103515625
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.01220703125
# SampleGasHandlingSystem.MFC6.setpoint: 2.0
# SampleGasHandlingSystem.MFC6.readback: 2.001953125
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.06103515625
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1139322891831398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.03662109375
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 2.3277e-10
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 2.2446e-07
# SampleGasHandlingSystem.RGA.ch3.mass: 12
# SampleGasHandlingSystem.RGA.ch3.readback: 5.73072e-13
# SampleGasHandlingSystem.RGA.ch4.mass: 16
# SampleGasHandlingSystem.RGA.ch4.readback: 2.97304e-09
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.82537e-10
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 5.33791e-11
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.6512e-08
# SampleGasHandlingSystem.RGA.ch8.mass: 40
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 1.6058e-12
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.960509e-05 -7.980908e-07 -2.314781e-07 -1.000164e-06 8.468341e-06 -8.099738e-04 -6.357525e-05 2.946611e-05
10172.000000 -2.950957e-05 -7.959776e-07 -2.298589e-07 -9.999969e-07 1.525431e-05 -7.998638e-04 -6.025613e-05 2.281708e-05
10177.000000 -2.944505e-05 -7.995451e-07 -2.286695e-07 -1.000273e-06 9.895998e-06 -7.613373e-04 -6.386982e-05 -3.299250e-06
10182.000000 -2.935691e-05 -7.982571e-07 -2.241477e-07 -9.987237e-07 2.328032e-05 -7.819648e-04 -6.221103e-05 -1.377379e-05
10187.000000 -2.921450e-05 -7.847115e-07 -2.121728e-07 -9.910033e-07 2.721469e-05 -7.901722e-04 -5.730448e-05 -4.866862e-06
10192.000000 -2.932253e-05 -7.915386e-07 -1.959994e-07 -9.987700e-07 3.194566e-05 -7.832428e-04 -5.898743e-05 1.104774e-06
10197.000000 -2.944841e-05 -8.074839e-07 -1.487043e-07 -1.011050e-06 2.446034e-05 -7.763828e-04 -6.104479e-05 -7.901315e-06
10202.000000 -2.941102e-05 -8.097792e-07 -5.013733e-08 -1.012509e-06 1.814097e-05 -7.855123e-04 -6.333335e-05 -1.664582e-05
10207.000000 -2.937811e-05 -8.114804e-07 -1.972298e-08 -1.013570e-06 2.285256e-05 -7.920791e-04 -6.595916e-05 -2.504416e-05
10212.000000 -2.935940e-05 -8.127230e-07 -4.021744e-08 -1.015471e-06 2.294099e-05 -7.727539e-04 -6.662768e-05 -1.156158e-05
10217.000000 -2.933788e-05 -8.146756e-07 -5.242386e-08 -1.017941e-06 2.440341e-05 -7.636386e-04 -6.075562e-05 -1.953005e-06
10222.000000 -2.927950e-05 -8.148062e-07 -6.164423e-08 -1.017326e-06 2.529141e-05 -7.742890e-04 -5.549366e-05 -7.863492e-06
10227.000000 -2.919916e-05 -8.128627e-07 -6.776266e-08 -1.014557e-06 2.467019e-05 -7.560873e-04 -5.128731e-05 -1.130009e-05
10232.000000 -2.913159e-05 -8.139392e-07 -7.032619e-08 -1.014472e-06 2.447131e-05 -7.707743e-04 -5.959047e-05 -8.377547e-06
10237.000000 -2.913573e-05 -8.177102e-07 -7.229476e-08 -1.018139e-06 1.705688e-05 -7.870690e-04 -6.535130e-05 -1.016190e-05
10242.000000 -2.910142e-05 -8.206329e-07 -7.338321e-08 -1.019382e-06 1.555332e-05 -7.723124e-04 -6.272190e-05 -2.088939e-05
10247.000000 -2.900734e-05 -8.196935e-07 -7.604625e-08 -1.017321e-06 1.734083e-05 -7.791751e-04 -7.313942e-05 -8.812436e-06
10252.000000 -2.895622e-05 -8.198953e-07 -7.578020e-08 -1.016799e-06 2.340162e-05 -8.076731e-04 -8.741035e-05 -1.655577e-05
10257.000000 -2.892333e-05 -8.222423e-07 -7.327367e-08 -1.017912e-06 1.357512e-05 -8.015430e-04 -7.886328e-05 -5.162255e-06
10262.000000 -2.896196e-05 -8.336278e-07 -7.353622e-08 -1.027334e-06 8.657648e-06 -8.148360e-04 -8.014199e-05 -7.105532e-06
10267.000000 -2.900857e-05 -8.384525e-07 -7.513383e-08 -1.032486e-06 1.938680e-05 -8.169062e-04 -7.464879e-05 -5.617562e-06
10272.000000 -2.900247e-05 -8.415599e-07 -7.633486e-08 -1.035221e-06 2.292867e-05 -8.032439e-04 -6.960170e-05 8.695846e-07
10277.000000 -2.889944e-05 -8.406297e-07 -7.579176e-08 -1.032223e-06 2.010400e-05 -7.784563e-04 -7.081421e-05 -1.962146e-06
10282.000000 -2.877482e-05 -8.419906e-07 -7.460837e-08 -1.032003e-06 1.503107e-05 -7.677637e-04 -6.983411e-05 -7.901559e-06
10287.000000 -2.881993e-05 -8.459069e-07 -7.516570e-08 -1.036383e-06 1.296075e-05 -7.763266e-04 -6.876717e-05 -8.555409e-06
10292.000000 -2.878513e-05 -8.477489e-07 -7.745461e-08 -1.037858e-06 1.448548e-05 -7.841018e-04 -7.039739e-05 -1.308131e-05
10297.000000 -2.874836e-05 -8.501816e-07 -7.882153e-08 -1.039078e-06 1.342108e-05 -7.907191e-04 -7.260885e-05 -3.952807e-06
10302.000000 -2.871869e-05 -8.516507e-07 -7.853845e-08 -1.039097e-06 1.458225e-05 -7.804124e-04 -7.757166e-05 -1.688964e-06
10307.000000 -2.871570e-05 -8.563787e-07 -7.884759e-08 -1.043363e-06 1.684297e-05 -7.908415e-04 -6.666646e-05 -9.083250e-06
10312.000000 -2.868941e-05 -8.613206e-07 -7.961473e-08 -1.046110e-06 1.982470e-05 -8.150056e-04 -6.848273e-05 -1.012616e-05
10317.000000 -2.862618e-05 -8.608954e-07 -7.872908e-08 -1.044818e-06 1.605558e-05 -8.031772e-04 -5.910659e-05 -6.070151e-06
10322.000000 -2.855154e-05 -8.591491e-07 -7.788107e-08 -1.043418e-06 1.767504e-05 -7.857246e-04 -6.576327e-05 -7.771731e-06
10327.000000 -2.853116e-05 -8.627199e-07 -7.731961e-08 -1.047941e-06 8.802729e-06 -8.030743e-04 -5.984003e-05 -1.104160e-05
10332.000000 -2.844385e-05 -8.645603e-07 -7.680271e-08 -1.050946e-06 4.355680e-06 -7.915668e-04 -5.817373e-05 -2.106772e-05
10337.000000 -2.854633e-05 -8.710784e-07 -7.722486e-08 -1.058826e-06 -2.261581e-06 -7.831070e-04 -5.059535e-05 -2.908526e-05
10341.000000 -2.849999e-05 -8.711115e-07 -7.768869e-08 -1.061142e-06 1.836594e-06 -8.165690e-04 -5.009839e-05 -2.663876e-05
10344.000000 -2.843905e-05 -8.699438e-07 -7.827616e-08 -1.060866e-06 8.215258e-06 -8.040890e-04 -5.273942e-05 -2.102939e-05
10346.000000 -2.836709e-05 -8.658769e-07 -7.850321e-08 -1.058993e-06 8.704337e-06 -7.902154e-04 -5.357623e-05 -1.326737e-05
10347.000000 -2.836960e-05 -8.678460e-07 -7.934639e-08 -1.061480e-06 -3.840261e-06 -7.876509e-04 -6.279513e-05 -1.796628e-05
10347.200000 -2.839520e-05 -8.709097e-07 -7.981694e-08 -1.063710e-06 -4.196904e-06 -7.860716e-04 -6.684427e-05 -2.690452e-05
10347.400000 -2.841005e-05 -8.707597e-07 -7.981325e-08 -1.065154e-06 3.804520e-06 -7.932906e-04 -6.239155e-05 -3.168391e-05
