# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.8697511745842
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.002808
# Detector.I1.voltage: -1650.003174
# Detector.I2.voltage: -1650.001587
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370688
# Scan.uid: da0fad99-ef04-472e-b074-1d433bc35d9e
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/22/2023  18:13:34.510876
# Scan.end_time: 06/22/2023  18:14:09.846069
# Scan.name: CuGaO2-2nd O2-ramp  (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-2nd
# Sample.comment: 
# Sample.position.x: -66.493997553
# Sample.position.y: 31.5900075375
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 338.63854797668074
# SampleHeater.temperature2.readback: 337.8
# SampleHeater.voltage.setpoint: 0.8651144977168284
# SampleHeater.voltage.readback: 0.868
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 8.27
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 8.0
# SampleGasHandlingSystem.MFC1.readback: 7.999674320220947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.06103515625
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC6.setpoint: 2.0
# SampleGasHandlingSystem.MFC6.readback: 2.001953125
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.08544921875
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.06103515625
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1139322891831398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0406901054084301
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 2.13877e-10
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 2.24675e-07
# SampleGasHandlingSystem.RGA.ch3.mass: 12
# SampleGasHandlingSystem.RGA.ch3.readback: 5.8365e-13
# SampleGasHandlingSystem.RGA.ch4.mass: 16
# SampleGasHandlingSystem.RGA.ch4.readback: 2.93609e-09
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.83524e-10
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 5.31824e-11
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.6469e-08
# SampleGasHandlingSystem.RGA.ch8.mass: 40
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 1.61183e-12
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.955366e-05 -7.981096e-07 -2.315721e-07 -1.000821e-06 1.595932e-05 -7.066506e-04 -6.331436e-05 2.461993e-05
10172.000000 -2.946844e-05 -7.972344e-07 -2.303365e-07 -1.002150e-06 1.470648e-05 -7.144980e-04 -5.758030e-05 3.374451e-05
10177.000000 -2.939067e-05 -7.987670e-07 -2.284792e-07 -1.001645e-06 1.982485e-05 -7.320838e-04 -4.994035e-05 3.209153e-05
10182.000000 -2.932423e-05 -7.986314e-07 -2.241683e-07 -1.001271e-06 2.126425e-05 -7.355500e-04 -6.610881e-05 3.640326e-05
10187.000000 -2.932461e-05 -7.979978e-07 -2.161780e-07 -1.003459e-06 1.822627e-05 -7.138589e-04 -6.881707e-05 3.168218e-05
10192.000000 -2.938779e-05 -8.023839e-07 -1.989584e-07 -1.008085e-06 1.516912e-05 -7.206539e-04 -5.634242e-05 3.382541e-05
10197.000000 -2.937179e-05 -8.044524e-07 -1.484557e-07 -1.008931e-06 1.730987e-05 -7.333048e-04 -5.911291e-05 2.715395e-05
10202.000000 -2.931048e-05 -8.048415e-07 -5.001186e-08 -1.008284e-06 1.267064e-05 -7.065857e-04 -5.417933e-05 2.650572e-05
10207.000000 -2.921730e-05 -8.005366e-07 -1.927586e-08 -1.004867e-06 1.305543e-05 -7.079884e-04 -5.512637e-05 2.785766e-05
10212.000000 -2.931821e-05 -8.129323e-07 -4.018830e-08 -1.015998e-06 1.094734e-05 -7.229238e-04 -5.248871e-05 3.944733e-05
10217.000000 -2.928108e-05 -8.144601e-07 -5.240560e-08 -1.016817e-06 1.486123e-05 -7.256552e-04 -5.095189e-05 3.754953e-05
10222.000000 -2.924150e-05 -8.163650e-07 -6.181411e-08 -1.017870e-06 1.508217e-05 -7.206220e-04 -6.470774e-05 3.817441e-05
10227.000000 -2.919742e-05 -8.179659e-07 -6.797005e-08 -1.018417e-06 1.011171e-05 -7.103717e-04 -6.462159e-05 3.606438e-05
10232.000000 -2.911107e-05 -8.171762e-07 -7.020744e-08 -1.016557e-06 7.887742e-06 -7.189044e-04 -6.908622e-05 2.802922e-05
10237.000000 -2.914339e-05 -8.229697e-07 -7.237229e-08 -1.022739e-06 3.476864e-06 -7.264556e-04 -6.587772e-05 4.154809e-05
10242.000000 -2.910205e-05 -8.245104e-07 -7.392938e-08 -1.023261e-06 7.381408e-06 -7.408709e-04 -6.341949e-05 4.453961e-05
10247.000000 -2.905955e-05 -8.280576e-07 -7.693886e-08 -1.026206e-06 3.678121e-06 -7.668465e-04 -6.187956e-05 4.445970e-05
10252.000000 -2.902700e-05 -8.295547e-07 -7.681688e-08 -1.026632e-06 1.011482e-06 -7.732825e-04 -5.751548e-05 3.756042e-05
10257.000000 -2.899243e-05 -8.312731e-07 -7.394058e-08 -1.027564e-06 3.380612e-06 -7.729226e-04 -5.147375e-05 2.889290e-05
10262.000000 -2.887078e-05 -8.280573e-07 -7.260903e-08 -1.023543e-06 2.793330e-06 -7.382976e-04 -5.514974e-05 3.580009e-05
10267.000000 -2.886307e-05 -8.270236e-07 -7.362266e-08 -1.023826e-06 5.019718e-06 -7.457789e-04 -4.430254e-05 3.503868e-05
10272.000000 -2.886708e-05 -8.317126e-07 -7.501656e-08 -1.028128e-06 6.885803e-06 -7.504517e-04 -3.142246e-05 3.307459e-05
10277.000000 -2.878204e-05 -8.315085e-07 -7.452581e-08 -1.027912e-06 1.179108e-06 -7.547684e-04 -4.358431e-05 3.725518e-05
10282.000000 -2.873189e-05 -8.390567e-07 -7.417257e-08 -1.033452e-06 4.638721e-06 -7.490432e-04 -5.717487e-05 3.557621e-05
10287.000000 -2.877621e-05 -8.433442e-07 -7.511497e-08 -1.037830e-06 9.599143e-06 -7.435902e-04 -4.812867e-05 4.023848e-05
10292.000000 -2.872098e-05 -8.443504e-07 -7.715329e-08 -1.037625e-06 5.916525e-06 -7.494824e-04 -5.592132e-05 4.089883e-05
10297.000000 -2.870341e-05 -8.478399e-07 -7.826177e-08 -1.040371e-06 3.178730e-06 -7.470396e-04 -5.866282e-05 4.231341e-05
10302.000000 -2.869897e-05 -8.508559e-07 -7.830736e-08 -1.042420e-06 1.268582e-05 -7.275266e-04 -4.824598e-05 4.018810e-05
10307.000000 -2.865426e-05 -8.522519e-07 -7.844181e-08 -1.043124e-06 1.147203e-05 -7.310770e-04 -5.559708e-05 3.790176e-05
10312.000000 -2.859677e-05 -8.533058e-07 -7.846627e-08 -1.043468e-06 6.026517e-06 -7.616017e-04 -5.908408e-05 3.079078e-05
10317.000000 -2.856607e-05 -8.549782e-07 -7.815390e-08 -1.046098e-06 1.010985e-05 -7.650901e-04 -5.412007e-05 3.280227e-05
10322.000000 -2.848920e-05 -8.532662e-07 -7.705200e-08 -1.044495e-06 3.757698e-06 -7.729931e-04 -5.166937e-05 4.189177e-05
10327.000000 -2.847453e-05 -8.578954e-07 -7.661037e-08 -1.048945e-06 1.933480e-06 -7.757568e-04 -4.924567e-05 4.168784e-05
10332.000000 -2.838696e-05 -8.596696e-07 -7.628418e-08 -1.050675e-06 1.030340e-05 -7.833451e-04 -4.809780e-05 4.479869e-05
10337.000000 -2.845273e-05 -8.625831e-07 -7.639561e-08 -1.055443e-06 1.680393e-05 -7.987461e-04 -5.038659e-05 4.816387e-05
10341.000000 -2.842121e-05 -8.638310e-07 -7.701695e-08 -1.058327e-06 1.936241e-05 -8.256553e-04 -4.976468e-05 4.583767e-05
10344.000000 -2.834514e-05 -8.600016e-07 -7.727413e-08 -1.057020e-06 2.125641e-05 -8.419964e-04 -4.937573e-05 4.393215e-05
10346.000000 -2.825046e-05 -8.536927e-07 -7.754632e-08 -1.052721e-06 1.887766e-05 -8.453834e-04 -4.761488e-05 3.842960e-05
10347.000000 -2.832204e-05 -8.617313e-07 -7.885837e-08 -1.061112e-06 1.410936e-05 -8.404218e-04 -4.520296e-05 4.334488e-05
10347.200000 -2.835935e-05 -8.651035e-07 -7.938325e-08 -1.065444e-06 1.888850e-05 -8.238158e-04 -3.274311e-05 4.485705e-05
10347.400000 -2.836733e-05 -8.667676e-07 -7.962803e-08 -1.066578e-06 2.245140e-05 -8.233820e-04 -5.167562e-05 4.139213e-05
10347.600000 -2.838356e-05 -8.676485e-07 -7.997711e-08 -1.068029e-06 2.811565e-05 -8.237800e-04 -4.878713e-05 3.886568e-05
10347.800000 -2.838160e-05 -8.677092e-07 -8.009283e-08 -1.068077e-06 2.699351e-05 -8.514534e-04 -2.985873e-05 5.234546e-05
10348.000000 -2.834642e-05 -8.662059e-07 -7.986898e-08 -1.065232e-06 2.747221e-05 -8.579791e-04 -4.142722e-05 5.152246e-05
10348.200000 -2.826973e-05 -8.579736e-07 -7.908990e-08 -1.057732e-06 2.455837e-05 -8.536478e-04 -4.268563e-05 4.199606e-05
10348.400000 -2.822362e-05 -8.556735e-07 -7.896601e-08 -1.054874e-06 2.711035e-05 -8.502057e-04 -5.447802e-05 3.714844e-05
10348.600000 -2.829886e-05 -8.619313e-07 -7.973676e-08 -1.061017e-06 2.117930e-05 -8.418665e-04 -4.589499e-05 4.593215e-05
10348.800000 -2.834108e-05 -8.649359e-07 -7.986602e-08 -1.065715e-06 1.112176e-05 -8.592885e-04 -4.044258e-05 3.962160e-05
10349.000000 -2.836949e-05 -8.680079e-07 -8.012821e-08 -1.068899e-06 9.336548e-06 -8.540586e-04 -3.463394e-05 4.658142e-05
10349.200000 -2.838165e-05 -8.689836e-07 -8.022092e-08 -1.070261e-06 1.175204e-05 -8.570873e-04 -4.967167e-05 3.271339e-05
10349.400000 -2.837565e-05 -8.688050e-07 -8.018649e-08 -1.070802e-06 1.370404e-05 -8.633061e-04 -4.641278e-05 4.232402e-05
10349.600000 -2.837481e-05 -8.683209e-07 -8.016377e-08 -1.071037e-06 7.667930e-06 -8.675137e-04 -4.479681e-05 4.545540e-05
10349.800000 -2.836933e-05 -8.691604e-07 -8.060288e-08 -1.071290e-06 1.123423e-05 -8.542156e-04 -5.557936e-05 5.078748e-05
10350.000000 -2.834522e-05 -8.666542e-07 -8.061840e-08 -1.069190e-06 1.003406e-05 -8.706318e-04 -5.836882e-05 6.084063e-05
10350.200000 -2.835043e-05 -8.679759e-07 -8.095621e-08 -1.069832e-06 1.336033e-05 -8.736464e-04 -5.960815e-05 5.732000e-05
10350.400000 -2.835504e-05 -8.681691e-07 -8.114024e-08 -1.071288e-06 2.065928e-05 -8.589339e-04 -5.669666e-05 6.319544e-05
10350.600000 -2.834459e-05 -8.667691e-07 -8.108941e-08 -1.070772e-06 1.370191e-05 -8.429307e-04 -4.156760e-05 6.261485e-05
10350.800000 -2.833066e-05 -8.674998e-07 -8.133324e-08 -1.069875e-06 1.557217e-05 -8.764499e-04 -2.631821e-05 5.770139e-05
