# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.7038624867432
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.997437
# Detector.I1.voltage: -1650.00061
# Detector.I2.voltage: -1650.001465
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370692
# Scan.uid: 4f93c0a1-ae89-4736-964e-637e98944add
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/22/2023  18:17:33.523499
# Scan.end_time: 06/22/2023  18:18:07.159847
# Scan.name: CuGaO2-2nd O2-ramp  (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-2nd
# Sample.comment: 
# Sample.position.x: -66.493997553
# Sample.position.y: 31.589988464
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 379.6241094503647
# SampleHeater.temperature2.readback: 378.0
# SampleHeater.voltage.setpoint: 0.9673004161672613
# SampleHeater.voltage.readback: 0.966
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 8.25
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 8.0
# SampleGasHandlingSystem.MFC1.readback: 7.999674320220947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.01220703125
# SampleGasHandlingSystem.MFC6.setpoint: 2.0
# SampleGasHandlingSystem.MFC6.readback: 2.001953125
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.08544921875
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.06103515625
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1139322891831398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0406901054084301
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 2.01421e-10
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 2.25449e-07
# SampleGasHandlingSystem.RGA.ch3.mass: 12
# SampleGasHandlingSystem.RGA.ch3.readback: 5.9168e-13
# SampleGasHandlingSystem.RGA.ch4.mass: 16
# SampleGasHandlingSystem.RGA.ch4.readback: 2.92332e-09
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.79856e-10
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 5.21826e-11
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.6555e-08
# SampleGasHandlingSystem.RGA.ch8.mass: 40
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 1.70544e-12
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.971064e-05 -8.025485e-07 -2.319655e-07 -1.013080e-06 2.046432e-05 -8.223701e-04 -6.059030e-05 3.332571e-05
10172.000000 -2.961759e-05 -8.002679e-07 -2.301721e-07 -1.012763e-06 2.127141e-05 -8.062693e-04 -6.043180e-05 3.153174e-05
10177.000000 -2.953015e-05 -8.012264e-07 -2.284841e-07 -1.010933e-06 2.180149e-05 -8.010195e-04 -6.082968e-05 2.906914e-05
10182.000000 -2.949781e-05 -8.050233e-07 -2.253548e-07 -1.013123e-06 3.029792e-05 -8.118965e-04 -7.418674e-05 3.358486e-05
10187.000000 -2.950320e-05 -8.046694e-07 -2.171665e-07 -1.016119e-06 3.057190e-05 -8.276517e-04 -7.314250e-05 3.352675e-05
10192.000000 -2.958286e-05 -8.106725e-07 -2.000567e-07 -1.022153e-06 3.640165e-05 -8.337373e-04 -7.499674e-05 2.951116e-05
10197.000000 -2.954702e-05 -8.114912e-07 -1.487119e-07 -1.021788e-06 3.392610e-05 -8.330730e-04 -6.908788e-05 3.386343e-05
10202.000000 -2.940228e-05 -8.012647e-07 -4.934718e-08 -1.014394e-06 2.648537e-05 -8.362208e-04 -6.063618e-05 3.166966e-05
10207.000000 -2.933349e-05 -7.996944e-07 -1.929784e-08 -1.013599e-06 2.617202e-05 -8.359123e-04 -5.852753e-05 2.424771e-05
10212.000000 -2.937779e-05 -8.069443e-07 -3.949276e-08 -1.020312e-06 3.339866e-05 -8.343894e-04 -5.690383e-05 2.002934e-05
10217.000000 -2.931602e-05 -8.051546e-07 -5.125676e-08 -1.019310e-06 3.843345e-05 -8.383453e-04 -6.489069e-05 2.890465e-05
10222.000000 -2.927769e-05 -8.077242e-07 -6.055474e-08 -1.020952e-06 3.148031e-05 -8.441964e-04 -6.558767e-05 3.854633e-05
10227.000000 -2.933499e-05 -8.210072e-07 -6.794568e-08 -1.030204e-06 2.966006e-05 -8.519645e-04 -6.893701e-05 4.527559e-05
10232.000000 -2.928543e-05 -8.241733e-07 -7.067183e-08 -1.031693e-06 2.579673e-05 -8.514824e-04 -5.856672e-05 2.833339e-05
10237.000000 -2.929228e-05 -8.275498e-07 -7.274480e-08 -1.035610e-06 2.238717e-05 -8.523055e-04 -5.320411e-05 3.074920e-05
10242.000000 -2.925644e-05 -8.303849e-07 -7.422218e-08 -1.036447e-06 2.372037e-05 -8.267923e-04 -6.104078e-05 3.417498e-05
10247.000000 -2.920003e-05 -8.328327e-07 -7.722580e-08 -1.037631e-06 1.997025e-05 -8.214945e-04 -6.485833e-05 3.529781e-05
10252.000000 -2.913465e-05 -8.307357e-07 -7.634680e-08 -1.035913e-06 1.471073e-05 -8.297090e-04 -5.460212e-05 4.532032e-05
10257.000000 -2.909548e-05 -8.331938e-07 -7.375226e-08 -1.037264e-06 1.821186e-05 -8.033238e-04 -4.948307e-05 4.314241e-05
10262.000000 -2.905549e-05 -8.385655e-07 -7.356306e-08 -1.040640e-06 1.771315e-05 -8.024598e-04 -4.677709e-05 4.306733e-05
10267.000000 -2.908958e-05 -8.421950e-07 -7.473274e-08 -1.044311e-06 1.032948e-05 -8.275212e-04 -4.743200e-05 3.779663e-05
10272.000000 -2.908041e-05 -8.454076e-07 -7.594454e-08 -1.047126e-06 2.493819e-05 -8.282766e-04 -6.138688e-05 4.173200e-05
10277.000000 -2.900098e-05 -8.457593e-07 -7.575951e-08 -1.046340e-06 2.562248e-05 -8.211407e-04 -6.281850e-05 4.218282e-05
10282.000000 -2.883547e-05 -8.426065e-07 -7.431679e-08 -1.041340e-06 2.722232e-05 -8.302093e-04 -5.988040e-05 3.196020e-05
10287.000000 -2.889069e-05 -8.476352e-07 -7.505956e-08 -1.046997e-06 3.076494e-05 -8.220795e-04 -6.385769e-05 3.213128e-05
10292.000000 -2.886201e-05 -8.505326e-07 -7.739069e-08 -1.049296e-06 2.504832e-05 -8.108337e-04 -4.191803e-05 3.825350e-05
10297.000000 -2.884197e-05 -8.548573e-07 -7.871228e-08 -1.051901e-06 1.584162e-05 -8.143011e-04 -4.347979e-05 4.389092e-05
10302.000000 -2.880112e-05 -8.541325e-07 -7.836904e-08 -1.051133e-06 1.873673e-05 -8.162264e-04 -5.128680e-05 4.540968e-05
10307.000000 -2.878092e-05 -8.586240e-07 -7.895570e-08 -1.054509e-06 2.981703e-05 -8.029811e-04 -4.680225e-05 4.956997e-05
10312.000000 -2.874326e-05 -8.610781e-07 -7.888752e-08 -1.056316e-06 2.654264e-05 -7.681573e-04 -5.201899e-05 4.609741e-05
10317.000000 -2.868101e-05 -8.600566e-07 -7.807671e-08 -1.056161e-06 2.880235e-05 -7.864435e-04 -5.825143e-05 4.463095e-05
10322.000000 -2.868379e-05 -8.667407e-07 -7.817310e-08 -1.061011e-06 2.431224e-05 -7.939220e-04 -5.822762e-05 4.355967e-05
10327.000000 -2.864513e-05 -8.694185e-07 -7.758756e-08 -1.063417e-06 2.039161e-05 -7.855642e-04 -5.544436e-05 4.399927e-05
10332.000000 -2.845735e-05 -8.658324e-07 -7.650377e-08 -1.060259e-06 2.653853e-05 -7.772421e-04 -5.816188e-05 4.572973e-05
10337.000000 -2.847899e-05 -8.652044e-07 -7.625969e-08 -1.063791e-06 2.740869e-05 -7.707028e-04 -6.430651e-05 4.839927e-05
10341.000000 -2.840387e-05 -8.630564e-07 -7.644549e-08 -1.063465e-06 2.504703e-05 -7.786193e-04 -6.436067e-05 3.487764e-05
10344.000000 -2.842776e-05 -8.699351e-07 -7.772508e-08 -1.070967e-06 2.290463e-05 -7.783168e-04 -5.852826e-05 3.480499e-05
10346.000000 -2.838908e-05 -8.684324e-07 -7.838909e-08 -1.071991e-06 2.267893e-05 -7.967711e-04 -5.878261e-05 3.484333e-05
10347.000000 -2.825384e-05 -8.548141e-07 -7.743861e-08 -1.061829e-06 2.889496e-05 -7.998361e-04 -5.021881e-05 4.704087e-05
10347.200000 -2.823406e-05 -8.515396e-07 -7.737399e-08 -1.060528e-06 3.491882e-05 -8.026419e-04 -4.634093e-05 5.237207e-05
10347.400000 -2.833224e-05 -8.635835e-07 -7.859570e-08 -1.069634e-06 4.576441e-05 -8.015100e-04 -4.331137e-05 4.272448e-05
10347.600000 -2.838898e-05 -8.702570e-07 -7.924528e-08 -1.074078e-06 4.742437e-05 -7.701683e-04 -4.122095e-05 4.435244e-05
