# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.8617168375048
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.998169
# Detector.I1.voltage: -1649.998291
# Detector.I2.voltage: -1649.997437
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370698
# Scan.uid: 1ea04e33-a51f-42a1-9797-b523c691d2d5
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/22/2023  18:23:32.006986
# Scan.end_time: 06/22/2023  18:24:08.346293
# Scan.name: CuGaO2-2nd O2-ramp  (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-2nd
# Sample.comment: 
# Sample.position.x: -66.493997553
# Sample.position.y: 31.5900075375
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 400.0
# SampleHeater.temperature2.readback: 398.1
# SampleHeater.voltage.setpoint: 1.0161262760249012
# SampleHeater.voltage.readback: 1.0210000000000001
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 8.75
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 8.0
# SampleGasHandlingSystem.MFC1.readback: 7.999674320220947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC6.setpoint: 2.0
# SampleGasHandlingSystem.MFC6.readback: 2.001953125
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.08544921875
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.06103515625
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0732421875
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1139322891831398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0406901054084301
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.83523e-10
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 2.27212e-07
# SampleGasHandlingSystem.RGA.ch3.mass: 12
# SampleGasHandlingSystem.RGA.ch3.readback: 5.4925e-13
# SampleGasHandlingSystem.RGA.ch4.mass: 16
# SampleGasHandlingSystem.RGA.ch4.readback: 2.96363e-09
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.81993e-10
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 4.99101e-11
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.6813e-08
# SampleGasHandlingSystem.RGA.ch8.mass: 40
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 1.58653e-12
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.966056e-05 -7.533866e-07 -2.180053e-07 -1.000185e-06 2.535876e-06 -7.958568e-04 -5.399447e-05 -1.038060e-05
10172.000000 -2.952588e-05 -7.466181e-07 -2.148145e-07 -9.965858e-07 -1.396952e-06 -7.887800e-04 -5.892986e-05 -1.419729e-05
10177.000000 -2.944067e-05 -7.481580e-07 -2.129935e-07 -9.949822e-07 4.791531e-06 -7.583179e-04 -6.008845e-05 -1.842568e-05
10182.000000 -2.937644e-05 -7.477674e-07 -2.093019e-07 -9.948200e-07 9.710452e-06 -7.495202e-04 -5.575958e-05 -1.349016e-05
10187.000000 -2.936714e-05 -7.459005e-07 -2.014167e-07 -9.969434e-07 6.576407e-06 -7.427184e-04 -4.705967e-05 -7.448457e-06
10192.000000 -2.945295e-05 -7.517448e-07 -1.853274e-07 -1.003354e-06 -1.516383e-06 -7.353602e-04 -4.525150e-05 -1.069387e-05
10197.000000 -2.946072e-05 -7.566140e-07 -1.383831e-07 -1.006889e-06 8.843407e-06 -7.501196e-04 -4.383120e-05 -9.466888e-06
10202.000000 -2.943611e-05 -7.608948e-07 -4.650835e-08 -1.009120e-06 5.141170e-06 -7.479499e-04 -3.677844e-05 -5.159115e-06
10207.000000 -2.941277e-05 -7.632845e-07 -1.818163e-08 -1.010934e-06 4.166363e-07 -7.442386e-04 -3.306990e-05 -6.852676e-06
10212.000000 -2.939489e-05 -7.667310e-07 -3.785405e-08 -1.013213e-06 1.721283e-06 -7.156504e-04 -3.400798e-05 -3.965331e-06
10217.000000 -2.934513e-05 -7.665900e-07 -4.900559e-08 -1.013372e-06 2.375819e-06 -7.305306e-04 -3.395730e-05 -4.657251e-06
10222.000000 -2.929458e-05 -7.678899e-07 -5.759858e-08 -1.013519e-06 5.054822e-07 -7.489966e-04 -3.274077e-05 -4.728151e-06
10227.000000 -2.927062e-05 -7.710475e-07 -6.352268e-08 -1.015489e-06 1.068794e-05 -7.396677e-04 -3.372554e-05 -2.834536e-06
10232.000000 -2.921794e-05 -7.736934e-07 -6.618988e-08 -1.016680e-06 5.701690e-06 -7.452897e-04 -3.980670e-05 -8.254454e-06
10237.000000 -2.918808e-05 -7.738339e-07 -6.777423e-08 -1.017567e-06 9.390504e-06 -7.465015e-04 -4.390322e-05 -1.624831e-05
10242.000000 -2.911683e-05 -7.722100e-07 -6.858022e-08 -1.016458e-06 3.931258e-06 -7.604948e-04 -5.517908e-05 -1.664693e-05
10247.000000 -2.909176e-05 -7.789931e-07 -7.176110e-08 -1.020632e-06 -1.392102e-06 -7.643685e-04 -4.832611e-05 -1.183606e-05
10252.000000 -2.901260e-05 -7.756502e-07 -7.108223e-08 -1.018069e-06 5.236251e-06 -7.532073e-04 -4.620781e-05 -1.143216e-05
10257.000000 -2.884828e-05 -7.682136e-07 -6.798829e-08 -1.010530e-06 4.924228e-06 -7.497107e-04 -4.675363e-05 -2.674523e-06
10262.000000 -2.892104e-05 -7.830455e-07 -6.860268e-08 -1.020837e-06 1.266489e-06 -7.768910e-04 -4.588655e-05 4.268750e-06
10267.000000 -2.900088e-05 -7.906162e-07 -7.049564e-08 -1.028046e-06 2.632936e-06 -7.693439e-04 -5.697552e-05 -3.546163e-07
10272.000000 -2.896598e-05 -7.908661e-07 -7.123241e-08 -1.028841e-06 5.159546e-06 -7.536265e-04 -5.080153e-05 2.591928e-06
10277.000000 -2.890535e-05 -7.939969e-07 -7.103641e-08 -1.030452e-06 -2.519327e-06 -7.601084e-04 -4.359322e-05 -8.388556e-06
10282.000000 -2.874719e-05 -7.917010e-07 -6.932820e-08 -1.027096e-06 -1.242435e-05 -7.431324e-04 -4.760886e-05 -1.599668e-05
10287.000000 -2.877144e-05 -7.929259e-07 -6.991652e-08 -1.030215e-06 -3.769563e-06 -7.362280e-04 -4.223899e-05 -1.317722e-05
10292.000000 -2.873344e-05 -7.951570e-07 -7.209177e-08 -1.031910e-06 -9.505303e-06 -7.470850e-04 -4.159929e-05 -5.840365e-06
10297.000000 -2.873386e-05 -8.024403e-07 -7.382744e-08 -1.036305e-06 -4.557546e-06 -7.552283e-04 -5.716141e-05 -2.741659e-06
10302.000000 -2.871665e-05 -8.027374e-07 -7.337642e-08 -1.038201e-06 -1.095457e-06 -7.236399e-04 -6.261937e-05 -4.022870e-06
10307.000000 -2.867535e-05 -8.053973e-07 -7.378063e-08 -1.039717e-06 2.805240e-06 -7.390888e-04 -6.184243e-05 -6.865836e-06
10312.000000 -2.862985e-05 -8.087751e-07 -7.399081e-08 -1.041502e-06 -2.841911e-06 -7.466782e-04 -5.344986e-05 -1.046736e-05
10317.000000 -2.857856e-05 -8.082553e-07 -7.353222e-08 -1.042162e-06 -1.929155e-06 -7.522657e-04 -4.987124e-05 -6.069899e-06
10322.000000 -2.857224e-05 -8.132132e-07 -7.307126e-08 -1.045733e-06 -4.133911e-06 -7.642384e-04 -4.864519e-05 -9.220227e-06
10327.000000 -2.853408e-05 -8.168334e-07 -7.291236e-08 -1.047789e-06 -1.181191e-05 -7.755540e-04 -3.861666e-05 -6.642748e-06
10332.000000 -2.839328e-05 -8.137307e-07 -7.191456e-08 -1.045453e-06 -3.166869e-06 -7.499364e-04 -3.582267e-05 -7.628410e-06
10337.000000 -2.849009e-05 -8.203544e-07 -7.241089e-08 -1.054281e-06 2.953425e-06 -7.433346e-04 -3.688023e-05 1.308501e-05
10341.000000 -2.843873e-05 -8.194737e-07 -7.262436e-08 -1.055748e-06 2.270826e-06 -7.275702e-04 -3.260944e-05 4.949588e-05
10344.000000 -2.843772e-05 -8.241399e-07 -7.378007e-08 -1.060708e-06 -1.665751e-06 -7.357271e-04 -3.788258e-05 5.108558e-05
10346.000000 -2.838828e-05 -8.227125e-07 -7.421804e-08 -1.060005e-06 -3.287560e-07 -7.421164e-04 -4.970179e-05 4.148273e-05
10347.000000 -2.839119e-05 -8.258389e-07 -7.484939e-08 -1.062593e-06 -4.771294e-07 -7.325899e-04 -4.646405e-05 3.690385e-05
10347.200000 -2.839820e-05 -8.274265e-07 -7.507583e-08 -1.064188e-06 -3.417194e-06 -7.183947e-04 -4.989526e-05 3.277405e-05
10347.400000 -2.840885e-05 -8.288795e-07 -7.518741e-08 -1.065622e-06 -9.625727e-06 -7.298912e-04 -4.415212e-05 3.670582e-05
