# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.66529919097513
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.998291
# Detector.I1.voltage: -1650.001587
# Detector.I2.voltage: -1650.0
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370718
# Scan.uid: 5a306eb2-a053-4a1c-8f4a-e956f6955295
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/22/2023  18:43:59.549078
# Scan.end_time: 06/22/2023  18:44:34.293307
# Scan.name: CuGaO2-2nd O2-ramp  (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-2nd
# Sample.comment: 
# Sample.position.x: -66.493997553
# Sample.position.y: 31.5900075375
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 92.62900802294416
# SampleHeater.temperature2.readback: 93.5
# SampleHeater.voltage.setpoint: 0.27575917689578894
# SampleHeater.voltage.readback: 0.28
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 12.73
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 8.0
# SampleGasHandlingSystem.MFC1.readback: 7.999674320220947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.01627604104578495
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.01220703125
# SampleGasHandlingSystem.MFC6.setpoint: 2.0
# SampleGasHandlingSystem.MFC6.readback: 2.001953125
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.08544921875
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.1057942733168602
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.06103515625
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1180013045668602
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0406901054084301
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 3.57156e-10
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 2.23815e-07
# SampleGasHandlingSystem.RGA.ch3.mass: 12
# SampleGasHandlingSystem.RGA.ch3.readback: 4.86416e-13
# SampleGasHandlingSystem.RGA.ch4.mass: 16
# SampleGasHandlingSystem.RGA.ch4.readback: 2.9408e-09
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.5904e-10
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 6.97815e-11
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.6899e-08
# SampleGasHandlingSystem.RGA.ch8.mass: 40
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 1.46085e-12
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.960285e-05 -8.461887e-07 -2.440531e-07 -9.979456e-07 5.808074e-05 -8.664102e-04 -3.272367e-05 -3.529542e-06
10172.000000 -2.940132e-05 -8.352630e-07 -2.395309e-07 -9.906648e-07 5.673762e-05 -8.601249e-04 -2.989852e-05 1.977891e-06
10177.000000 -2.935379e-05 -8.399802e-07 -2.387291e-07 -9.911857e-07 5.483041e-05 -8.566646e-04 -3.298592e-05 2.213236e-06
10182.000000 -2.934133e-05 -8.441302e-07 -2.356298e-07 -9.938394e-07 5.459438e-05 -8.670776e-04 -3.553565e-05 8.508264e-06
10187.000000 -2.934316e-05 -8.431253e-07 -2.272817e-07 -9.961140e-07 6.255684e-05 -8.640210e-04 -2.679683e-05 9.290992e-06
10192.000000 -2.930971e-05 -8.410028e-07 -2.071130e-07 -9.950502e-07 5.871307e-05 -8.627516e-04 -2.561126e-05 7.726992e-06
10197.000000 -2.928053e-05 -8.435553e-07 -1.544148e-07 -9.963871e-07 4.913580e-05 -8.872068e-04 -2.930132e-05 2.965417e-06
10202.000000 -2.929994e-05 -8.495041e-07 -5.214802e-08 -1.001616e-06 5.871566e-05 -8.903204e-04 -3.291673e-05 2.690472e-05
10207.000000 -2.931367e-05 -8.545906e-07 -2.054311e-08 -1.005737e-06 5.211665e-05 -8.910866e-04 -2.890916e-05 5.673329e-05
10212.000000 -2.932613e-05 -8.590803e-07 -4.248781e-08 -1.009350e-06 4.656608e-05 -8.967093e-04 -2.711316e-05 5.925706e-05
10217.000000 -2.930325e-05 -8.618617e-07 -5.550022e-08 -1.011023e-06 5.045577e-05 -8.738674e-04 -3.126201e-05 5.607580e-05
10222.000000 -2.924677e-05 -8.627267e-07 -6.490071e-08 -1.011160e-06 5.073778e-05 -8.944467e-04 -2.936304e-05 2.828146e-05
10227.000000 -2.922512e-05 -8.655666e-07 -7.166336e-08 -1.014096e-06 4.273761e-05 -8.766445e-04 -2.709397e-05 1.849370e-05
10232.000000 -2.916334e-05 -8.672226e-07 -7.452935e-08 -1.014616e-06 5.170579e-05 -8.898965e-04 -2.454179e-05 1.136922e-05
10237.000000 -2.915233e-05 -8.692571e-07 -7.608231e-08 -1.017044e-06 4.703502e-05 -9.056530e-04 -3.002276e-05 1.294278e-05
10242.000000 -2.912398e-05 -8.723356e-07 -7.778726e-08 -1.019027e-06 4.738839e-05 -9.122240e-04 -3.340397e-05 1.709703e-05
10247.000000 -2.905569e-05 -8.730907e-07 -8.131429e-08 -1.019332e-06 5.041186e-05 -9.402499e-04 -3.613101e-05 3.274214e-05
10252.000000 -2.902526e-05 -8.755714e-07 -8.094474e-08 -1.020719e-06 5.262676e-05 -9.043802e-04 -3.667308e-05 2.012906e-05
10257.000000 -2.895933e-05 -8.756642e-07 -7.777782e-08 -1.019540e-06 5.911499e-05 -8.733767e-04 -2.652327e-05 2.559486e-05
10262.000000 -2.886660e-05 -8.753019e-07 -7.720916e-08 -1.019138e-06 6.104624e-05 -8.575861e-04 -3.195873e-05 3.137080e-05
10267.000000 -2.892260e-05 -8.802676e-07 -7.867285e-08 -1.024329e-06 5.935763e-05 -8.415439e-04 -3.726462e-05 2.741029e-05
10272.000000 -2.892128e-05 -8.836161e-07 -7.949706e-08 -1.027208e-06 5.563878e-05 -8.360905e-04 -3.205604e-05 2.089209e-05
10277.000000 -2.885041e-05 -8.853956e-07 -7.897722e-08 -1.027193e-06 5.071206e-05 -8.518328e-04 -3.924878e-05 1.907884e-05
10282.000000 -2.871723e-05 -8.862635e-07 -7.833529e-08 -1.025238e-06 5.841302e-05 -8.527573e-04 -3.327458e-05 2.119887e-05
10287.000000 -2.877099e-05 -8.908677e-07 -7.931338e-08 -1.029935e-06 6.262334e-05 -8.437658e-04 -2.871443e-05 1.811495e-05
10292.000000 -2.873213e-05 -8.933690e-07 -8.153173e-08 -1.031176e-06 5.290873e-05 -8.500525e-04 -1.248143e-05 1.424637e-05
10297.000000 -2.861996e-05 -8.907408e-07 -8.210492e-08 -1.027561e-06 5.729811e-05 -8.955934e-04 -2.251380e-05 3.426323e-05
10302.000000 -2.859406e-05 -8.927806e-07 -8.189218e-08 -1.028980e-06 6.643770e-05 -9.098055e-04 -2.828116e-05 6.587028e-05
10307.000000 -2.858698e-05 -8.983085e-07 -8.264309e-08 -1.032842e-06 6.161129e-05 -9.337048e-04 -3.155228e-05 6.056233e-05
10312.000000 -2.859849e-05 -9.053349e-07 -8.309308e-08 -1.038393e-06 6.755420e-05 -9.391715e-04 -3.702200e-05 6.400445e-05
10317.000000 -2.856508e-05 -9.076667e-07 -8.257676e-08 -1.040268e-06 6.190524e-05 -9.173245e-04 -3.870853e-05 6.628498e-05
10322.000000 -2.848382e-05 -9.063498e-07 -8.175112e-08 -1.039065e-06 5.895723e-05 -9.077308e-04 -4.270401e-05 4.119483e-05
10327.000000 -2.845687e-05 -9.087591e-07 -8.125322e-08 -1.042815e-06 5.605494e-05 -9.020524e-04 -4.093635e-05 1.969653e-05
10332.000000 -2.827494e-05 -9.040569e-07 -7.994643e-08 -1.038653e-06 5.847708e-05 -9.078132e-04 -3.790832e-05 2.934267e-05
10337.000000 -2.841672e-05 -9.134948e-07 -8.062776e-08 -1.049475e-06 5.148619e-05 -9.185223e-04 -2.993258e-05 3.195629e-05
10341.000000 -2.838598e-05 -9.145058e-07 -8.116527e-08 -1.052328e-06 5.467551e-05 -8.678613e-04 -2.279105e-05 2.623920e-05
10344.000000 -2.835987e-05 -9.141880e-07 -8.200486e-08 -1.054972e-06 5.600669e-05 -8.509723e-04 -2.210664e-05 2.124697e-05
10346.000000 -2.832618e-05 -9.143320e-07 -8.275631e-08 -1.056155e-06 5.439537e-05 -8.535717e-04 -2.259885e-05 1.827423e-05
10347.000000 -2.826617e-05 -9.115705e-07 -8.299575e-08 -1.053490e-06 5.483375e-05 -8.527187e-04 -2.857930e-05 1.887992e-05
10347.200000 -2.831680e-05 -9.149883e-07 -8.340655e-08 -1.056931e-06 6.100801e-05 -8.503280e-04 -2.820124e-05 1.279949e-05
10347.400000 -2.834855e-05 -9.181949e-07 -8.370631e-08 -1.060786e-06 5.033265e-05 -8.293288e-04 -3.069186e-05 1.151927e-05
10347.600000 -2.836703e-05 -9.195076e-07 -8.390404e-08 -1.062480e-06 4.362694e-05 -8.067896e-04 -3.491884e-05 2.064403e-05
